date,open,high,low,close,volume
1981-12-31,1.0943,1.1091,1.0795,1.1007,246603
1982-01-04,1.0963,1.0963,1.0923,1.0923,181804
1982-01-05,1.0795,1.0923,1.0627,1.0627,311402
1982-01-06,1.0459,1.0627,1.0291,1.0378,341104
1982-01-07,1.0334,1.0378,1.0250,1.0291,217798
1982-01-08,1.0378,1.0418,1.0291,1.0334,582303
1982-01-11,1.0210,1.0334,1.0042,1.0042,359997
1982-01-12,0.9830,1.0042,0.9578,0.9787,560703
1982-01-13,0.9706,0.9830,0.9578,0.9619,511203
1982-01-14,0.9662,0.9746,0.9578,0.9662,118798
1982-01-15,0.9746,0.9830,0.9662,0.9746,169203
1982-01-18,0.9662,0.9746,0.9538,0.9538,547196
1982-01-19,0.9787,0.9874,0.9706,0.9830,890102
1982-01-20,1.0082,1.0291,0.9830,1.0210,1232998
1982-01-21,1.0418,1.0502,1.0291,1.0418,890102
1982-01-22,1.0378,1.0418,1.0334,1.0378,768597
1982-01-25,1.0334,1.0378,1.0250,1.0378,570597
1982-01-26,1.0418,1.0502,1.0291,1.0291,591301
1982-01-27,1.0210,1.0291,1.0082,1.0082,786603
1982-01-28,1.0123,1.0210,1.0042,1.0082,346499
1982-01-29,1.0378,1.0546,1.0166,1.0502,696601
1982-02-01,1.0378,1.0459,1.0250,1.0250,612004
1982-02-02,1.0250,1.0334,1.0123,1.0250,315901
1982-02-03,1.0291,1.0418,1.0166,1.0166,319504
1982-02-04,1.0210,1.0250,1.0123,1.0166,210601
1982-02-05,1.0502,1.0627,1.0334,1.0586,336596
1982-02-08,1.0755,1.0839,1.0627,1.0670,398697
1982-02-09,1.0755,1.0795,1.0714,1.0755,243896
1982-02-10,1.0839,1.0963,1.0670,1.0670,673200
1982-02-11,1.0714,1.0714,1.0670,1.0670,312298
1982-02-12,1.0670,1.0714,1.0627,1.0670,95397
1982-02-16,1.0378,1.0418,1.0334,1.0378,581397
1982-02-17,1.0378,1.0459,1.0250,1.0250,497696
1982-02-18,1.0210,1.0291,1.0082,1.0166,227701
1982-02-19,1.0042,1.0123,0.9955,0.9955,572399
1982-02-22,1.0082,1.0166,0.9998,0.9998,393301
1982-02-23,0.9830,0.9955,0.9662,0.9830,632699
1982-02-24,0.9746,0.9830,0.9662,0.9706,468004
1982-02-25,0.9706,0.9746,0.9662,0.9662,911701
1982-02-26,0.9706,0.9746,0.9619,0.9619,161997
1982-03-01,0.9706,0.9787,0.9578,0.9578,646196
1982-03-02,0.9662,0.9706,0.9578,0.9578,279899
1982-03-03,0.9538,0.9538,0.9494,0.9494,591301
