date,open,high,low,close,volume
1987-12-30,0.3450,0.3450,0.3393,0.3421,492075
1987-12-31,0.3421,0.3478,0.3421,0.3478,482951
1988-01-04,0.3535,0.3678,0.3535,0.3678,400939
1988-01-05,0.3649,0.3706,0.3649,0.3678,926767
1988-01-06,0.3678,0.3706,0.3619,0.3678,590618
1988-01-07,0.3678,0.3706,0.3678,0.3706,282815
1988-01-08,0.3706,0.3706,0.3649,0.3649,348297
1988-01-11,0.3678,0.3706,0.3592,0.3649,652051
1988-01-12,0.3678,0.3678,0.3562,0.3592,629113
1988-01-13,0.3535,0.3562,0.3505,0.3535,831274
1988-01-14,0.3535,0.3535,0.3505,0.3535,194395
1988-01-15,0.3592,0.3649,0.3592,0.3592,252445
1988-01-18,0.3649,0.3706,0.3649,0.3678,426593
1988-01-19,0.3649,0.3649,0.3505,0.3505,752285
1988-01-20,0.3478,0.3505,0.3450,0.3450,262568
1988-01-21,0.3421,0.3478,0.3421,0.3450,185297
1988-01-22,0.3478,0.3478,0.3421,0.3478,656100
1988-01-25,0.3505,0.3649,0.3505,0.3649,314210
1988-01-26,0.3649,0.3649,0.3619,0.3619,86395
1988-01-27,0.3649,0.3649,0.3619,0.3619,112383
1988-01-28,0.3619,0.3649,0.3592,0.3619,65815
1988-01-29,0.3619,0.3649,0.3592,0.3619,1031743
1988-02-01,0.3619,0.3649,0.3592,0.3592,113741
1988-02-02,0.3619,0.3619,0.3535,0.3535,296655
1988-02-03,0.3562,0.3619,0.3562,0.3562,205544
1988-02-04,0.3553,0.3610,0.3553,0.3553,50617
1988-02-05,0.3553,0.3580,0.3553,0.3553,41519
1988-02-08,0.3523,0.3553,0.3496,0.3496,364827
1988-02-09,0.3438,0.3496,0.3438,0.3438,568013
1988-02-10,0.3468,0.3553,0.3468,0.3553,103284
1988-02-11,0.3610,0.3610,0.3553,0.3580,188654
1988-02-12,0.3580,0.3580,0.3553,0.3553,153235
1988-02-16,0.3580,0.3610,0.3553,0.3610,214642
1988-02-17,0.3580,0.3610,0.3580,0.3580,317260
1988-02-18,0.3553,0.3580,0.3553,0.3580,72889
1988-02-19,0.3553,0.3580,0.3553,0.3553,86395
1988-02-22,0.3553,0.3638,0.3553,0.3638,414445
1988-02-23,0.3610,0.3667,0.3580,0.3638,560248
1988-02-24,0.3667,0.3667,0.3610,0.3610,373618
1988-02-25,0.3610,0.3638,0.3610,0.3610,896063
1988-02-26,0.3610,0.3638,0.3610,0.3638,385766
1988-02-29,0.3667,0.3667,0.3580,0.3667,450889
1988-03-01,0.3610,0.3667,0.3610,0.3638,656433
1988-03-02,0.3638,0.3638,0.3610,0.3638,523804
1988-03-03,0.3610,0.3667,0.3610,0.3638,239963
1988-03-04,0.3638,0.3667,0.3610,0.3667,414445
1988-03-07,0.3638,0.3782,0.3638,0.3782,1164706
1988-03-08,0.3782,0.3867,0.3782,0.3839,563298
1988-03-09,0.3897,0.3897,0.3867,0.3897,526828
1988-03-10,0.3867,0.3897,0.3810,0.3810,752285
1988-03-11,0.3839,0.3867,0.3755,0.3810,308136
1988-03-14,0.3839,0.3867,0.3810,0.3839,260210
1988-03-15,0.3867,0.3867,0.3810,0.3810,157951
1988-03-16,0.3782,0.3782,0.3697,0.3725,475878
1988-03-17,0.3697,0.3725,0.3697,0.3725,430309
1988-03-18,0.3725,0.3810,0.3697,0.3755,826532
1988-03-21,0.3782,0.3782,0.3725,0.3755,437409
1988-03-22,0.3755,0.3755,0.3667,0.3755,1513002
1988-03-23,0.3755,0.3755,0.3725,0.3755,553174
1988-03-24,0.3755,0.3755,0.3667,0.3667,662507
1988-03-25,0.3697,0.3755,0.3667,0.3697,246371
1988-03-28,0.3667,0.3725,0.3667,0.3667,608840
