date,open,high,low,close,volume
1998-07-01,11.1062,11.2997,10.9698,11.2161,20818601
1998-07-02,11.2425,11.3261,11.2161,11.2997,3037200
1998-07-06,11.2997,11.4361,11.2161,11.3833,1737701
1998-07-07,11.4361,11.4361,11.2161,11.2161,1077000
1998-07-08,11.2733,11.3261,11.2161,11.2997,1180500
1998-07-09,11.2733,11.4097,11.2161,11.3833,1443900
1998-07-10,11.4361,11.6296,11.3525,11.3525,1117301
1998-07-13,11.3261,11.3525,11.2161,11.3261,790800
1998-07-14,11.3261,11.3833,11.2425,11.2425,1276301
1998-07-15,11.2161,11.4361,11.2161,11.4361,863400
1998-07-16,11.3261,11.4097,11.2161,11.2997,1084500
1998-07-17,11.2161,11.4933,11.1634,11.4361,1201601
1998-07-20,11.4361,12.0431,11.4361,12.0431,995501
1998-07-21,12.0431,12.0695,11.5460,11.6824,784601
1998-07-22,11.5460,11.6560,11.1898,11.2733,1497900
1998-07-23,11.3261,11.3525,10.8863,11.2161,1248300
1998-07-24,11.3261,11.4625,11.2733,11.4361,1009800
1998-07-27,11.4361,11.5724,11.3261,11.3833,843600
1998-07-28,11.4097,11.4625,10.9962,10.9962,2081801
1998-07-29,10.9962,11.1062,10.7763,10.8335,1331400
1998-07-30,10.9127,10.9962,10.7763,10.9962,1982400
1998-07-31,10.9962,11.2733,10.9434,10.9962,1093601
1998-08-03,10.9962,10.9962,10.6927,10.7235,1009001
1998-08-04,10.6927,10.6927,10.0637,10.1165,1245900
1998-08-05,10.0066,10.1737,9.6503,9.6503,654101
1998-08-06,9.7031,9.7602,9.6239,9.6239,589200
1998-08-07,9.6767,9.9538,9.6239,9.7339,1100201
1998-08-10,9.7339,10.5300,9.6767,10.1737,321701
1998-08-11,10.0066,10.0066,9.6767,9.6767,334001
1998-08-12,10.0066,10.0066,9.6503,9.6503,513600
1998-08-13,9.6767,9.7031,9.5667,9.5667,969000
1998-08-14,9.8966,9.8966,9.6503,9.6767,229301
1998-08-17,9.7866,9.8438,9.6767,9.6767,319901
1998-08-18,9.6767,9.7031,9.6239,9.6767,211901
1998-08-19,9.7339,9.7866,9.6503,9.6503,97800
1998-08-20,9.7602,9.8438,9.6503,9.6767,378701
1998-08-21,9.6239,9.6239,8.8542,9.0169,514001
1998-08-24,9.0741,9.2368,9.0741,9.1005,274001
1998-08-25,9.2104,9.5403,9.1269,9.1533,280901
1998-08-26,9.1269,9.2368,9.0741,9.2104,63600
1998-08-27,9.1269,9.1269,8.3043,8.3043,367200
1998-08-28,8.3571,8.6870,7.3675,7.4247,671201
1998-08-31,7.5874,7.8073,6.9276,7.0948,2184900
1998-09-01,7.0948,7.3675,6.9848,7.1475,931500
1998-09-02,7.1475,7.2047,6.8748,6.9848,238800
1998-09-03,6.9540,6.9848,5.9380,6.9848,2830200
1998-09-04,6.9848,7.1212,6.7077,6.9848,182700
1998-09-08,7.2575,7.4774,7.2575,7.3675,617100
1998-09-09,7.3675,7.3675,7.0948,7.0948,258300
1998-09-10,7.0376,7.0376,6.4878,6.5142,134400
1998-09-11,6.5142,6.7077,6.4878,6.5713,492101
1998-09-14,6.8177,6.8177,6.5713,6.5713,515801
1998-09-15,6.5713,6.5977,6.0479,6.0479,655901
1998-09-16,6.1579,6.4878,5.8852,6.3778,1600200
1998-09-17,6.2678,6.8440,6.1579,6.6813,260100
1998-09-18,6.6813,6.8440,6.5450,6.7077,454500
1998-09-21,6.4878,6.7649,6.4878,6.7341,898001
1998-09-22,6.8440,8.0272,6.8440,7.5874,436800
1998-09-23,8.0272,9.4040,8.0272,8.7706,828000
1998-09-24,8.7970,9.2940,8.5771,8.5771,578100
1998-09-25,8.4671,8.9641,8.3571,8.6606,540101
1998-09-28,9.4040,9.4568,8.7442,8.7442,432000
1998-09-29,8.6342,8.6870,8.0844,8.4671,791100
1998-09-30,8.5771,8.6606,8.4935,8.5771,294101
1998-10-01,8.4671,8.7706,8.4143,8.7442,135300
1998-10-02,8.7442,8.7442,8.3571,8.3571,1446900
1998-10-05,8.2472,8.5771,7.9173,8.5507,256800
1998-10-06,8.6034,8.6342,7.9437,8.3307,1069001
1998-10-07,8.2208,8.3571,6.5977,6.7077,492300
1998-10-08,6.5450,6.7077,6.1579,6.3778,1061501
1998-10-09,6.5977,7.3147,6.5450,7.2047,301500
1998-10-12,7.4774,7.7545,7.3147,7.4510,298200
1998-10-13,7.4510,7.5874,7.0376,7.2575,465401
1998-10-14,7.1475,7.2575,7.1475,7.1475,114900
1998-10-15,7.1475,7.2047,6.9276,7.1212,529601
1998-10-16,7.0376,7.0948,6.9848,7.0376,977100
1998-10-19,7.0112,7.4774,6.9848,7.3675,1027500
1998-10-20,7.4510,7.5346,7.3411,7.3675,643301
1998-10-21,7.3675,7.5038,7.2839,7.2839,353700
1998-10-22,7.3675,7.5874,7.2575,7.4774,538800
1998-10-23,7.5346,7.6138,7.4247,7.5038,156101
1998-10-26,7.5610,7.5610,7.2575,7.3147,353400
1998-10-27,7.3411,7.3939,7.2839,7.3411,396300
1998-10-28,7.3411,7.4774,7.2575,7.4774,378600
1998-10-29,7.8073,8.6870,7.8073,8.3043,947400
1998-10-30,8.5771,9.7339,8.4143,9.6239,1109400
1998-11-02,9.6503,9.7602,8.9333,9.7602,311201
1998-11-03,9.7602,10.2001,9.7031,10.1165,596501
1998-11-04,10.1165,10.8027,10.0637,10.5564,888401
1998-11-05,10.3365,10.4200,10.0637,10.2265,849101
1998-11-06,10.2265,10.2837,9.2940,9.5139,1016400
1998-11-09,9.4040,9.4568,8.7970,9.0741,533700
1998-11-10,9.0169,9.0741,8.4671,8.6342,935201
1998-11-11,8.7442,8.9069,8.6606,8.7134,783300
1998-11-12,8.7706,8.7706,8.4935,8.6606,640001
1998-11-13,8.6870,8.9641,8.6342,8.8234,1158000
1998-11-16,8.8234,8.9641,8.7442,8.8542,335700
1998-11-17,8.7970,8.8234,8.6606,8.6606,258900
1998-11-18,8.6606,8.6606,8.1944,8.4143,330900
1998-11-19,8.3571,8.4671,8.1372,8.1944,439601
1998-11-20,8.2472,8.3043,8.1944,8.2472,618101
1998-11-23,8.2472,8.5507,8.0272,8.0272,1323101
1998-11-24,8.1372,8.6870,8.1372,8.3307,1233600
1998-11-25,8.3307,8.3307,7.8337,7.9701,342000
1998-11-27,8.0844,8.2472,8.0844,8.2472,82001
1998-11-30,8.1944,8.2472,8.0536,8.1944,402000
1998-12-01,8.1944,8.3043,8.1372,8.1636,486600
1998-12-02,8.2736,8.4143,8.1636,8.1944,671501
1998-12-03,8.2472,8.2472,8.0844,8.0844,549000
1998-12-04,8.1372,8.1372,7.9173,7.9437,214001
1998-12-07,8.0009,8.0272,7.9437,7.9745,401100
1998-12-08,7.9745,8.0272,7.5874,7.7545,655901
1998-12-09,7.7809,7.8073,7.0376,7.5346,2083200
1998-12-10,7.6446,7.6974,7.0948,7.0948,770501
1998-12-11,7.0948,7.5038,7.0376,7.4247,1138500
1998-12-14,7.3939,7.6138,7.3147,7.3411,1167900
1998-12-15,7.4247,7.6138,7.4247,7.6138,292800
1998-12-16,7.6974,8.0272,7.6974,7.9173,574500
1998-12-17,7.8909,7.9437,7.4774,7.5874,934601
1998-12-18,7.5874,7.7545,7.5038,7.5038,514500
1998-12-21,7.5038,7.5610,7.0948,7.2839,794400
1998-12-22,7.2575,7.4510,6.8748,7.0376,1037100
1998-12-23,7.0948,7.1212,6.8177,7.0948,1295801
1998-12-24,7.0948,7.2575,7.0376,7.2047,427901
1998-12-28,7.1739,7.2311,7.0376,7.1739,419201
1998-12-29,7.2311,7.5874,7.2311,7.5346,693600
1998-12-30,7.5874,8.1944,7.5874,8.1372,1011000
1998-12-31,8.1372,8.1636,8.0272,8.1108,218801
1999-01-04,8.2208,8.5771,8.1636,8.4407,451500
1999-01-05,8.5243,8.5771,8.3043,8.3571,1211201
1999-01-06,8.2472,8.4671,8.2472,8.3043,1173401
1999-01-07,8.2472,8.3043,8.1372,8.3043,169500
1999-01-08,8.3571,8.3571,8.3043,8.3307,459300
1999-01-11,8.3307,8.4143,8.1636,8.3043,931601
1999-01-12,8.2736,8.3307,8.0536,8.1108,1659600
1999-01-13,7.9173,8.0272,7.7545,8.0009,666701
1999-01-14,8.0272,8.0272,7.9173,8.0272,112301
1999-01-15,8.0272,8.0272,7.8909,8.0009,577901
1999-01-19,8.1944,8.3307,8.0272,8.3307,449700
1999-01-20,8.3307,8.3307,8.1372,8.2208,422400
1999-01-21,8.1944,8.2208,8.0009,8.2208,1717301
1999-01-22,8.1944,8.3043,8.0272,8.2472,972900
1999-01-25,8.2472,8.3571,8.2208,8.3571,571901
1999-01-26,8.3571,8.5771,8.2208,8.4935,1427501
1999-01-27,8.7970,9.1269,8.7442,9.1269,1247801
1999-01-28,9.1533,9.4304,9.0741,9.2368,1088501
1999-01-29,9.1840,9.2368,8.9641,9.0741,261600
1999-02-01,9.0741,9.1840,9.0741,9.1005,236400
1999-02-02,9.1005,9.1840,8.9905,9.1840,173700
1999-02-03,9.1269,9.4040,9.0169,9.4040,423900
1999-02-04,9.2940,9.7602,9.1840,9.4568,250001
1999-02-05,9.2368,9.3204,8.9641,8.9641,320201
1999-02-08,8.9905,9.0741,8.9069,8.9905,117300
1999-02-09,8.9333,9.0169,8.8542,8.8806,268601
1999-02-10,8.7970,8.7970,7.9173,8.1108,675401
1999-02-11,8.1372,8.3571,8.0844,8.3571,469901
1999-02-12,8.3571,8.3571,8.1372,8.3043,714401
1999-02-16,8.3307,8.3307,7.9745,8.0272,369000
1999-02-17,7.9437,8.0844,7.8645,7.8909,158801
1999-02-18,7.8337,8.1108,7.8337,7.8909,172001
1999-02-19,7.8337,7.8909,7.2575,7.4774,1425101
1999-02-22,7.4510,7.4510,7.0948,7.1212,653400
1999-02-23,7.1212,7.1212,6.7913,6.8177,1666601
1999-02-24,6.9276,7.4774,6.9276,7.2575,1024001
1999-02-25,7.3675,7.4510,7.3147,7.4247,363300
1999-02-26,7.3939,7.6974,7.3675,7.6710,204701
1999-03-01,7.4774,7.6974,7.4510,7.6974,571601
1999-03-02,7.5346,7.5346,7.3675,7.4510,103301
1999-03-03,6.9276,7.3675,6.9276,7.3411,588401
1999-03-04,7.3411,7.4247,7.0376,7.0376,217301
1999-03-05,7.1475,7.3411,7.1212,7.1212,1198601
1999-03-08,7.2311,7.3147,7.1739,7.2311,1569300
1999-03-09,7.2839,7.3147,7.1475,7.1475,127301
1999-03-10,7.1739,7.2575,7.1212,7.2047,315000
1999-03-11,7.2575,7.3147,7.1475,7.1739,185400
1999-03-12,7.1475,7.1739,7.0376,7.0376,289001
1999-03-15,7.0376,7.0640,6.6241,6.6241,616001
1999-03-16,6.5977,6.5977,6.4614,6.4878,849900
1999-03-17,6.4878,6.7913,6.4614,6.7341,1947701
1999-03-18,6.7341,7.0112,6.7077,6.8440,1065401
1999-03-19,6.7913,6.8748,6.7077,6.7649,342300
1999-03-22,6.7649,6.7913,6.6241,6.6241,773201
1999-03-23,6.6549,6.6813,6.3778,6.4878,1235100
1999-03-24,6.4614,6.5450,6.3250,6.4350,696401
1999-03-25,6.5142,6.7077,6.5142,6.6241,716100
1999-03-26,6.5977,6.5977,6.5142,6.5450,628601
1999-03-29,6.5142,6.5977,6.4614,6.5142,961601
1999-03-30,6.5713,6.6813,6.5142,6.5713,903300
1999-03-31,6.6241,7.1212,6.5713,7.1212,555701
1999-04-01,7.1212,7.3675,6.9276,6.9276,339401
1999-04-05,6.9848,7.3675,6.9848,7.1212,340200
