date,open,high,low,close,volume
1970-01-02,0.5561,0.5667,0.5561,0.5667,243200
1970-01-05,0.5667,0.5702,0.5631,0.5650,172800
1970-01-06,0.5650,0.5650,0.5596,0.5631,281600
1970-01-07,0.5631,0.5631,0.5526,0.5561,124800
1970-01-08,0.5561,0.5613,0.5526,0.5526,102400
1970-01-09,0.5526,0.5631,0.5526,0.5561,134400
1970-01-12,0.5561,0.5613,0.5561,0.5596,80000
1970-01-13,0.5561,0.5561,0.5403,0.5403,608000
1970-01-14,0.5385,0.5385,0.5015,0.5050,745600
1970-01-15,0.5015,0.5015,0.4787,0.4857,694400
1970-01-16,0.4822,0.4822,0.4716,0.4805,700800
1970-01-19,0.4787,0.4787,0.4646,0.4646,473600
1970-01-20,0.4646,0.4646,0.4470,0.4611,912000
1970-01-21,0.4611,0.4768,0.4559,0.4733,512000
1970-01-22,0.4733,0.4927,0.4716,0.4892,457600
1970-01-23,0.4892,0.4927,0.4733,0.4733,387200
1970-01-26,0.4733,0.4787,0.4559,0.4787,528000
1970-01-27,0.4787,0.4822,0.4664,0.4768,700800
1970-01-28,0.4768,0.4963,0.4768,0.4787,457600
1970-01-29,0.4787,0.4787,0.4646,0.4787,982400
1970-01-30,0.4768,0.4768,0.4611,0.4628,272000
1970-02-02,0.4646,0.4787,0.4646,0.4768,275200
1970-02-03,0.4768,0.4787,0.4575,0.4628,515200
1970-02-04,0.4628,0.4646,0.4505,0.4505,492800
1970-02-05,0.4505,0.4505,0.4452,0.4487,160000
1970-02-06,0.4470,0.4470,0.4329,0.4399,633600
1970-02-09,0.4399,0.4399,0.4259,0.4259,406400
1970-02-10,0.4259,0.4311,0.4101,0.4101,652800
1970-02-11,0.4101,0.4418,0.4083,0.4329,873600
1970-02-12,0.4329,0.4329,0.4223,0.4329,1296000
1970-02-13,0.4329,0.4364,0.4223,0.4294,608000
1970-02-16,0.4294,0.4329,0.4223,0.4223,924800
1970-02-17,0.4223,0.4277,0.4188,0.4259,755200
1970-02-18,0.4259,0.4364,0.4242,0.4364,1075200
1970-02-19,0.4505,0.4787,0.4505,0.4611,992000
1970-02-20,0.4611,0.4699,0.4575,0.4699,1177600
1970-02-24,0.4699,0.4751,0.4664,0.4733,841600
1970-02-25,0.4822,0.5279,0.4822,0.5209,2160000
1970-02-26,0.5191,0.5191,0.4963,0.5174,828800
1970-02-27,0.5244,0.5403,0.5244,0.5315,1897600
1970-03-02,0.5315,0.5385,0.5015,0.5050,1737600
1970-03-03,0.5050,0.5174,0.5050,0.5139,464000
1970-03-04,0.5139,0.5209,0.5122,0.5122,620800
1970-03-05,0.5174,0.5209,0.5174,0.5191,396800
1970-03-06,0.5191,0.5191,0.5103,0.5122,880000
1970-03-09,0.5122,0.5155,0.5015,0.5033,361600
1970-03-10,0.4998,0.4998,0.4822,0.4892,563200
1970-03-11,0.4892,0.4892,0.4805,0.4857,313600
1970-03-12,0.4857,0.4874,0.4805,0.4805,227200
1970-03-13,0.4857,0.4963,0.4857,0.4857,441600
1970-03-16,0.4909,0.5033,0.4909,0.4998,316800
1970-03-17,0.4998,0.5122,0.4927,0.5068,556800
1970-03-18,0.5068,0.5068,0.4946,0.4946,230400
1970-03-19,0.4946,0.4963,0.4874,0.4909,227200
1970-03-20,0.4909,0.4963,0.4805,0.4840,140800
1970-03-23,0.4840,0.4927,0.4787,0.4927,230400
1970-03-24,0.4927,0.4998,0.4874,0.4998,448000
1970-03-25,0.4998,0.5209,0.4981,0.5174,1049600
1970-03-26,0.5174,0.5191,0.5103,0.5103,281600
1970-03-30,0.5103,0.5174,0.5068,0.5103,710400
1970-03-31,0.5103,0.5103,0.5050,0.5068,204800
1970-04-01,0.5068,0.5122,0.5033,0.5103,560000
1970-04-02,0.5103,0.5139,0.4998,0.4998,364800
1970-04-03,0.4998,0.5122,0.4981,0.5033,371200
1970-04-06,0.5033,0.5068,0.4998,0.4998,108800
1970-04-07,0.4998,0.5068,0.4927,0.5050,201600
1970-04-08,0.5050,0.5068,0.5015,0.5068,249600
1970-04-09,0.5068,0.5122,0.5050,0.5103,272000
1970-04-10,0.5103,0.5103,0.4927,0.4963,128000
1970-04-13,0.4946,0.4946,0.4840,0.4927,201600
1970-04-14,0.4874,0.4874,0.4805,0.4822,326400
1970-04-15,0.4822,0.4892,0.4787,0.4857,211200
1970-04-16,0.4840,0.4840,0.4768,0.4805,144000
1970-04-17,0.4805,0.4909,0.4768,0.4892,300800
1970-04-20,0.4892,0.4927,0.4787,0.4874,201600
1970-04-21,0.4874,0.4892,0.4822,0.4822,192000
1970-04-22,0.4822,0.4874,0.4787,0.4787,182400
1970-04-23,0.4751,0.4751,0.4559,0.4559,377600
1970-04-24,0.4559,0.4592,0.4452,0.4505,419200
1970-04-27,0.4505,0.4505,0.4294,0.4294,240000
1970-04-28,0.4259,0.4259,0.4153,0.4205,1328000
1970-04-29,0.4205,0.4294,0.4170,0.4277,982400
1970-04-30,0.4277,0.4311,0.4223,0.4223,576000
1970-05-01,0.4223,0.4294,0.4223,0.4294,451200
1970-05-04,0.4259,0.4259,0.4012,0.4012,921600
1970-05-05,0.4048,0.4277,0.4048,0.4188,259200
1970-05-06,0.4188,0.4277,0.4118,0.4188,982400
1970-05-07,0.4188,0.4277,0.4188,0.4259,275200
1970-05-08,0.4259,0.4259,0.4205,0.4223,249600
1970-05-11,0.4223,0.4223,0.4048,0.4101,355200
1970-05-12,0.4064,0.4064,0.3942,0.3995,777600
1970-05-13,0.3995,0.4012,0.3836,0.3942,700800
1970-05-14,0.3942,0.3960,0.3748,0.3960,460800
1970-05-15,0.3960,0.4329,0.3888,0.4329,940800
1970-05-18,0.4329,0.4346,0.4188,0.4329,294400
1970-05-19,0.4294,0.4294,0.4153,0.4153,224000
1970-05-20,0.4153,0.4205,0.4029,0.4101,262400
1970-05-21,0.4101,0.4118,0.3855,0.3977,515200
1970-05-22,0.3977,0.4223,0.3960,0.3960,438400
1970-05-25,0.3907,0.3907,0.3801,0.3836,406400
1970-05-26,0.3836,0.4012,0.3801,0.3801,700800
1970-05-27,0.3801,0.4118,0.3801,0.4029,617600
1970-05-28,0.4029,0.4294,0.3995,0.4205,563200
1970-05-29,0.4205,0.4205,0.4101,0.4205,553600
1970-06-01,0.4223,0.4470,0.4223,0.4435,1152000
1970-06-02,0.4435,0.4505,0.4223,0.4223,598400
1970-06-03,0.4223,0.4223,0.4083,0.4205,646400
1970-06-04,0.4205,0.4259,0.4153,0.4153,412800
1970-06-05,0.4153,0.4153,0.4048,0.4064,329600
1970-06-08,0.4064,0.4118,0.4012,0.4101,236800
1970-06-09,0.4101,0.4118,0.4048,0.4118,204800
1970-06-10,0.4064,0.4064,0.4012,0.4048,368000
1970-06-11,0.4012,0.4012,0.3872,0.3872,153600
1970-06-12,0.3855,0.3855,0.3731,0.3748,710400
1970-06-15,0.3748,0.3872,0.3714,0.3783,659200
1970-06-16,0.3819,0.3924,0.3819,0.3888,726400
1970-06-17,0.3907,0.4029,0.3907,0.3924,726400
1970-06-18,0.3924,0.4153,0.3907,0.4118,329600
1970-06-19,0.4118,0.4188,0.4048,0.4153,419200
1970-06-22,0.4136,0.4136,0.3995,0.4029,348800
1970-06-23,0.4029,0.4118,0.3942,0.3977,326400
1970-06-24,0.3942,0.3942,0.3819,0.3819,396800
1970-06-25,0.3819,0.3888,0.3783,0.3801,211200
1970-06-26,0.3801,0.3907,0.3801,0.3801,96000
1970-06-29,0.3801,0.3801,0.3731,0.3731,294400
1970-06-30,0.3731,0.3766,0.3625,0.3625,246400
1970-07-01,0.3607,0.3607,0.3590,0.3590,524800
1970-07-02,0.3590,0.3696,0.3590,0.3660,377600
1970-07-06,0.3625,0.3625,0.3449,0.3466,403200
1970-07-07,0.3466,0.3501,0.3379,0.3379,259200
1970-07-08,0.3379,0.3501,0.3325,0.3501,326400
1970-07-09,0.3555,0.3748,0.3555,0.3660,486400
1970-07-10,0.3660,0.3766,0.3590,0.3679,150400
1970-07-13,0.3679,0.3714,0.3590,0.3660,176000
1970-07-14,0.3660,0.3731,0.3590,0.3731,364800
1970-07-15,0.3819,0.4048,0.3819,0.4029,723200
1970-07-16,0.4048,0.4170,0.4048,0.4118,496000
1970-07-17,0.4136,0.4277,0.4136,0.4242,396800
1970-07-20,0.4242,0.4470,0.4223,0.4364,844800
1970-07-21,0.4364,0.4418,0.4259,0.4277,371200
1970-07-22,0.4277,0.4487,0.4259,0.4364,348800
1970-07-23,0.4364,0.4470,0.4311,0.4383,176000
1970-07-24,0.4383,0.4435,0.4294,0.4364,288000
1970-07-27,0.4364,0.4487,0.4364,0.4487,272000
1970-07-28,0.4470,0.4470,0.4364,0.4364,204800
1970-07-29,0.4364,0.4487,0.4329,0.4329,233600
1970-07-30,0.4329,0.4383,0.4277,0.4277,172800
1970-07-31,0.4277,0.4329,0.4242,0.4294,179200
1970-08-03,0.4242,0.4242,0.4153,0.4153,137600
1970-08-04,0.4153,0.4223,0.4064,0.4188,291200
1970-08-05,0.4188,0.4294,0.4083,0.4083,390400
1970-08-06,0.4064,0.4064,0.3977,0.4012,368000
1970-08-07,0.4012,0.4048,0.3942,0.3942,243200
1970-08-10,0.3942,0.3942,0.3731,0.3924,422400
1970-08-11,0.3924,0.3995,0.3907,0.3995,400000
1970-08-12,0.3995,0.4012,0.3942,0.3977,153600
1970-08-13,0.3977,0.3977,0.3888,0.3942,204800
1970-08-14,0.3977,0.4136,0.3977,0.4136,518400
1970-08-17,0.4083,0.4083,0.4012,0.4048,342400
1970-08-18,0.4170,0.4259,0.4170,0.4259,476800
1970-08-19,0.4259,0.4399,0.4259,0.4346,1532800
1970-08-20,0.4329,0.4329,0.4188,0.4311,652800
1970-08-21,0.4311,0.4364,0.4242,0.4364,681600
1970-08-24,0.4505,0.4840,0.4505,0.4787,1132800
1970-08-25,0.4787,0.4787,0.4699,0.4733,448000
1970-08-26,0.4733,0.4822,0.4699,0.4716,233600
1970-08-27,0.4716,0.4733,0.4575,0.4628,243200
1970-08-28,0.4646,0.4927,0.4646,0.4822,812800
1970-08-31,0.4822,0.4857,0.4751,0.4857,502400
1970-09-01,0.4857,0.4892,0.4646,0.4716,582400
1970-09-02,0.4699,0.4699,0.4681,0.4681,217600
1970-09-03,0.4681,0.4768,0.4559,0.4559,566400
1970-09-04,0.4592,0.4840,0.4592,0.4805,992000
1970-09-08,0.4805,0.5033,0.4751,0.4981,1078400
1970-09-09,0.4981,0.5015,0.4874,0.4909,355200
1970-09-10,0.4840,0.4840,0.4768,0.4787,428800
1970-09-11,0.4787,0.4857,0.4768,0.4857,220800
1970-09-14,0.4840,0.4840,0.4787,0.4822,198400
1970-09-15,0.4787,0.4787,0.4716,0.4768,2432000
1970-09-16,0.4768,0.4857,0.4716,0.4857,316800
1970-09-17,0.4857,0.5033,0.4857,0.4892,457600
1970-09-18,0.4892,0.4981,0.4857,0.4946,198400
1970-09-21,0.4946,0.4946,0.4874,0.4909,339200
1970-09-22,0.4874,0.4874,0.4699,0.4787,224000
1970-09-23,0.4787,0.4909,0.4733,0.4909,262400
1970-09-24,0.4909,0.5244,0.4892,0.5209,1091200
1970-09-25,0.5227,0.5296,0.5227,0.5244,537600
1970-09-28,0.5244,0.5262,0.5015,0.5227,860800
1970-09-29,0.5227,0.5244,0.5155,0.5227,384000
1970-09-30,0.5209,0.5209,0.5103,0.5139,489600
1970-10-01,0.5068,0.5068,0.5015,0.5015,460800
1970-10-02,0.4963,0.4963,0.4716,0.4857,2108800
1970-10-05,0.4927,0.5122,0.4927,0.5103,1353600
1970-10-06,0.5103,0.5139,0.4874,0.4874,563200
1970-10-07,0.4874,0.4909,0.4751,0.4909,828800
1970-10-08,0.4909,0.5015,0.4733,0.4874,544000
1970-10-09,0.4840,0.4840,0.4733,0.4787,364800
1970-10-12,0.4787,0.4840,0.4768,0.4805,224000
1970-10-13,0.4805,0.4822,0.4787,0.4787,163200
1970-10-14,0.4787,0.4822,0.4733,0.4787,329600
1970-10-15,0.4805,0.5033,0.4805,0.4998,844800
1970-10-16,0.4998,0.5103,0.4998,0.5015,416000
1970-10-19,0.5015,0.5015,0.4840,0.4840,332800
1970-10-20,0.4840,0.4927,0.4751,0.4874,336000
1970-10-21,0.4892,0.4998,0.4892,0.4927,678400
1970-10-22,0.4927,0.4981,0.4822,0.4822,268800
1970-10-23,0.4822,0.4857,0.4787,0.4787,195200
1970-10-26,0.4787,0.4805,0.4733,0.4787,409600
1970-10-27,0.4768,0.4768,0.4716,0.4733,220800
1970-10-28,0.4716,0.4716,0.4575,0.4646,332800
1970-10-29,0.4646,0.4699,0.4575,0.4664,147200
1970-10-30,0.4664,0.4681,0.4592,0.4681,236800
1970-11-02,0.4681,0.4787,0.4664,0.4787,160000
1970-11-03,0.4768,0.4768,0.4716,0.4733,163200
1970-11-04,0.4733,0.4787,0.4681,0.4681,288000
1970-11-05,0.4664,0.4664,0.4611,0.4646,2329600
1970-11-06,0.4646,0.4664,0.4540,0.4559,262400
1970-11-09,0.4559,0.4611,0.4540,0.4540,345600
1970-11-10,0.4364,0.4364,0.4277,0.4294,704000
1970-11-11,0.4294,0.4294,0.4223,0.4259,912000
1970-11-12,0.4259,0.4294,0.4223,0.4259,310400
1970-11-13,0.4259,0.4277,0.4188,0.4259,588800
1970-11-16,0.4223,0.4223,0.4153,0.4223,291200
1970-11-17,0.4223,0.4223,0.4170,0.4188,128000
1970-11-18,0.4188,0.4223,0.4083,0.4083,227200
1970-11-19,0.4064,0.4064,0.3960,0.4064,342400
1970-11-20,0.4064,0.4083,0.3977,0.4048,118400
1970-11-23,0.4048,0.4223,0.4029,0.4188,304000
1970-11-24,0.4188,0.4205,0.4118,0.4188,201600
1970-11-25,0.4188,0.4223,0.4170,0.4205,112000
1970-11-27,0.4205,0.4223,0.4170,0.4223,118400
1970-11-30,0.4223,0.4559,0.4188,0.4505,1548800
1970-12-01,0.4523,0.4822,0.4523,0.4575,806400
1970-12-02,0.4575,0.4611,0.4435,0.4505,480000
1970-12-03,0.4575,0.4716,0.4575,0.4681,918400
1970-12-04,0.4646,0.4646,0.4470,0.4646,921600
1970-12-07,0.4646,0.4716,0.4540,0.4575,291200
1970-12-08,0.4575,0.4592,0.4505,0.4540,246400
1970-12-09,0.4592,0.4681,0.4592,0.4681,371200
1970-12-10,0.4681,0.4716,0.4646,0.4681,748800
1970-12-11,0.4733,0.4927,0.4733,0.4927,1113600
1970-12-14,0.4927,0.4963,0.4892,0.4927,572800
1970-12-15,0.4927,0.4927,0.4857,0.4927,432000
1970-12-16,0.4892,0.4892,0.4733,0.4787,345600
1970-12-17,0.4787,0.4909,0.4768,0.4822,371200
1970-12-18,0.4822,0.4822,0.4681,0.4699,364800
1970-12-21,0.4699,0.4787,0.4575,0.4611,505600
1970-12-22,0.4611,0.4646,0.4592,0.4646,153600
1970-12-23,0.4628,0.4628,0.4540,0.4540,278400
1970-12-24,0.4540,0.4575,0.4470,0.4540,249600
1970-12-28,0.4559,0.4681,0.4559,0.4575,470400
1970-12-29,0.4611,0.4857,0.4611,0.4822,1340800
1970-12-30,0.4822,0.4892,0.4787,0.4857,396800
1970-12-31,0.4857,0.4857,0.4699,0.4751,307200
1971-01-04,0.4751,0.4787,0.4716,0.4733,83200
1971-01-05,0.4733,0.4874,0.4699,0.4857,387200
1971-01-06,0.4857,0.4981,0.4822,0.4981,947200
1971-01-07,0.4981,0.4998,0.4874,0.4927,313600
1971-01-08,0.4927,0.4998,0.4909,0.4927,195200
1971-01-11,0.4927,0.4998,0.4892,0.4998,521600
1971-01-12,0.5033,0.5191,0.5033,0.5139,1360000
1971-01-13,0.5155,0.5350,0.5155,0.5279,1331200
1971-01-14,0.5279,0.5526,0.5279,0.5526,953600
1971-01-15,0.5526,0.5561,0.5403,0.5526,748800
1971-01-18,0.5491,0.5491,0.5420,0.5437,713600
1971-01-19,0.5385,0.5385,0.5315,0.5350,912000
1971-01-20,0.5350,0.5350,0.5279,0.5331,201600
1971-01-21,0.5331,0.5420,0.5279,0.5403,236800
1971-01-22,0.5403,0.5455,0.5315,0.5331,499200
1971-01-25,0.5331,0.5331,0.5244,0.5279,294400
1971-01-26,0.5279,0.5350,0.5262,0.5331,720000
1971-01-27,0.5331,0.5331,0.5244,0.5279,400000
1971-01-28,0.5279,0.5296,0.5068,0.5068,796800
1971-01-29,0.5068,0.5174,0.5015,0.5122,819200
1971-02-01,0.5139,0.5244,0.5139,0.5227,492800
1971-02-02,0.5227,0.5244,0.5086,0.5103,793600
1971-02-03,0.5103,0.5139,0.5015,0.5086,966400
1971-02-04,0.5086,0.5227,0.5050,0.5086,1251200
1971-02-05,0.5086,0.5315,0.5068,0.5315,2105600
1971-02-08,0.5315,0.5455,0.5296,0.5385,1667200
1971-02-09,0.5385,0.5437,0.5368,0.5403,1868800
1971-02-10,0.5315,0.5315,0.5174,0.5296,1536000
1971-02-11,0.5296,0.5315,0.5244,0.5315,576000
1971-02-12,0.5315,0.5315,0.5209,0.5209,387200
1971-02-16,0.5209,0.5296,0.5209,0.5209,611200
1971-02-17,0.5209,0.5315,0.5122,0.5244,1075200
1971-02-18,0.5209,0.5209,0.5122,0.5122,828800
1971-02-19,0.5122,0.5191,0.5122,0.5139,380800
1971-02-22,0.5122,0.5122,0.5015,0.5050,1398400
1971-02-23,0.5050,0.5122,0.5033,0.5033,288000
1971-02-24,0.5139,0.5315,0.5139,0.5262,1888000
1971-02-25,0.5262,0.5296,0.5103,0.5209,291200
1971-02-26,0.5209,0.5262,0.5103,0.5139,473600
1971-03-01,0.5139,0.5155,0.5068,0.5068,307200
1971-03-02,0.5068,0.5122,0.4998,0.5033,284800
1971-03-03,0.5033,0.5068,0.4787,0.4805,816000
1971-03-04,0.4805,0.4927,0.4699,0.4927,896000
1971-03-05,0.4927,0.4998,0.4787,0.4840,2889600
1971-03-08,0.4963,0.5033,0.4963,0.4998,550400
1971-03-09,0.5068,0.5227,0.5068,0.5209,534400
1971-03-10,0.5227,0.5350,0.5227,0.5350,729600
1971-03-11,0.5368,0.5526,0.5368,0.5455,1728000
1971-03-12,0.5455,0.5472,0.5244,0.5244,556800
1971-03-15,0.5262,0.5403,0.5262,0.5385,1171200
1971-03-16,0.5385,0.5491,0.5385,0.5437,1366400
1971-03-17,0.5437,0.5526,0.5385,0.5526,1097600
1971-03-18,0.5526,0.5544,0.5491,0.5509,848000
1971-03-19,0.5509,0.5526,0.5385,0.5491,1302400
1971-03-22,0.5491,0.5509,0.5420,0.5472,956800
1971-03-23,0.5472,0.5807,0.5420,0.5685,11875200
1971-03-24,0.5685,0.5719,0.5613,0.5650,886400
1971-03-25,0.5650,0.5650,0.5578,0.5631,566400
1971-03-26,0.5631,0.5685,0.5613,0.5667,467200
1971-03-29,0.5702,0.5754,0.5702,0.5737,1206400
1971-03-30,0.5737,0.5807,0.5631,0.5631,4144000
1971-03-31,0.5613,0.5613,0.5544,0.5578,518400
1971-04-01,0.5596,0.5685,0.5596,0.5631,332800
1971-04-02,0.5631,0.5631,0.5420,0.5420,828800
1971-04-05,0.5420,0.5420,0.5368,0.5368,432000
1971-04-06,0.5368,0.5509,0.5350,0.5350,550400
1971-04-07,0.5350,0.5509,0.5350,0.5437,6278400
1971-04-08,0.5437,0.5650,0.5437,0.5631,694400
1971-04-12,0.5631,0.5667,0.5491,0.5526,700800
1971-04-13,0.5526,0.5561,0.5350,0.5509,636800
1971-04-14,0.5509,0.5526,0.5385,0.5472,582400
1971-04-15,0.5491,0.5650,0.5491,0.5561,640000
1971-04-16,0.5561,0.5561,0.5455,0.5491,432000
1971-04-19,0.5491,0.5613,0.5491,0.5491,460800
1971-04-20,0.5491,0.5578,0.5437,0.5578,672000
1971-04-21,0.5578,0.5859,0.5561,0.5807,7084800
1971-04-22,0.5807,0.5859,0.5702,0.5859,707200
1971-04-23,0.5859,0.6000,0.5859,0.5983,656000
1971-04-26,0.5983,0.6213,0.5983,0.6194,963200
1971-04-27,0.6194,0.6265,0.6141,0.6176,800000
1971-04-28,0.6176,0.6194,0.6089,0.6194,406400
1971-04-29,0.6194,0.6265,0.6159,0.6248,761600
1971-04-30,0.6213,0.6213,0.6124,0.6141,1132800
1971-05-03,0.6054,0.6054,0.5702,0.5737,995200
1971-05-04,0.5772,0.6089,0.5772,0.6054,892800
1971-05-05,0.6018,0.6018,0.5931,0.5931,518400
1971-05-06,0.5931,0.6054,0.5931,0.5983,646400
1971-05-07,0.5983,0.6018,0.5913,0.5983,476800
1971-05-10,0.5983,0.6054,0.5859,0.6018,412800
1971-05-11,0.6018,0.6089,0.5895,0.6089,764800
1971-05-12,0.6089,0.6124,0.6054,0.6089,265600
1971-05-13,0.6089,0.6230,0.6054,0.6230,1984000
1971-05-14,0.6265,0.6335,0.6265,0.6335,1462400
1971-05-17,0.6335,0.6354,0.5983,0.6054,1657600
