date,open,high,low,close,volume
1987-12-30,0.7765,0.7765,0.7601,0.7656,857600
1987-12-31,0.7656,0.7710,0.7601,0.7710,1257600
1988-01-04,0.7682,0.8010,0.7682,0.7984,553600
1988-01-05,0.7984,0.8176,0.7984,0.8148,1577600
1988-01-06,0.8202,0.8202,0.8148,0.8176,163200
1988-01-07,0.8093,0.8257,0.8093,0.8257,870400
1988-01-08,0.8229,0.8338,0.8229,0.8229,499200
1988-01-11,0.8176,0.8176,0.8038,0.8067,1292800
1988-01-12,0.8038,0.8038,0.7929,0.7957,1104000
1988-01-13,0.7957,0.7957,0.7957,0.7957,60800
1988-01-14,0.7957,0.7957,0.7957,0.7957,25600
1988-01-15,0.8010,0.8202,0.8010,0.8202,1116800
1988-01-18,0.8257,0.8257,0.8202,0.8202,92800
1988-01-19,0.8148,0.8202,0.8148,0.8202,329600
1988-01-20,0.8202,0.8202,0.8148,0.8148,115200
1988-01-21,0.8093,0.8202,0.8093,0.8176,428800
1988-01-22,0.8202,0.8421,0.8202,0.8421,745600
1988-01-25,0.8531,0.8585,0.8531,0.8531,352000
1988-01-26,0.8531,0.8531,0.8447,0.8476,192000
1988-01-27,0.8504,0.8504,0.8338,0.8338,560000
1988-01-28,0.8312,0.8421,0.8312,0.8367,224000
1988-01-29,0.8312,0.8421,0.8312,0.8395,707200
1988-02-01,0.8395,0.8476,0.8395,0.8476,102400
1988-02-02,0.8531,0.8557,0.8476,0.8557,400000
1988-02-03,0.8531,0.8531,0.8421,0.8476,556800
1988-02-04,0.8476,0.8531,0.8447,0.8504,912000
1988-02-05,0.8476,0.8504,0.8447,0.8447,54400
1988-02-08,0.8447,0.8447,0.8447,0.8447,64000
1988-02-09,0.8447,0.8476,0.8447,0.8447,128000
1988-02-10,0.8447,0.8531,0.8447,0.8447,227200
1988-02-11,0.8447,0.8557,0.8421,0.8557,268800
1988-02-12,0.8504,0.8557,0.8504,0.8557,198400
1988-02-16,0.8531,0.8695,0.8531,0.8695,252800
1988-02-17,0.8640,0.8695,0.8640,0.8666,540800
1988-02-18,0.8666,0.8723,0.8666,0.8695,323200
1988-02-19,0.8695,0.8804,0.8695,0.8776,409600
1988-02-22,0.8804,0.8859,0.8776,0.8859,83200
1988-02-23,0.8885,0.8913,0.8859,0.8885,332800
1988-02-24,0.8913,0.9023,0.8913,0.8968,89600
1988-02-25,0.9023,0.9023,0.9023,0.9023,54400
1988-02-26,0.9077,0.9077,0.8968,0.9051,284800
1988-02-29,0.9025,0.9025,0.8944,0.9025,486400
1988-03-01,0.8999,0.9053,0.8999,0.8999,163200
1988-03-02,0.8999,0.9218,0.8999,0.9218,1088000
1988-03-03,0.9244,0.9328,0.9218,0.9328,195200
1988-03-04,0.9328,0.9354,0.9301,0.9301,22400
1988-03-07,0.9328,0.9438,0.9301,0.9438,83200
1988-03-08,0.9574,0.9712,0.9574,0.9712,185600
1988-03-09,0.9767,0.9876,0.9767,0.9876,268800
1988-03-10,0.9876,0.9931,0.9876,0.9903,528000
1988-03-11,0.9876,1.0070,0.9876,1.0070,854400
1988-03-14,1.0041,1.0151,0.9986,1.0122,297600
1988-03-15,1.0179,1.0261,1.0122,1.0122,307200
1988-03-16,1.0122,1.0206,1.0122,1.0206,377600
1988-03-17,1.0232,1.0232,1.0232,1.0232,358400
1988-03-18,1.0261,1.0289,1.0232,1.0232,150400
1988-03-21,1.0289,1.0315,1.0179,1.0206,1884800
1988-03-22,1.0261,1.0261,1.0041,1.0096,1142400
1988-03-23,1.0096,1.0179,1.0096,1.0179,150400
1988-03-24,1.0122,1.0122,1.0096,1.0096,201600
1988-03-25,1.0041,1.0041,0.9850,0.9850,972800
1988-03-28,0.9793,0.9903,0.9793,0.9822,572800
1988-03-29,0.9876,0.9876,0.9793,0.9822,323200
1988-03-30,0.9850,0.9850,0.9740,0.9767,649600
1988-03-31,0.9712,0.9740,0.9657,0.9683,835200
1988-04-04,0.9657,0.9657,0.9602,0.9631,89600
1988-04-05,0.9657,0.9657,0.9631,0.9631,329600
1988-04-06,0.9631,0.9712,0.9602,0.9712,272000
1988-04-07,0.9767,0.9822,0.9767,0.9767,601600
1988-04-08,0.9712,0.9822,0.9712,0.9822,377600
1988-04-11,0.9876,0.9986,0.9822,0.9986,508800
1988-04-12,1.0041,1.0096,0.9986,0.9986,371200
1988-04-13,1.0041,1.0070,0.9986,0.9986,227200
1988-04-14,0.9931,0.9931,0.9574,0.9574,790400
1988-04-15,0.9574,0.9574,0.9438,0.9492,1379200
1988-04-18,0.9492,0.9602,0.9492,0.9602,752000
1988-04-19,0.9657,0.9931,0.9657,0.9931,1059200
1988-04-20,0.9960,1.0096,0.9876,0.9876,1177600
1988-04-21,0.9876,0.9903,0.9822,0.9822,556800
1988-04-22,0.9822,0.9822,0.9767,0.9767,544000
1988-04-25,0.9822,0.9850,0.9793,0.9822,425600
1988-04-26,0.9850,0.9850,0.9822,0.9822,361600
1988-04-27,0.9850,0.9876,0.9822,0.9822,601600
1988-04-28,0.9767,0.9767,0.9657,0.9657,409600
1988-04-29,0.9683,0.9683,0.9602,0.9683,838400
1988-05-02,0.9657,0.9657,0.9631,0.9631,16000
1988-05-03,0.9574,0.9602,0.9574,0.9602,323200
1988-05-04,0.9574,0.9602,0.9547,0.9574,291200
1988-05-05,0.9521,0.9574,0.9492,0.9547,176000
1988-05-06,0.9492,0.9492,0.9438,0.9438,528000
1988-05-09,0.9438,0.9521,0.9438,0.9521,153600
1988-05-10,0.9492,0.9574,0.9492,0.9574,86400
1988-05-11,0.9521,0.9521,0.9383,0.9383,1734400
1988-05-12,0.9383,0.9411,0.9383,0.9383,179200
1988-05-13,0.9411,0.9438,0.9411,0.9438,102400
1988-05-16,0.9438,0.9438,0.9411,0.9438,454400
1988-05-17,0.9438,0.9438,0.9354,0.9354,160000
1988-05-18,0.9383,0.9438,0.9354,0.9438,57600
1988-05-19,0.9383,0.9411,0.9383,0.9411,214400
1988-05-20,0.9411,0.9411,0.9411,0.9411,256000
1988-05-23,0.9354,0.9354,0.9244,0.9273,211200
1988-05-24,0.9301,0.9383,0.9301,0.9383,38400
1988-05-25,0.9411,0.9438,0.9411,0.9438,364800
1988-05-26,0.9411,0.9411,0.9383,0.9383,134400
1988-05-27,0.9359,0.9385,0.9275,0.9304,496000
1988-05-31,0.9359,0.9414,0.9304,0.9385,83200
1988-06-01,0.9495,0.9579,0.9469,0.9579,444800
1988-06-02,0.9524,0.9605,0.9495,0.9495,220800
1988-06-03,0.9552,0.9579,0.9495,0.9495,201600
1988-06-06,0.9552,0.9634,0.9552,0.9634,329600
1988-06-07,0.9579,0.9689,0.9579,0.9689,230400
1988-06-08,0.9689,0.9799,0.9689,0.9799,220800
1988-06-09,0.9854,1.0074,0.9854,0.9909,579200
1988-06-10,0.9964,1.0213,0.9964,1.0213,182400
1988-06-13,1.0129,1.0129,1.0103,1.0129,563200
1988-06-14,1.0156,1.0184,1.0156,1.0184,1424000
1988-06-15,1.0184,1.0213,1.0156,1.0184,438400
1988-06-16,1.0213,1.0213,1.0103,1.0103,451200
1988-06-17,1.0156,1.0184,1.0129,1.0129,185600
1988-06-20,1.0129,1.0129,1.0129,1.0129,608000
1988-06-21,1.0129,1.0156,1.0129,1.0129,44800
1988-06-22,1.0156,1.0213,1.0156,1.0213,105600
1988-06-23,1.0240,1.0240,1.0184,1.0213,268800
1988-06-24,1.0184,1.0213,1.0184,1.0213,163200
1988-06-27,1.0240,1.0295,1.0240,1.0266,310400
1988-06-28,1.0240,1.0240,1.0240,1.0240,35200
1988-06-29,1.0295,1.0295,1.0240,1.0240,201600
1988-06-30,1.0240,1.0323,1.0240,1.0323,272000
1988-07-01,1.0350,1.0405,1.0323,1.0376,243200
1988-07-05,1.0350,1.0350,1.0240,1.0240,179200
