date,open,high,low,close,volume
1985-07-01,0.8914,0.9003,0.8914,0.8975,218400
1985-07-02,0.8975,0.8975,0.8827,0.8827,760800
1985-07-03,0.8827,0.9092,0.8535,0.8652,921600
1985-07-05,0.8652,0.8652,0.8594,0.8652,1701600
1985-07-08,0.8652,0.8769,0.8624,0.8769,1008000
1985-07-09,0.8769,0.8797,0.8741,0.8797,751200
1985-07-10,0.8797,0.8886,0.8741,0.8886,688800
1985-07-11,0.8886,0.9120,0.8827,0.9061,600000
1985-07-12,0.9061,0.9178,0.9061,0.9120,693600
1985-07-15,0.9120,0.9148,0.8944,0.8975,326400
1985-07-16,0.8975,0.9061,0.8914,0.8944,1449600
1985-07-17,0.8944,0.9061,0.8886,0.9061,1156800
1985-07-18,0.9061,0.9120,0.9003,0.9061,566400
1985-07-19,0.9061,0.9209,0.9061,0.9120,568800
1985-07-22,0.9148,0.9265,0.9148,0.9209,302400
1985-07-23,0.9209,0.9237,0.9120,0.9120,276000
1985-07-24,0.9120,0.9354,0.9061,0.9237,912000
1985-07-25,0.9237,0.9325,0.9061,0.9120,1437600
1985-07-26,0.9120,0.9209,0.9120,0.9178,331200
1985-07-29,0.9178,0.9237,0.9120,0.9237,780000
1985-07-30,0.9237,0.9265,0.9148,0.9209,1087200
1985-07-31,0.9209,0.9265,0.9148,0.9148,271200
1985-08-01,0.9148,0.9237,0.9148,0.9237,559200
1985-08-02,0.9237,0.9237,0.9178,0.9178,244800
1985-08-05,0.9178,0.9209,0.9031,0.9061,458400
1985-08-06,0.9061,0.9148,0.8975,0.9031,885600
1985-08-07,0.9003,0.9003,0.8858,0.8858,576000
1985-08-08,0.8858,0.9031,0.8858,0.9031,312000
1985-08-09,0.9031,0.9237,0.9003,0.9178,528000
1985-08-12,0.9178,0.9209,0.9148,0.9178,86400
1985-08-13,0.9178,0.9178,0.9120,0.9148,261600
1985-08-14,0.9148,0.9178,0.9120,0.9178,448800
1985-08-15,0.9178,0.9209,0.9120,0.9120,1226400
1985-08-16,0.9120,0.9178,0.9061,0.9061,177600
1985-08-19,0.9031,0.9031,0.8710,0.8710,1065600
1985-08-20,0.8710,0.8944,0.8710,0.8886,2503200
1985-08-21,0.8886,0.8886,0.8827,0.8886,343200
1985-08-22,0.8886,0.9003,0.8827,0.8914,753600
1985-08-23,0.8858,0.8858,0.8797,0.8797,374400
1985-08-26,0.8797,0.8858,0.8769,0.8769,372000
1985-08-27,0.8769,0.8827,0.8769,0.8797,588000
1985-08-28,0.8797,0.8827,0.8797,0.8827,876000
1985-08-29,0.8797,0.8797,0.8769,0.8769,835200
1985-08-30,0.8769,0.8797,0.8680,0.8710,436800
1985-09-03,0.8710,0.8769,0.8624,0.8741,823200
1985-09-04,0.8741,0.8769,0.8680,0.8741,266400
1985-09-05,0.8741,0.8827,0.8680,0.8769,1488000
1985-09-06,0.8769,0.8769,0.8680,0.8710,372000
1985-09-09,0.8710,0.8769,0.8680,0.8769,592800
1985-09-10,0.8769,0.8769,0.8418,0.8477,288000
1985-09-11,0.8477,0.8507,0.8184,0.8301,403200
1985-09-12,0.8301,0.8360,0.7775,0.7834,770400
1985-09-13,0.7834,0.8126,0.7834,0.8126,1804800
1985-09-16,0.8184,0.8390,0.8184,0.8329,2839200
