date,open,high,low,close,volume
1981-12-31,0.5939,0.5997,0.5875,0.5875,220900
1982-01-04,0.5939,0.5997,0.5875,0.5997,365000
1982-01-05,0.6120,0.6306,0.5875,0.5939,666500
1982-01-06,0.5939,0.5997,0.5875,0.5939,500900
1982-01-07,0.5939,0.5939,0.5875,0.5875,171500
1982-01-08,0.5939,0.5997,0.5875,0.5997,261500
1982-01-11,0.5997,0.5997,0.5939,0.5997,386300
1982-01-12,0.5939,0.5939,0.5875,0.5875,311300
1982-01-13,0.5939,0.5997,0.5816,0.5816,436700
1982-01-14,0.5875,0.5875,0.5816,0.5816,189500
1982-01-15,0.5875,0.5939,0.5816,0.5939,271400
1982-01-18,0.5939,0.5997,0.5875,0.5939,391200
1982-01-19,0.5939,0.5997,0.5875,0.5939,282200
1982-01-20,0.5939,0.5939,0.5875,0.5875,357800
1982-01-21,0.5939,0.5997,0.5875,0.5997,941800
1982-01-22,0.5997,0.6056,0.5875,0.5997,422900
1982-01-25,0.5997,0.6056,0.5939,0.5997,315500
1982-01-26,0.5753,0.5816,0.5694,0.5816,642600
1982-01-27,0.5753,0.5816,0.5694,0.5694,1529200
1982-01-28,0.5630,0.5875,0.5385,0.5816,1475200
1982-01-29,0.5875,0.5939,0.5816,0.5939,331900
1982-02-01,0.5875,0.5939,0.5753,0.5753,311000
1982-02-02,0.5816,0.5875,0.5753,0.5816,300200
1982-02-03,0.5816,0.5875,0.5753,0.5816,252700
1982-02-04,0.5816,0.5816,0.5753,0.5816,241200
1982-02-05,0.5816,0.5875,0.5753,0.5875,215000
1982-02-08,0.5816,0.5875,0.5753,0.5753,295600
1982-02-09,0.5753,0.5816,0.5694,0.5753,223200
1982-02-10,0.5816,0.5816,0.5753,0.5753,171800
1982-02-11,0.5753,0.5816,0.5694,0.5753,318200
1982-02-12,0.5753,0.5816,0.5694,0.5753,140400
1982-02-16,0.5694,0.5753,0.5566,0.5694,382700
1982-02-17,0.5753,0.5753,0.5694,0.5694,218000
1982-02-18,0.5694,0.5753,0.5630,0.5694,1139300
1982-02-19,0.5694,0.5694,0.5630,0.5694,320100
1982-02-22,0.5694,0.5753,0.5630,0.5630,428200
1982-02-23,0.5694,0.5753,0.5630,0.5694,576100
1982-02-24,0.5816,0.5875,0.5694,0.5875,1475200
1982-02-25,0.5875,0.5939,0.5816,0.5875,519500
1982-02-26,0.5875,0.5939,0.5816,0.5939,217700
1982-03-01,0.5939,0.5939,0.5875,0.5939,234700
1982-03-02,0.5997,0.6056,0.5939,0.5997,697300
1982-03-03,0.5997,0.6056,0.5939,0.5997,506100
1982-03-04,0.5997,0.6056,0.5875,0.6056,1009000
1982-03-05,0.6056,0.6056,0.5997,0.6056,839700
1982-03-08,0.6056,0.6120,0.5939,0.5997,484500
1982-03-09,0.6056,0.6120,0.5997,0.6056,619400
1982-03-10,0.6056,0.6120,0.5997,0.6056,402000
1982-03-11,0.5997,0.6056,0.5939,0.5939,405300
1982-03-12,0.5997,0.5997,0.5939,0.5997,299800
1982-03-15,0.5939,0.5997,0.5875,0.5997,237300
1982-03-16,0.5997,0.6056,0.5939,0.5997,502800
1982-03-17,0.5997,0.6056,0.5939,0.6056,339800
1982-03-18,0.5997,0.6056,0.5939,0.5997,864900
1982-03-19,0.5997,0.6056,0.5939,0.6056,315200
1982-03-22,0.6056,0.6120,0.5997,0.6120,1340900
1982-03-23,0.6120,0.6183,0.5997,0.6183,505800
1982-03-24,0.6183,0.6183,0.6120,0.6120,946100
1982-03-25,0.6120,0.6183,0.6056,0.6183,1236800
1982-03-26,0.6183,0.6183,0.6120,0.6120,241600
1982-03-29,0.6183,0.6242,0.6056,0.6242,375800
1982-03-30,0.6306,0.6365,0.6183,0.6365,1638800
1982-03-31,0.6428,0.6487,0.6306,0.6428,1935100
1982-04-01,0.6487,0.6546,0.6365,0.6487,2327000
1982-04-02,0.6546,0.6546,0.6487,0.6487,753900
