date,open,high,low,close,volume
1992-06-01,1.4120,1.6068,1.4120,1.6068,3012000
1992-06-02,1.6068,1.6555,1.5581,1.6321,1220800
1992-06-03,1.6555,1.8989,1.6068,1.8989,1423200
1992-06-04,1.9963,1.9963,1.8502,1.8989,883200
1992-06-05,1.8989,1.8989,1.6555,1.8016,413600
1992-06-08,1.8016,1.8016,1.7042,1.8016,307200
1992-06-09,1.8016,1.8016,1.5094,1.5581,175200
1992-06-10,1.5581,1.7042,1.5581,1.7042,70400
1992-06-11,1.7042,1.7042,1.6068,1.7042,120800
1992-06-12,1.7529,1.8016,1.7042,1.8016,151600
1992-06-15,1.8016,1.8502,1.7529,1.8502,238800
1992-06-16,1.8502,1.8502,1.7295,1.8016,165200
1992-06-17,1.6555,1.7529,1.5094,1.5581,322800
1992-06-18,1.6068,1.6555,1.5094,1.5347,112000
1992-06-19,1.6068,1.6555,1.6068,1.6555,26800
1992-06-22,1.6555,1.6555,1.5094,1.5581,94800
1992-06-23,1.6555,1.6555,1.6068,1.6555,63200
1992-06-24,1.6555,1.6555,1.5581,1.5581,549600
1992-06-25,1.7042,1.7042,1.6068,1.6555,110800
1992-06-26,1.7042,1.7042,1.6068,1.7042,20000
1992-06-29,1.7042,1.8016,1.6555,1.8016,59600
1992-06-30,1.8016,1.8016,1.7295,1.8016,26800
1992-07-01,1.8016,1.8989,1.7529,1.8016,644800
1992-07-02,1.8989,1.8989,1.5347,1.6068,1184400
1992-07-06,1.6555,1.6555,1.5581,1.6555,66400
1992-07-07,1.6555,1.6555,1.5094,1.5094,70000
1992-07-08,1.5581,1.5581,1.4607,1.5581,523200
1992-07-09,1.6068,1.6068,1.5581,1.6068,15600
1992-07-10,1.6068,1.7042,1.6068,1.7042,27200
1992-07-13,1.7042,1.7042,1.6555,1.7042,42000
1992-07-14,1.6555,1.7042,1.6068,1.7042,122000
1992-07-15,1.7042,1.8502,1.6555,1.7042,91200
1992-07-16,1.8502,1.8502,1.7042,1.7042,23600
1992-07-17,1.7042,1.8502,1.7042,1.8016,44000
1992-07-20,1.7529,1.8016,1.7042,1.8016,47200
1992-07-21,1.8502,1.9476,1.7529,1.8989,382800
1992-07-22,1.8989,1.8989,1.7529,1.7529,113200
1992-07-23,1.7042,1.8016,1.7042,1.7295,56400
1992-07-24,1.7529,1.7529,1.6555,1.7529,82000
1992-07-27,1.7529,1.8016,1.7042,1.7042,38800
1992-07-28,1.7529,1.8989,1.7529,1.8989,144000
1992-07-29,1.8989,1.9963,1.8016,1.9476,251200
1992-07-30,1.9963,2.0450,1.8502,1.9963,152000
1992-07-31,2.0450,2.0450,1.9476,1.9963,216800
1992-08-03,1.9963,2.0450,1.9476,2.0450,206400
1992-08-04,1.9476,2.0450,1.9476,1.9476,29600
1992-08-05,1.9476,2.1424,1.9476,2.0937,188000
1992-08-06,2.0937,2.0937,2.0450,2.0450,86000
1992-08-07,2.0937,2.1424,1.9963,2.0684,72400
1992-08-10,2.0937,2.0937,2.0937,2.0937,10400
1992-08-11,2.0937,2.1424,1.9963,2.0450,67600
1992-08-12,2.0937,2.0937,1.9963,1.9963,65200
1992-08-13,1.9963,2.0450,1.9963,2.0450,36400
1992-08-14,2.0450,2.0450,1.9963,1.9963,6400
1992-08-17,2.0450,2.0937,1.9963,2.0937,48400
1992-08-18,2.0937,2.1424,2.0450,2.1424,44800
1992-08-19,2.1424,2.1424,2.0450,2.1424,198800
1992-08-20,2.1911,2.1911,2.0937,2.0937,78800
1992-08-21,2.1424,2.1424,1.9476,2.0450,215600
1992-08-24,1.9963,1.9963,1.9476,1.9963,26400
1992-08-25,1.9963,2.0450,1.9710,2.0450,46800
1992-08-26,2.0450,2.0450,1.8502,1.9476,207200
1992-08-27,1.9963,2.0937,1.9476,2.0450,242800
1992-08-28,2.0937,2.1911,1.9963,2.1911,282800
1992-08-31,2.1911,2.2398,2.1424,2.1911,62800
1992-09-01,2.1911,2.2398,2.1424,2.2398,192800
1992-09-02,2.2398,2.2398,2.1424,2.1911,119200
1992-09-03,2.2885,2.4345,2.1911,2.3372,586800
1992-09-04,2.3372,2.5319,2.2885,2.5319,208800
1992-09-08,2.5319,2.5806,2.4345,2.4832,592400
1992-09-09,2.1911,2.4345,2.1911,2.4345,194000
1992-09-10,2.3858,2.3858,2.2885,2.3372,271200
1992-09-11,2.3372,2.3858,2.3372,2.3372,93200
1992-09-14,2.3372,2.4832,2.3372,2.3858,172000
1992-09-15,2.4345,2.5319,2.3372,2.4345,107600
1992-09-16,2.3858,2.7754,2.3858,2.5319,346000
1992-09-17,2.5319,2.6780,2.5319,2.6780,313600
1992-09-18,2.6780,2.6780,2.4832,2.4832,362000
1992-09-21,2.5806,2.6293,2.4832,2.6293,486400
