date,open,high,low,close,volume
2002-12-11,6.0316,6.2938,5.9004,6.0316,36719700
2002-12-12,6.0316,6.0788,5.7798,5.8637,9195600
2002-12-13,5.8218,6.1102,5.7431,5.9896,7739400
2002-12-16,5.9372,6.0945,5.8375,6.0893,3836400
2002-12-17,6.0840,6.1784,6.0053,6.0316,2729900
2002-12-18,5.9896,5.9948,5.8375,5.8742,2152800
2002-12-19,5.8480,5.8742,5.6172,5.6434,6450800
2002-12-20,5.6906,5.7379,5.5385,5.6697,2930900
2002-12-23,5.6172,5.6172,5.3497,5.4546,3455900
2002-12-24,5.4546,5.4809,5.2448,5.3707,3302500
2002-12-26,5.2711,5.3497,5.2448,5.2606,2019200
2002-12-27,5.2448,5.3130,5.1714,5.3130,1639400
2002-12-30,5.3602,5.5333,5.2448,5.4913,2742800
2002-12-31,5.4022,5.7483,5.4022,5.6277,3730800
2003-01-02,5.6382,5.6434,5.3760,5.5071,3473000
2003-01-03,5.5071,5.6382,5.4179,5.6382,1716600
2003-01-06,5.7169,6.0683,5.6906,5.9948,4041400
2003-01-07,6.0316,6.4249,5.9791,6.4249,6823500
2003-01-08,6.3200,6.4197,6.2676,6.3987,4623100
2003-01-09,6.4512,6.7921,6.4249,6.6085,9553400
2003-01-10,6.0316,6.2676,5.6120,5.8218,7554700
2003-01-13,5.8480,5.9162,5.3235,5.3655,2834700
2003-01-14,5.3655,5.4284,5.2448,5.3760,1629200
2003-01-15,5.4337,5.7064,5.3445,5.6487,2588100
2003-01-16,5.7588,5.8218,5.6539,5.7746,1443400
2003-01-17,5.7588,5.7693,5.4546,5.6644,2000000
2003-01-21,5.7169,5.7588,5.3550,5.3707,1165700
2003-01-22,5.4232,5.4232,4.8777,4.9931,3488500
2003-01-23,5.1137,5.3235,5.0403,5.2448,2498200
2003-01-24,5.3340,5.4704,5.1399,5.2186,2772100
2003-01-27,5.1399,5.1924,4.8882,4.9039,1150600
2003-01-28,4.7780,4.9197,4.7623,4.7623,1267000
2003-01-29,4.9459,5.0927,4.9301,4.9301,1174400
2003-01-30,5.1347,5.1871,4.9301,4.9301,720700
2003-01-31,4.8777,4.8987,4.7151,4.8148,1402500
2003-02-03,4.8410,4.9564,4.8043,4.8095,1002400
2003-02-04,4.8148,4.8148,4.6941,4.7466,1087700
2003-02-05,4.7833,4.8305,4.7099,4.7466,1233500
2003-02-06,4.7728,4.8987,4.7361,4.7466,923500
2003-02-07,4.7990,4.8095,4.6994,4.7204,1069500
2003-02-10,4.5892,4.5892,4.0805,4.5630,10046400
2003-02-11,4.5630,4.6836,4.3165,4.6836,2238900
2003-02-12,4.7110,4.7110,4.3057,4.3899,1726000
2003-02-13,4.3952,4.4478,4.2110,4.2425,2111000
2003-02-14,4.2425,4.4215,4.2425,4.4215,881000
2003-02-18,4.4215,4.6005,4.4162,4.6005,2049100
2003-02-19,4.6373,4.7373,4.6005,4.7321,1506300
2003-02-20,4.6794,4.8163,4.6689,4.7426,760000
2003-02-21,4.7531,4.9268,4.7531,4.8426,1519300
2003-02-24,4.8689,4.9479,4.6742,4.7373,1055600
2003-02-25,4.7373,5.1321,4.7215,5.0953,3049400
2003-02-26,5.0795,5.1268,4.9584,5.0110,782300
2003-02-27,4.9584,5.1005,4.9058,4.9742,387000
2003-02-28,5.0005,5.0005,4.8321,4.8795,808500
2003-03-03,4.8689,5.0110,4.8531,4.8952,575800
2003-03-04,4.9110,4.9426,4.8426,4.8795,517600
2003-03-05,4.8584,4.9584,4.8110,4.8900,1017700
2003-03-06,4.8373,5.1321,4.8373,5.0426,1481100
2003-03-07,4.9900,5.1795,4.9426,5.1058,898800
2003-03-10,4.9742,5.1374,4.9742,5.1374,1837100
2003-03-11,5.1058,5.1321,4.9742,5.0268,1960400
2003-03-12,4.9216,4.9479,4.7110,4.7531,4556400
2003-03-13,4.7531,4.8163,4.6742,4.7637,4223600
2003-03-14,4.7479,4.7900,4.6057,4.7163,2401400
2003-03-17,4.7163,4.9637,4.6584,4.9216,994400
2003-03-18,4.9216,5.0321,4.9216,5.0216,782500
2003-03-19,4.9742,5.0058,4.8321,4.9163,874000
2003-03-20,4.8689,4.9742,4.8426,4.9689,1609600
2003-03-21,5.0005,5.2584,4.9479,5.1584,2559900
2003-03-24,4.9742,5.1374,4.9637,5.0268,1945600
2003-03-25,5.0005,5.3795,4.9742,5.2637,4664700
2003-03-26,5.1847,5.3637,5.1321,5.3163,2908700
2003-03-27,5.2374,5.7322,5.2321,5.7269,4410700
2003-03-28,5.6269,5.6848,5.4479,5.4479,2628000
2003-03-31,5.2637,5.4953,5.2532,5.4321,1127600
2003-04-01,5.4848,5.6216,5.4374,5.5637,1558200
2003-04-02,5.6585,5.7638,5.5585,5.6532,4117900
2003-04-03,5.7059,5.7111,5.4795,5.6427,1517100
2003-04-04,5.5901,5.5953,5.3427,5.4058,4553400
2003-04-07,5.4216,5.5164,5.3690,5.4269,3600200
2003-04-08,5.4479,5.6111,5.3953,5.5374,2169200
2003-04-09,5.5901,5.6848,5.5269,5.6427,1889300
2003-04-10,5.6427,5.7374,5.5585,5.7006,1988500
2003-04-11,5.7111,5.7638,5.6953,5.7638,1500200
2003-04-14,5.7374,5.8164,5.6111,5.8164,991300
2003-04-15,5.7901,6.0269,5.7374,6.0269,2470200
2003-04-16,6.1059,6.5007,6.1059,6.2638,8202400
2003-04-17,6.2480,6.4480,6.2112,6.4480,2437600
2003-04-21,6.3691,6.4744,6.3164,6.4533,1866600
2003-04-22,6.4165,6.5533,6.3164,6.5007,1270200
2003-04-23,6.5007,6.5007,6.0269,6.1849,2737800
2003-04-24,6.1322,6.1743,6.0322,6.0533,1244800
2003-04-25,6.0533,6.0533,5.8427,5.9796,1543400
2003-04-28,5.9638,6.1585,5.9480,6.0427,1635800
2003-04-29,6.1059,6.3796,6.1059,6.3375,1513300
2003-04-30,6.2691,6.3638,6.0954,6.3638,3005000
2003-05-01,6.3322,6.4744,6.2901,6.4480,1312200
2003-05-02,6.4112,6.4849,6.2375,6.4691,1900900
2003-05-05,6.4375,6.6217,6.4217,6.6007,2176000
2003-05-06,6.4480,6.6007,6.4480,6.5796,758600
2003-05-07,6.5530,6.7535,6.5424,6.7007,990300
2003-05-08,6.6479,6.7271,6.5952,6.7112,815300
2003-05-09,6.7271,6.7376,6.5688,6.6427,1157400
2003-05-12,6.5952,7.0964,6.4633,7.0489,3123000
2003-05-13,7.0173,7.5027,6.9909,7.3497,4718700
2003-05-14,7.3708,7.3866,7.0489,7.2019,1354100
2003-05-15,7.2019,7.2547,6.9434,7.0700,797300
2003-05-16,7.0331,7.1492,6.7693,7.1492,1493800
2003-05-19,7.0964,7.1650,7.0173,7.0436,1102300
2003-05-20,7.0173,7.0436,6.7957,6.9117,2152900
2003-05-21,6.8590,7.1597,6.8590,7.0067,930600
2003-05-22,6.9539,7.1175,6.9381,7.0859,1116600
2003-05-23,7.0859,7.1967,7.0173,7.0278,1287900
2003-05-27,7.0806,7.4077,7.0331,7.3602,2212300
2003-05-28,7.3075,7.9195,7.2705,7.8298,3516100
2003-05-29,8.0725,8.3891,7.9722,7.9933,5121900
2003-05-30,7.7559,8.1569,7.7032,7.9933,2465500
2003-06-02,8.1780,8.3099,8.1675,8.1991,1695100
2003-06-03,7.9142,8.0197,7.7032,7.8403,2191600
2003-06-04,7.8931,7.9881,7.6979,7.8984,2222300
2003-06-05,7.8984,8.4629,7.7876,8.4260,2316300
2003-06-06,8.4260,8.7215,8.0725,8.1253,3287000
2003-06-09,7.6504,8.1147,7.6504,8.0989,4232800
2003-06-10,8.1147,8.2308,7.8351,7.9248,4167600
2003-06-11,7.8720,8.1253,7.8403,8.0461,2929900
2003-06-12,8.0092,8.2308,7.9142,8.2308,2549600
2003-06-13,8.2519,8.4418,8.1253,8.4207,2168700
2003-06-16,8.4418,9.0222,8.3257,8.9694,3809400
2003-06-17,9.1541,9.4970,9.1013,9.1013,5949600
2003-06-18,9.1013,9.2966,9.0222,9.2966,2986600
2003-06-19,9.2596,9.4443,9.0908,9.1488,4029900
2003-06-20,9.1752,9.2966,9.0539,9.1330,1869100
2003-06-23,9.0486,9.1277,8.7689,8.9536,1968000
2003-06-24,8.9325,8.9905,8.7531,8.8903,1435300
2003-06-25,8.8375,9.2069,8.8375,9.0961,1392400
2003-06-26,9.0486,9.7028,9.0433,9.6975,3683100
2003-06-27,9.7028,9.7556,9.5076,9.5920,2616700
2003-06-30,9.3651,9.5762,9.2860,9.3124,3029600
2003-07-01,9.3124,9.5973,9.2069,9.5973,2752100
2003-07-02,9.5973,10.5470,9.5973,10.3518,4669600
2003-07-03,10.2357,10.3571,10.0247,10.2885,2010300
2003-07-07,10.4995,10.8003,10.4256,10.7369,2287100
2003-07-08,10.7317,10.8161,10.5628,10.7844,2139300
2003-07-09,10.7528,10.7580,10.5259,10.6736,3511700
2003-07-10,10.5787,10.6314,10.3518,10.4468,2334100
2003-07-11,10.4573,10.7369,10.4573,10.7369,772300
2003-07-14,10.8161,11.1854,10.8161,11.0799,2268000
2003-07-15,11.1590,11.3437,10.7633,10.8952,3263400
2003-07-16,11.1801,11.7447,10.9691,11.3754,6581500
2003-07-17,11.2646,11.3173,11.0430,11.0904,3200900
2003-07-18,10.8688,10.9216,10.5523,10.5681,5181800
2003-07-21,10.3940,10.4468,10.2093,10.4204,3294100
2003-07-22,10.4731,10.5523,10.4309,10.5101,3103400
2003-07-23,10.5523,10.5523,10.2093,10.2885,5494300
2003-07-24,10.2885,10.3148,9.9772,9.9877,8414400
2003-07-25,9.8928,10.0616,9.8505,9.9666,20462400
2003-07-28,10.0352,10.8055,10.0352,10.8055,6768500
2003-07-29,10.6842,10.9111,10.4837,10.8161,3675800
2003-07-30,10.8161,11.0060,10.6631,11.0060,2897800
2003-07-31,11.0271,11.5706,10.9322,11.5020,4230900
2003-08-01,11.4914,11.4967,11.1063,11.1749,2013700
2003-08-04,10.9480,11.1907,10.6209,11.1063,3195700
2003-08-05,11.0904,11.3437,11.0271,11.0799,2491200
2003-08-06,11.1057,11.5391,11.1057,11.4387,3584700
2003-08-07,11.3382,11.4334,11.0581,11.3488,2566500
2003-08-08,11.3488,11.5550,11.2325,11.5232,2030700
2003-08-11,11.7082,11.9990,11.6290,11.7188,3732800
2003-08-12,11.7611,11.8404,11.4810,11.7875,1907800
2003-08-13,11.7875,11.9197,11.4598,11.4704,2248700
2003-08-14,11.3647,11.3647,10.6986,10.9418,9273500
2003-08-15,10.9418,10.9629,10.7568,10.9418,1899500
2003-08-18,11.0052,11.3647,11.0052,11.3382,3658900
2003-08-19,11.5497,11.6818,11.4228,11.6237,2322500
2003-08-20,11.6237,11.7082,11.4915,11.5127,1531100
2003-08-21,11.5497,11.8140,11.5021,11.6660,1904300
2003-08-22,12.3161,12.4324,11.5972,11.5972,3989500
2003-08-25,11.6501,11.7347,11.4704,11.5232,1633700
2003-08-26,11.5232,11.6712,11.2061,11.6342,1522900
2003-08-27,11.5972,12.6068,11.5814,12.5381,3329700
2003-08-28,12.6333,13.0614,12.4536,12.5593,2760100
2003-08-29,12.4747,12.4747,12.0783,12.1628,2123300
2003-09-02,12.4747,13.1037,12.3796,12.9769,3011400
2003-09-03,13.0614,13.2147,12.8289,12.8976,2943500
2003-09-04,12.8711,13.1883,12.7126,13.0033,1593800
2003-09-05,12.9399,13.1090,12.6333,12.6650,2343300
2003-09-08,12.7126,13.3469,12.6861,13.3469,3117300
2003-09-09,13.3469,13.3469,12.9927,13.2993,2622500
2003-09-10,13.2570,13.2570,12.8711,13.0984,3210800
2003-09-11,13.1090,13.2094,12.5011,12.5434,3690900
2003-09-12,12.4218,12.4958,12.1734,12.3954,1964800
2003-09-15,12.2897,12.4747,12.1787,12.3108,1201500
2003-09-16,12.5276,13.2147,12.5276,13.1883,1996800
2003-09-17,13.1090,13.6059,13.0932,13.4843,2868600
2003-09-18,13.4896,13.9548,13.2412,13.8913,2747700
2003-09-19,13.9283,14.4041,13.8755,14.1715,3578400
2003-09-22,13.2147,14.0446,13.2147,14.0023,2723700
2003-09-23,14.3670,14.5891,14.2666,14.4516,3344900
2003-09-24,14.4728,14.7529,13.9970,13.9970,3289000
2003-09-25,14.0869,14.4041,13.5847,13.6905,2546000
2003-09-26,13.7433,14.1662,13.5107,13.7169,2629900
2003-09-29,13.7697,14.5891,13.7697,14.3565,3068700
2003-09-30,14.3565,14.6948,14.0552,14.3776,2637100
2003-10-01,14.6683,14.9009,14.5891,14.8534,2794800
2003-10-02,14.9326,14.9591,14.5256,14.7582,2785300
2003-10-03,15.0066,15.1176,14.6155,14.6525,2627900
2003-10-06,15.0542,15.0542,14.6948,14.8005,920700
2003-10-07,14.7212,15.3291,14.3776,15.3291,1607500
2003-10-08,15.2234,15.3291,15.0119,15.1388,2986100
2003-10-09,15.3027,15.8577,15.1811,15.4718,5021000
2003-10-10,15.5669,15.7995,15.5352,15.7414,2127400
2003-10-13,15.7520,15.9105,15.6462,15.8312,2010400
2003-10-14,15.6991,16.3123,15.6727,16.1748,2554700
2003-10-15,16.4920,16.5713,16.0955,16.1220,4247700
2003-10-16,16.1220,16.2277,15.9000,16.0427,2184100
2003-10-17,16.0427,16.0427,15.5405,15.6568,2074800
2003-10-20,15.7784,15.7942,15.3502,15.4877,1417500
2003-10-21,15.7255,15.8418,15.4348,15.5934,1755200
2003-10-22,14.0076,14.0076,10.8942,11.7770,39972200
2003-10-23,11.6290,11.7347,11.1532,11.7347,14097100
2003-10-24,12.0518,12.1047,11.5550,11.7611,5759400
2003-10-27,11.6290,11.6871,10.7462,11.1004,10237200
2003-10-28,11.1004,12.1311,11.1004,12.1047,10074400
2003-10-29,12.1047,13.1989,11.8404,13.1090,13081300
2003-10-30,13.3469,13.3997,12.3690,12.3690,8280300
2003-10-31,12.4324,12.6333,11.7875,12.1470,5380000
2003-11-03,12.2316,12.3954,12.0307,12.2368,4503700
2003-11-04,12.2368,12.2897,11.8087,11.8827,4262700
2003-11-05,11.7554,12.1260,11.6442,12.0201,3802500
2003-11-06,12.0995,12.4437,11.8613,12.3855,2932900
2003-11-07,11.9883,12.3114,10.7916,11.5118,8552500
2003-11-10,11.4906,11.6495,10.6963,10.7281,7844000
2003-11-11,10.7281,10.8816,10.0397,10.3151,9425400
2003-11-12,10.3680,11.1464,10.3680,11.0935,7714300
2003-11-13,11.0670,11.3900,10.9346,11.2576,5757500
2003-11-14,11.2523,11.3794,10.5428,10.5428,3840400
2003-11-17,10.5904,10.7334,10.4580,10.5904,4419200
2003-11-18,10.6698,10.9081,10.3468,10.3680,5328800
2003-11-19,10.3786,10.5216,10.1085,10.2939,3607800
2003-11-20,10.2939,10.4580,10.0609,10.0609,4579700
2003-11-21,10.1933,10.2197,9.7908,10.0609,3614600
2003-11-24,10.2727,10.4368,10.1933,10.3998,5258400
2003-11-25,10.5110,10.5639,10.1933,10.2303,3894300
2003-11-26,10.3786,10.5639,10.3680,10.4633,5187900
2003-11-28,10.4633,10.4845,10.3309,10.4580,1133300
2003-12-01,10.6698,10.6698,10.3733,10.4898,2156500
2003-12-02,10.4898,10.4898,10.3045,10.4316,1614100
2003-12-03,10.4316,10.4316,9.9126,10.0397,9605300
2003-12-04,10.1880,10.1880,9.7908,9.9550,4951000
2003-12-05,9.9020,10.5110,9.8544,10.3786,6491500
2003-12-08,10.4051,10.4739,10.2462,10.3786,3253600
2003-12-09,10.4210,10.4580,9.8809,9.9020,3792600
2003-12-10,9.9020,10.0344,9.3196,9.4678,6240800
2003-12-11,9.4678,10.1403,9.4678,10.1403,7747200
2003-12-12,10.1191,10.1933,9.7485,9.9285,3587200
2003-12-15,10.1138,10.1191,9.1289,9.2454,8005400
2003-12-16,9.1342,9.3513,8.8430,9.3249,5544200
2003-12-17,9.1713,9.3037,8.9489,9.2666,3761100
2003-12-18,9.2666,9.4784,9.1607,9.3990,3038500
2003-12-19,9.1342,9.3725,8.9754,9.3354,6127300
2003-12-22,9.2401,9.4784,9.1872,9.4096,2195000
2003-12-23,9.3196,9.7697,9.3196,9.6902,2516300
2003-12-24,9.7061,9.8544,9.6108,9.8226,1454600
2003-12-26,9.9285,9.9550,9.6902,9.7961,788900
2003-12-29,9.9020,10.0556,9.9020,10.0503,1730800
2003-12-30,10.0503,10.1138,9.9073,9.9815,2884500
2003-12-31,9.9921,10.2039,9.9285,10.0079,2258700
2004-01-02,10.1403,10.3786,10.0079,10.2250,3099800
2004-01-05,10.3521,10.5851,10.3151,10.5533,2896700
2004-01-06,10.6063,11.0087,10.6063,10.7493,5727100
2004-01-07,10.7493,11.0246,10.5851,10.9240,5283600
2004-01-08,11.1199,11.4906,11.0670,11.3900,4224500
