date,open,high,low,close,volume
1992-03-17,1.4476,1.4476,1.4192,1.4192,156000
1992-03-18,1.4384,1.4767,1.4292,1.4767,617604
1992-03-19,1.4959,1.5151,1.4767,1.5051,984000
1992-03-20,1.4867,1.5250,1.4867,1.5250,260004
1992-03-23,1.5343,1.5626,1.5343,1.5343,658404
1992-03-24,1.5343,1.6018,1.5343,1.5726,230400
1992-03-25,1.5626,1.5918,1.5626,1.5818,388800
1992-03-26,1.5726,1.5818,1.5726,1.5726,116004
1992-03-27,1.5726,1.5726,1.5626,1.5626,219204
1992-03-30,1.5626,1.5726,1.5534,1.5534,128004
1992-03-31,1.5534,1.5534,1.5442,1.5534,81600
1992-04-01,1.5534,1.5626,1.5343,1.5534,864804
1992-04-02,1.5626,1.5626,1.5442,1.5442,146400
1992-04-03,1.5626,1.5626,1.5343,1.5343,135204
1992-04-06,1.5534,1.5534,1.5051,1.5343,92004
1992-04-07,1.5343,1.5534,1.5343,1.5343,197604
1992-04-08,1.5151,1.5151,1.4667,1.4867,48804
1992-04-09,1.4959,1.5726,1.4767,1.5442,142404
1992-04-10,1.5626,1.5626,1.5534,1.5534,67200
1992-04-13,1.5626,1.7069,1.5626,1.7069,316800
1992-04-14,1.6877,1.7928,1.6685,1.7452,472800
1992-04-15,1.7552,1.7552,1.7168,1.7260,226404
1992-04-16,1.7069,1.7069,1.6493,1.6777,55200
1992-04-20,1.6877,1.6877,1.5343,1.5918,132000
1992-04-21,1.5818,1.6401,1.5818,1.6401,224004
1992-04-22,1.6202,1.6593,1.6110,1.6493,70404
1992-04-23,1.6493,1.6593,1.6301,1.6593,230400
1992-04-24,1.6593,1.6969,1.6593,1.6969,72000
1992-04-27,1.6785,1.6785,1.6785,1.6785,804
1992-04-28,1.6777,1.6777,1.6685,1.6777,159204
1992-04-29,1.6777,1.6877,1.6685,1.6877,142404
1992-04-30,1.6877,1.7644,1.6877,1.7452,413604
1992-05-01,1.7452,1.7928,1.7260,1.7928,484800
1992-05-04,1.7836,1.7928,1.7644,1.7928,159204
1992-05-05,1.7935,1.7935,1.7935,1.7935,0
1992-05-06,1.9178,1.9178,1.8603,1.8603,187200
1992-05-07,1.8603,1.8703,1.8603,1.8603,406404
1992-05-08,1.8603,1.8603,1.8411,1.8603,24000
1992-05-11,1.8411,1.8603,1.8411,1.8411,189600
1992-05-12,1.8411,1.8511,1.8411,1.8511,260004
1992-05-13,1.8603,1.8603,1.8219,1.8219,292800
1992-05-14,1.8411,1.8795,1.8219,1.8603,821604
1992-05-15,1.8795,1.8795,1.8219,1.8511,448800
1992-05-18,1.8411,1.8511,1.8219,1.8511,34404
1992-05-19,1.8511,1.8511,1.8219,1.8411,292800
1992-05-20,1.8411,1.8511,1.8219,1.8511,720804
1992-05-21,1.8319,1.8511,1.8219,1.8511,183204
1992-05-22,1.8411,1.8511,1.8219,1.8511,1551204
1992-05-26,1.8411,1.8411,1.8219,1.8319,473604
1992-05-27,1.8219,1.8219,1.8219,1.8219,171204
1992-05-28,1.8219,1.8219,1.7069,1.7452,513600
1992-05-29,1.7452,1.7836,1.7452,1.7836,681600
1992-06-01,1.7452,1.7836,1.7452,1.7836,280800
1992-06-02,1.7836,1.7836,1.7452,1.7836,84804
1992-06-03,1.7644,1.8219,1.7644,1.8219,977604
1992-06-04,1.8219,1.8411,1.8027,1.8411,688800
1992-06-05,1.8411,1.8411,1.8027,1.8411,852804
1992-06-08,1.8411,1.8795,1.8319,1.8603,955200
1992-06-09,1.8603,1.8603,1.8027,1.8219,783204
1992-06-10,1.8411,1.8603,1.8219,1.8411,1491204
1992-06-11,1.8603,1.8603,1.8411,1.8511,668004
1992-06-12,1.8603,1.8603,1.8411,1.8411,439200
1992-06-15,1.8603,1.8603,1.8219,1.8219,1444800
1992-06-16,1.8411,1.8411,1.8219,1.8219,250404
1992-06-17,1.8219,1.8219,1.7260,1.7836,761604
1992-06-18,1.7260,1.7836,1.6685,1.6877,926400
1992-06-19,1.6877,1.7260,1.6877,1.7069,36804
1992-06-22,1.7069,1.7069,1.6493,1.6877,172800
1992-06-23,1.6685,1.6685,1.6301,1.6685,106404
1992-06-24,1.6110,1.6110,1.6110,1.6110,28800
1992-06-25,1.6110,1.6110,1.5918,1.5918,77604
1992-06-26,1.5918,1.6301,1.5726,1.5918,255204
1992-06-29,1.6018,1.6877,1.6018,1.6877,1275204
1992-06-30,1.6877,1.6877,1.6493,1.6877,336804
1992-07-01,1.6685,1.6877,1.6493,1.6493,113604
1992-07-02,1.6877,1.6877,1.6401,1.6401,117600
1992-07-06,1.6301,1.6301,1.5534,1.5918,852804
1992-07-07,1.5918,1.6301,1.5442,1.5726,202404
1992-07-08,1.5918,1.5918,1.5534,1.5918,115200
1992-07-09,1.5343,1.5918,1.5343,1.5818,543204
1992-07-10,1.5918,1.5918,1.5726,1.5726,345600
1992-07-13,1.5534,1.5918,1.5534,1.5726,1306404
1992-07-14,1.5534,1.5726,1.5534,1.5626,3024000
1992-07-15,1.5726,1.5726,1.5534,1.5626,128004
1992-07-16,1.5534,1.5726,1.5534,1.5726,17604
1992-07-17,1.5726,1.5726,1.5534,1.5534,117600
1992-07-20,1.5726,1.6110,1.5534,1.5918,233604
1992-07-21,1.6685,1.6973,1.6397,1.6835,111464
1992-07-22,1.6973,1.6973,1.6397,1.6547,18400
1992-07-23,1.6685,1.6685,1.6685,1.6685,3200
1992-07-24,1.6685,1.6685,1.6397,1.6397,53600
1992-07-27,1.6685,1.6685,1.6397,1.6397,204800
1992-07-28,1.6397,1.6685,1.6110,1.6397,656800
1992-07-29,1.6685,1.6973,1.6110,1.6685,307200
1992-07-30,1.6973,1.6973,1.6397,1.6397,77600
1992-07-31,1.6685,1.6685,1.6259,1.6685,27200
1992-08-03,1.6110,1.6685,1.6110,1.6685,165600
1992-08-04,1.6685,1.6685,1.6685,1.6685,117600
1992-08-05,1.6685,1.7260,1.6397,1.7260,443200
1992-08-06,1.7260,1.7260,1.6685,1.6973,69600
1992-08-07,1.6685,1.6973,1.6685,1.6835,367200
1992-08-10,1.6685,1.6835,1.6685,1.6685,64800
1992-08-11,1.6397,1.6685,1.5822,1.5822,528000
1992-08-12,1.5534,1.5822,1.5534,1.5822,56800
1992-08-13,1.5822,1.5822,1.5822,1.5822,0
1992-08-14,1.6110,1.6110,1.5534,1.6110,5600
1992-08-17,1.5822,1.5822,1.5534,1.5534,24800
1992-08-18,1.5684,1.6110,1.5534,1.5822,115200
1992-08-19,1.5534,1.5822,1.5534,1.5822,629600
1992-08-20,1.5822,1.5822,1.5822,1.5822,66400
1992-08-21,1.6110,1.6110,1.5534,1.5534,212800
1992-08-24,1.5534,1.5822,1.5534,1.5534,110400
1992-08-25,1.5822,1.5822,1.4959,1.5822,639200
1992-08-26,1.5247,1.5534,1.5109,1.5247,251200
1992-08-27,1.4959,1.5534,1.4959,1.5247,64800
1992-08-28,1.4959,1.5534,1.4959,1.5534,20800
1992-08-31,1.5109,1.5534,1.4959,1.5534,561600
1992-09-01,1.5109,1.5534,1.4959,1.5247,176000
1992-09-02,1.4959,1.5534,1.4959,1.4959,118400
1992-09-03,1.5534,1.5534,1.4959,1.4959,234400
1992-09-04,1.4959,1.5247,1.4959,1.4959,319200
1992-09-08,1.4959,1.4959,1.4096,1.4959,397600
1992-09-09,1.4384,1.4959,1.4096,1.4959,134400
1992-09-10,1.4384,1.5822,1.4384,1.5822,1401600
1992-09-11,1.5822,1.5822,1.4959,1.5396,398400
1992-09-14,1.5247,1.5822,1.5247,1.5822,169600
1992-09-15,1.5247,1.5822,1.5247,1.5822,1226400
1992-09-16,1.4959,1.5534,1.4959,1.5247,388800
1992-09-17,1.5247,1.5396,1.4821,1.5247,1022400
1992-09-18,1.4671,1.4959,1.4384,1.4821,324800
1992-09-21,1.4384,1.4959,1.3808,1.4959,1413600
1992-09-22,1.4246,1.4671,1.4096,1.4384,476000
1992-09-23,1.4096,1.4959,1.4096,1.4959,941600
1992-09-24,1.4959,1.5247,1.4533,1.4959,626400
1992-09-25,1.4671,1.5247,1.4671,1.4959,666400
1992-09-28,1.4671,1.4959,1.4671,1.4671,136800
1992-09-29,1.4384,1.4959,1.4384,1.4384,403200
1992-09-30,1.4959,1.4959,1.4096,1.4096,429600
1992-10-01,1.4096,1.4671,1.4096,1.4246,1384000
1992-10-02,1.4959,1.4959,1.3521,1.4096,564000
1992-10-05,1.3521,1.3521,1.2519,1.2945,792000
1992-10-06,1.2370,1.3521,1.2370,1.3233,644000
1992-10-07,1.3233,1.3808,1.3233,1.3808,48800
1992-10-08,1.3808,1.4671,1.3521,1.4384,3263200
1992-10-09,1.4671,1.4821,1.4384,1.4671,128000
1992-10-12,1.4384,1.4959,1.4384,1.4959,76800
1992-10-13,1.4959,1.4959,1.4384,1.4959,176000
1992-10-14,1.4096,1.4671,1.4096,1.4671,1211200
1992-10-15,1.4671,1.4671,1.3808,1.4096,71200
1992-10-16,1.4671,1.4671,1.4096,1.4096,299200
1992-10-19,1.4246,1.5247,1.4096,1.5247,676800
1992-10-20,1.5247,1.5247,1.4959,1.4959,28000
1992-10-21,1.4959,1.4959,1.4959,1.4959,15200
1992-10-22,1.4959,1.5247,1.4959,1.5247,128000
1992-10-23,1.4821,1.5247,1.4821,1.4959,40800
1992-10-26,1.5247,1.5534,1.4959,1.5534,109600
1992-10-27,1.5396,1.5534,1.4959,1.5534,99200
1992-10-28,1.5534,1.6397,1.5247,1.6397,311200
1992-10-29,1.6397,1.6397,1.5822,1.6397,22400
1992-10-30,1.5822,1.6397,1.5822,1.6397,761600
1992-11-02,1.6397,1.7260,1.6110,1.6547,859200
1992-11-03,1.6397,1.6973,1.5822,1.6397,532000
1992-11-04,1.5822,1.6397,1.5822,1.6397,73600
1992-11-05,1.6397,1.6973,1.5822,1.6973,569600
1992-11-06,1.7836,1.7836,1.6685,1.7122,664800
1992-11-09,1.7260,1.7260,1.5822,1.6685,151200
1992-11-10,1.6259,1.6685,1.6110,1.6685,152000
1992-11-11,1.6110,1.6397,1.5534,1.6110,296000
1992-11-12,1.5822,1.6685,1.5534,1.6685,1030400
1992-11-13,1.6685,1.6685,1.6397,1.6685,219200
1992-11-16,1.6547,1.6685,1.6397,1.6397,264000
1992-11-17,1.6685,1.6685,1.6397,1.6397,410400
1992-11-18,1.6110,1.6397,1.5822,1.6259,386400
1992-11-19,1.6110,1.7548,1.6110,1.7548,2492800
1992-11-20,1.7836,1.8123,1.7260,1.7985,2104000
1992-11-23,1.8123,1.8123,1.7260,1.7836,542400
1992-11-24,1.7698,1.8123,1.7410,1.8123,695200
1992-11-25,1.7260,1.7836,1.7260,1.7836,114400
1992-11-27,1.7548,1.8123,1.7548,1.8123,230400
1992-11-30,1.7260,1.8123,1.7260,1.8123,184800
