date,open,high,low,close,volume
1985-07-01,3.8994,4.0011,3.8994,3.9333,97200
1985-07-02,3.9333,4.0350,3.9333,3.9672,116400
1985-07-03,3.9672,4.0689,3.9672,4.0689,150201
1985-07-05,4.0689,4.0865,4.0350,4.0689,108201
1985-07-08,4.0689,4.0689,4.0174,4.0689,104001
1985-07-09,4.0689,4.0689,4.0011,4.0011,37401
1985-07-10,4.0011,4.0350,3.9672,3.9672,145401
1985-07-11,3.9672,4.0174,3.8994,3.8994,147801
1985-07-12,3.8994,3.9333,3.8655,3.9333,98601
1985-07-15,3.9333,3.9495,3.7298,3.9495,52401
1985-07-16,3.9672,4.0689,3.9672,4.0350,105600
1985-07-17,4.0350,4.1706,4.0350,4.1028,489000
1985-07-18,4.1028,4.1883,4.0865,4.1530,185601
1985-07-19,4.1530,4.1883,4.1367,4.1530,60600
1985-07-22,4.1530,4.1530,4.0865,4.1204,33801
1985-07-23,4.1204,4.1530,4.1028,4.1204,58800
1985-07-24,4.1204,4.1883,4.1028,4.1367,158601
1985-07-25,4.1367,4.2547,4.1028,4.2208,152601
1985-07-26,4.2045,4.2045,4.0865,4.1204,73200
1985-07-29,4.1204,4.1204,4.0011,4.0174,54201
1985-07-30,4.0174,4.0689,3.9333,3.9333,184800
1985-07-31,3.9170,3.9170,3.8655,3.8994,264000
1985-08-01,3.8994,4.0689,3.8994,4.0689,159801
1985-08-02,4.0689,4.0689,4.0011,4.0689,24801
1985-08-05,4.0689,4.1028,4.0350,4.1028,127800
1985-08-06,4.1028,4.1028,4.0011,4.0011,60201
1985-08-07,4.0011,4.0689,4.0011,4.0350,69201
1985-08-08,4.0350,4.0513,4.0174,4.0174,35001
1985-08-09,4.0174,4.1028,4.0174,4.0865,64200
1985-08-12,4.0689,4.0689,4.0174,4.0350,21801
1985-08-13,4.0350,4.0689,4.0174,4.0513,33000
1985-08-14,4.0513,4.1028,4.0350,4.0689,53001
1985-08-15,4.0689,4.0689,4.0350,4.0513,30801
1985-08-16,4.0513,4.0689,4.0350,4.0513,24600
1985-08-19,4.0513,4.1028,4.0011,4.0011,266001
1985-08-20,4.0174,4.0513,4.0174,4.0513,38400
1985-08-21,4.0513,4.0865,4.0350,4.0865,24801
1985-08-22,4.0865,4.1028,4.0174,4.0513,28401
1985-08-23,4.0513,4.0689,4.0174,4.0513,30000
1985-08-26,4.0513,4.0513,4.0011,4.0350,48000
1985-08-27,4.0350,4.0513,4.0011,4.0011,44601
1985-08-28,4.0011,4.0513,3.9848,4.0513,57600
1985-08-29,4.0513,4.0689,4.0350,4.0689,20001
1985-08-30,4.0689,4.1028,4.0174,4.0689,50001
