date,open,high,low,close,volume
2014-07-31,20.2523,21.1328,19.9001,20.2523,56477500
2014-08-01,20.1642,20.2523,19.9617,20.2523,6458100
2014-08-04,20.3403,20.3668,20.1642,20.2523,3453900
2014-08-05,20.2435,20.2611,19.9617,20.2523,4449000
2014-08-06,20.0762,20.2347,19.9617,20.2347,6993400
2014-08-07,20.1554,20.2523,20.0762,20.1906,3186900
2014-08-08,20.1906,20.2787,20.0762,20.2083,2855000
2014-08-11,20.1642,20.1906,20.0762,20.1906,1767500
2014-08-12,20.1554,20.2523,20.1026,20.2523,1549700
2014-08-13,20.2523,20.4548,20.1466,20.4108,1659100
2014-08-14,20.4284,20.4460,20.2083,20.2611,1391700
2014-08-15,20.2699,20.3227,20.2523,20.2523,1948100
2014-08-18,20.3051,20.4020,20.2699,20.4020,1073700
2014-08-19,20.4284,21.5114,20.4284,21.4938,2851800
2014-08-20,21.3970,22.5329,21.3618,22.1807,3544500
2014-08-21,22.4272,22.4712,21.9429,22.3568,2358000
2014-08-22,22.2335,22.3920,22.1014,22.3303,891600
2014-08-25,22.3391,22.3656,21.9077,22.1190,1185400
2014-08-26,22.0134,22.1014,21.9605,22.0574,951000
2014-08-27,22.0134,22.4888,21.9693,22.4272,1230600
2014-08-28,22.3656,22.7530,22.2863,22.6209,981700
2014-08-29,22.7266,22.8411,22.4096,22.7090,981200
2014-09-02,22.6297,22.8058,22.4712,22.7090,1873200
2014-09-03,22.8851,22.8939,22.5681,22.7090,996500
2014-09-04,22.4800,22.6738,22.4624,22.6297,1117500
2014-09-05,22.6297,22.9115,22.5593,22.6914,1089800
2014-09-08,22.7354,22.8763,21.6787,21.8725,2534800
2014-09-09,22.2775,22.5417,21.7492,22.0486,3608600
2014-09-10,22.1807,22.2863,21.7404,21.7492,1974600
2014-09-11,21.7932,22.0310,21.6876,21.7052,2029100
2014-09-12,21.5995,21.7932,21.5203,21.5731,1106800
2014-09-15,21.4410,21.4674,21.0624,21.2649,1125600
2014-09-16,21.3441,21.4498,21.0272,21.4058,1512100
2014-09-17,21.5291,21.7404,21.4498,21.6171,940400
2014-09-18,21.6347,21.8725,21.6259,21.7228,879100
2014-09-19,21.8813,22.4448,21.7580,22.3744,5257900
2014-09-22,22.2599,22.3303,21.7932,21.8725,735765
2014-09-23,21.7140,21.7492,21.2913,21.6435,939952
2014-09-24,21.7756,22.0134,21.7272,21.9429,964606
2014-09-25,21.9957,21.9957,21.6699,21.6876,1349775
2014-09-26,21.6699,21.8372,21.4322,21.8108,1252820
2014-09-29,21.6347,21.8152,21.4322,21.7492,1482038
2014-09-30,21.8989,22.1190,21.3177,21.6171,8795069
2014-10-01,21.5203,21.6523,21.2913,21.3265,1196643
2014-10-02,21.4410,21.7404,20.9215,21.6435,1252964
2014-10-03,21.8196,22.0926,21.4938,21.8637,1737477
2014-10-06,21.8901,22.1058,21.7932,22.0134,1057137
2014-10-07,21.9605,21.9843,21.6171,21.8813,803747
2014-10-08,21.8460,22.0310,21.7492,22.0310,1074471
2014-10-09,22.0310,22.0662,21.5114,21.6171,2536330
2014-10-10,21.5731,21.7668,21.2561,21.3089,1561676
2014-10-13,21.3618,21.8108,21.3089,21.5379,1726060
2014-10-14,21.6876,21.9693,21.6436,21.8813,1036448
2014-10-15,21.7844,21.9869,21.1592,21.5907,1529454
2014-10-16,21.3089,21.8372,21.2473,21.6611,1888961
2014-10-17,21.7668,22.1014,21.7052,21.8196,981663
2014-10-20,21.7932,21.8857,21.4850,21.7580,938297
2014-10-21,21.8108,22.2423,21.7580,22.1630,1699674
2014-10-22,22.2335,22.4096,22.1454,22.3480,1546051
2014-10-23,22.4272,22.8146,22.4008,22.7266,970103
2014-10-24,22.6738,23.2109,22.6738,22.9907,1223120
2014-10-27,22.9643,23.5930,22.9115,23.3606,1011418
2014-10-28,23.5367,23.8648,23.4244,23.6423,1002285
2014-10-29,23.6071,23.8449,23.4838,23.7744,730107
2014-10-30,23.8449,24.1685,23.3430,23.5895,1038922
2014-10-31,23.8184,23.8713,23.6423,23.7920,934642
2014-11-03,23.8449,24.4436,23.6423,24.0738,983695
2014-11-04,24.0386,24.1707,23.1140,23.7832,999259
2014-11-05,23.9417,24.2147,23.5111,24.1883,587333
2014-11-06,24.2235,24.4524,24.0122,24.2851,993082
2014-11-07,24.4084,24.8046,23.9946,24.7870,1165771
2014-11-10,24.8575,25.4210,24.6550,25.3330,1474182
2014-11-11,25.3594,25.7644,25.2713,25.6323,1643700
2014-11-12,25.5355,25.6764,25.2192,25.5619,1033749
2014-11-13,25.5443,25.7380,25.3770,25.5267,1656777
2014-11-14,25.4650,26.0286,25.4034,25.5795,1912049
2014-11-17,25.5795,25.7556,25.3858,25.6500,1010340
2014-11-18,25.7204,25.9141,25.3462,25.4915,948922
2014-11-19,25.5267,25.5355,25.2273,25.4827,2141818
2014-11-20,25.5003,25.8437,25.4562,25.7468,1300558
2014-11-21,25.7996,25.8877,25.5443,25.6852,1003929
2014-11-24,25.7732,25.8965,25.4034,25.5091,1177464
2014-11-25,25.4739,25.8173,24.6814,25.2361,5938515
2014-11-26,25.3858,25.6059,25.3065,25.3594,1327421
2014-11-28,25.3154,25.5619,25.3154,25.5443,425175
2014-12-01,25.5355,25.6500,25.2977,25.4298,1020970
2014-12-02,25.4827,25.8041,25.4362,25.5795,1091159
2014-12-03,25.6412,25.6588,25.4474,25.5355,730226
2014-12-04,25.5443,25.8349,25.4562,25.6676,828984
2014-12-05,25.7820,25.7908,25.4739,25.7556,818673
2014-12-08,25.7908,26.2751,25.5531,25.9846,1644063
2014-12-09,26.0022,26.0946,25.7094,25.9934,1086930
2014-12-10,26.0198,26.3280,25.9758,26.1078,759983
