date,open,high,low,close,volume
1988-02-01,0.6769,0.6853,0.6769,0.6769,212808
1988-02-02,0.6769,0.6853,0.6769,0.6769,121608
1988-02-03,0.6769,0.6853,0.6769,0.6769,278400
1988-02-04,0.6769,0.6853,0.6769,0.6853,265608
1988-02-05,0.6769,0.6853,0.6769,0.6769,208008
1988-02-08,0.6769,0.6769,0.6600,0.6684,465600
1988-02-09,0.6684,0.6769,0.6516,0.6600,1060800
1988-02-10,0.6516,0.6600,0.6435,0.6516,652800
1988-02-11,0.6600,0.6600,0.6435,0.6435,1190400
1988-02-12,0.6435,0.6516,0.6351,0.6435,1201608
1988-02-16,0.6351,0.6600,0.6351,0.6516,614400
1988-02-17,0.6516,0.6600,0.6516,0.6516,265608
1988-02-18,0.6600,0.6684,0.6516,0.6516,316800
1988-02-19,0.6600,0.6600,0.6435,0.6435,240000
1988-02-22,0.6435,0.6600,0.6435,0.6600,1214400
1988-02-23,0.6600,0.6600,0.6516,0.6600,697608
1988-02-24,0.6516,0.6684,0.6516,0.6600,1190400
1988-02-25,0.6516,0.6684,0.6516,0.6516,688008
1988-02-26,0.6516,0.6684,0.6516,0.6600,220800
1988-02-29,0.6516,0.6934,0.6516,0.6934,2376000
1988-03-01,0.6853,0.7018,0.6853,0.6893,571200
1988-03-02,0.6853,0.6934,0.6853,0.6853,475200
1988-03-03,0.6853,0.6934,0.6853,0.6853,374400
1988-03-04,0.6853,0.7186,0.6853,0.7102,652800
1988-03-07,0.7102,0.7186,0.7102,0.7102,124800
1988-03-08,0.7186,0.7186,0.7102,0.7186,499200
1988-03-09,0.7186,0.7604,0.7102,0.7436,1464000
1988-03-10,0.7436,0.7604,0.7436,0.7436,609600
1988-03-11,0.7436,0.7604,0.7102,0.7352,840000
1988-03-14,0.7436,0.7436,0.7271,0.7436,184008
1988-03-15,0.7271,0.7436,0.7271,0.7436,342408
1988-03-16,0.7395,0.7395,0.7271,0.7352,179208
1988-03-17,0.7352,0.7436,0.7352,0.7352,534408
1988-03-18,0.7352,0.7854,0.7352,0.7689,1748808
1988-03-21,0.7689,0.7854,0.7689,0.7689,331200
1988-03-22,0.7689,0.7854,0.7689,0.7689,606408
1988-03-23,0.7689,0.7854,0.7689,0.7689,163200
1988-03-24,0.7689,0.7769,0.7520,0.7520,606408
1988-03-25,0.7604,0.7604,0.7436,0.7436,432000
1988-03-28,0.7436,0.7436,0.7186,0.7186,1401600
1988-03-29,0.7352,0.7352,0.7271,0.7352,110400
1988-03-30,0.7271,0.7436,0.7271,0.7271,539208
1988-03-31,0.7271,0.7271,0.7186,0.7271,4622400
1988-04-04,0.7186,0.7227,0.7018,0.7186,1646400
1988-04-05,0.7186,0.7186,0.7018,0.7102,150408
1988-04-06,0.7186,0.7352,0.7102,0.7186,326400
1988-04-07,0.7352,0.7436,0.7186,0.7352,740808
1988-04-08,0.7436,0.7520,0.7352,0.7520,388800
1988-04-11,0.7436,0.7689,0.7436,0.7520,264000
1988-04-12,0.7604,0.7854,0.7604,0.7854,1108800
1988-04-13,0.7769,0.7854,0.7689,0.7854,352008
1988-04-14,0.7769,0.7769,0.7520,0.7520,508800
1988-04-15,0.7520,0.7520,0.7186,0.7311,760008
1988-04-18,0.7271,0.7436,0.7186,0.7271,292800
1988-04-19,0.7271,0.7604,0.7271,0.7520,784008
1988-04-20,0.7604,0.7604,0.7271,0.7271,184008
1988-04-21,0.7436,0.7436,0.7186,0.7271,1043208
1988-04-22,0.7186,0.7271,0.7102,0.7102,158400
1988-04-25,0.7102,0.7186,0.6934,0.7018,475200
1988-04-26,0.6853,0.7018,0.6853,0.6934,136008
1988-04-27,0.6934,0.6934,0.6769,0.6934,3897600
1988-04-28,0.6853,0.6853,0.6600,0.6600,1086408
1988-04-29,0.6684,0.6853,0.6600,0.6853,1339200
1988-05-02,0.6853,0.6934,0.6769,0.6934,115200
1988-05-03,0.6934,0.7102,0.6769,0.7102,568008
1988-05-04,0.7018,0.7102,0.7018,0.7102,457608
1988-05-05,0.6934,0.7102,0.6934,0.6934,424008
1988-05-06,0.6934,0.7018,0.6934,0.6934,275208
1988-05-09,0.6934,0.7018,0.6853,0.6978,72000
1988-05-10,0.6853,0.7018,0.6769,0.6769,696000
1988-05-11,0.6934,0.6934,0.6684,0.6769,668808
1988-05-12,0.6769,0.6769,0.6600,0.6769,273600
1988-05-13,0.6769,0.6853,0.6684,0.6853,182400
1988-05-16,0.6769,0.6934,0.6684,0.6934,129600
1988-05-17,0.6934,0.7018,0.6853,0.6934,337608
1988-05-18,0.6934,0.6934,0.6600,0.6769,595200
1988-05-19,0.6684,0.6809,0.6684,0.6809,1608000
1988-05-20,0.6853,0.6853,0.6769,0.6769,6408
1988-05-23,0.6769,0.6769,0.6600,0.6600,835200
1988-05-24,0.6600,0.6769,0.6600,0.6684,144000
1988-05-25,0.6769,0.6769,0.6600,0.6684,83208
1988-05-26,0.6600,0.6684,0.6600,0.6684,288000
1988-05-27,0.6684,0.6684,0.6560,0.6684,168000
1988-05-31,0.6684,0.6769,0.6600,0.6769,424008
1988-06-01,0.6769,0.7018,0.6684,0.7018,504000
1988-06-02,0.7018,0.7186,0.6853,0.7102,772800
1988-06-03,0.7102,0.7352,0.7102,0.7352,115200
1988-06-06,0.7352,0.7352,0.7102,0.7102,297600
1988-06-07,0.7271,0.7271,0.7102,0.7271,52800
1988-06-08,0.7102,0.7271,0.7102,0.7186,352008
1988-06-09,0.7186,0.7271,0.7102,0.7271,164808
1988-06-10,0.7102,0.7271,0.7102,0.7271,182400
1988-06-13,0.7102,0.7271,0.7102,0.7271,68808
1988-06-14,0.7271,0.7352,0.7102,0.7352,475200
1988-06-15,0.7271,0.7436,0.7271,0.7271,211200
1988-06-16,0.7436,0.7436,0.7271,0.7271,59208
1988-06-17,0.7271,0.7436,0.7271,0.7436,307200
1988-06-20,0.7436,0.7436,0.7271,0.7352,278400
1988-06-21,0.7352,0.7436,0.7352,0.7436,284808
1988-06-22,0.7436,0.7520,0.7352,0.7520,585600
1988-06-23,0.7604,0.7604,0.7436,0.7604,1393608
1988-06-24,0.7436,0.7604,0.7436,0.7436,844800
1988-06-27,0.7436,0.7604,0.7436,0.7436,124800
1988-06-28,0.7436,0.7689,0.7436,0.7520,432000
1988-06-29,0.7689,0.7689,0.7520,0.7689,158400
1988-06-30,0.7689,0.7689,0.7520,0.7689,105600
1988-07-01,0.7520,0.7769,0.7520,0.7769,380808
1988-07-05,0.7604,0.7938,0.7604,0.7769,1459200
1988-07-06,0.7769,0.7854,0.7520,0.7520,443208
1988-07-07,0.7689,0.7689,0.7520,0.7520,163200
1988-07-08,0.7689,0.7689,0.7520,0.7560,153600
1988-07-11,0.7520,0.7604,0.7520,0.7560,345600
1988-07-12,0.7520,0.7689,0.7520,0.7604,1916808
1988-07-13,0.7604,0.7689,0.7520,0.7604,336000
1988-07-14,0.7480,0.7604,0.7436,0.7604,105600
1988-07-15,0.7436,0.7520,0.7352,0.7436,918408
1988-07-18,0.7352,0.7520,0.7271,0.7436,380808
1988-07-19,0.7395,0.7436,0.7271,0.7271,304008
1988-07-20,0.7436,0.7436,0.7271,0.7352,366408
1988-07-21,0.7352,0.7352,0.7102,0.7186,859200
1988-07-22,0.7352,0.7352,0.7186,0.7352,304008
1988-07-25,0.7271,0.7352,0.7271,0.7271,504000
1988-07-26,0.7271,0.7352,0.7186,0.7227,460800
1988-07-27,0.7186,0.7271,0.7018,0.7018,974400
