date,open,high,low,close,volume
1973-05-08,0.0792,0.0792,0.0792,0.0792,25632
1973-05-09,0.0792,0.0792,0.0792,0.0792,25632
1973-05-10,0.0839,0.0891,0.0839,0.0891,172800
1973-05-11,0.0891,0.0891,0.0891,0.0891,326448
1973-05-14,0.0891,0.0891,0.0891,0.0891,0
1973-05-15,0.0891,0.0891,0.0891,0.0891,313632
1973-05-16,0.0891,0.0891,0.0839,0.0839,57600
1973-05-17,0.0839,0.0839,0.0839,0.0839,83232
1973-05-18,0.0792,0.0792,0.0792,0.0792,198432
1973-05-21,0.0792,0.0792,0.0741,0.0741,96048
1973-05-22,0.0741,0.0741,0.0741,0.0741,0
1973-05-23,0.0741,0.0741,0.0741,0.0741,0
1973-05-24,0.0741,0.0741,0.0741,0.0741,0
1973-05-25,0.0741,0.0741,0.0741,0.0741,0
1973-05-29,0.0792,0.0792,0.0792,0.0792,25632
1973-05-30,0.0741,0.0741,0.0741,0.0741,115200
1973-05-31,0.0741,0.0741,0.0741,0.0741,25632
1973-06-01,0.0741,0.0741,0.0693,0.0741,211248
1973-06-04,0.0693,0.0693,0.0693,0.0693,326448
1973-06-05,0.0641,0.0641,0.0594,0.0594,403200
1973-06-06,0.0594,0.0641,0.0543,0.0641,659232
1973-06-07,0.0641,0.0641,0.0641,0.0641,57600
1973-06-08,0.0641,0.0693,0.0641,0.0641,38448
1973-06-11,0.0641,0.0641,0.0641,0.0641,0
1973-06-12,0.0693,0.0693,0.0693,0.0693,0
1973-06-13,0.0693,0.0693,0.0693,0.0693,0
1973-06-14,0.0693,0.0693,0.0641,0.0641,115200
1973-06-15,0.0641,0.0641,0.0641,0.0641,172800
1973-06-18,0.0594,0.0594,0.0594,0.0594,326448
1973-06-19,0.0594,0.0594,0.0594,0.0594,0
1973-06-20,0.0594,0.0594,0.0594,0.0594,172800
1973-06-21,0.0594,0.0594,0.0594,0.0594,0
1973-06-22,0.0594,0.0594,0.0594,0.0594,0
