date,open,high,low,close,volume
1984-07-19,0.9819,0.9839,0.9758,0.9758,934800
1984-07-20,0.9798,0.9860,0.9737,0.9778,1557600
1984-07-23,0.9737,0.9819,0.9655,0.9778,3313200
1984-07-24,0.9819,0.9922,0.9798,0.9860,1549200
1984-07-25,0.9860,1.0085,0.9839,0.9983,1828800
1984-07-26,0.9983,1.0189,0.9922,0.9942,4942800
1984-07-27,0.9922,0.9922,0.9839,0.9839,1039200
1984-07-30,0.9819,0.9901,0.9778,0.9839,1165200
1984-07-31,0.9839,0.9983,0.9819,0.9983,1059600
1984-08-01,0.9942,1.0230,0.9922,1.0230,2842800
1984-08-02,1.0189,1.0662,0.9942,1.0558,3843600
1984-08-03,1.0517,1.0641,1.0394,1.0476,3099600
1984-08-06,1.0435,1.0435,1.0189,1.0189,2974800
1984-08-07,1.0169,1.0312,1.0148,1.0189,3500400
1984-08-08,1.0208,1.0251,1.0148,1.0148,2011200
1984-08-09,1.0169,1.0312,1.0148,1.0251,1474800
1984-08-10,1.0271,1.0394,1.0271,1.0312,2324400
1984-08-13,1.0312,1.0332,1.0230,1.0312,1255200
1984-08-14,1.0271,1.0353,1.0271,1.0291,1123200
1984-08-15,1.0251,1.0374,1.0230,1.0271,1593600
1984-08-16,1.0230,1.0353,1.0208,1.0312,748800
1984-08-17,1.0332,1.0394,1.0230,1.0312,841200
1984-08-20,1.0312,1.0455,1.0312,1.0455,1508400
1984-08-21,1.0415,1.0641,1.0394,1.0578,2520000
1984-08-22,1.0537,1.0599,1.0517,1.0558,916800
1984-08-23,1.0517,1.0537,1.0476,1.0498,1303200
1984-08-24,1.0498,1.0498,1.0435,1.0455,3434400
1984-08-27,1.0415,1.0476,1.0374,1.0415,800400
1984-08-28,1.0415,1.0476,1.0415,1.0435,672000
1984-08-29,1.0435,1.0498,1.0435,1.0435,1238400
1984-08-30,1.0394,1.0435,1.0374,1.0415,860400
1984-08-31,1.0394,1.0435,1.0394,1.0435,1142400
1984-09-04,1.0415,1.0435,1.0374,1.0394,488400
1984-09-05,1.0353,1.0374,1.0312,1.0312,1646400
1984-09-06,1.0374,1.0476,1.0353,1.0435,9136800
1984-09-07,1.0455,1.0476,1.0394,1.0394,850800
1984-09-10,1.0353,1.0455,1.0332,1.0435,5924400
1984-09-11,1.0374,1.0415,1.0374,1.0374,4959600
1984-09-12,1.0374,1.0435,1.0374,1.0415,520800
1984-09-13,1.0455,1.0558,1.0394,1.0517,8888400
1984-09-14,1.0599,1.0621,1.0537,1.0578,1719600
1984-09-17,1.0537,1.0621,1.0498,1.0558,8122800
