date,open,high,low,close,volume
1984-09-07,2.4240,2.4454,2.4009,2.4240,44200
1984-09-10,2.4009,2.4009,2.4009,2.4009,62200
1984-09-11,2.4009,2.4240,2.4009,2.4009,21200
1984-09-12,2.4240,2.4240,2.4240,2.4240,53600
1984-09-13,2.4685,2.4685,2.4685,2.4685,49800
1984-09-14,2.4685,2.5130,2.4685,2.4898,106000
1984-09-17,2.5130,2.5343,2.5130,2.5130,87400
1984-09-18,2.5130,2.5130,2.5130,2.5130,93000
1984-09-19,2.6908,2.7121,2.6908,2.6908,346200
1984-09-20,2.7353,2.8011,2.7353,2.7353,654000
1984-09-21,2.7353,2.7566,2.6019,2.6232,140200
1984-09-24,2.6677,2.6908,2.6677,2.6677,125200
1984-09-25,2.6677,2.6908,2.6677,2.6677,37800
1984-09-26,2.6677,2.6908,2.6463,2.6463,100800
1984-09-27,2.6677,2.6677,2.6677,2.6677,62000
1984-09-28,2.6677,2.6677,2.5788,2.5788,47200
1984-10-01,2.6232,2.6463,2.6232,2.6232,155200
1984-10-02,2.6232,2.6232,2.5574,2.5574,95400
1984-10-03,2.5574,2.5788,2.5130,2.5130,423800
1984-10-04,2.5130,2.5574,2.5130,2.5130,39600
1984-10-05,2.5130,2.5574,2.5130,2.5343,25800
1984-10-08,2.5788,2.5788,2.5788,2.5788,17800
1984-10-09,2.5788,2.5788,2.5574,2.5574,69200
1984-10-10,2.5574,2.5574,2.5343,2.5343,16800
1984-10-11,2.5788,2.6463,2.5788,2.5788,22200
1984-10-12,2.5788,2.6463,2.5574,2.6232,49600
1984-10-15,2.6908,2.7353,2.6908,2.6908,136000
1984-10-16,2.6908,2.7121,2.6019,2.6019,101600
1984-10-17,2.6463,2.6463,2.6463,2.6463,12600
1984-10-18,2.7353,2.7353,2.7353,2.7353,50400
1984-10-19,2.7353,2.7566,2.6908,2.6908,56000
1984-10-22,2.6908,2.6908,2.6677,2.6677,36600
1984-10-23,2.6677,2.6908,2.6232,2.6232,54800
1984-10-24,2.6677,2.6908,2.6677,2.6677,49200
1984-10-25,2.6677,2.7121,2.6463,2.6463,159200
1984-10-26,2.6463,2.6463,2.6019,2.6232,34800
1984-10-29,2.6232,2.6677,2.6232,2.6232,57000
1984-10-30,2.6908,2.7353,2.6908,2.6908,139600
1984-10-31,2.6908,2.7121,2.6677,2.6677,52800
1984-11-01,2.6677,2.7121,2.6232,2.6232,117600
1984-11-02,2.6232,2.6232,2.6019,2.6232,45000
1984-11-05,2.6908,2.7121,2.6908,2.6908,80000
1984-11-06,2.6908,2.7121,2.6677,2.6677,18200
1984-11-07,2.7353,2.7566,2.7353,2.7353,114800
1984-11-08,2.8011,2.8011,2.8011,2.8011,144800
1984-11-09,2.8011,2.8455,2.7797,2.8011,326800
1984-11-12,2.8011,2.8242,2.8011,2.8011,49400
1984-11-13,2.8011,2.8242,2.7566,2.7566,103200
1984-11-14,2.7566,2.7797,2.7566,2.7566,90000
1984-11-15,2.7566,2.8011,2.7566,2.7566,232600
1984-11-16,2.8011,2.8455,2.8011,2.8011,87200
1984-11-19,2.8011,2.8242,2.8011,2.8011,63800
