date,open,high,low,close,volume
1992-12-09,3.3566,3.3566,3.3033,3.3033,130000
1992-12-10,3.4099,3.4099,3.1967,3.3033,73200
1992-12-11,3.1967,3.3033,3.1967,3.1967,24400
1992-12-14,3.3033,3.3033,3.1967,3.1967,134000
1992-12-15,3.1967,3.2500,3.0902,3.0902,108800
1992-12-16,3.0902,3.2500,3.0902,3.0902,35600
1992-12-17,3.1967,3.2500,3.0902,3.2500,42000
1992-12-18,3.2500,3.3566,3.1435,3.1967,134000
1992-12-21,3.3566,3.3566,3.0902,3.3566,126800
1992-12-22,3.1967,3.4631,3.1967,3.3566,336400
1992-12-23,3.4631,3.7828,3.3033,3.7040,694400
1992-12-24,3.7295,3.7295,3.6230,3.7295,114800
1992-12-28,3.7295,3.7295,3.4631,3.6230,160000
1992-12-29,3.6230,3.7295,3.5164,3.7295,144800
1992-12-30,3.7295,3.7295,3.5697,3.7295,56400
1992-12-31,3.7295,3.7295,3.5697,3.6230,603600
1993-01-04,3.6230,3.7295,3.5697,3.6763,108400
1993-01-05,3.6763,3.7295,3.5697,3.5697,43200
1993-01-06,3.7295,3.7295,3.5697,3.5697,404400
1993-01-07,3.5164,3.6763,3.4631,3.5441,269600
1993-01-08,3.5697,3.6763,3.4631,3.6763,170400
1993-01-11,3.6763,3.6763,3.5697,3.5697,135600
1993-01-12,3.6230,3.6230,3.5697,3.5697,246400
1993-01-13,3.5697,3.7295,3.5697,3.7295,235600
1993-01-14,3.6763,3.7295,3.6230,3.6507,285200
1993-01-15,3.6230,3.7295,3.6230,3.7295,111600
1993-01-18,3.6230,3.7295,3.6230,3.7295,36800
1993-01-19,3.6230,3.7295,3.6230,3.7295,279200
1993-01-20,3.7295,3.8361,3.6763,3.8361,326000
1993-01-21,3.8361,3.9427,3.7295,3.9427,292400
1993-01-22,3.9427,3.9427,3.8361,3.8361,85200
1993-01-25,3.9427,3.9427,3.8361,3.8361,80000
1993-01-26,3.8361,3.8894,3.7828,3.8105,415600
1993-01-27,3.8894,3.8894,3.6763,3.6763,400400
1993-01-28,3.7828,3.7828,3.6230,3.6763,326400
1993-01-29,3.6230,3.7828,3.6230,3.6763,179600
1993-02-01,3.6763,3.7828,3.6763,3.7295,179200
1993-02-02,3.6230,3.8361,3.6230,3.8361,149600
1993-02-03,3.8361,3.9427,3.7295,3.9427,154800
1993-02-04,3.9427,3.9427,3.8361,3.8361,182400
1993-02-05,3.8361,3.9427,3.7828,3.8105,358000
1993-02-08,3.8894,3.8894,3.7828,3.7828,79600
1993-02-09,3.8894,3.8894,3.6763,3.8361,272800
1993-02-10,3.7828,3.7828,3.4631,3.4631,596400
1993-02-11,3.6230,3.6230,3.4631,3.4908,707600
1993-02-12,3.6230,3.6230,3.4631,3.4631,32800
1993-02-16,3.4099,3.5164,3.0902,3.2500,246000
1993-02-17,3.2500,3.2500,3.1435,3.1967,56400
1993-02-18,3.3033,3.3566,3.0902,3.1435,258000
1993-02-19,3.2500,3.2500,3.1435,3.1967,374000
1993-02-22,3.1967,3.2500,2.7705,2.8515,472400
1993-02-23,2.9836,3.1435,2.9581,3.1435,214800
1993-02-24,3.0369,3.1435,2.9304,3.0902,120800
1993-02-25,3.0902,3.1967,3.0113,3.0902,119600
1993-02-26,3.1967,3.1967,3.0646,3.1967,198400
