date,open,high,low,close,volume
1987-03-11,5.2688,5.3577,5.2688,5.2969,134000
1987-03-12,5.2688,5.2688,5.2102,5.2102,48800
1987-03-13,5.2102,5.2102,5.0931,5.2102,412400
1987-03-16,5.1798,5.1798,5.0931,5.1798,198800
1987-03-17,5.1798,5.6200,5.1517,5.6200,482800
1987-03-18,5.6200,5.7956,5.6200,5.6200,870800
1987-03-19,5.6785,6.0298,5.6785,6.0298,1842000
1987-03-20,6.0602,6.2054,6.0602,6.2054,773600
1987-03-23,6.2054,6.2054,6.0883,6.0883,257200
1987-03-24,5.9713,6.0883,5.9713,5.9713,400000
1987-03-25,5.9713,5.9994,5.7956,5.7956,1154400
1987-03-26,5.7956,5.8823,5.7956,5.7956,112400
1987-03-27,5.7956,5.8823,5.7371,5.7371,724000
1987-03-30,5.6200,5.6200,5.4748,5.5310,112000
1987-03-31,5.5029,5.6785,5.5029,5.5310,679200
1987-04-01,5.5310,5.6200,5.4444,5.6200,388400
1987-04-02,5.5919,5.5919,5.5310,5.5919,141200
1987-04-03,5.5919,5.6200,5.5029,5.6200,554000
1987-04-06,5.6200,5.6785,5.5919,5.6200,334000
1987-04-07,5.6200,5.6200,5.5029,5.5310,178000
1987-04-08,5.5310,5.6200,5.5029,5.5029,227200
1987-04-09,5.5029,5.5310,5.1798,5.2102,548800
1987-04-10,5.2102,5.3858,5.1517,5.3858,948400
1987-04-13,5.3858,5.3858,5.2688,5.2688,249600
1987-04-14,5.2407,5.2407,4.9760,5.0627,533600
1987-04-15,5.1517,5.5029,5.1517,5.3858,882000
1987-04-16,5.5029,5.9127,5.5029,5.8823,1328400
1987-04-20,5.8261,5.8261,5.6785,5.6785,1136000
1987-04-21,5.6785,6.0298,5.6200,5.9127,416400
1987-04-22,5.9127,5.9713,5.7956,5.7956,583600
1987-04-23,5.7956,5.8261,5.7371,5.7371,110400
1987-04-24,5.7371,5.7371,5.6200,5.6785,419600
1987-04-27,5.6200,5.6200,5.4748,5.5615,266000
1987-04-28,5.5615,5.9127,5.5615,5.8542,438400
1987-04-29,5.9127,6.2640,5.9127,6.1469,607600
1987-04-30,6.1469,6.3810,6.1469,6.3225,952400
1987-05-01,6.3225,6.7323,6.2944,6.6152,1901200
1987-05-04,6.6152,6.7908,6.5286,6.5286,644000
1987-05-05,6.6738,6.8798,6.6738,6.8798,1289600
1987-05-06,6.7908,6.7908,6.7019,6.7323,247200
1987-05-07,6.7019,6.7019,6.6457,6.6457,364800
1987-05-08,6.6738,6.7908,6.6738,6.6738,772800
1987-05-11,6.6738,6.8494,6.4677,6.4677,685600
1987-05-12,6.4677,6.4677,6.2944,6.3225,135200
1987-05-13,6.2944,6.2944,6.2054,6.2335,256000
1987-05-14,6.2335,6.3225,6.2054,6.2054,612000
1987-05-15,6.2054,6.2054,5.8261,5.8261,335200
1987-05-18,5.8261,5.9432,5.7371,5.9432,1107200
1987-05-19,5.9432,6.1469,5.7371,5.7956,432800
1987-05-20,5.7956,5.9994,5.7371,5.9994,228000
1987-05-21,5.9994,6.0602,5.9713,6.0298,881200
1987-05-22,6.0298,6.1469,5.8823,5.9127,546000
1987-05-26,5.9713,6.1773,5.9713,6.1773,700400
1987-05-27,6.1773,6.4396,6.1164,6.4115,631200
1987-05-28,6.4115,6.7019,6.3810,6.6738,1440000
1987-05-29,6.7627,7.0835,6.7627,6.9079,4343600
1987-06-01,6.8494,6.8494,6.6457,6.7019,179200
1987-06-02,6.6738,6.6738,6.4396,6.4396,643600
1987-06-03,6.4396,6.6457,6.4115,6.4115,318400
1987-06-04,6.4115,6.4396,6.2640,6.2640,358400
1987-06-05,6.2640,6.2944,6.2054,6.2335,240400
1987-06-08,6.2335,6.4396,6.1773,6.4396,503200
1987-06-09,6.5567,6.7323,6.5567,6.5848,744800
1987-06-10,6.5848,6.6457,6.5567,6.5567,222400
1987-06-11,6.5567,6.6457,6.4981,6.5848,382400
1987-06-12,6.5848,6.6152,6.4396,6.5567,198000
1987-06-15,6.5567,6.5848,6.3810,6.4115,41200
1987-06-16,6.3810,6.3810,6.2335,6.3225,422000
1987-06-17,6.2944,6.3810,6.2335,6.3225,177200
1987-06-18,6.2944,6.2944,6.0298,6.1164,330800
1987-06-19,6.0883,6.1773,6.0883,6.1469,142000
1987-06-22,6.0883,6.1773,6.0298,6.0883,554800
1987-06-23,6.1469,6.1469,6.0602,6.0883,188400
1987-06-24,5.9713,6.2054,5.9127,6.1469,369200
1987-06-25,6.1469,6.2640,6.0602,6.2335,437600
1987-06-26,6.2054,6.2335,6.1164,6.2054,258400
1987-06-29,6.2054,6.2054,6.1469,6.2054,239200
1987-06-30,6.2054,6.2640,6.1469,6.1469,527600
1987-07-01,6.2054,6.2335,6.0883,6.0883,381600
1987-07-02,6.0883,6.1469,6.0602,6.1469,347200
1987-07-06,6.1469,6.1469,5.8542,5.9127,919200
1987-07-07,5.9127,6.1469,5.9127,6.0602,1039200
1987-07-08,5.9713,6.0883,5.8823,6.0298,328000
1987-07-09,5.9994,6.2640,5.9994,6.2054,91600
1987-07-10,6.1773,6.2640,6.1773,6.2335,96800
1987-07-13,6.2054,6.3810,6.2054,6.3810,425200
1987-07-14,6.5567,6.6738,6.5286,6.6457,970400
1987-07-15,6.6738,6.6738,6.5848,6.5848,121600
1987-07-16,6.6738,6.6738,6.5848,6.5848,444800
1987-07-17,6.6152,6.6738,6.6152,6.6152,484800
1987-07-20,6.5848,6.5848,6.4115,6.4677,218400
1987-07-21,6.4115,6.4981,6.4115,6.4981,114400
1987-07-22,6.4981,6.4981,6.4396,6.4396,126400
1987-07-23,6.5286,6.5286,6.3225,6.3810,162000
