date,open,high,low,close,volume
1983-04-06,1.4756,1.4866,1.4701,1.4866,1752000
1983-04-07,1.4976,1.5417,1.4976,1.5390,2992800
1983-04-08,1.5390,1.5472,1.5333,1.5362,2265600
1983-04-11,1.5362,1.5582,1.5307,1.5527,945600
1983-04-12,1.5527,1.5747,1.5527,1.5747,1855200
1983-04-13,1.5912,1.6187,1.5912,1.6187,1920000
1983-04-14,1.6132,1.6216,1.6022,1.6077,2805600
1983-04-15,1.5857,1.5857,1.5637,1.5637,2042400
1983-04-18,1.5637,1.5692,1.5555,1.5555,1104000
1983-04-19,1.5417,1.5527,1.5225,1.5417,1329600
1983-04-20,1.5582,1.5939,1.5582,1.5857,1807200
1983-04-21,1.5857,1.5857,1.5362,1.5527,372000
1983-04-22,1.5472,1.5582,1.4811,1.5251,1401600
1983-04-25,1.5196,1.5417,1.4976,1.5086,1980000
1983-04-26,1.5031,1.5196,1.4866,1.5196,1324800
1983-04-27,1.5060,1.5196,1.4921,1.4921,1168800
1983-04-28,1.4921,1.4948,1.4866,1.4948,11100000
1983-04-29,1.4948,1.5003,1.4866,1.4976,3960000
1983-05-02,1.5086,1.5141,1.5003,1.5031,2337600
1983-05-03,1.5003,1.5086,1.4921,1.4976,1468800
1983-05-04,1.4866,1.5003,1.4701,1.4756,5558400
1983-05-05,1.4866,1.5086,1.4646,1.5031,5668800
1983-05-06,1.5086,1.5747,1.5086,1.5692,4298400
1983-05-09,1.5527,1.5637,1.5362,1.5472,1504800
1983-05-10,1.5417,1.5637,1.5417,1.5582,2001600
1983-05-11,1.5637,1.5637,1.5362,1.5417,2083200
1983-05-12,1.5417,1.5582,1.5307,1.5472,1876800
1983-05-13,1.5472,1.5857,1.5472,1.5776,5138400
1983-05-16,1.5527,1.5939,1.5527,1.5912,2474400
1983-05-17,1.6077,1.6159,1.5967,1.6106,1428000
1983-05-18,1.6408,1.6463,1.6243,1.6298,3602400
1983-05-19,1.6298,1.6298,1.6022,1.6022,4766400
1983-05-20,1.6022,1.6022,1.5802,1.5967,3333600
1983-05-23,1.5967,1.5967,1.5637,1.5857,655200
1983-05-24,1.5912,1.5967,1.5692,1.5747,2160000
1983-05-25,1.5747,1.5912,1.5692,1.5802,4615200
1983-05-26,1.5857,1.5857,1.5721,1.5747,1689600
1983-05-27,1.5747,1.5747,1.5417,1.5472,1212000
1983-05-31,1.5417,1.5472,1.5225,1.5225,1104000
1983-06-01,1.5307,1.5307,1.5003,1.5003,2402400
1983-06-02,1.5060,1.5472,1.5060,1.5472,2224800
1983-06-03,1.5498,1.5721,1.5498,1.5721,897600
1983-06-06,1.5721,1.5721,1.5555,1.5637,720000
1983-06-07,1.5637,1.5663,1.5307,1.5362,1368000
1983-06-08,1.5390,1.5637,1.5307,1.5608,1852800
1983-06-09,1.5663,1.5857,1.5637,1.5857,2028000
1983-06-10,1.5912,1.6353,1.5886,1.6298,2107200
1983-06-13,1.6381,1.6573,1.6324,1.6573,852000
1983-06-14,1.6628,1.7013,1.6599,1.6958,3285600
1983-06-15,1.6985,1.7207,1.6767,1.7207,2832000
1983-06-16,1.7289,1.7729,1.7289,1.7564,6146400
1983-06-17,1.7619,1.7619,1.7454,1.7509,1003200
1983-06-20,1.7619,1.7729,1.7509,1.7619,986400
1983-06-21,1.7674,1.7729,1.7399,1.7703,2889600
1983-06-22,1.7703,1.7894,1.7509,1.7674,3645600
1983-06-23,1.7674,1.7703,1.7454,1.7480,818400
1983-06-24,1.7179,1.7179,1.6958,1.7068,2265600
1983-06-27,1.7068,1.7123,1.7042,1.7042,1708800
1983-06-28,1.7042,1.7123,1.6573,1.6628,1303200
1983-06-29,1.6463,1.6712,1.6408,1.6628,2392800
1983-06-30,1.6683,1.6712,1.6408,1.6463,3732000
1983-07-01,1.6463,1.6518,1.6132,1.6298,2954400
1983-07-05,1.6243,1.6243,1.5637,1.5721,1785600
1983-07-06,1.5886,1.6187,1.5886,1.6077,3028800
1983-07-07,1.6187,1.6353,1.6077,1.6298,2167200
1983-07-08,1.6408,1.6573,1.6381,1.6463,1008000
1983-07-11,1.6628,1.6848,1.6628,1.6848,974400
1983-07-12,1.6903,1.6903,1.6463,1.6489,1327200
1983-07-13,1.6408,1.6408,1.6132,1.6132,2258400
1983-07-14,1.6132,1.6408,1.6132,1.6132,3573600
1983-07-15,1.6132,1.6187,1.5967,1.6132,1027200
1983-07-18,1.6187,1.6269,1.6051,1.6051,852000
1983-07-19,1.6106,1.6269,1.6022,1.6159,888000
1983-07-20,1.6518,1.6877,1.6463,1.6877,1096800
1983-07-21,1.6930,1.7234,1.6903,1.7068,2126400
1983-07-22,1.6916,1.7042,1.6793,1.6958,1185600
1983-07-25,1.6848,1.7179,1.6791,1.7121,388800
1983-07-26,1.7068,1.7509,1.6958,1.7509,1396800
1983-07-27,1.7509,1.7509,1.6738,1.6848,807600
1983-07-28,1.6298,1.6848,1.6298,1.6461,944400
1983-07-29,1.5967,1.6187,1.5417,1.6077,1776000
1983-08-01,1.6077,1.6298,1.5637,1.5747,874800
1983-08-02,1.5584,1.5584,1.5307,1.5417,1718400
1983-08-03,1.5417,1.5469,1.5139,1.5196,1227600
1983-08-04,1.5254,1.5307,1.4205,1.4703,3735600
1983-08-05,1.4756,1.4866,1.4646,1.4809,2322000
1983-08-08,1.4756,1.4756,1.4426,1.4536,472800
1983-08-09,1.4536,1.4646,1.4426,1.4646,2272800
1983-08-10,1.4536,1.5307,1.4536,1.5307,3458400
1983-08-11,1.5364,1.5637,1.5364,1.5364,2144400
1983-08-12,1.5469,1.5747,1.5417,1.5637,2004000
1983-08-15,1.5857,1.6187,1.5857,1.6024,1902000
1983-08-16,1.6077,1.6077,1.5469,1.5527,1059600
1983-08-17,1.5417,1.5800,1.5196,1.5690,1527600
1983-08-18,1.5747,1.5747,1.5307,1.5364,1456800
1983-08-19,1.4976,1.5417,1.4976,1.5417,1227600
1983-08-22,1.5417,1.5527,1.4536,1.4756,2289600
1983-08-23,1.4536,1.4703,1.4205,1.4315,1700400
1983-08-24,1.4368,1.4536,1.4263,1.4478,1952400
1983-08-25,1.4426,1.4426,1.3932,1.4095,4069200
1983-08-26,1.4095,1.4976,1.3985,1.4809,3008400
1983-08-29,1.4646,1.4703,1.4536,1.4646,494400
1983-08-30,1.4646,1.4646,1.4315,1.4536,1675200
1983-08-31,1.4646,1.4703,1.4536,1.4703,1713600
1983-09-01,1.4976,1.5086,1.4809,1.4976,2401200
1983-09-02,1.5029,1.5139,1.4976,1.5139,974400
1983-09-06,1.5637,1.5637,1.5364,1.5469,1712400
1983-09-07,1.5469,1.5584,1.5196,1.5196,1615200
1983-09-08,1.4976,1.5029,1.4756,1.4866,351600
1983-09-09,1.4646,1.4809,1.4536,1.4593,2452800
1983-09-12,1.4866,1.4923,1.3875,1.3932,3370800
1983-09-13,1.3875,1.3875,1.3545,1.3708,5446800
1983-09-14,1.3818,1.4426,1.3818,1.4368,3076800
1983-09-15,1.4478,1.4536,1.4205,1.4263,1393200
1983-09-16,1.4368,1.4866,1.4263,1.4866,2848800
1983-09-19,1.4866,1.5637,1.4866,1.5417,3186000
1983-09-20,1.5307,1.5857,1.5307,1.5747,1634400
1983-09-21,1.5637,1.5747,1.5307,1.5417,685200
1983-09-22,1.5307,1.5857,1.5307,1.5469,1636800
1983-09-23,1.5637,1.5637,1.5527,1.5584,2130000
1983-09-26,1.5637,1.5637,1.5086,1.5417,3079200
1983-09-27,1.5417,1.5417,1.4866,1.4976,1053600
1983-09-28,1.5086,1.5139,1.4703,1.4756,3556800
