date,open,high,low,close,volume
1988-01-05,0.2726,0.2789,0.2726,0.2789,1756800
1988-01-06,0.2828,0.2974,0.2828,0.2974,1952000
1988-01-07,0.2954,0.2954,0.2850,0.2871,2441600
1988-01-08,0.2891,0.2911,0.2726,0.2726,1017600
1988-01-11,0.2726,0.2726,0.2643,0.2643,742400
1988-01-12,0.2685,0.2685,0.2581,0.2602,342400
1988-01-13,0.2561,0.2602,0.2561,0.2602,179200
1988-01-14,0.2561,0.2602,0.2561,0.2561,1344000
1988-01-15,0.2602,0.2602,0.2498,0.2498,748800
1988-01-18,0.2478,0.2478,0.2478,0.2478,752000
1988-01-19,0.2478,0.2519,0.2478,0.2478,150400
1988-01-20,0.2478,0.2519,0.2478,0.2498,108800
1988-01-21,0.2498,0.2498,0.2458,0.2458,2524800
1988-01-22,0.2458,0.2478,0.2458,0.2478,41600
1988-01-25,0.2519,0.2541,0.2519,0.2541,121600
1988-01-26,0.2541,0.2623,0.2541,0.2623,579200
1988-01-27,0.2643,0.2643,0.2643,0.2643,48000
1988-01-28,0.2602,0.2746,0.2581,0.2746,595200
1988-01-29,0.2746,0.2789,0.2746,0.2789,35200
1988-02-01,0.2809,0.2974,0.2809,0.2911,851200
1988-02-02,0.2891,0.2911,0.2871,0.2911,598400
1988-02-03,0.2891,0.2954,0.2891,0.2954,403200
1988-02-04,0.2974,0.3098,0.2974,0.2994,1280000
1988-02-05,0.2994,0.2994,0.2954,0.2954,22400
1988-02-08,0.2850,0.2850,0.2809,0.2809,617600
1988-02-09,0.2828,0.2850,0.2828,0.2850,128000
1988-02-10,0.2850,0.2891,0.2850,0.2891,352000
1988-02-11,0.2850,0.2891,0.2828,0.2850,908800
1988-02-12,0.2809,0.2828,0.2789,0.2809,6681600
1988-02-16,0.2850,0.2850,0.2809,0.2809,793600
1988-02-17,0.2850,0.2891,0.2809,0.2828,326400
1988-02-18,0.2828,0.2828,0.2767,0.2767,169600
1988-02-19,0.2767,0.2809,0.2767,0.2809,1123200
1988-02-22,0.2789,0.2850,0.2767,0.2828,550400
1988-02-23,0.2850,0.2891,0.2828,0.2891,278400
1988-02-24,0.2932,0.3015,0.2932,0.3015,1065600
1988-02-25,0.3015,0.3139,0.3015,0.3076,2761600
1988-02-26,0.3119,0.3119,0.3056,0.3056,1411200
1988-02-29,0.3098,0.3159,0.3098,0.3159,1030400
1988-03-01,0.3159,0.3180,0.3139,0.3139,419200
1988-03-02,0.3139,0.3180,0.3036,0.3076,2588800
1988-03-03,0.3036,0.3036,0.2932,0.2954,1654400
1988-03-04,0.2932,0.2932,0.2891,0.2911,1737600
1988-03-07,0.2891,0.2891,0.2871,0.2891,803200
1988-03-08,0.2932,0.2932,0.2932,0.2932,204800
1988-03-09,0.2932,0.2932,0.2911,0.2932,416000
1988-03-10,0.2911,0.2911,0.2891,0.2891,99200
1988-03-11,0.2891,0.2932,0.2891,0.2891,390400
1988-03-14,0.2932,0.2932,0.2891,0.2911,428800
1988-03-15,0.2911,0.2974,0.2911,0.2954,758400
