date,open,high,low,close,volume
2007-04-19,33.6842,37.0526,32.8790,36.7708,15862400
2007-04-20,36.7708,38.6496,36.3682,38.3141,3054700
2007-04-23,38.3812,38.8374,37.9651,38.5825,1876400
2007-04-24,38.2604,39.4548,38.2604,39.1864,1532900
2007-04-25,39.6561,39.9245,38.2604,38.3946,1225300
2007-04-26,39.2535,39.3071,36.6366,37.8444,639700
2007-04-27,37.8444,38.2470,37.1063,38.1128,178100
2007-04-30,38.2201,38.8643,37.5760,37.6431,182500
2007-05-01,37.5760,38.2470,37.3076,37.4418,459200
2007-05-02,37.3076,38.4080,37.2539,37.7907,428500
2007-05-03,37.7773,38.5556,37.6565,38.4483,182600
2007-05-04,38.6093,39.0522,38.1262,38.6496,139800
2007-05-07,38.5154,39.0522,38.2470,39.0119,293300
2007-05-08,39.1595,39.4548,38.9180,39.3206,259600
2007-05-09,39.5487,41.9643,39.3071,41.4006,594800
2007-05-10,41.4006,41.4006,39.8976,40.8102,568600
2007-05-11,41.4006,42.4206,41.1994,41.4812,646200
2007-05-14,42.2729,42.9439,41.6019,42.8366,390900
2007-05-15,45.6279,46.5673,45.2119,45.9098,1224700
2007-05-16,46.6344,46.8223,45.8292,46.1111,239500
2007-05-17,46.2318,49.2245,46.2184,48.8487,592000
2007-05-18,48.9829,49.9894,47.9764,49.0903,905100
2007-05-21,49.2245,49.5063,45.0106,46.3526,708900
2007-05-22,46.7015,46.9699,42.7292,45.2388,1950600
2007-05-23,45.9634,46.7955,44.9569,45.0643,620900
2007-05-24,45.3327,46.2989,45.2253,45.5340,600000
2007-05-25,45.5340,47.2383,45.4266,46.9834,381600
2007-05-29,48.4998,48.4998,45.0240,45.4937,443000
2007-05-30,45.5877,48.1375,45.1717,48.0704,431500
2007-05-31,48.2448,49.6539,47.3725,47.8557,533300
2007-06-01,47.7483,49.3050,47.7080,49.1037,406600
2007-06-04,48.8890,49.2245,47.1712,49.2245,287000
2007-06-05,49.1037,49.5868,47.2652,47.3189,431100
2007-06-06,46.5808,46.7015,44.5141,45.4803,653300
2007-06-07,45.9634,46.0574,43.6149,43.6552,614900
2007-06-08,43.8833,44.2859,43.1050,43.6820,258800
2007-06-11,44.3128,45.9634,44.1517,45.3193,492000
2007-06-12,44.8227,45.2522,43.6149,44.4470,580600
2007-06-13,43.6149,45.4266,43.6149,45.3461,363900
2007-06-14,45.6279,45.8561,43.6955,44.1920,547800
2007-06-15,44.2859,48.1106,44.1517,47.7751,936100
2007-06-18,48.0570,49.4526,46.7150,47.8020,808700
2007-06-19,48.0435,48.0435,45.4535,45.6145,429800
2007-06-20,45.5072,45.7219,43.6955,43.8028,598400
2007-06-21,44.1115,45.6011,43.6820,45.1180,380400
2007-06-22,44.7825,45.6279,43.9907,45.3998,1329000
2007-06-25,45.3193,47.0370,44.8764,46.9699,301500
2007-06-26,46.7150,46.9028,45.2924,46.6479,264700
2007-06-27,46.6479,47.3860,45.8427,46.7686,282600
2007-06-28,46.8760,46.8760,45.1582,45.1582,213300
2007-06-29,45.1851,45.7353,44.0846,44.3396,383900
2007-07-02,44.3665,44.9569,44.2323,44.3262,207200
2007-07-03,44.3262,46.5002,44.3262,46.0842,179000
2007-07-05,46.2721,46.3258,45.0240,45.8829,119700
2007-07-06,46.0976,47.2383,45.8427,47.1981,329000
2007-07-09,47.0102,48.0167,45.9903,47.2115,310600
2007-07-10,46.9028,48.3119,46.8089,47.7886,197400
2007-07-11,48.0838,48.9695,47.6275,48.5401,353700
2007-07-12,48.6743,50.5933,48.6743,49.8687,323400
2007-07-13,48.7145,50.4189,48.5803,49.9358,189000
2007-07-16,50.4189,52.8747,49.9358,51.4791,375200
2007-07-17,50.9691,54.2167,50.9288,54.1228,755500
2007-07-18,52.3514,53.4518,51.1301,52.7674,610700
2007-07-19,52.9821,53.7068,52.5392,53.0760,264200
2007-07-20,53.1431,54.8475,52.4050,52.8345,278200
2007-07-23,53.2773,54.0691,51.9219,52.3514,193200
2007-07-24,51.7340,51.9488,50.1505,50.6604,390300
