date,open,high,low,close,volume
1986-07-09,3.9993,4.0682,3.9993,4.0222,1478000
1986-07-10,4.0452,4.0912,4.0342,4.0682,589200
1986-07-11,4.0682,4.0682,4.0222,4.0452,320400
1986-07-14,4.0222,4.0452,3.9533,3.9533,434000
1986-07-15,3.9763,3.9993,3.7924,3.7924,741600
1986-07-16,3.7924,3.8843,3.7924,3.8614,606400
1986-07-17,3.9073,3.9763,3.8843,3.9533,584000
1986-07-18,3.9533,3.9993,3.9303,3.9303,246800
1986-07-21,3.9763,3.9763,3.9303,3.9303,168000
1986-07-22,3.9303,3.9993,3.9303,3.9763,286400
1986-07-23,3.9763,3.9993,3.9533,3.9533,480000
1986-07-24,3.9763,4.0222,3.9533,3.9533,516800
1986-07-25,3.9303,3.9763,3.9303,3.9533,288800
1986-07-28,3.9533,3.9533,3.8614,3.8614,512400
1986-07-29,3.8614,3.8614,3.7924,3.7924,363600
1986-07-30,3.7924,3.8384,3.7234,3.7924,1024800
1986-07-31,3.7924,3.7924,3.5396,3.7005,3426000
1986-08-01,3.6775,3.7694,3.6775,3.7234,1432400
1986-08-04,3.7234,3.7924,3.6085,3.6315,812400
1986-08-05,3.6315,3.7005,3.6315,3.6545,990000
1986-08-06,3.6775,3.6775,3.5396,3.6315,1485600
1986-08-07,3.5855,3.6315,3.5855,3.6085,1701200
1986-08-08,3.6085,3.6775,3.4706,3.5166,2858400
1986-08-11,3.5396,3.6315,3.5166,3.5506,1228800
1986-08-12,3.5855,3.5855,3.4476,3.5166,2822800
1986-08-13,3.5166,3.6545,3.4936,3.6315,4560000
1986-08-14,3.5855,3.6545,3.5855,3.6315,2767600
1986-08-15,3.6315,3.7234,3.6205,3.7234,1017200
1986-08-18,3.7234,3.7464,3.6545,3.6775,765200
1986-08-19,3.6775,3.6775,3.5626,3.6315,1069600
1986-08-20,3.6315,3.6545,3.6085,3.6315,625600
1986-08-21,3.6545,3.6664,3.5855,3.6085,1936800
1986-08-22,3.6315,3.6545,3.6085,3.6545,583600
1986-08-25,3.6545,3.6545,3.5626,3.5626,627200
1986-08-26,3.6085,3.7005,3.5855,3.7005,1796800
1986-08-27,3.7234,3.8384,3.6775,3.8154,1865200
1986-08-28,3.8384,3.9533,3.8154,3.9303,1195200
1986-08-29,3.9303,3.9533,3.8843,3.9533,1402400
1986-09-02,3.9533,3.9993,3.9303,3.9303,1400000
1986-09-03,3.9073,3.9184,3.8384,3.8614,1788800
1986-09-04,3.8843,3.9073,3.8614,3.9073,1042800
1986-09-05,3.8843,3.9073,3.7804,3.7924,2570800
1986-09-08,3.7694,3.7694,3.6085,3.6085,1161600
1986-09-09,3.6545,3.7234,3.6315,3.6775,2043200
1986-09-10,3.6775,3.7005,3.6545,3.7005,826400
1986-09-11,3.6885,3.7005,3.5396,3.5396,1991200
1986-09-12,3.5396,3.5626,3.3327,3.3327,1473200
1986-09-15,3.3557,3.3787,3.3327,3.3557,661200
1986-09-16,3.4017,3.4247,3.3557,3.4247,220000
1986-09-17,3.4476,3.5166,3.4247,3.4706,786800
1986-09-18,3.5166,3.5166,3.4706,3.5166,816000
1986-09-19,3.4936,3.6545,3.4936,3.6315,868000
1986-09-22,3.6545,3.6545,3.5626,3.5855,1065200
1986-09-23,3.5855,3.6315,3.5855,3.5966,1162000
1986-09-24,3.5855,3.6085,3.5745,3.5855,717200
1986-09-25,3.5855,3.5855,3.4936,3.5166,646000
1986-09-26,3.4936,3.5166,3.4247,3.4706,636800
1986-09-29,3.4247,3.4247,3.2867,3.3787,965600
1986-09-30,3.3557,3.4706,3.3557,3.4476,790000
1986-10-01,3.4706,3.5855,3.4476,3.5855,509600
1986-10-02,3.5396,3.6085,3.5396,3.5396,1281600
1986-10-03,3.5626,3.5855,3.5166,3.5396,620000
1986-10-06,3.5396,3.5855,3.5166,3.5506,166000
1986-10-07,3.5626,3.6085,3.5626,3.5855,160800
1986-10-08,3.5855,3.7005,3.5626,3.6315,314400
1986-10-09,3.6545,3.6775,3.6315,3.6664,967200
1986-10-10,3.6664,3.6775,3.6315,3.6315,1108000
1986-10-13,3.6315,3.6545,3.6315,3.6545,516000
1986-10-14,3.6545,3.6545,3.6315,3.6545,309600
1986-10-15,3.6315,3.7005,3.6315,3.7005,339200
1986-10-16,3.7464,3.7694,3.7005,3.7234,438800
1986-10-17,3.7005,3.7005,3.6085,3.6545,2217200
1986-10-20,3.6315,3.6545,3.5855,3.6085,233600
1986-10-21,3.6085,3.6085,3.5626,3.5626,516400
1986-10-22,3.5626,3.6315,3.5166,3.6315,476000
1986-10-23,3.5626,3.6085,3.5396,3.6085,483200
1986-10-24,3.5626,3.6545,3.5626,3.6315,345200
1986-10-27,3.6085,3.6085,3.5396,3.5855,789600
1986-10-28,3.5626,3.5855,3.5396,3.5626,531200
1986-10-29,3.5626,3.5855,3.5396,3.5855,544000
1986-10-30,3.5855,3.7464,3.5626,3.7005,1017600
1986-10-31,3.6775,3.7005,3.5855,3.6085,2062800
1986-11-03,3.5855,3.6085,3.5396,3.5396,2111600
1986-11-04,3.5626,3.5626,3.4936,3.5166,1223200
1986-11-05,3.4936,3.5396,3.4706,3.5166,854000
1986-11-06,3.5166,3.5855,3.5166,3.5855,1211600
1986-11-07,3.5626,3.5855,3.5396,3.5855,460800
1986-11-10,3.5396,3.6315,3.5396,3.5626,450800
1986-11-11,3.5626,3.5855,3.5626,3.5855,213200
1986-11-12,3.5626,3.6085,3.5166,3.5285,434000
1986-11-13,3.5396,3.5396,3.4476,3.4706,2206800
1986-11-14,3.4476,3.4936,3.4247,3.4247,920400
1986-11-17,3.4017,3.4247,3.3557,3.4247,834400
1986-11-18,3.4247,3.4476,3.3787,3.3787,1300400
1986-11-19,3.3787,3.4476,3.3787,3.4017,1251600
1986-11-20,3.4706,3.4936,3.4247,3.4936,636000
1986-11-21,3.4706,3.5166,3.4476,3.4936,674800
1986-11-24,3.4476,3.4936,3.4247,3.4936,566800
1986-11-25,3.4936,3.5166,3.4706,3.4936,945200
1986-11-26,3.5166,3.6315,3.5166,3.6085,450800
1986-11-28,3.6315,3.6315,3.5855,3.5855,191200
1986-12-01,3.6085,3.6085,3.5396,3.6085,868800
1986-12-02,3.6085,3.7464,3.6085,3.7464,788000
1986-12-03,3.7464,3.9303,3.7464,3.8963,721600
1986-12-04,3.8843,3.9533,3.8614,3.9073,867600
1986-12-05,3.9073,3.9533,3.8384,3.8503,1048400
1986-12-08,3.8264,3.8843,3.7924,3.8384,466400
1986-12-09,3.8384,3.9073,3.8384,3.8843,543600
1986-12-10,3.8843,3.8843,3.8384,3.8614,636000
1986-12-11,3.8384,3.8614,3.7005,3.7924,545600
1986-12-12,3.7924,3.7924,3.7464,3.7584,475200
1986-12-15,3.7464,3.7694,3.7234,3.7464,216000
1986-12-16,3.7464,3.7694,3.7234,3.7694,268400
1986-12-17,3.7924,3.8154,3.7694,3.7924,153200
