date,open,high,low,close,volume
1986-07-09,4.8770,5.4766,4.8770,5.4366,1572300
1986-07-10,5.3967,5.6365,5.2767,5.3967,1107900
1986-07-11,5.3967,5.3967,5.1568,5.2767,572400
1986-07-14,5.2368,5.2368,4.7970,4.9169,957902
1986-07-15,4.9169,5.1168,4.8978,4.9169,637502
1986-07-16,4.9169,5.2767,4.9169,5.1568,594000
1986-07-17,5.2368,5.4766,5.1568,5.4366,484200
1986-07-18,5.4366,5.4766,5.0369,5.1968,832802
1986-07-21,5.2368,5.2368,5.0769,5.1168,407102
1986-07-22,4.8370,4.8770,4.5572,4.7970,2781000
1986-07-23,4.7970,4.8770,4.6771,4.7570,922802
1986-07-24,4.7171,4.9969,4.6979,4.9969,877802
1986-07-25,4.9569,5.1168,4.8770,5.1168,559800
1986-07-28,5.1168,5.1168,4.8770,4.8770,422100
1986-07-29,4.9169,4.9169,4.7171,4.7970,629402
1986-07-30,4.7570,4.7970,4.6771,4.7171,574200
1986-07-31,4.7970,4.8370,4.7171,4.7570,495302
1986-08-01,4.7570,4.7970,4.4772,4.5572,873302
1986-08-04,4.5572,4.6371,4.4772,4.5172,801900
1986-08-05,4.5572,4.7171,4.5172,4.7171,339602
1986-08-06,4.6771,4.9169,4.6771,4.8370,462902
1986-08-07,4.8370,4.9969,4.8370,4.8770,714600
1986-08-08,4.9169,5.0769,4.7570,4.7570,474602
1986-08-11,4.8370,4.8370,4.6771,4.7570,409802
1986-08-12,4.7778,4.9169,4.7570,4.8370,529200
1986-08-13,4.8370,4.9569,4.7970,4.8770,425102
1986-08-14,4.9169,4.9569,4.7970,4.9169,214200
1986-08-15,4.7970,4.9169,4.7970,4.7970,167400
1986-08-18,4.8370,4.8770,4.7570,4.7970,232200
1986-08-19,4.7570,4.7570,4.5971,4.5971,643802
1986-08-20,4.6771,4.6771,4.5572,4.6371,324302
1986-08-21,4.5971,4.6771,4.5380,4.5572,402300
1986-08-22,4.5764,4.6371,4.2374,4.4772,986400
1986-08-25,4.2374,4.4372,4.0775,4.2374,1368900
1986-08-26,4.2374,4.2374,4.0375,4.0775,1662602
1986-08-27,4.0775,4.4372,4.0775,4.3173,1614600
1986-08-28,4.3173,4.3973,4.2374,4.3973,531302
1986-08-29,4.3973,4.4772,4.3573,4.4372,347702
1986-09-02,4.4772,4.5971,4.4372,4.4772,487800
1986-09-03,4.4372,4.5172,4.2773,4.3573,234900
1986-09-04,4.3573,4.5172,4.2773,4.4372,287402
1986-09-05,4.4772,4.6371,4.3973,4.4772,144000
1986-09-08,4.4372,4.4772,4.2773,4.3173,309002
1986-09-09,4.3573,4.3973,4.2773,4.3573,270000
1986-09-10,4.3173,4.3173,4.2374,4.3173,123602
1986-09-11,4.3173,4.3173,3.9575,3.9575,876902
1986-09-12,3.9975,4.0775,3.5978,3.7976,1716300
1986-09-15,3.7577,3.7976,3.5978,3.6377,1524002
1986-09-16,3.6777,3.6777,3.4778,3.5978,1849802
1986-09-17,3.5978,3.9575,3.5578,3.9176,1271700
1986-09-18,3.9176,4.2374,3.8984,4.1174,1033502
1986-09-19,4.1174,4.1974,3.8568,3.8776,881100
1986-09-22,3.8376,4.0375,3.7577,4.0375,745200
1986-09-23,4.0775,4.1574,3.9975,4.1574,269100
1986-09-24,4.1382,4.1974,4.0375,4.1174,482702
1986-09-25,4.1174,4.1574,3.9575,4.0375,461700
1986-09-26,3.9575,3.9975,3.8776,3.9575,440402
1986-09-29,3.8376,3.9176,3.7976,3.8776,332100
1986-09-30,3.8776,3.8776,3.7976,3.8376,219902
1986-10-01,3.8776,3.8984,3.7976,3.8776,143100
1986-10-02,3.8776,3.9975,3.7976,3.9975,261900
1986-10-03,3.9176,4.0375,3.9176,3.9975,158400
1986-10-06,3.9575,3.9575,3.8376,3.9176,193500
1986-10-07,3.9176,3.9176,3.8376,3.9176,342900
1986-10-08,3.9176,3.9975,3.8376,3.9176,188100
1986-10-09,3.9975,4.0375,3.9176,3.9575,360302
1986-10-10,3.9575,4.0775,3.9575,3.9975,173102
1986-10-13,3.9975,4.0775,3.9575,3.9975,57002
1986-10-14,3.9575,4.1174,3.9575,4.1174,257400
1986-10-15,4.1174,4.1574,4.0375,4.1574,251402
1986-10-16,4.1174,4.1974,4.0775,4.1174,156902
1986-10-17,4.0775,4.1174,4.0375,4.0775,164700
1986-10-20,4.1174,4.1174,3.9975,4.0583,147902
1986-10-21,3.9975,4.0775,3.9575,3.9975,240300
1986-10-22,3.9575,4.0375,3.8376,4.0375,256802
1986-10-23,4.0375,4.1574,3.9975,4.0775,478800
1986-10-24,4.0775,4.1574,4.0775,4.0775,243000
1986-10-27,4.0775,4.1574,4.0775,4.1574,179100
1986-10-28,4.1574,4.1974,4.0775,4.1574,249602
1986-10-29,4.1574,4.2374,4.1174,4.1174,544802
1986-10-30,4.1382,4.1974,4.1174,4.1574,219002
1986-10-31,4.1174,4.1782,4.0775,4.1782,435600
1986-11-03,4.1782,4.1974,4.1382,4.1782,296100
1986-11-04,4.1782,4.2166,4.1782,4.1782,94802
1986-11-05,4.1974,4.1974,4.1574,4.1574,185702
1986-11-06,4.1974,4.1974,4.0583,4.1382,302702
