date,open,high,low,close,volume
2020-02-24,107.6662,108.7902,106.6409,107.9092,2108141
2020-03-02,99.0619,103.3158,96.9152,99.0126,1840238
2020-03-03,99.5444,107.8553,98.7812,104.4384,4094322
2020-03-04,107.2940,116.2943,106.4767,116.0186,3380353
2020-03-05,112.4539,114.1969,109.8149,110.7110,3181443
2020-03-06,108.7908,111.7646,105.6397,110.8095,3251243
2020-03-09,105.9253,105.9942,101.8191,103.6703,3377554
2020-03-10,105.6102,106.7525,98.8846,105.4329,2582128
2020-03-11,102.7250,107.5402,101.6615,105.3640,3001248
2020-03-12,98.5104,101.4153,90.6032,94.8571,3885031
2020-03-13,98.8945,103.0499,94.8965,101.8584,2770444
2020-03-16,88.8110,101.4449,88.8110,90.7804,2747460
2020-03-17,91.3811,92.8680,86.9204,91.7849,3582856
2020-03-18,87.5014,88.7815,69.2547,81.7408,3013532
2020-03-19,79.8206,84.3011,76.5612,80.4804,2217543
2020-03-20,80.8546,82.8240,72.2925,74.5229,2670582
2020-03-23,72.7209,74.2866,68.9297,70.1705,2112082
2020-03-24,73.7253,77.7823,72.2777,75.6356,2254022
2020-03-25,75.6848,85.9357,75.0606,83.8185,2103121
2020-03-26,83.2474,91.0094,82.9274,85.5516,2377441
2020-03-27,83.1096,83.7004,79.2692,81.4060,1610216
2020-03-30,80.4311,84.3109,80.0865,83.0111,1714506
2020-03-31,81.5833,83.0111,79.3332,81.3272,2048124
2020-04-01,77.2210,80.6182,75.8227,79.6532,1900109
2020-04-02,79.4366,81.9673,79.0329,81.5931,1403930
2020-04-03,80.4114,82.8437,77.3687,78.8064,1654521
2020-04-06,82.7157,86.7825,81.8379,85.7092,2026939
2020-04-07,88.7224,91.1349,86.3099,86.8219,1511975
2020-04-08,86.6053,87.8756,85.2168,86.5265,1740907
2020-04-09,88.3285,92.8680,87.8657,90.1995,1281645
2020-04-13,89.2935,89.9828,86.4724,88.4368,1051886
2020-04-14,90.2290,91.2580,89.4609,90.7214,1026903
2020-04-15,88.0823,89.1951,85.1971,85.3941,1120482
2020-04-16,85.4926,85.8864,83.3508,84.4586,1910834
2020-04-17,87.1075,90.2782,85.4039,88.5353,2561744
2020-04-20,84.7540,86.4083,82.7157,83.7201,1400988
2020-04-21,82.8338,82.8535,78.7571,79.2692,1931599
2020-04-22,80.6182,81.1894,79.4661,80.5887,1554812
2020-04-23,82.0067,83.4739,81.0220,82.4104,1878154
2020-04-24,82.9126,83.2967,81.4503,82.7452,1215229
2020-04-27,83.1391,85.2562,83.0899,85.0494,1547911
2020-04-28,86.4477,88.1907,85.5516,86.3000,1948711
2020-04-29,88.6141,89.6874,87.5604,88.9587,1125090
2020-04-30,87.3635,88.0036,85.8175,86.0834,1215547
2020-05-01,84.6063,85.6403,83.7102,85.4827,960146
2020-05-04,84.7836,84.7836,83.2474,83.8481,1158049
2020-05-05,77.7429,82.4301,76.8074,80.9038,3443112
2020-05-06,81.1500,81.1795,78.5208,78.5996,1712489
2020-05-07,79.5351,81.1401,79.3480,79.7911,1820630
2020-05-08,81.5931,83.4542,81.2878,83.0997,1239553
2020-05-11,82.0953,82.2085,79.6532,79.7418,1164567
2020-05-12,79.9388,80.4410,75.0251,75.5864,1795449
2020-05-13,75.1826,75.7538,73.1295,75.4780,4146675
2020-05-14,73.8434,77.7133,72.6027,77.1225,2589571
2020-05-15,76.3446,77.5164,75.2614,76.0295,1994042
2020-05-18,78.4125,80.4705,78.4026,80.1456,1598238
2020-05-19,80.3425,81.7605,79.1116,79.1806,1479108
2020-05-20,80.2637,80.5592,78.3829,78.5307,1443620
2020-05-21,78.2451,80.7118,78.2451,80.1160,1361427
2020-05-22,81.0220,82.3710,79.9388,82.0855,1236076
2020-05-26,84.5374,87.8263,84.5374,87.5703,1756576
2020-05-27,88.2793,90.7115,88.2793,89.5496,1823486
2020-05-28,90.2093,90.7115,88.4762,88.9193,1180850
2020-05-29,88.1414,89.0867,87.3635,88.8307,1630332
2020-06-01,88.5747,90.5638,87.9346,89.0474,1387034
2020-06-02,89.3625,90.5343,88.8209,90.0419,1362080
2020-06-03,90.6623,93.4096,90.6032,92.8877,1330318
2020-06-04,91.7197,94.8190,91.7197,94.6011,1930391
2020-06-05,98.0271,102.6265,97.5221,101.0075,2187849
2020-06-08,99.9481,102.5819,97.6608,98.0172,2250762
2020-06-09,96.7993,97.1954,94.9081,96.5023,1169671
2020-06-10,95.7794,97.1657,93.5812,93.6605,1464364
2020-06-11,90.5117,90.9969,88.8284,88.8878,1170279
2020-06-12,91.6999,91.9277,86.7392,89.5017,1311356
2020-06-15,86.7193,90.5662,86.3480,89.7592,1489751
2020-06-16,92.7198,93.9674,89.5611,90.7791,1118895
2020-06-17,91.0959,91.7197,89.4126,90.9474,1149815
2020-06-18,90.5810,90.6800,88.7690,89.1849,948322
2020-06-19,91.1751,91.2543,88.2442,88.4125,2392553
2020-06-22,88.1650,90.1453,87.0560,89.2938,1108798
2020-06-23,90.3830,90.5414,88.9571,89.2047,882117
2020-06-24,89.3631,89.9374,85.1351,85.1945,1744578
2020-06-25,84.9766,85.0806,83.3429,84.9568,3400660
2020-06-26,85.0955,85.6104,83.4716,83.8082,7495104
2020-06-29,84.7192,88.3531,84.5806,88.3135,1827791
2020-06-30,87.6798,88.6848,87.1352,88.1056,1442743
2020-07-01,88.6205,89.6206,87.3432,87.9868,1391716
2020-07-02,89.6800,91.1157,89.1552,89.6404,1526512
2020-07-06,91.0959,92.0861,90.2543,91.6306,1363241
2020-07-07,91.1355,91.8187,90.3335,90.5117,1584069
2020-07-08,91.0959,91.7791,90.2196,91.2246,1359720
2020-07-09,90.9969,91.3534,88.6997,89.4027,1578916
2020-07-10,89.5215,90.7890,88.8779,90.7395,1209206
2020-07-13,91.2147,92.9177,89.8582,91.1850,1466662
2020-07-14,91.5217,96.5914,90.6305,96.5716,2161449
2020-07-15,98.9381,100.7105,98.7500,99.9382,2434041
2020-07-16,99.9778,102.3740,99.0470,100.9382,1553066
2020-07-17,101.0571,101.7403,100.3837,101.4432,3455806
2020-07-20,100.9976,102.8295,100.7600,102.3641,1377437
2020-07-21,103.6216,104.7009,102.8592,104.4137,2259813
2020-07-22,104.3147,105.3643,103.9682,105.1663,1524897
2020-07-23,104.7108,105.5524,103.9533,104.3840,1381904
2020-07-24,104.4434,104.6811,102.0175,102.7403,1006877
2020-07-27,102.6215,103.8691,101.2551,103.5226,1159626
2020-07-28,102.8790,104.0672,102.4235,102.6908,1361123
2020-07-29,115.8502,115.8502,109.3052,109.3844,2376726
