date,open,high,low,close,volume
1984-10-24,2.7648,3.0068,2.7648,2.8340,17392000
1984-10-25,2.8340,2.8602,2.6874,2.6957,9512000
1984-10-26,2.6266,2.6612,2.5402,2.5748,5972800
1984-10-29,2.6093,2.6183,2.4884,2.5402,5658400
1984-10-30,2.5492,2.6957,2.5312,2.5492,4671200
1984-10-31,2.5920,2.6183,2.4711,2.5229,7843200
1984-11-01,2.5229,2.6093,2.5229,2.6093,2288000
1984-11-02,2.5920,2.6439,2.5920,2.6003,1428000
1984-11-05,2.6266,2.6349,2.5748,2.5748,971200
1984-11-06,2.5837,2.6439,2.5748,2.6439,2307200
1984-11-07,2.6266,2.6439,2.6093,2.6266,888800
1984-11-08,2.6266,2.6874,2.6266,2.6784,1760800
1984-11-09,2.6612,2.6784,2.5748,2.5837,1597600
1984-11-12,2.5920,2.6093,2.5658,2.6093,351200
1984-11-13,2.6003,2.6093,2.5492,2.5748,1725600
1984-11-14,2.5920,2.6003,2.5658,2.5748,386400
1984-11-15,2.5658,2.5837,2.5056,2.5146,1172000
1984-11-16,2.4967,2.4967,2.4109,2.4365,2438400
1984-11-19,2.4455,2.4538,2.3930,2.4109,336000
1984-11-20,2.4365,2.4711,2.4365,2.4711,264000
1984-11-21,2.4711,2.4884,2.4538,2.4884,396800
1984-11-23,2.4711,2.4967,2.4538,2.4884,460800
1984-11-26,2.5056,2.5056,2.4711,2.4884,168800
1984-11-27,2.4711,2.4801,2.4020,2.4538,838400
1984-11-28,2.4455,2.4621,2.4275,2.4275,256800
1984-11-29,2.4275,2.4365,2.4020,2.4020,453600
1984-11-30,2.2637,2.3501,2.2464,2.3239,10840000
1984-12-03,2.2119,2.2810,2.2119,2.2202,3474400
1984-12-04,2.2202,2.2637,2.2119,2.2381,1960000
1984-12-05,2.2637,2.2637,2.2464,2.2547,1814400
1984-12-06,2.2727,2.2893,2.2464,2.2547,1164000
1984-12-07,2.2727,2.3156,2.2637,2.2810,1740800
1984-12-10,2.2464,2.2464,2.2119,2.2202,3161600
1984-12-11,2.2036,2.2119,2.1856,2.1946,492000
1984-12-12,2.2119,2.2119,2.1690,2.1773,503200
1984-12-13,2.1690,2.1856,2.1428,2.1856,1376000
1984-12-14,2.1856,2.2036,2.1773,2.1773,468000
1984-12-17,2.1946,2.2036,2.1856,2.2036,562400
1984-12-18,2.2036,2.2464,2.1946,2.2464,834400
1984-12-19,2.2464,2.2810,2.2464,2.2547,1343200
1984-12-20,2.2637,2.2983,2.2547,2.2810,2442400
1984-12-21,2.2810,2.2893,2.2727,2.2893,1355200
1984-12-24,2.2727,2.2893,2.2727,2.2810,512000
1984-12-26,2.2810,2.2893,2.2727,2.2727,1364000
1984-12-27,2.2727,2.2893,2.2637,2.2637,804800
1984-12-28,2.2727,2.3073,2.2637,2.3073,827200
1984-12-31,2.2893,2.3418,2.2810,2.3418,436000
1985-01-02,2.3501,2.3501,2.2983,2.3073,576800
1985-01-03,2.2983,2.2983,2.2464,2.2464,425600
1985-01-04,2.2464,2.2637,2.2381,2.2637,221600
1985-01-07,2.2727,2.3073,2.2727,2.2810,934400
1985-01-08,2.3328,2.3501,2.2983,2.3328,12408000
1985-01-09,2.3328,2.3418,2.3156,2.3156,1196000
1985-01-10,2.3239,2.3501,2.3156,2.3501,1504000
1985-01-11,2.3501,2.3674,2.3328,2.3328,876000
1985-01-14,2.3328,2.4020,2.3239,2.4020,973600
1985-01-15,2.4192,2.4365,2.3930,2.4020,606400
1985-01-16,2.4884,2.4884,2.4365,2.4455,1909600
1985-01-17,2.4455,2.4884,2.4455,2.4801,824800
1985-01-18,2.4801,2.4967,2.4711,2.4884,452000
