date,open,high,low,close,volume
1990-03-07,1.3215,1.3215,1.2909,1.3111,7600
1990-03-08,1.2909,1.3215,1.2909,1.3215,30200
1990-03-09,1.3215,1.3215,1.2909,1.2909,26600
1990-03-12,1.2909,1.3215,1.2909,1.2909,99400
1990-03-13,1.3111,1.3111,1.2909,1.2909,27000
1990-03-14,1.3111,1.3111,1.2909,1.3111,18800
1990-03-15,1.3111,1.3111,1.2909,1.2909,92600
1990-03-16,1.2812,1.3006,1.2602,1.2602,22600
1990-03-19,1.2602,1.3006,1.2602,1.2909,16800
1990-03-20,1.2909,1.2909,1.2707,1.2909,20800
1990-03-21,1.2909,1.2909,1.2812,1.2909,7600
1990-03-22,1.2909,1.3006,1.2812,1.2812,43200
1990-03-23,1.3006,1.3006,1.2812,1.3006,51600
1990-03-26,1.3006,1.3111,1.2812,1.3111,42800
1990-03-27,1.2909,1.3111,1.2909,1.3111,4400
1990-03-28,1.3111,1.3111,1.2909,1.3111,5200
1990-03-29,1.2909,1.3006,1.2909,1.3006,6400
1990-03-30,1.3111,1.3111,1.2812,1.2909,10200
1990-04-02,1.2812,1.3006,1.2812,1.3006,5800
1990-04-03,1.3006,1.3006,1.2812,1.2909,200600
1990-04-04,1.3006,1.3111,1.2812,1.3111,100800
1990-04-05,1.3111,1.3111,1.2812,1.3006,25600
1990-04-06,1.3060,1.3258,1.2953,1.3159,32600
1990-04-09,1.3159,1.3159,1.2953,1.2953,8200
1990-04-10,1.2953,1.3159,1.2953,1.2953,19000
1990-04-11,1.2953,1.3159,1.2846,1.2846,22800
1990-04-12,1.2953,1.3060,1.2748,1.3060,44400
1990-04-16,1.3060,1.3060,1.2748,1.3060,13200
1990-04-17,1.2748,1.3060,1.2748,1.2748,24000
1990-04-18,1.3060,1.3060,1.2748,1.3060,18200
1990-04-19,1.2748,1.3060,1.2748,1.2748,17200
1990-04-20,1.2748,1.3060,1.2748,1.3060,80200
1990-04-23,1.3060,1.3060,1.2748,1.2846,25400
1990-04-24,1.2953,1.2953,1.2748,1.2953,108600
1990-04-25,1.2953,1.2953,1.2748,1.2953,52000
1990-04-26,1.2748,1.2846,1.2748,1.2846,34400
1990-04-27,1.2846,1.2846,1.2748,1.2748,14400
1990-04-30,1.2846,1.2846,1.2748,1.2846,54200
1990-05-01,1.2846,1.2846,1.2748,1.2846,62600
1990-05-02,1.2846,1.2953,1.2748,1.2748,103200
1990-05-03,1.2953,1.2953,1.2748,1.2953,71400
1990-05-04,1.2748,1.2953,1.2748,1.2748,46800
1990-05-07,1.2748,1.2748,1.2542,1.2542,16400
1990-05-08,1.2542,1.2542,1.2435,1.2435,22200
1990-05-09,1.2542,1.2542,1.2435,1.2435,24000
1990-05-10,1.2435,1.2542,1.2238,1.2337,19800
1990-05-11,1.2337,1.2337,1.2238,1.2238,15800
1990-05-14,1.2238,1.2337,1.2131,1.2238,29000
1990-05-15,1.2238,1.2337,1.2131,1.2131,37200
1990-05-16,1.2131,1.2337,1.2024,1.2024,48200
1990-05-17,1.2024,1.2337,1.2024,1.2131,42000
1990-05-18,1.2131,1.2337,1.2131,1.2238,56800
1990-05-21,1.2238,1.2542,1.2238,1.2435,55200
1990-05-22,1.2435,1.2748,1.2337,1.2649,23600
1990-05-23,1.2748,1.3060,1.2748,1.3060,41000
1990-05-24,1.3060,1.3159,1.2953,1.2953,20200
1990-05-25,1.2953,1.3060,1.2953,1.3060,20000
1990-05-29,1.3060,1.3060,1.2953,1.2953,2000
1990-05-30,1.3060,1.3060,1.2953,1.3060,20200
1990-05-31,1.2953,1.3159,1.2953,1.3060,9400
1990-06-01,1.3060,1.3159,1.2846,1.2953,23000
1990-06-04,1.3060,1.3570,1.3060,1.3258,49200
1990-06-05,1.3365,1.3365,1.2953,1.3060,16600
1990-06-06,1.3060,1.3060,1.2953,1.3060,14600
1990-06-07,1.2953,1.3060,1.2846,1.3060,28000
1990-06-08,1.3159,1.3159,1.2953,1.2953,10600
1990-06-11,1.2953,1.3060,1.2846,1.3060,8600
1990-06-12,1.2953,1.3159,1.2953,1.2953,24600
1990-06-13,1.2953,1.2953,1.2649,1.2649,14600
1990-06-14,1.2649,1.2748,1.2542,1.2649,13000
1990-06-15,1.2649,1.2748,1.2649,1.2748,20200
1990-06-18,1.2846,1.2846,1.2748,1.2846,15000
1990-06-19,1.2748,1.2953,1.2748,1.2846,17400
1990-06-20,1.2953,1.3258,1.2846,1.3159,18200
1990-06-21,1.3159,1.3258,1.3159,1.3258,2800
1990-06-22,1.3159,1.3365,1.3159,1.3258,30600
1990-06-25,1.3159,1.3365,1.3159,1.3258,6800
1990-06-26,1.3159,1.3258,1.3159,1.3159,8200
1990-06-27,1.3258,1.3365,1.3258,1.3365,2800
1990-06-28,1.3258,1.3472,1.3258,1.3258,23000
1990-06-29,1.3365,1.3365,1.3159,1.3365,8000
1990-07-02,1.3258,1.3365,1.3258,1.3365,9200
1990-07-03,1.3258,1.3365,1.3258,1.3365,9400
1990-07-05,1.3258,1.3365,1.3159,1.3258,12400
1990-07-06,1.3258,1.3365,1.3258,1.3365,8400
1990-07-09,1.3204,1.3414,1.3204,1.3414,14400
1990-07-10,1.3414,1.3414,1.3313,1.3313,97800
1990-07-11,1.3204,1.3313,1.2995,1.3095,917200
1990-07-12,1.2995,1.3095,1.2995,1.2995,6000
1990-07-13,1.3095,1.3204,1.2995,1.2995,32200
1990-07-16,1.3095,1.3095,1.2894,1.3095,23600
1990-07-17,1.3204,1.3204,1.2995,1.2995,16000
1990-07-18,1.3095,1.3204,1.2995,1.3095,34600
1990-07-19,1.2995,1.3095,1.2894,1.2894,25200
1990-07-20,1.2995,1.3095,1.2894,1.3095,17000
1990-07-23,1.3204,1.3313,1.2785,1.2894,21600
1990-07-24,1.2894,1.2894,1.2676,1.2676,14000
1990-07-25,1.2785,1.3204,1.2785,1.2785,39600
1990-07-26,1.2894,1.2894,1.2676,1.2676,10600
1990-07-27,1.2576,1.2576,1.2475,1.2475,19000
1990-07-30,1.2475,1.2576,1.2475,1.2576,20800
1990-07-31,1.2576,1.3095,1.2576,1.2995,27200
1990-08-01,1.3095,1.3313,1.2995,1.3204,48400
1990-08-02,1.2894,1.2894,1.2676,1.2676,15000
1990-08-03,1.2576,1.2785,1.2257,1.2785,48200
1990-08-06,1.2676,1.2785,1.2576,1.2785,16800
1990-08-07,1.2676,1.2676,1.2576,1.2576,25800
1990-08-08,1.2676,1.2676,1.2475,1.2676,6600
1990-08-09,1.2676,1.2676,1.2576,1.2576,3600
1990-08-10,1.2576,1.2676,1.2475,1.2475,8200
1990-08-13,1.2576,1.2576,1.1947,1.2056,13200
1990-08-14,1.2056,1.2056,1.1838,1.1947,23600
1990-08-15,1.1947,1.1947,1.1737,1.1838,10000
1990-08-16,1.1838,1.1947,1.1737,1.1737,11600
1990-08-17,1.1838,1.1947,1.1838,1.1947,3800
1990-08-20,1.1838,1.1947,1.1737,1.1947,12400
1990-08-21,1.1838,1.2056,1.1737,1.1947,18800
1990-08-22,1.1838,1.2056,1.1838,1.2056,17800
1990-08-23,1.1947,1.2056,1.1838,1.1838,12000
1990-08-24,1.1947,1.1947,1.1419,1.1419,49000
1990-08-27,1.1419,1.1528,1.1419,1.1528,14400
1990-08-28,1.1528,1.1637,1.1419,1.1637,12000
1990-08-29,1.1637,1.2156,1.1637,1.2156,34600
1990-08-30,1.2257,1.2366,1.1737,1.1737,24400
1990-08-31,1.1838,1.1838,1.1637,1.1737,18600
1990-09-04,1.1838,1.1838,1.1637,1.1737,5000
1990-09-05,1.1947,1.2156,1.1838,1.2156,21200
1990-09-06,1.2257,1.2257,1.2056,1.2056,19600
1990-09-07,1.2156,1.2156,1.2056,1.2056,5000
1990-09-10,1.2156,1.2257,1.2056,1.2156,2400
1990-09-11,1.2257,1.2475,1.2257,1.2366,3000
1990-09-12,1.2366,1.2366,1.2257,1.2257,61400
1990-09-13,1.2257,1.2257,1.2156,1.2257,10800
1990-09-14,1.2156,1.2257,1.2156,1.2257,7600
1990-09-17,1.2257,1.2257,1.2156,1.2156,10000
1990-09-18,1.2156,1.2156,1.1838,1.1838,18600
1990-09-19,1.1838,1.1947,1.1838,1.1947,5200
1990-09-20,1.1947,1.2056,1.1737,1.1737,24600
1990-09-21,1.1838,1.1947,1.1838,1.1947,28800
1990-09-24,1.1947,1.1947,1.1528,1.1528,89200
1990-09-25,1.1419,1.1637,1.1419,1.1637,33400
1990-09-26,1.1528,1.1737,1.1419,1.1637,11200
1990-09-27,1.1737,1.1838,1.1528,1.1528,11200
1990-09-28,1.1528,1.1528,1.1318,1.1318,47000
1990-10-01,1.1419,1.1637,1.1318,1.1419,22200
1990-10-02,1.1528,1.1637,1.1528,1.1528,20200
1990-10-03,1.1528,1.1637,1.1419,1.1419,32400
1990-10-04,1.1419,1.1528,1.1419,1.1419,14600
1990-10-05,1.1364,1.1578,1.1364,1.1578,8000
1990-10-08,1.1578,1.2110,1.1578,1.2007,19000
1990-10-09,1.1904,1.2007,1.1904,1.2007,11000
1990-10-10,1.1904,1.1904,1.1681,1.1792,37000
1990-10-11,1.1681,1.1681,1.1578,1.1578,41200
1990-10-12,1.1475,1.1578,1.1364,1.1475,27400
1990-10-15,1.1475,1.1475,1.1252,1.1252,60800
1990-10-16,1.1252,1.1364,1.1149,1.1149,66000
1990-10-17,1.1149,1.1149,1.0720,1.0935,27800
1990-10-18,1.1046,1.1149,1.0935,1.1046,156000
1990-10-19,1.1149,1.1149,1.1046,1.1046,13200
1990-10-22,1.1149,1.1149,1.1046,1.1046,20000
1990-10-23,1.1149,1.1252,1.1046,1.1252,9400
1990-10-24,1.1149,1.1149,1.1046,1.1149,14800
1990-10-25,1.1252,1.1252,1.1046,1.1149,42000
1990-10-26,1.1046,1.1046,1.1046,1.1046,44400
