date,open,high,low,close,volume
1990-03-26,0.9875,0.9875,0.9592,0.9728,60800
1990-03-27,0.9592,0.9592,0.9592,0.9592,2400
1990-03-28,0.9592,0.9728,0.9592,0.9592,77600
1990-03-29,0.9728,0.9728,0.9592,0.9592,517600
1990-03-30,0.9592,0.9592,0.9592,0.9592,4800
1990-04-02,0.9592,0.9592,0.9457,0.9457,192000
1990-04-03,0.9457,0.9592,0.9457,0.9457,200800
1990-04-04,0.9592,0.9592,0.9457,0.9457,120800
1990-04-05,0.9457,0.9457,0.9457,0.9457,2400
1990-04-06,0.9728,0.9728,0.9457,0.9457,16800
1990-04-09,0.9457,0.9592,0.9457,0.9592,530400
1990-04-10,0.9457,0.9457,0.9457,0.9457,11200
1990-04-11,0.9457,0.9457,0.9164,0.9164,376800
1990-04-12,0.9164,0.9310,0.9164,0.9310,28800
1990-04-16,0.9164,0.9457,0.9164,0.9164,165600
1990-04-17,0.9310,0.9457,0.9164,0.9310,1324000
1990-04-18,0.9310,0.9310,0.8893,0.9164,268000
1990-04-19,0.9164,0.9164,0.9028,0.9164,100800
1990-04-20,0.9310,0.9310,0.9028,0.9028,161600
1990-04-23,0.9028,0.9028,0.8599,0.8599,101600
1990-04-24,0.8893,0.8893,0.8464,0.8599,168800
1990-04-25,0.8599,0.8746,0.8464,0.8746,399200
1990-04-26,0.8893,0.8893,0.8746,0.8746,19200
1990-04-27,0.8746,0.8746,0.8599,0.8599,268000
1990-04-30,0.8746,0.8746,0.8599,0.8599,15200
1990-05-01,0.8746,0.9028,0.8746,0.8746,208000
1990-05-02,0.8893,0.9164,0.8893,0.9028,307200
1990-05-03,0.9028,0.9310,0.9028,0.9164,1784000
1990-05-04,0.9310,0.9457,0.8893,0.8893,624800
1990-05-07,0.8893,0.9164,0.8893,0.9028,116800
1990-05-08,0.9164,0.9164,0.9028,0.9164,492000
1990-05-09,0.9028,0.9310,0.9028,0.9164,5385600
1990-05-10,0.9028,0.9310,0.9028,0.9164,726400
1990-05-11,0.9028,0.9310,0.9028,0.9164,1715200
1990-05-14,0.9028,0.9028,0.9028,0.9028,28800
1990-05-15,0.9028,0.9310,0.9028,0.9310,928000
1990-05-16,0.9164,0.9728,0.9164,0.9592,389600
1990-05-17,0.9457,0.9728,0.9457,0.9728,179200
1990-05-18,0.9592,0.9728,0.9592,0.9728,205600
1990-05-21,0.9457,0.9728,0.9457,0.9457,217600
1990-05-22,0.9728,1.0021,0.9457,0.9728,842400
1990-05-23,0.9728,1.0586,0.9728,1.0439,407200
1990-05-24,1.0292,1.0586,1.0292,1.0586,80000
1990-05-25,1.0721,1.0721,1.0439,1.0439,304000
1990-05-29,1.0439,1.0721,1.0439,1.0586,156000
1990-05-30,1.0439,1.0721,1.0439,1.0721,110400
1990-05-31,1.0439,1.0721,1.0439,1.0721,14400
1990-06-01,1.0721,1.0721,1.0439,1.0439,14400
1990-06-04,1.0439,1.0439,1.0439,1.0439,48000
1990-06-05,1.0439,1.0721,1.0439,1.0586,110400
1990-06-06,1.0439,1.0439,1.0439,1.0439,10400
1990-06-07,1.0721,1.0721,1.0157,1.0157,100800
1990-06-08,1.0157,1.0157,1.0157,1.0157,40000
1990-06-11,1.0157,1.0157,1.0157,1.0157,15200
1990-06-12,1.0157,1.0439,1.0157,1.0292,454400
1990-06-13,1.0157,1.0586,1.0157,1.0292,24800
1990-06-14,1.0586,1.0586,1.0292,1.0292,61600
1990-06-15,1.0292,1.0586,1.0292,1.0292,44800
1990-06-18,1.0292,1.0439,1.0292,1.0292,220800
1990-06-19,1.0292,1.0586,1.0292,1.0586,587200
1990-06-20,1.0292,1.0439,1.0292,1.0292,116800
1990-06-21,1.0439,1.0586,1.0292,1.0439,824800
1990-06-22,1.0292,1.0586,1.0292,1.0586,151200
1990-06-25,1.0439,1.0586,1.0292,1.0439,377600
1990-06-26,1.0292,1.0292,1.0292,1.0292,82400
1990-06-27,1.0292,1.0439,1.0292,1.0439,244800
1990-06-28,1.0292,1.0586,1.0292,1.0292,408000
1990-06-29,1.0292,1.0586,1.0292,1.0586,8800
1990-07-02,1.0292,1.0586,1.0292,1.0292,456800
1990-07-03,1.0292,1.0586,1.0292,1.0586,462400
1990-07-05,1.0292,1.0292,1.0292,1.0292,24000
1990-07-06,1.0292,1.0586,1.0292,1.0586,55200
1990-07-09,1.0856,1.0856,1.0586,1.0856,406400
1990-07-10,1.0586,1.0856,1.0586,1.0856,142400
1990-07-11,1.0586,1.1150,1.0586,1.1003,220000
1990-07-12,1.0856,1.1150,1.0856,1.1150,322400
1990-07-13,1.1285,1.1285,1.1003,1.1285,82400
1990-07-16,1.1285,1.1285,1.1003,1.1003,340800
1990-07-17,1.1003,1.1150,1.0856,1.0856,208800
1990-07-18,1.0856,1.1003,1.0721,1.0721,152800
1990-07-19,1.0586,1.1150,1.0586,1.1150,619200
1990-07-20,1.1285,1.1421,1.1150,1.1150,327200
1990-07-23,1.1421,1.1421,1.1003,1.1003,561600
1990-07-24,1.1003,1.1285,1.1003,1.1285,68000
1990-07-25,1.1003,1.1285,1.1003,1.1003,46400
1990-07-26,1.1003,1.1285,1.1003,1.1003,53600
1990-07-27,1.0856,1.1285,1.0856,1.0856,12000
1990-07-30,1.0856,1.1150,1.0856,1.1150,50400
1990-07-31,1.1150,1.1150,1.0856,1.0856,9600
1990-08-01,1.0856,1.1150,1.0856,1.1150,24000
1990-08-02,1.0856,1.1150,1.0721,1.1150,68000
1990-08-03,1.0721,1.0856,1.0721,1.0721,134400
1990-08-06,1.0721,1.0721,1.0292,1.0292,508800
1990-08-07,1.0292,1.0439,1.0292,1.0439,8000
1990-08-08,1.0439,1.0721,1.0292,1.0292,84800
1990-08-09,1.0586,1.0586,1.0292,1.0586,176800
1990-08-10,1.0439,1.0439,1.0439,1.0439,22400
1990-08-13,1.0439,1.0439,1.0157,1.0157,71200
1990-08-14,1.0157,1.0586,1.0157,1.0586,20800
1990-08-15,1.0586,1.0586,1.0439,1.0586,83200
1990-08-16,1.0292,1.0586,1.0157,1.0157,164000
1990-08-17,1.0157,1.0439,1.0157,1.0157,460800
1990-08-20,1.0157,1.0292,1.0157,1.0157,100000
1990-08-21,1.0157,1.0157,0.9310,0.9728,108000
1990-08-22,0.9310,0.9310,0.9028,0.9164,117600
1990-08-23,0.8746,0.8893,0.8035,0.8328,330400
1990-08-24,0.8182,0.8599,0.8182,0.8182,88800
1990-08-27,0.8746,0.9028,0.8464,0.8746,192800
1990-08-28,0.9028,0.9028,0.8599,0.8599,24800
1990-08-29,0.9028,0.9028,0.8599,0.8893,29600
1990-08-30,0.9028,0.9028,0.9028,0.9028,12000
1990-08-31,0.8746,0.8746,0.8746,0.8746,2400
1990-09-04,0.8746,0.9028,0.8746,0.9028,65600
1990-09-05,0.8746,0.8893,0.8746,0.8893,23200
1990-09-06,0.8746,0.8893,0.8746,0.8746,123200
1990-09-07,0.9028,0.9028,0.8746,0.8746,124000
1990-09-10,0.8746,0.8746,0.8746,0.8746,0
1990-09-11,0.8746,0.9028,0.8746,0.9028,8000
1990-09-12,0.9028,0.9028,0.8746,0.8746,368800
1990-09-13,0.8746,0.8746,0.8746,0.8746,35200
1990-09-14,0.8746,0.9028,0.8746,0.8746,72800
1990-09-17,0.8599,0.8746,0.8599,0.8746,9600
1990-09-18,0.8746,0.8893,0.8746,0.8746,183200
1990-09-19,0.8746,0.8893,0.8746,0.8746,78400
1990-09-20,0.8599,0.8746,0.8328,0.8328,88800
1990-09-21,0.8328,0.8464,0.8328,0.8328,257600
1990-09-24,0.8182,0.8182,0.7764,0.8035,1508800
1990-09-25,0.7900,0.8035,0.7900,0.8035,24800
1990-09-26,0.7900,0.7900,0.7618,0.7618,105600
1990-09-27,0.7764,0.7764,0.7200,0.7200,250400
1990-09-28,0.7200,0.7471,0.7200,0.7471,120800
1990-10-01,0.7200,0.7764,0.7200,0.7471,51200
1990-10-02,0.7618,0.8035,0.7618,0.8035,594400
1990-10-03,0.7764,0.8035,0.7764,0.7764,41600
1990-10-04,0.7764,0.7900,0.7764,0.7764,8000
1990-10-05,0.7900,0.7900,0.7900,0.7900,32000
1990-10-08,0.8035,0.8035,0.8035,0.8035,4000
1990-10-09,0.7900,0.8035,0.7764,0.7764,448000
1990-10-10,0.7764,0.7900,0.7764,0.7764,73600
1990-10-11,0.7764,0.7764,0.7764,0.7764,0
1990-10-12,0.7764,0.7764,0.7335,0.7335,124000
1990-10-15,0.7764,0.7764,0.7335,0.7471,30400
1990-10-16,0.7618,0.7764,0.7335,0.7764,138400
1990-10-17,0.7618,0.7764,0.7618,0.7618,91200
1990-10-18,0.7900,0.7900,0.7764,0.7900,43200
1990-10-19,0.7900,0.8035,0.7764,0.7764,152800
1990-10-22,0.7764,0.8035,0.7764,0.8035,7200
1990-10-23,0.7764,0.7900,0.7764,0.7764,72800
1990-10-24,0.7764,0.8035,0.7764,0.8035,116000
1990-10-25,0.8035,0.8035,0.8035,0.8035,47200
1990-10-26,0.8035,0.8035,0.7764,0.7900,80800
1990-10-29,0.7764,0.7764,0.7764,0.7764,48000
1990-10-30,0.7764,0.7900,0.7764,0.7900,104800
1990-10-31,0.7764,0.7764,0.7618,0.7618,44000
1990-11-01,0.7471,0.7618,0.7335,0.7471,388000
1990-11-02,0.7335,0.7764,0.7200,0.7200,378400
1990-11-05,0.7764,0.7764,0.7618,0.7618,71200
1990-11-06,0.7618,0.7900,0.7618,0.7900,35200
1990-11-07,0.7764,0.7764,0.7618,0.7618,28000
1990-11-08,0.7618,0.7618,0.7618,0.7618,0
1990-11-09,0.7471,0.7618,0.7471,0.7618,10564000
1990-11-12,0.7900,0.8328,0.7764,0.8035,183200
1990-11-13,0.8035,0.8328,0.7900,0.8328,161600
1990-11-14,0.8328,0.8599,0.8328,0.8328,76800
1990-11-15,0.8746,0.9028,0.8464,0.9028,169600
1990-11-16,0.9028,0.9028,0.9028,0.9028,0
1990-11-19,0.8599,0.8893,0.8599,0.8893,68000
1990-11-20,0.8746,0.9028,0.8746,0.8746,55200
1990-11-21,0.8746,0.8746,0.8328,0.8599,185600
1990-11-23,0.8599,0.8599,0.8035,0.8035,102400
1990-11-26,0.8035,0.8328,0.8035,0.8035,159200
1990-11-27,0.8182,0.8182,0.7900,0.8182,35200
1990-11-28,0.8182,0.8182,0.8182,0.8182,0
1990-11-29,0.7900,0.8182,0.7900,0.7900,25600
1990-11-30,0.7900,0.8035,0.7900,0.8035,23200
1990-12-03,0.8035,0.8464,0.8035,0.8464,207200
1990-12-04,0.8464,0.8464,0.8182,0.8182,102400
1990-12-05,0.8182,0.8464,0.8182,0.8182,149600
1990-12-06,0.8746,0.8746,0.8328,0.8328,51200
1990-12-07,0.8746,0.8746,0.8599,0.8746,324000
1990-12-10,0.8746,0.9164,0.8746,0.8746,180800
1990-12-11,0.9164,0.9164,0.8746,0.9028,1085600
1990-12-12,0.8746,0.9592,0.8746,0.9592,507200
1990-12-13,0.9592,1.0439,0.9592,1.0157,464800
1990-12-14,1.0157,1.0292,0.9875,1.0292,136800
1990-12-17,1.0292,1.0292,1.0157,1.0157,44800
1990-12-18,1.0157,1.0439,1.0021,1.0021,3827200
1990-12-19,1.0021,1.0021,1.0021,1.0021,100800
1990-12-20,1.0157,1.0439,1.0157,1.0157,491200
1990-12-21,1.0157,1.0157,1.0157,1.0157,94400
1990-12-24,1.0157,1.0157,1.0157,1.0157,0
1990-12-26,1.0021,1.0021,1.0021,1.0021,3200
1990-12-27,1.0439,1.0439,0.9875,0.9875,140800
1990-12-28,0.9875,1.0292,0.9875,1.0292,571200
1990-12-31,1.0021,1.0292,1.0021,1.0292,457600
1991-01-02,1.0021,1.0157,1.0021,1.0021,606400
1991-01-03,1.0021,1.1003,1.0021,1.1003,2372800
1991-01-04,1.0721,1.1003,1.0586,1.0721,158400
1991-01-07,1.0721,1.0721,1.0586,1.0721,89600
1991-01-08,1.0586,1.0586,1.0021,1.0292,216000
1991-01-09,1.0021,1.0157,0.9457,0.9457,588000
1991-01-10,0.9875,0.9875,0.9457,0.9457,543200
1991-01-11,0.9457,0.9457,0.9457,0.9457,16000
1991-01-14,0.9457,0.9592,0.9164,0.9310,408000
1991-01-15,0.9164,0.9457,0.9164,0.9164,627200
1991-01-16,0.9164,0.9592,0.9164,0.9310,708000
1991-01-17,0.9457,0.9875,0.9457,0.9457,137600
1991-01-18,0.9457,0.9457,0.9457,0.9457,12000
1991-01-21,0.9457,0.9875,0.9457,0.9875,153600
1991-01-22,1.0157,1.0721,1.0021,1.0586,565600
1991-01-23,1.0721,1.0721,1.0586,1.0586,86400
1991-01-24,1.0586,1.0721,1.0439,1.0586,219200
1991-01-25,1.0721,1.0721,1.0439,1.0721,55200
1991-01-28,1.0439,1.0721,1.0439,1.0586,80800
1991-01-29,1.0586,1.0856,1.0439,1.0856,161600
1991-01-30,1.0439,1.1003,1.0439,1.1003,404800
1991-01-31,1.1150,1.1567,1.0856,1.1285,490400
1991-02-01,1.1567,1.1849,1.1421,1.1421,742400
1991-02-04,1.1421,1.1714,1.1421,1.1421,1003200
1991-02-05,1.1714,1.1714,1.1421,1.1421,71200
1991-02-06,1.1285,1.1714,1.1285,1.1714,1871200
1991-02-07,1.1714,1.1714,1.1285,1.1421,1019200
1991-02-08,1.1714,1.2132,1.1421,1.2132,1916000
1991-02-11,1.2696,1.4535,1.2549,1.4535,6010400
1991-02-12,1.5235,1.5664,1.5100,1.5517,4248800
1991-02-13,1.5517,1.5517,1.5100,1.5100,1224800
1991-02-14,1.5370,1.5370,1.4242,1.4806,1860800
1991-02-15,1.4535,1.5235,1.4535,1.5100,2449600
1991-02-19,1.5235,1.5235,1.4671,1.4671,857600
1991-02-20,1.4806,1.4953,1.4242,1.4389,1791200
1991-02-21,1.4535,1.4671,1.4242,1.4535,676800
1991-02-22,1.4671,1.4953,1.4671,1.4806,1888000
1991-02-25,1.4806,1.5100,1.4535,1.4535,2090400
1991-02-26,1.4671,1.4671,1.4389,1.4389,1936800
1991-02-27,1.4389,1.4671,1.4107,1.4671,366400
1991-02-28,1.4535,1.5370,1.4389,1.5370,1806400
1991-03-01,1.4953,1.5517,1.4806,1.4953,745600
1991-03-04,1.4806,1.5235,1.4806,1.4953,399200
1991-03-05,1.4953,1.5235,1.4806,1.4806,1378400
1991-03-06,1.4953,1.4953,1.4389,1.4535,640000
1991-03-07,1.4671,1.4671,1.4242,1.4535,2048800
1991-03-08,1.4389,1.4671,1.4242,1.4242,97600
1991-03-11,1.4389,1.4671,1.4242,1.4671,1432000
1991-03-12,1.4671,1.4671,1.4535,1.4671,148000
1991-03-13,1.4389,1.5100,1.4389,1.4953,917600
1991-03-14,1.5235,1.5517,1.4806,1.5517,1562400
1991-03-15,1.5235,1.5517,1.5235,1.5370,388800
1991-03-18,1.5235,1.5517,1.4953,1.5100,356800
1991-03-19,1.4671,1.4806,1.4389,1.4535,612000
1991-03-20,1.4389,1.4806,1.4389,1.4389,1398400
1991-03-21,1.4671,1.4806,1.4389,1.4671,616800
1991-03-22,1.4671,1.4806,1.4535,1.4671,260000
1991-03-25,1.4806,1.5235,1.4535,1.5235,1294400
1991-03-26,1.5370,1.5664,1.5235,1.5664,1584800
1991-03-27,1.5799,1.6081,1.5664,1.6081,6976000
1991-03-28,1.6081,1.6081,1.5799,1.5799,411200
1991-04-01,1.5935,1.5935,1.5664,1.5935,2401600
1991-04-02,1.5799,1.5799,1.5235,1.5235,1944800
1991-04-03,1.5370,1.6081,1.5370,1.5935,1956000
1991-04-04,1.5799,1.6228,1.5799,1.6228,2124800
1991-04-05,1.5935,1.6228,1.5799,1.6081,2160800
1991-04-08,1.5799,1.6081,1.5799,1.6081,764800
1991-04-09,1.6228,1.6499,1.5935,1.6499,1155200
1991-04-10,1.6499,1.6499,1.6228,1.6364,194400
1991-04-11,1.6364,1.6499,1.6228,1.6499,1663200
1991-04-12,1.6499,1.6499,1.6228,1.6499,1389600
1991-04-15,1.6499,1.6646,1.6228,1.6499,438400
1991-04-16,1.6499,1.6499,1.6364,1.6499,659200
1991-04-17,1.6499,1.6646,1.6364,1.6646,938400
1991-04-18,1.6646,1.6792,1.6364,1.6646,981600
1991-04-19,1.6792,1.6792,1.6364,1.6792,959200
1991-04-22,1.6792,1.6792,1.6228,1.6646,206400
1991-04-23,1.6364,1.6792,1.6364,1.6792,721600
1991-04-24,1.6792,1.6792,1.6499,1.6792,220000
1991-04-25,1.6792,1.6792,1.6364,1.6364,163200
1991-04-26,1.6792,1.6792,1.6364,1.6646,340800
1991-04-29,1.6646,1.6646,1.6228,1.6364,728000
1991-04-30,1.6499,1.6499,1.4953,1.5235,768800
1991-05-01,1.4953,1.6364,1.4953,1.6364,774400
1991-05-02,1.6364,1.7063,1.6364,1.6646,1691200
1991-05-03,1.6928,1.6928,1.6646,1.6792,254400
1991-05-06,1.6646,1.6928,1.6646,1.6928,551200
1991-05-07,1.6928,1.7063,1.6792,1.7063,1320000
1991-05-08,1.7063,1.7063,1.6792,1.6928,1100000
1991-05-09,1.7063,1.7921,1.6928,1.7921,6028000
1991-05-10,1.7627,1.7921,1.7627,1.7921,1032000
1991-05-13,1.7921,1.8056,1.7492,1.7921,1377600
1991-05-14,1.7921,1.7921,1.7492,1.7774,709600
1991-05-15,1.7492,1.7774,1.7210,1.7627,1521600
1991-05-16,1.7357,1.7627,1.7357,1.7627,168800
1991-05-17,1.7627,1.7627,1.7357,1.7492,447200
1991-05-20,1.7357,1.7627,1.7357,1.7492,923200
1991-05-21,1.7627,1.7627,1.6646,1.7063,368000
1991-05-22,1.6646,1.7063,1.6646,1.6792,393600
1991-05-23,1.7063,1.7063,1.6646,1.6646,448000
1991-05-24,1.6928,1.6928,1.6646,1.6646,236000
1991-05-28,1.6928,1.6928,1.6646,1.6928,62400
1991-05-29,1.6928,1.6928,1.6646,1.6792,349600
1991-05-30,1.6928,1.6928,1.6646,1.6646,2124800
1991-05-31,1.6928,1.7063,1.6646,1.6928,620000
1991-06-03,1.7210,1.7210,1.6646,1.6646,266400
1991-06-04,1.6646,1.7210,1.6646,1.7210,340800
1991-06-05,1.7210,1.7357,1.6928,1.7210,382400
1991-06-06,1.7357,1.7492,1.7063,1.7063,214400
1991-06-07,1.7063,1.7063,1.7063,1.7063,0
1991-06-10,1.7210,1.7210,1.6646,1.6928,84000
1991-06-11,1.6792,1.6792,1.6499,1.6646,204800
1991-06-12,1.6499,1.6646,1.6364,1.6499,48000
1991-06-13,1.6499,1.6646,1.6228,1.6364,113600
1991-06-14,1.6228,1.6228,1.5935,1.6228,88800
1991-06-17,1.6228,1.7210,1.6228,1.6646,267200
1991-06-18,1.6646,1.6646,1.5664,1.5799,316800
1991-06-19,1.5664,1.5664,1.4535,1.4806,194400
1991-06-20,1.4953,1.5664,1.4671,1.5664,252800
1991-06-21,1.5517,1.6928,1.5517,1.6928,148000
1991-06-24,1.6646,1.6792,1.6228,1.6364,89600
1991-06-25,1.6228,1.6228,1.6081,1.6081,44000
1991-06-26,1.6228,1.6646,1.6081,1.6364,76000
1991-06-27,1.6364,1.7063,1.6364,1.6792,224000
1991-06-28,1.6792,1.7063,1.5799,1.6228,282400
1991-07-01,1.6364,1.6646,1.6364,1.6499,297600
1991-07-02,1.6364,1.6646,1.6364,1.6646,36000
1991-07-03,1.6499,1.6646,1.6499,1.6499,73600
1991-07-05,1.6499,1.6928,1.6499,1.6792,38400
1991-07-08,1.6646,1.7210,1.6646,1.6928,208800
1991-07-09,1.6928,1.7063,1.6792,1.6928,274400
1991-07-10,1.7063,1.7357,1.7063,1.7063,194400
1991-07-11,1.7357,1.8056,1.7357,1.7627,776000
1991-07-12,1.7492,1.7492,1.7210,1.7492,380000
