date,open,high,low,close,volume
1990-03-26,0.2448,0.2448,0.2417,0.2417,412800
1990-03-27,0.2417,0.2543,0.2417,0.2543,3913600
1990-03-28,0.2543,0.2543,0.2479,0.2479,1561600
1990-03-29,0.2543,0.2543,0.2512,0.2512,537600
1990-03-30,0.2543,0.2543,0.2479,0.2512,1756800
1990-04-02,0.2479,0.2543,0.2417,0.2543,2451200
1990-04-03,0.2577,0.2641,0.2512,0.2577,2812800
1990-04-04,0.2610,0.2641,0.2543,0.2577,4003200
1990-04-05,0.2610,0.2675,0.2610,0.2641,3961600
1990-04-06,0.2675,0.2705,0.2641,0.2675,1273600
1990-04-09,0.2675,0.2705,0.2610,0.2610,2873600
1990-04-10,0.2610,0.2641,0.2543,0.2543,2118400
1990-04-11,0.2610,0.2641,0.2577,0.2610,3440000
1990-04-12,0.2641,0.2705,0.2610,0.2705,3254400
1990-04-16,0.2705,0.2736,0.2641,0.2675,4595200
1990-04-17,0.2675,0.2736,0.2675,0.2675,7257600
1990-04-18,0.2675,0.2705,0.2641,0.2641,2291200
1990-04-19,0.2641,0.2641,0.2610,0.2641,896000
1990-04-20,0.2610,0.2641,0.2577,0.2610,1168000
1990-04-23,0.2543,0.2577,0.2512,0.2577,998400
1990-04-24,0.2577,0.2610,0.2543,0.2543,700800
1990-04-25,0.2577,0.2610,0.2577,0.2610,758400
1990-04-26,0.2610,0.2675,0.2610,0.2641,1228800
1990-04-27,0.2610,0.2641,0.2577,0.2577,1888000
1990-04-30,0.2675,0.2834,0.2641,0.2770,12281600
1990-05-01,0.2801,0.2932,0.2801,0.2899,11120000
1990-05-02,0.2899,0.3028,0.2868,0.3028,3782400
1990-05-03,0.3058,0.3058,0.2963,0.2963,5475200
1990-05-04,0.3028,0.3156,0.3028,0.3092,11257600
1990-05-07,0.3190,0.3316,0.3156,0.3285,37350400
1990-05-08,0.3316,0.3414,0.3252,0.3383,15411200
1990-05-09,0.3350,0.3414,0.3252,0.3316,12224000
1990-05-10,0.3316,0.3350,0.3285,0.3285,11753600
1990-05-11,0.3316,0.3383,0.3316,0.3316,10361600
1990-05-14,0.3316,0.3383,0.3316,0.3383,5904000
1990-05-15,0.3383,0.3383,0.3316,0.3383,7558400
1990-05-16,0.3383,0.3543,0.3350,0.3448,9673600
1990-05-17,0.3509,0.3509,0.3448,0.3478,12099200
1990-05-18,0.3448,0.3509,0.3448,0.3448,11516800
1990-05-21,0.3448,0.3543,0.3448,0.3543,8473600
1990-05-22,0.3607,0.3705,0.3574,0.3705,29398400
1990-05-23,0.3705,0.3767,0.3641,0.3767,21696000
1990-05-24,0.3736,0.3865,0.3736,0.3831,11273600
1990-05-25,0.3801,0.3831,0.3767,0.3767,13379200
1990-05-29,0.3736,0.3831,0.3705,0.3831,8790400
1990-05-30,0.3801,0.3898,0.3801,0.3865,11872000
1990-05-31,0.3831,0.3994,0.3831,0.3898,10528000
1990-06-01,0.3929,0.3963,0.3865,0.3865,14604800
1990-06-04,0.3929,0.3963,0.3865,0.3929,8803200
1990-06-05,0.3994,0.4089,0.3929,0.4089,17158400
1990-06-06,0.4089,0.4089,0.3963,0.3963,12720000
1990-06-07,0.3963,0.4025,0.3801,0.3831,9024000
1990-06-08,0.3801,0.3831,0.3641,0.3641,11971200
1990-06-11,0.3641,0.3705,0.3607,0.3641,4179200
1990-06-12,0.3705,0.3801,0.3607,0.3801,4617600
1990-06-13,0.3801,0.4058,0.3801,0.3994,11865600
1990-06-14,0.4025,0.4025,0.3898,0.3963,3059200
1990-06-15,0.3898,0.3963,0.3865,0.3929,3216000
1990-06-18,0.3865,0.3929,0.3831,0.3831,3872000
1990-06-19,0.3865,0.3994,0.3801,0.3994,4499200
1990-06-20,0.3994,0.4123,0.3994,0.4058,12121600
1990-06-21,0.4089,0.4089,0.3929,0.4089,12384000
1990-06-22,0.4123,0.4347,0.4089,0.4221,22441600
1990-06-25,0.4251,0.4445,0.4187,0.4380,18537600
1990-06-26,0.4414,0.4414,0.4221,0.4282,11984000
1990-06-27,0.4251,0.4282,0.4058,0.4187,4652800
1990-06-28,0.4156,0.4316,0.4156,0.4316,6742400
1990-06-29,0.4380,0.4445,0.4347,0.4445,2352000
1990-07-02,0.4380,0.4478,0.4316,0.4414,3568000
1990-07-03,0.4445,0.4509,0.4380,0.4509,3494400
1990-07-05,0.4509,0.4574,0.4414,0.4509,3728000
1990-07-06,0.4540,0.4540,0.4478,0.4509,1948800
1990-07-09,0.4540,0.4540,0.4380,0.4414,1372800
1990-07-10,0.4414,0.4478,0.4251,0.4282,3488000
1990-07-11,0.4251,0.4509,0.4187,0.4509,7532800
1990-07-12,0.4540,0.4929,0.4478,0.4862,10278400
1990-07-13,0.4929,0.5187,0.4929,0.4960,15769600
1990-07-16,0.4994,0.5024,0.4960,0.4994,5536000
1990-07-17,0.4994,0.5024,0.4798,0.4831,3900800
1990-07-18,0.4798,0.4862,0.4671,0.4702,3363200
1990-07-19,0.4638,0.4638,0.4347,0.4445,9750400
1990-07-20,0.4478,0.4604,0.4445,0.4509,7068800
1990-07-23,0.4414,0.4445,0.4187,0.4347,5977600
1990-07-24,0.4347,0.4736,0.4316,0.4736,12300800
1990-07-25,0.4798,0.4929,0.4767,0.4862,11206400
1990-07-26,0.4896,0.4896,0.4798,0.4862,1513600
1990-07-27,0.4862,0.4862,0.4767,0.4767,4284800
1990-07-30,0.4767,0.4929,0.4767,0.4862,2748800
1990-07-31,0.4896,0.4960,0.4896,0.4896,7145600
1990-08-01,0.4929,0.4929,0.4671,0.4736,4547200
1990-08-02,0.4671,0.4671,0.4509,0.4574,3625600
1990-08-03,0.4509,0.4509,0.3801,0.4221,16796800
1990-08-06,0.4187,0.4187,0.3963,0.4123,6483200
1990-08-07,0.4509,0.4509,0.4187,0.4478,15225600
1990-08-08,0.4509,0.4540,0.4187,0.4282,35004800
1990-08-09,0.4316,0.4574,0.4282,0.4574,6044800
1990-08-10,0.4509,0.4574,0.4445,0.4509,2441600
1990-08-13,0.4478,0.4798,0.4478,0.4767,5820800
1990-08-14,0.4767,0.4798,0.4509,0.4509,5923200
1990-08-15,0.4604,0.4671,0.4540,0.4574,3062400
1990-08-16,0.4509,0.4604,0.4509,0.4540,4448000
1990-08-17,0.4478,0.4574,0.4478,0.4574,3884800
1990-08-20,0.4509,0.4540,0.4156,0.4347,7104000
1990-08-21,0.4282,0.4316,0.4058,0.4156,5289600
1990-08-22,0.4316,0.4316,0.4123,0.4187,5302400
1990-08-23,0.4058,0.4058,0.3801,0.3865,12377600
1990-08-24,0.3898,0.4187,0.3801,0.4123,10800000
1990-08-27,0.4259,0.4422,0.4259,0.4422,9705600
1990-08-28,0.4388,0.4517,0.4259,0.4486,10284800
1990-08-29,0.4486,0.4486,0.4354,0.4422,1324800
1990-08-30,0.4422,0.4486,0.4323,0.4388,2374400
1990-08-31,0.4422,0.4422,0.4323,0.4422,3004800
1990-09-04,0.4354,0.4486,0.4354,0.4422,6467200
1990-09-05,0.4517,0.4613,0.4422,0.4548,7731200
1990-09-06,0.4517,0.4582,0.4259,0.4259,5926400
1990-09-07,0.4290,0.4452,0.4194,0.4354,5088000
1990-09-10,0.4517,0.4744,0.4517,0.4711,19516800
1990-09-11,0.4680,0.4775,0.4548,0.4613,10185600
1990-09-12,0.4613,0.4711,0.4613,0.4646,12028800
1990-09-13,0.4711,0.4711,0.4517,0.4517,2268800
1990-09-14,0.4548,0.4775,0.4486,0.4744,7664000
1990-09-17,0.4711,0.4806,0.4711,0.4711,3072000
1990-09-18,0.4646,0.4806,0.4646,0.4806,11030400
1990-09-19,0.4744,0.4840,0.4744,0.4775,8956800
1990-09-20,0.4744,0.4806,0.4646,0.4680,5081600
1990-09-21,0.4711,0.4744,0.4613,0.4646,1337600
1990-09-24,0.4646,0.4680,0.4548,0.4582,5612800
1990-09-25,0.4646,0.4775,0.4646,0.4775,4713600
1990-09-26,0.4775,0.4775,0.4452,0.4517,12672000
1990-09-27,0.4582,0.4582,0.3712,0.4096,24771200
1990-09-28,0.4032,0.4290,0.3936,0.4163,6070400
1990-10-01,0.4323,0.4422,0.4323,0.4422,10131200
1990-10-02,0.4388,0.4517,0.4323,0.4388,6128000
1990-10-03,0.4290,0.4422,0.4290,0.4388,2844800
1990-10-04,0.4354,0.4388,0.4228,0.4228,4147200
1990-10-05,0.4228,0.4228,0.4001,0.4001,3353600
1990-10-08,0.4096,0.4096,0.3774,0.3905,9324800
1990-10-09,0.3838,0.4163,0.3774,0.3905,777600
1990-10-10,0.3872,0.3936,0.3807,0.3838,18979200
1990-10-11,0.3838,0.3838,0.3389,0.3647,17308800
1990-10-12,0.3678,0.3678,0.3516,0.3614,16902400
1990-10-15,0.3647,0.3936,0.3614,0.3936,3820800
1990-10-16,0.3838,0.3872,0.3712,0.3774,5616000
1990-10-17,0.3712,0.4001,0.3712,0.3872,4307200
1990-10-18,0.3872,0.4194,0.3838,0.4194,6374400
1990-10-19,0.4259,0.4259,0.4065,0.4163,4073600
1990-10-22,0.4130,0.4548,0.4130,0.4422,4099200
1990-10-23,0.4354,0.4486,0.4323,0.4452,4224000
1990-10-24,0.4422,0.4548,0.4388,0.4517,2451200
1990-10-25,0.4486,0.4548,0.4354,0.4354,6803200
1990-10-26,0.4388,0.4388,0.4290,0.4354,6147200
1990-10-29,0.4422,0.4452,0.4065,0.4096,5222400
1990-10-30,0.4130,0.4422,0.4096,0.4388,11059200
1990-10-31,0.4517,0.4744,0.4486,0.4548,28723200
1990-11-01,0.4582,0.4680,0.4517,0.4646,16940800
1990-11-02,0.4680,0.4744,0.4517,0.4646,9625600
1990-11-05,0.4711,0.4744,0.4582,0.4711,6752000
1990-11-06,0.4840,0.4840,0.4422,0.4486,10131200
1990-11-07,0.4486,0.4548,0.4388,0.4452,7561600
1990-11-08,0.4422,0.4548,0.4388,0.4452,5804800
1990-11-09,0.4517,0.4517,0.4422,0.4452,5801600
1990-11-12,0.4486,0.4938,0.4486,0.4904,11334400
1990-11-13,0.4871,0.4938,0.4775,0.4938,9219200
1990-11-14,0.4871,0.5002,0.4840,0.4938,8192000
1990-11-15,0.4904,0.5196,0.4871,0.5098,11971200
1990-11-16,0.5129,0.5129,0.4871,0.4904,5091200
1990-11-19,0.4969,0.5033,0.4806,0.5002,9174400
1990-11-20,0.5033,0.5098,0.4840,0.4840,2345600
1990-11-21,0.4904,0.4938,0.4806,0.4904,4172800
1990-11-23,0.4840,0.4904,0.4775,0.4806,1555200
1990-11-26,0.4775,0.4904,0.4744,0.4871,2576000
1990-11-27,0.5002,0.5196,0.4938,0.5196,8048000
1990-11-28,0.5260,0.5356,0.5162,0.5162,13843200
1990-11-29,0.5129,0.5196,0.5033,0.5196,4825600
1990-11-30,0.5196,0.5227,0.5098,0.5227,5152000
1990-12-03,0.5227,0.5260,0.5033,0.5162,9571200
1990-12-04,0.5098,0.5549,0.5098,0.5519,46230400
1990-12-05,0.5580,0.5937,0.5580,0.5808,51196800
1990-12-06,0.5903,0.5937,0.5645,0.5743,34012800
1990-12-07,0.5743,0.5808,0.5679,0.5743,12649600
1990-12-10,0.5679,0.5743,0.5580,0.5580,4051200
1990-12-11,0.5519,0.5645,0.5485,0.5485,10848000
1990-12-12,0.5519,0.5614,0.5420,0.5614,3964800
1990-12-13,0.5614,0.5743,0.5580,0.5614,11683200
1990-12-14,0.5645,0.5645,0.5580,0.5645,2688000
1990-12-17,0.5580,0.5645,0.5549,0.5614,22243200
1990-12-18,0.5580,0.5743,0.5485,0.5743,6275200
1990-12-19,0.5872,0.6066,0.5777,0.5903,28041600
1990-12-20,0.5872,0.5970,0.5808,0.5903,4508800
1990-12-21,0.5903,0.5937,0.5872,0.5903,4812800
1990-12-24,0.5903,0.5903,0.5872,0.5872,1532800
1990-12-26,0.5903,0.5937,0.5872,0.5903,4345600
1990-12-27,0.5937,0.6195,0.5872,0.5970,10928000
1990-12-28,0.5970,0.6001,0.5903,0.5937,32262400
1990-12-31,0.5970,0.6001,0.5937,0.6001,6764800
1991-01-02,0.6001,0.6195,0.5903,0.5903,13142400
1991-01-03,0.5903,0.6001,0.5420,0.5519,17644800
1991-01-04,0.5485,0.5549,0.5260,0.5485,12537600
1991-01-07,0.5356,0.5549,0.5227,0.5260,9670400
1991-01-08,0.5322,0.5485,0.5260,0.5485,15081600
1991-01-09,0.5519,0.5645,0.5260,0.5322,9872000
1991-01-10,0.5387,0.5485,0.5162,0.5454,15174400
1991-01-11,0.5454,0.5614,0.5454,0.5519,11033600
1991-01-14,0.5454,0.5645,0.5454,0.5614,7523200
1991-01-15,0.5614,0.5839,0.5580,0.5777,12646400
1991-01-16,0.5777,0.5937,0.5712,0.5937,11081600
1991-01-17,0.6035,0.6195,0.6035,0.6097,13404800
1991-01-18,0.6130,0.6228,0.6066,0.6228,22672000
1991-01-21,0.6130,0.6388,0.6130,0.6324,11193600
1991-01-22,0.6388,0.6419,0.6324,0.6355,16240000
1991-01-23,0.6324,0.6486,0.6324,0.6453,6851200
1991-01-24,0.6551,0.6646,0.6486,0.6551,3948800
1991-01-25,0.6551,0.6745,0.6517,0.6582,4134400
1991-01-28,0.6646,0.7325,0.6582,0.6905,15292800
1991-01-29,0.7067,0.7421,0.7067,0.7227,32995200
1991-01-30,0.7227,0.7421,0.7227,0.7421,18060800
1991-01-31,0.7421,0.7452,0.7098,0.7098,20048000
1991-02-01,0.7129,0.7485,0.7129,0.7421,7180800
1991-02-04,0.7452,0.7679,0.7452,0.7614,10147200
1991-02-05,0.7645,0.7679,0.7583,0.7583,14697600
1991-02-06,0.7519,0.7583,0.7292,0.7583,14169600
1991-02-07,0.7519,0.7583,0.6969,0.7098,12352000
1991-02-08,0.7129,0.7194,0.7003,0.7067,12662400
1991-02-11,0.7129,0.7485,0.7067,0.7485,14851200
1991-02-12,0.7679,0.8616,0.7583,0.8518,30556800
1991-02-13,0.8358,0.8518,0.8226,0.8484,21628800
1991-02-14,0.8484,0.8742,0.8453,0.8551,14896000
1991-02-15,0.8616,0.8678,0.8260,0.8389,20006400
1991-02-19,0.8389,0.8389,0.8162,0.8195,13740800
1991-02-20,0.8195,0.8226,0.7743,0.7842,23052800
1991-02-21,0.7873,0.7937,0.7710,0.7808,21635200
1991-02-22,0.7873,0.8195,0.7808,0.8100,12844800
1991-02-25,0.8131,0.8453,0.8131,0.8389,19219200
1991-02-26,0.8260,0.8324,0.7937,0.8002,6000000
1991-02-27,0.8035,0.8260,0.7808,0.8195,11382400
1991-02-28,0.8131,0.8131,0.7583,0.7777,28579200
1991-03-01,0.7808,0.7842,0.7679,0.7743,12457600
1991-03-04,0.7808,0.7968,0.7645,0.7968,20985600
1991-03-05,0.7968,0.8324,0.7937,0.8293,27878400
1991-03-06,0.8453,0.8551,0.8324,0.8420,28508800
1991-03-07,0.8420,0.8484,0.8162,0.8162,5523200
1991-03-08,0.8226,0.8226,0.8035,0.8066,2428800
1991-03-11,0.8002,0.8035,0.7743,0.7777,8115200
1991-03-12,0.7743,0.8131,0.7710,0.8002,95628800
1991-03-13,0.8002,0.8518,0.8002,0.8420,40502400
1991-03-14,0.8484,0.8711,0.8358,0.8453,18483200
1991-03-15,0.8389,0.8453,0.8358,0.8420,7852800
1991-03-18,0.8358,0.9034,0.8358,0.9000,18604800
1991-03-19,0.8936,0.9486,0.8809,0.9326,22432000
1991-03-20,0.9421,0.9937,0.9292,0.9873,25446400
1991-03-21,0.9968,1.0033,0.9584,0.9744,31107200
1991-03-22,0.9679,1.0131,0.9517,1.0002,20112000
1991-03-25,1.0002,1.0165,0.9873,0.9937,6803200
1991-03-26,0.9968,1.0647,0.9937,1.0616,19808000
1991-03-27,1.0647,1.1133,1.0583,1.0712,21404800
1991-03-28,1.0681,1.0743,0.9937,1.0131,32041600
1991-04-01,1.0131,1.0131,0.9873,1.0002,9708800
1991-04-02,1.0033,1.0776,1.0002,1.0776,24729600
1991-04-03,1.0841,1.1228,1.0743,1.0874,23411200
1991-04-04,1.0939,1.0939,1.0325,1.0423,12953600
1991-04-05,1.0423,1.0647,1.0325,1.0549,14188800
1991-04-08,1.0518,1.0583,1.0358,1.0485,11545600
1991-04-09,1.0583,1.0712,1.0165,1.0227,16006400
1991-04-10,1.0165,1.0291,0.9906,1.0291,18016000
1991-04-11,1.0389,1.0549,1.0325,1.0549,24752000
1991-04-12,1.0647,1.0874,1.0583,1.0807,14768000
1991-04-15,1.0776,1.1065,1.0776,1.1034,18265600
1991-04-16,1.1065,1.1551,1.0939,1.1551,25283200
1991-04-17,1.1744,1.1775,1.1259,1.1422,13603200
1991-04-18,1.1324,1.1680,1.1259,1.1391,20473600
1991-04-19,1.1324,1.1324,1.0807,1.1034,15612800
1991-04-22,1.0970,1.1001,1.0518,1.0743,12016000
1991-04-23,1.0874,1.0905,1.0131,1.0291,14419200
1991-04-24,1.0485,1.0647,1.0260,1.0260,19299200
1991-04-25,1.0196,1.0196,0.9550,1.0002,32009600
1991-04-26,0.9906,1.0681,0.9775,1.0583,21907200
1991-04-29,1.0647,1.0939,1.0358,1.0358,26409600
1991-04-30,1.0260,1.0389,0.9873,1.0165,21072000
1991-05-01,1.0196,1.0485,1.0131,1.0454,23683200
1991-05-02,1.0583,1.0874,1.0518,1.0712,12348800
1991-05-03,1.0712,1.0807,1.0616,1.0743,11308800
1991-05-06,1.0905,1.1422,1.0905,1.1324,44137600
1991-05-07,1.1422,1.1907,1.1357,1.1809,25443200
1991-05-08,1.1775,1.1809,1.1551,1.1615,13104000
1991-05-09,1.1649,1.1744,1.1259,1.1551,25875200
1991-05-10,1.1551,1.1551,1.1357,1.1357,8662400
1991-05-13,1.1486,1.1551,1.1034,1.1034,13542400
