date,open,high,low,close,volume
1980-01-02,1.5975,1.6198,1.5975,1.6004,1165600
1980-01-03,1.5892,1.5892,1.5642,1.5781,1453600
1980-01-04,1.5808,1.6060,1.5808,1.6060,1382400
1980-01-07,1.6060,1.6198,1.5975,1.5975,1087200
1980-01-08,1.5975,1.6115,1.5390,1.5390,1213200
1980-01-09,1.5390,1.5558,1.4944,1.5279,9965200
1980-01-10,1.5279,1.5308,1.5167,1.5167,5922400
1980-01-11,1.5167,1.5252,1.5112,1.5196,5394400
1980-01-14,1.5196,1.5558,1.5196,1.5502,4000000
1980-01-15,1.5613,1.6004,1.5613,1.6004,1886800
1980-01-16,1.6060,1.6254,1.6060,1.6144,5077600
1980-01-17,1.6144,1.6198,1.6060,1.6144,1208800
1980-01-18,1.6144,1.6450,1.6144,1.6367,1122800
1980-01-21,1.6532,1.6811,1.6532,1.6811,1487200
1980-01-22,1.6811,1.7119,1.6758,1.6896,1380000
1980-01-23,1.6896,1.7008,1.6785,1.6867,899200
1980-01-24,1.7483,1.7732,1.7483,1.7509,2329200
1980-01-25,1.7454,1.7454,1.7231,1.7371,863600
1980-01-28,1.7371,1.7592,1.7286,1.7454,1727200
1980-01-29,1.7454,1.7706,1.7454,1.7454,949200
1980-01-30,1.7454,1.7509,1.7398,1.7454,701600
1980-01-31,1.7454,1.7706,1.7286,1.7286,987200
1980-02-01,1.7286,1.7483,1.7286,1.7483,623200
1980-02-04,1.7483,1.7621,1.5752,1.7454,758800
1980-02-05,1.7565,1.8346,1.7565,1.8346,1955600
1980-02-06,1.8680,1.9963,1.8680,1.9294,3205200
1980-02-07,1.9294,2.0688,1.9294,2.0521,8009200
1980-02-08,2.0521,2.1469,1.9851,2.1413,3726000
1980-02-11,2.1413,2.1859,2.0967,2.1051,4266400
1980-02-12,2.1022,2.1022,2.0465,2.0911,3612000
1980-02-13,2.0911,2.1022,2.0688,2.0967,2558000
1980-02-14,2.0940,2.0940,1.9963,2.0186,2776800
1980-02-15,2.0186,2.0492,1.9963,2.0465,3792800
1980-02-19,2.0465,2.0826,2.0436,2.0826,3395200
1980-02-20,2.0826,2.1134,2.0773,2.1134,1641600
1980-02-21,2.1134,2.1803,2.1051,2.1469,2108000
1980-02-22,2.1469,2.2528,2.1134,2.2026,3788000
1980-02-25,2.2026,2.2220,2.1357,2.1413,1284800
1980-02-26,2.1413,2.1747,2.1246,2.1665,1701200
1980-02-27,2.1665,2.1915,2.0882,2.1078,1665600
1980-02-28,2.1078,2.1442,2.0688,2.0799,2041600
1980-02-29,2.0855,2.1357,2.0855,2.1022,1901200
1980-03-03,2.1022,2.1161,2.0855,2.0855,1408400
1980-03-04,2.0855,2.1022,2.0773,2.1022,1513200
1980-03-05,2.1022,2.1384,2.0911,2.0967,1308400
1980-03-06,2.0911,2.0911,2.0242,2.0269,1779600
1980-03-07,2.0242,2.0242,1.9517,1.9684,2258000
1980-03-10,1.9684,1.9796,1.9267,1.9517,1758400
1980-03-11,1.9517,1.9573,1.8765,1.9015,2493600
1980-03-12,1.9015,1.9127,1.8848,1.9127,1891600
1980-03-13,1.9127,1.9294,1.8959,1.9127,920800
1980-03-14,1.9071,1.9071,1.8821,1.8848,1401200
1980-03-17,1.8848,1.8848,1.7956,1.8011,1146800
1980-03-18,1.8011,1.8179,1.7759,1.8179,1613200
1980-03-19,1.8402,1.9182,1.8402,1.8821,2260400
1980-03-20,1.8821,1.8877,1.8234,1.8484,2629200
1980-03-21,1.8346,1.8346,1.8152,1.8179,1180000
1980-03-24,1.8179,1.8234,1.7650,1.7759,2419600
1980-03-25,1.7759,1.8123,1.7621,1.8011,1932000
1980-03-26,1.8011,1.8205,1.7929,1.7929,796800
1980-03-27,1.7929,1.8067,1.7398,1.7788,1656000
1980-03-28,1.7788,1.8431,1.7788,1.8290,1213200
1980-03-31,1.8457,1.8821,1.8457,1.8707,920800
1980-04-01,1.8651,1.8651,1.8234,1.8402,2017600
1980-04-02,1.8402,1.8736,1.8346,1.8457,1322800
1980-04-03,1.8457,1.8484,1.7956,1.8179,1353600
1980-04-07,1.8123,1.8123,1.7732,1.7788,1149200
1980-04-08,1.7788,1.7900,1.7565,1.7817,1541600
1980-04-09,1.7817,1.8067,1.7732,1.8067,1344400
1980-04-10,1.8067,1.8123,1.7844,1.7900,842000
1980-04-11,1.7900,1.8011,1.7650,1.7759,663600
1980-04-14,1.7706,1.7706,1.7427,1.7509,432800
1980-04-15,1.7509,1.7788,1.7509,1.7565,628000
1980-04-16,1.7565,1.7817,1.7257,1.7286,1368000
1980-04-17,1.7092,1.7092,1.6060,1.6367,6688800
1980-04-18,1.6367,1.6729,1.6254,1.6283,1325200
1980-04-21,1.6283,1.6394,1.5892,1.5892,694800
1980-04-22,1.6171,1.7008,1.6171,1.7008,1299200
1980-04-23,1.7063,1.7342,1.7063,1.7146,1122800
1980-04-24,1.6840,1.6840,1.6283,1.6646,2253200
1980-04-25,1.6646,1.7231,1.6171,1.7119,2050800
1980-04-28,1.7119,1.7146,1.6617,1.6646,1303600
1980-04-29,1.6646,1.6785,1.6561,1.6646,561200
1980-04-30,1.6646,1.6673,1.6312,1.6673,1039600
1980-05-01,1.6673,1.6811,1.6394,1.6506,737600
1980-05-02,1.6506,1.6896,1.6506,1.6896,537600
