date,open,high,low,close,volume
1987-11-05,1.5800,1.6800,1.5800,1.6304,129053
1987-11-06,1.6600,1.7096,1.6304,1.6600,204972
1987-11-09,1.6600,1.6800,1.6000,1.6496,136241
1987-11-10,1.6496,1.6704,1.6000,1.6304,79528
1987-11-11,1.6400,1.6496,1.6096,1.6400,30550
1987-11-12,1.6400,1.6600,1.6096,1.6496,532628
1987-11-13,1.6304,1.6496,1.6000,1.6200,41430
1987-11-16,1.6200,1.6496,1.5896,1.6200,128965
1987-11-17,1.6200,1.6304,1.5704,1.6304,191055
1987-11-18,1.6400,1.6400,1.6096,1.6400,68162
1987-11-19,1.6496,1.6496,1.5704,1.6200,83277
1987-11-20,1.6304,1.6400,1.5896,1.6304,130085
1987-11-23,1.6200,1.6400,1.6096,1.6304,39764
1987-11-24,1.6400,1.6496,1.6096,1.6400,94875
1987-11-25,1.6096,1.6200,1.5400,1.6000,556939
1987-11-27,1.5600,1.6000,1.5600,1.6000,24075
1987-11-30,1.5400,1.5896,1.5200,1.5800,1696240
1987-12-01,1.5200,1.5600,1.5000,1.5496,41282
1987-12-02,1.4896,1.5104,1.4200,1.5000,177375
1987-12-03,1.4800,1.4800,1.4104,1.4800,141766
1987-12-04,1.5000,1.5000,1.4296,1.4296,155701
1987-12-07,1.4600,1.4704,1.4400,1.4600,196729
1987-12-08,1.4800,1.5000,1.4496,1.4896,114081
1987-12-09,1.5000,1.5104,1.4600,1.5000,133205
1987-12-10,1.5000,1.5800,1.4704,1.5496,191625
1987-12-11,1.5400,1.5600,1.5200,1.5400,85684
1987-12-14,1.4800,1.5304,1.4496,1.4896,156650
1987-12-15,1.5000,1.5104,1.4600,1.4800,186820
1987-12-16,1.5000,1.5400,1.4600,1.5400,170016
1987-12-17,1.5600,1.5896,1.5104,1.5600,165295
1987-12-18,1.5704,1.5704,1.5400,1.5600,108810
1987-12-21,1.5704,1.5800,1.5400,1.5704,90723
1987-12-22,1.5704,1.5896,1.5600,1.5800,130483
1987-12-23,1.5800,1.6400,1.5600,1.6304,188255
1987-12-24,1.6400,1.6704,1.6400,1.6496,50640
1987-12-28,1.6400,1.6400,1.5704,1.6400,96731
1987-12-29,1.6304,1.6400,1.6000,1.6400,71281
1987-12-30,1.6400,1.6400,1.6096,1.6400,158335
1987-12-31,1.6200,1.6704,1.6200,1.6704,53593
1988-01-04,1.6304,1.6896,1.6304,1.6896,132172
1988-01-05,1.6800,1.7400,1.6704,1.7400,93274
1988-01-06,1.7496,1.8304,1.7400,1.8200,170099
1988-01-07,1.8200,1.8696,1.8096,1.8600,270838
1988-01-08,1.8600,1.8600,1.7904,1.7904,98480
1988-01-11,1.7600,1.8304,1.6896,1.8000,54879
1988-01-12,1.8000,1.8000,1.6800,1.7600,58147
1988-01-13,1.7400,1.7904,1.7200,1.7600,65760
1988-01-14,1.7800,1.8200,1.7304,1.8096,36645
1988-01-15,1.8000,1.8696,1.8000,1.8400,153614
1988-01-18,1.8200,1.8696,1.8200,1.8600,86313
1988-01-19,1.8600,1.8600,1.8096,1.8200,70564
1988-01-20,1.8304,1.8304,1.7800,1.8200,65676
1988-01-21,1.8304,1.8304,1.7200,1.7400,116002
1988-01-22,1.7304,1.7304,1.6800,1.7200,525733
1988-01-25,1.7400,1.7400,1.6896,1.7200,141216
1988-01-26,1.7200,1.7200,1.6800,1.7000,49122
1988-01-27,1.7000,1.7096,1.6600,1.6800,147603
1988-01-28,1.6800,1.7200,1.6304,1.7200,149292
1988-01-29,1.6800,1.7800,1.6800,1.7800,339630
1988-02-01,1.7904,1.8400,1.7800,1.8304,291942
1988-02-02,1.8400,1.8800,1.8304,1.8496,304424
1988-02-03,1.8496,1.8600,1.8096,1.8200,660395
1988-02-04,1.8000,1.8696,1.8000,1.8200,150009
1988-02-05,1.8400,1.8696,1.8400,1.8496,162088
1988-02-08,1.8400,1.8600,1.8304,1.8496,92325
1988-02-09,1.8400,1.8600,1.8000,1.8200,91608
1988-02-10,1.8400,1.8800,1.8400,1.8496,189222
1988-02-11,1.8696,1.8800,1.8600,1.8800,214649
1988-02-12,1.8800,1.8904,1.8696,1.8904,39912
1988-02-16,1.8904,1.8904,1.8496,1.8696,34641
1988-02-17,1.8696,1.8800,1.8400,1.8800,72633
1988-02-18,1.8696,1.8800,1.8200,1.8696,65991
1988-02-19,1.8800,1.8904,1.8600,1.8904,43346
1988-02-22,1.8696,1.8800,1.8096,1.8600,46405
1988-02-23,1.8904,1.8904,1.8496,1.8800,558222
1988-02-24,1.9000,1.9600,1.8904,1.9496,1080140
1988-02-25,1.9096,1.9496,1.9096,1.9200,125929
1988-02-26,1.9200,1.9304,1.9096,1.9096,929798
1988-02-29,1.8904,1.9400,1.8904,1.9304,952124
1988-03-01,1.9304,1.9304,1.8904,1.9096,498135
1988-03-02,1.9304,1.9600,1.9000,1.9496,58086
1988-03-03,1.9200,1.9600,1.9200,1.9600,100082
1988-03-04,1.9600,1.9600,1.9000,1.9400,60086
1988-03-07,1.9200,1.9496,1.9000,1.9400,38626
1988-03-08,1.9200,1.9600,1.9200,1.9400,174339
1988-03-09,1.9304,1.9400,1.8904,1.9000,173621
1988-03-10,1.8800,1.9096,1.8400,1.8400,103034
1988-03-11,1.8600,1.8696,1.7600,1.8000,60951
1988-03-14,1.8000,1.8000,1.7000,1.7496,222345
1988-03-15,1.7304,1.7496,1.7200,1.7400,223692
1988-03-16,1.7400,1.7400,1.7200,1.7304,130886
1988-03-17,1.7304,1.7400,1.7096,1.7200,244588
1988-03-18,1.7096,1.7200,1.6896,1.7096,208660
1988-03-21,1.6896,1.7096,1.6896,1.7096,157534
1988-03-22,1.7000,1.7400,1.6896,1.7304,225696
1988-03-23,1.7400,1.7600,1.7304,1.7496,224497
1988-03-24,1.7496,1.7704,1.7400,1.7600,136726
1988-03-25,1.7496,1.7600,1.7400,1.7496,123444
1988-03-28,1.7304,1.7704,1.7304,1.7496,119691
1988-03-29,1.7304,1.7600,1.7304,1.7600,88401
1988-03-30,1.7600,1.7704,1.7400,1.7600,166179
1988-03-31,1.7800,1.7800,1.7400,1.7400,44550
1988-04-04,1.7496,1.7600,1.7096,1.7096,74405
1988-04-05,1.6896,1.7304,1.6896,1.7096,76405
1988-04-06,1.7304,1.7496,1.7304,1.7496,194179
1988-04-07,1.7496,1.7600,1.7304,1.7304,193143
1988-04-08,1.7200,1.7496,1.6800,1.7096,72568
1988-04-11,1.7304,1.7400,1.7096,1.7096,44716
1988-04-12,1.7304,1.7304,1.7000,1.7200,31434
1988-04-13,1.7096,1.7096,1.6704,1.7000,580233
1988-04-14,1.6400,1.6496,1.5896,1.6400,193462
1988-04-15,1.6496,1.6496,1.6000,1.6400,108958
1988-04-18,1.6200,1.6400,1.6096,1.6400,94158
1988-04-19,1.6400,1.6600,1.6304,1.6400,88234
1988-04-20,1.6496,1.6896,1.6400,1.6896,496849
1988-04-21,1.6704,1.7000,1.6600,1.6704,119038
1988-04-22,1.6704,1.6800,1.6600,1.6704,63923
1988-04-25,1.6704,1.7000,1.6496,1.6800,87433
1988-04-26,1.6800,1.7096,1.6800,1.7000,54713
1988-04-27,1.6800,1.7200,1.6800,1.7096,534378
1988-04-28,1.7096,1.7096,1.6896,1.7000,21275
1988-04-29,1.7000,1.7096,1.6800,1.7000,82329
1988-05-02,1.6704,1.6896,1.6704,1.6896,49441
1988-05-03,1.6704,1.6800,1.6600,1.6704,49187
1988-05-04,1.6704,1.6704,1.6496,1.6600,492295
1988-05-05,1.6704,1.6704,1.6496,1.6600,33586
1988-05-06,1.6600,1.6600,1.6496,1.6496,55028
1988-05-09,1.6704,1.6800,1.6496,1.6704,41912
1988-05-10,1.6704,1.7000,1.6704,1.6896,66246
1988-05-11,1.7000,1.7000,1.6704,1.6800,489893
1988-05-12,1.6896,1.6896,1.6496,1.6600,79126
1988-05-13,1.6704,1.6704,1.6600,1.6704,55365
1988-05-16,1.6704,1.6800,1.6400,1.6800,100568
1988-05-17,1.6800,1.6800,1.6600,1.6704,45119
1988-05-18,1.6704,1.6704,1.6200,1.6400,108412
1988-05-19,1.6400,1.6496,1.6304,1.6496,43032
1988-05-20,1.6496,1.6704,1.6400,1.6704,39278
1988-05-23,1.6704,1.6800,1.6496,1.6800,55430
1988-05-24,1.6400,1.6800,1.6400,1.6800,59688
1988-05-25,1.6600,1.6896,1.6600,1.6600,67361
1988-05-26,1.6704,1.6704,1.6400,1.6496,121125
1988-05-27,1.6600,1.6704,1.6600,1.6704,41111
1988-05-31,1.6704,1.6800,1.6600,1.6800,43601
1988-06-01,1.6800,1.6896,1.6704,1.6800,160802
1988-06-02,1.6600,1.6600,1.6400,1.6600,157849
1988-06-03,1.6496,1.6496,1.6400,1.6496,307797
1988-06-06,1.6600,1.6800,1.6496,1.6600,71767
1988-06-07,1.6600,1.6896,1.6600,1.6704,150092
