date,open,high,low,close,volume
2008-03-19,13.5520,15.7157,12.5270,12.8687,708486000
2008-03-20,13.3174,14.8047,13.0964,14.6566,198985200
2008-03-24,15.3149,15.4196,13.4381,13.6044,149566400
2008-03-25,13.8094,14.6339,13.6249,14.4061,87092000
2008-03-26,14.2353,14.6862,14.0234,14.5678,43111600
2008-03-27,14.5883,14.7455,14.2694,14.3287,39829600
2008-03-28,14.3719,14.4494,14.1578,14.2945,24675200
2008-03-31,14.2808,14.4585,14.1328,14.2034,22157200
2008-04-01,14.3492,14.5040,13.7365,14.0326,60410800
2008-04-02,14.0736,14.1943,13.7797,14.1943,43836400
2008-04-03,14.1054,15.0985,14.0804,14.9186,100868000
2008-04-04,14.7751,14.8776,14.5200,14.6862,36394400
2008-04-07,14.8092,14.9869,14.5815,14.8138,28301600
2008-04-08,14.8502,15.5426,14.7614,15.5085,53925600
2008-04-09,15.5677,15.6520,14.9436,14.9846,48324400
2008-04-10,15.1850,15.1987,14.8297,15.0575,22372000
2008-04-11,14.8616,15.2078,14.8616,15.0575,26421600
2008-04-14,15.2557,15.3149,14.9254,14.9596,28443600
2008-04-15,15.1554,15.1577,14.5769,14.6566,23888000
2008-04-16,14.8047,15.2488,14.7045,15.0643,25136800
2008-04-17,15.1395,15.4310,15.0347,15.2693,22459600
2008-04-18,15.5107,16.0453,15.3058,15.7157,104099600
2008-04-21,15.8752,16.5129,15.6816,16.1644,58848000
2008-04-22,16.4218,16.4901,15.9435,16.0073,47357600
2008-04-23,16.2054,16.3307,15.8729,15.9617,37319600
2008-04-24,16.2168,16.6245,15.9526,16.4674,38086800
2008-04-25,17.3101,17.3283,16.8341,17.1051,101460000
2008-04-28,17.3602,17.6039,17.0595,17.2258,132517200
2008-04-29,16.6906,18.4216,16.1713,18.4216,197308400
2008-04-30,18.4967,19.3167,18.4649,19.0069,147543600
2008-05-01,19.2871,19.9613,19.1094,19.4511,116395600
2008-05-02,19.8724,19.9294,18.4489,18.8475,136648800
2008-05-05,18.8703,19.4738,18.4079,19.3736,70377200
2008-05-06,19.4488,20.0774,19.3030,19.9362,75913200
2008-05-07,20.2687,20.4623,19.9658,20.1571,100464800
2008-05-08,20.3849,20.4418,19.5741,19.8838,92836400
2008-05-09,19.5353,19.7403,18.7951,18.8726,94312000
2008-05-12,19.0707,19.2415,17.7884,18.6539,147471600
2008-05-13,18.6197,19.0183,18.4011,18.7632,53249600
2008-05-14,18.9819,19.2119,18.5514,18.7291,51400400
2008-05-15,18.7792,18.8885,18.4740,18.7336,36688800
2008-05-16,18.8384,18.8703,18.5081,18.7609,34066800
2008-05-19,18.7473,19.3007,18.7108,18.9773,45473200
2008-05-20,18.8771,19.0958,18.6562,18.8452,40702000
2008-05-21,18.7632,19.0024,18.3396,18.4147,41831600
2008-05-22,18.3510,18.3578,17.3465,17.6085,85283600
2008-05-23,17.2623,17.6085,17.1097,17.3898,42196400
2008-05-27,17.5196,17.9797,16.9366,17.9342,62776400
2008-05-28,18.2872,18.6653,18.1187,18.6585,52996000
2008-05-29,18.9682,19.8041,18.9067,19.4169,100613200
2008-05-30,19.5900,19.9430,19.5445,19.6697,72016000
2008-06-02,19.6356,19.8041,19.2689,19.6037,36856000
2008-06-03,19.8178,20.0319,19.5946,19.9430,48411600
2008-06-04,19.8337,20.0660,19.4237,19.4693,40684400
2008-06-05,19.6925,19.8702,19.4943,19.8702,27059600
2008-06-06,19.5650,19.5855,19.0297,19.0525,41748000
2008-06-09,19.1322,19.3486,18.3487,18.7086,45240000
2008-06-10,18.2325,18.8748,18.1323,18.2918,36048400
2008-06-11,18.4489,18.4489,17.6745,17.7064,56996400
2008-06-12,17.9820,18.3965,17.8909,18.1209,44605600
2008-06-13,18.2553,18.6334,18.2553,18.5696,30689200
2008-06-16,18.5263,19.0183,18.4717,18.9659,34384000
2008-06-17,19.1550,19.3554,19.0593,19.2848,33277600
2008-06-18,19.0639,19.2916,19.0047,19.1003,33724000
2008-06-19,19.0138,19.2233,18.5901,19.1937,36925200
2008-06-20,18.9796,19.2461,18.8475,19.0343,42546800
2008-06-23,19.0889,19.2119,18.4535,18.4626,30141200
2008-06-24,18.2348,18.8908,17.8818,18.8270,49891200
2008-06-25,18.9864,19.2279,18.6448,18.6903,50711600
2008-06-26,18.3578,18.3897,17.7702,18.0162,76562800
2008-06-27,17.9478,18.8748,17.8909,18.8133,176022800
2008-06-30,18.6767,18.8680,18.2895,18.5195,49301200
2008-07-01,18.0389,18.5423,18.0389,18.5423,44921600
2008-07-02,18.6539,18.7678,18.0617,18.0890,33804000
2008-07-03,18.0754,18.1779,17.5948,17.7816,28738800
2008-07-07,17.8795,18.2075,16.8546,17.2235,79944400
2008-07-08,17.0573,18.1073,16.4560,18.0070,95796400
2008-07-09,17.9934,18.0162,17.1734,17.2805,55322000
2008-07-10,17.2554,17.6791,16.8295,17.5948,52812000
2008-07-11,17.2190,17.6403,16.8546,16.9798,54645200
2008-07-14,17.2190,17.3511,16.5129,16.5311,42679600
2008-07-15,16.2305,16.2419,15.3263,15.5836,84268800
2008-07-16,15.5631,16.5266,15.1486,16.4514,92448800
2008-07-17,16.7862,17.0960,16.2510,17.0960,67268800
2008-07-18,16.9092,16.9662,16.4264,16.7179,46632000
2008-07-21,16.8341,17.0687,16.3011,16.3763,52937200
2008-07-22,15.8524,16.9069,15.4652,16.8659,65408000
2008-07-23,16.7407,17.0823,16.5357,16.6837,49942800
2008-07-24,16.6086,16.7931,15.9344,15.9617,36625600
2008-07-25,16.0665,16.4787,15.7317,16.3899,38690800
2008-07-28,16.4924,16.7635,16.0004,16.0688,35699200
2008-07-29,16.1781,17.3033,16.1735,17.3033,49040400
2008-07-30,17.5948,17.9706,16.9161,17.8681,76089200
2008-07-31,17.3602,17.7998,16.2829,16.6405,148888800
2008-08-01,16.6951,16.8773,16.0232,16.3375,61715600
2008-08-04,16.3444,16.7635,16.2851,16.5129,42686000
2008-08-05,16.6723,16.9069,16.4719,16.7635,34354800
2008-08-06,16.5812,16.5835,16.1872,16.2806,40924000
2008-08-07,16.1212,16.2282,15.7932,15.8296,43847200
2008-08-08,15.8911,16.5926,15.7408,16.5357,36354400
2008-08-11,16.4992,17.4240,16.3876,17.0345,55289200
2008-08-12,16.9001,17.0368,16.5357,16.5812,33734400
2008-08-13,16.5934,16.9173,16.5318,16.8625,29924800
2008-08-14,16.8488,17.2868,16.7873,17.2845,25839200
2008-08-15,17.3324,17.4556,17.0678,17.2868,26003200
2008-08-18,17.2480,17.3917,16.9104,17.0929,25850400
2008-08-19,16.9811,17.1613,16.7895,16.8192,21104800
2008-08-20,16.9013,17.0404,16.8009,17.0085,18118800
2008-08-21,16.8694,17.0245,16.6937,16.9652,15544800
2008-08-22,17.1887,17.2868,16.8420,16.8990,20955600
2008-08-25,16.7690,17.0815,16.6801,16.7234,18039600
2008-08-26,16.8032,16.9469,16.6208,16.7280,18667200
2008-08-27,16.6573,16.9925,16.6162,16.9811,19141600
2008-08-28,17.0496,17.2913,16.9173,17.2548,26741200
2008-08-29,17.0975,17.3347,17.0382,17.3119,19326400
2008-09-02,17.5240,17.6768,16.9675,17.1043,29898400
2008-09-03,17.0062,17.1841,16.4383,16.6618,35400800
2008-09-04,16.5409,16.5660,15.9091,16.0802,37670000
2008-09-05,15.9593,16.4178,15.7951,16.3676,40616800
2008-09-08,16.7667,16.9446,15.6651,15.9890,56669600
2008-09-09,16.0460,16.0460,15.3229,15.3936,49882000
2008-09-10,15.3435,15.9433,15.1975,15.7472,43936800
2008-09-11,15.3754,16.2763,15.2933,16.1828,47132000
2008-09-12,15.9502,16.3448,15.7951,16.3425,28240400
2008-09-15,15.6605,16.1897,15.5693,15.8247,38734400
2008-09-16,15.1952,15.7289,14.8257,15.1336,83596400
2008-09-17,15.0105,15.4986,14.5999,14.6181,67536800
2008-09-18,14.6432,15.3366,13.3158,15.2591,84189200
2008-09-19,16.1965,16.2307,15.2910,15.8681,68941600
2008-09-22,15.7198,15.7358,14.8029,14.8668,46266400
2008-09-23,15.0196,15.3891,14.6227,15.2591,43803600
2008-09-24,15.2933,15.4461,14.9398,14.9808,24532400
2008-09-25,14.9968,15.1610,14.7208,14.7345,23895200
2008-09-26,14.3079,14.4608,13.8677,14.1506,51171200
2008-09-29,13.7537,13.7947,12.7478,13.1835,78439200
2008-09-30,12.8596,14.0114,12.8596,14.0023,38720400
2008-10-01,13.8563,14.1643,13.5051,13.9841,27054000
2008-10-02,14.0251,14.0251,13.0718,13.1356,35216000
2008-10-03,13.4731,13.7240,12.8436,12.9645,58355600
2008-10-06,12.1845,12.7775,11.4614,12.6315,87360800
2008-10-07,12.7729,12.8733,11.5458,11.6667,75845600
2008-10-08,11.1786,12.4148,10.8912,12.0043,75210400
2008-10-09,12.2688,12.7592,11.2698,11.3702,42537600
2008-10-10,10.7201,12.3053,10.7201,11.8606,72541600
2008-10-13,12.5425,13.4572,12.2232,13.4275,49433200
2008-10-14,14.1414,14.1665,12.6019,13.1401,53142400
2008-10-15,12.6634,12.7729,11.0691,11.3474,76699200
2008-10-16,11.4386,12.1639,10.9573,12.1046,56062800
2008-10-17,11.7465,12.5608,11.7465,11.9107,35098400
2008-10-20,12.1594,12.2757,11.6598,11.8628,35965600
2008-10-21,11.7123,12.1046,11.4705,11.5641,28995600
2008-10-22,11.3975,11.8606,10.9482,11.0645,40243600
2008-10-23,11.1216,11.3018,10.4327,11.0212,47970000
2008-10-24,9.9902,11.0623,9.9766,10.9437,40798800
2008-10-27,10.7224,11.2219,10.5924,10.6266,41901600
2008-10-28,10.9254,11.7648,10.7315,11.3975,58436000
2008-10-29,11.4956,12.2050,11.2926,11.5618,55994400
2008-10-30,11.5390,12.8094,11.5367,12.3738,74913200
2008-10-31,12.2917,12.7912,12.0887,12.6247,40372800
2008-11-03,12.6247,12.7957,11.8400,11.9723,28425200
2008-11-04,12.4034,13.7879,12.2894,13.6419,73603600
2008-11-05,13.2952,13.5028,12.8710,12.8801,44992000
2008-11-06,12.5540,12.7729,11.5732,11.7534,52092800
2008-11-07,11.9632,12.4992,11.7032,12.2027,30906400
2008-11-10,12.6133,12.6133,11.6781,11.8583,26516800
2008-11-11,11.6302,12.5425,11.4865,12.2688,32392800
2008-11-12,11.9875,12.7188,11.6972,11.8275,42746000
2008-11-13,11.8572,12.4743,11.4024,12.4423,38733600
2008-11-14,12.1383,13.0274,11.9875,12.3966,37410400
2008-11-17,12.1383,12.3943,11.8069,12.0583,29303200
2008-11-18,12.0652,12.5886,12.0240,12.4880,31482800
2008-11-19,12.3417,12.7623,11.7109,11.7886,34948000
2008-11-20,11.4755,11.7246,10.9704,11.0024,50990000
2008-11-21,11.3361,11.3361,9.9511,10.6002,84771200
2008-11-24,10.8813,11.4275,10.4630,11.3635,44853600
2008-11-25,11.5098,11.6492,11.1990,11.3201,44959600
2008-11-26,11.1556,11.8846,11.0161,11.8846,27670000
2008-11-28,11.8184,12.0538,11.6949,12.0126,10610000
2008-12-01,11.6561,11.6881,10.8950,10.9819,30951600
2008-12-02,11.1281,11.3727,10.8630,11.3544,26573200
2008-12-03,10.9979,12.0560,10.9956,11.9852,36399600
2008-12-04,11.8686,12.0560,11.4778,11.6127,30484400
2008-12-05,11.3704,12.2206,11.0847,12.1543,40991600
2008-12-08,12.4332,13.1805,12.3349,12.8354,53093600
2008-12-09,12.6846,12.8994,12.1360,12.2343,32127200
2008-12-10,12.1475,12.3074,11.6447,12.1497,30186800
2008-12-11,11.9761,12.4766,11.8206,11.9052,29928400
2008-12-12,11.5441,12.3212,11.5418,12.1018,25100000
2008-12-15,12.0698,12.2892,11.8321,12.0560,21858800
2008-12-16,12.1817,12.5200,12.0538,12.5177,30714400
2008-12-17,12.4080,12.7988,12.3554,12.6526,24687600
2008-12-18,12.6548,12.8423,12.3577,12.5017,30374800
2008-12-19,12.7988,12.8514,12.2915,12.5634,35585200
2008-12-22,12.5383,12.6251,12.1086,12.2846,14083600
2008-12-23,12.2320,12.4332,12.1406,12.2617,10670400
2008-12-24,12.2137,12.2846,12.0332,12.0880,6529600
2008-12-26,12.0629,12.2183,11.8686,12.1703,6476400
2008-12-29,12.1246,12.2480,11.8686,11.9235,13801600
2008-12-30,11.9303,11.9303,11.4890,11.6538,17095200
2008-12-31,11.5669,12.0606,11.5647,11.9875,16371600
2009-01-02,12.0949,12.2755,11.9395,12.2137,13199200
2009-01-05,12.1132,12.6388,12.1132,12.3006,16600000
2009-01-06,12.4560,13.2514,12.4560,13.1668,32506400
2009-01-07,12.9565,13.2445,12.7965,12.8811,28441600
2009-01-08,12.8011,12.8674,12.1749,12.7440,34683600
2009-01-09,12.8034,12.8697,12.5200,12.7120,16702400
2009-01-12,12.6366,12.8331,12.0126,12.1040,31520400
2009-01-13,12.0560,12.1909,11.7726,12.1452,23133200
2009-01-14,11.8869,12.0240,11.4778,11.6492,25246800
2009-01-15,11.5144,11.6218,10.8562,11.2858,47446400
2009-01-16,11.2675,11.3018,10.3328,10.8356,69204800
2009-01-20,10.5248,10.6070,9.6128,9.6951,59766000
2009-01-21,9.8734,10.3191,9.7591,10.0974,50503200
2009-01-22,10.0059,10.4402,9.8802,10.0974,31927600
2009-01-23,9.7568,10.1591,9.5488,10.1294,22617200
2009-01-26,10.1248,10.3396,9.7180,9.7340,24009200
2009-01-27,9.9397,10.0997,9.7454,10.0905,26436000
2009-01-28,10.4928,10.8516,10.3419,10.7922,32089600
2009-01-29,10.4996,10.9956,10.3419,10.5750,26097600
2009-01-30,10.7533,11.2790,10.7099,11.2790,30315200
2009-02-02,11.0276,11.4252,10.8653,11.4207,28544000
2009-02-03,11.4755,11.6447,11.0139,11.0596,28953600
2009-02-04,11.1670,11.4824,11.0984,11.2287,33166400
2009-02-05,11.9395,12.5931,11.7704,12.2823,96728400
2009-02-06,12.3303,12.7988,12.2686,12.6640,45907600
2009-02-09,12.6937,12.8788,12.4789,12.6434,31874400
2009-02-10,12.6000,12.7988,12.2526,12.3074,38071600
2009-02-11,12.3882,12.6469,12.2508,12.5851,23668000
2009-02-12,12.4294,12.9607,12.1592,12.9149,34827600
2009-02-13,13.0362,13.2698,12.6538,12.8118,40788000
2009-02-17,12.4363,12.6401,12.2897,12.4226,35581600
2009-02-18,12.4958,13.0271,12.4226,12.8576,36329200
2009-02-19,13.0408,13.2584,12.7065,12.7386,35102400
2009-02-20,12.5142,12.8439,12.4798,12.7454,42908000
2009-02-23,12.8324,13.0156,12.3630,12.4226,31967200
2009-02-24,12.4432,13.0477,12.2760,12.9034,43590800
2009-02-25,12.8485,12.9492,12.6264,12.6905,34394800
2009-02-26,12.8805,12.9744,12.5462,12.8370,35902400
2009-02-27,12.5943,13.2584,12.5943,12.9859,47237200
2009-03-02,12.8073,13.0454,12.3355,12.4019,39060000
2009-03-03,12.5325,12.7386,12.1844,12.4477,42195600
2009-03-04,12.5943,12.7935,12.3424,12.6607,35775200
2009-03-05,12.4913,12.7065,12.0630,12.2325,44144800
2009-03-06,12.3104,12.3997,11.2686,11.4929,60701600
2009-03-09,11.3738,11.6967,11.1608,11.4036,33554400
2009-03-10,11.6761,12.1066,11.5845,12.1066,38644400
2009-03-11,12.2875,12.2875,11.5684,11.7631,36124400
2009-03-12,11.7470,12.3859,11.5112,12.3859,43276000
2009-03-13,12.4248,12.6744,11.8386,11.9188,49564400
2009-03-16,12.1317,12.3035,11.8753,11.9463,33474400
2009-03-17,11.9073,12.6813,11.7539,12.6607,25730400
2009-03-18,12.4684,12.9378,12.2417,12.8943,45296400
2009-03-19,12.9103,12.9836,12.0058,12.0653,41743600
2009-03-20,12.1821,12.4477,12.0218,12.0287,33476000
2009-03-23,12.3355,12.7271,12.1134,12.7180,44656800
2009-03-24,12.4294,12.5462,12.1981,12.2508,43555600
2009-03-25,12.3539,12.5371,11.7425,12.0791,58624800
2009-03-26,12.2233,12.7752,12.0264,12.7088,59466400
2009-03-27,12.4294,12.8943,12.4134,12.4226,32687200
2009-03-30,12.2050,12.5599,12.1386,12.2508,38596400
2009-03-31,12.4569,12.8760,12.3287,12.7317,47446400
2009-04-01,12.5371,12.8233,12.2806,12.4317,44144400
2009-04-02,12.6996,13.0775,12.6218,12.7294,47396800
2009-04-03,12.6561,13.7759,12.6561,13.7576,57694800
2009-04-06,13.4416,13.7484,13.2240,13.5400,44927600
2009-04-07,13.3683,13.4553,13.0683,13.0866,27122400
2009-04-08,13.2355,13.2515,12.9172,13.2400,23815600
2009-04-09,13.4759,13.6316,13.1965,13.4622,45785600
2009-04-13,13.3179,14.0598,13.2813,13.9934,38124400
2009-04-14,13.7644,13.9499,13.3110,13.3568,35712000
2009-04-15,13.2881,13.5744,13.1095,13.5354,29687600
2009-04-16,13.3042,13.5950,13.1668,13.2973,36114000
2009-04-17,13.3225,13.5400,13.1118,13.2813,37814400
2009-04-20,13.0523,13.2080,12.5851,12.5943,42577200
2009-04-21,12.5577,13.4416,12.4226,13.4255,37746000
2009-04-22,13.2355,13.7255,13.1004,13.1691,34680000
2009-04-23,13.3385,13.5034,13.0752,13.3339,35890800
2009-04-24,13.5812,13.9110,13.2904,13.8262,39686000
2009-04-27,13.4599,13.6751,13.4255,13.4805,29496800
2009-04-28,13.3156,14.2064,13.3042,13.9018,42287600
2009-04-29,14.1720,14.5956,14.0850,14.5430,59240400
2009-04-30,14.6872,15.5711,14.6369,14.8750,101753600
2009-05-01,14.6895,15.1819,14.3438,14.8865,60616800
2009-05-04,15.1315,15.6994,14.8201,15.6169,78935200
2009-05-05,15.5299,15.6856,15.3353,15.4314,56786000
2009-05-06,15.5872,15.6215,15.0559,15.1567,41830400
2009-05-07,15.2574,15.3421,14.9643,15.0055,34731200
2009-05-08,15.1063,15.6788,14.9987,15.6696,37834800
2009-05-11,15.2963,15.5597,15.0971,15.0971,25980000
2009-05-12,15.3055,15.3994,14.8178,14.9345,36373600
2009-05-13,14.7524,15.0162,14.5667,14.7869,47555600
2009-05-14,14.6745,14.9313,14.5667,14.7983,32861600
2009-05-15,14.7823,15.0231,14.6836,14.9245,24682000
2009-05-18,14.9818,15.2639,14.7387,15.2318,59304400
2009-05-19,15.1447,15.2089,14.7456,14.8625,45784400
2009-05-20,14.9680,15.3580,14.8190,14.8992,33858000
2009-05-21,14.7960,15.2112,14.7869,15.2020,55723600
2009-05-22,15.3465,15.4818,14.9612,15.0804,21735200
2009-05-26,15.0896,15.3419,14.9726,15.3144,20556800
2009-05-27,15.2135,15.6286,14.9658,15.1194,27156800
2009-05-28,15.2043,15.3648,15.0804,15.2525,20184000
2009-05-29,15.2823,15.5736,15.0919,15.5300,32198400
2009-06-01,15.7112,15.8144,15.0965,15.2891,43628000
2009-06-02,15.2295,15.3671,15.0231,15.3236,31043600
2009-06-03,15.2960,15.7708,15.1080,15.6492,35362800
2009-06-04,15.6997,16.3396,15.6699,15.9451,56221200
2009-06-05,16.0575,16.2479,15.7800,15.8901,74260800
2009-06-08,15.7479,16.1928,15.7226,16.0093,20636000
2009-06-09,16.0713,16.1401,15.7043,15.7410,21773200
2009-06-10,15.8327,16.0369,15.5873,15.8878,33797200
2009-06-11,15.9061,15.9635,15.2891,15.3029,43948800
2009-06-12,15.3419,15.4130,14.7502,14.7616,80963200
2009-06-15,14.6745,15.1102,14.4657,14.7777,25564400
2009-06-16,14.9313,14.9313,14.2479,14.3258,29788400
2009-06-17,14.3258,14.4726,13.9451,14.0712,32063600
2009-06-18,14.0965,14.2456,13.9061,14.0850,32168400
2009-06-19,14.1515,14.2433,13.9589,14.0758,25469200
2009-06-22,13.9313,14.4405,13.9222,14.0460,30168000
