date,open,high,low,close,volume
1985-07-01,0.9674,0.9836,0.9674,0.9674,729600
1985-07-02,0.9708,0.9836,0.9708,0.9772,2126400
1985-07-03,0.9772,0.9772,0.9515,0.9579,873600
1985-07-05,0.9613,0.9708,0.9613,0.9708,409600
1985-07-08,0.9613,0.9708,0.9613,0.9708,409600
1985-07-09,0.9708,0.9708,0.9386,0.9515,1222400
1985-07-10,0.9515,0.9643,0.9484,0.9579,3401600
1985-07-11,0.9579,0.9870,0.9515,0.9870,1748800
1985-07-12,0.9870,0.9931,0.9772,0.9931,832000
1985-07-15,0.9931,1.0189,0.9870,1.0189,1163200
1985-07-16,1.0189,1.0543,1.0189,1.0543,2116800
1985-07-17,1.0543,1.0543,1.0415,1.0479,2673600
1985-07-18,1.0351,1.0351,1.0222,1.0286,1534400
1985-07-19,1.0286,1.0384,1.0222,1.0351,1166400
1985-07-22,1.0286,1.0286,1.0127,1.0189,417600
1985-07-23,1.0189,1.0255,1.0127,1.0158,2097600
1985-07-24,1.0158,1.0222,0.9901,0.9901,1051200
1985-07-25,0.9901,0.9931,0.9613,0.9772,2540800
1985-07-26,0.9772,0.9836,0.9708,0.9772,246400
1985-07-29,0.9772,0.9772,0.9579,0.9613,2152000
1985-07-30,0.9613,0.9708,0.9515,0.9708,1579200
1985-07-31,0.9708,0.9870,0.9643,0.9643,3419200
1985-08-01,0.9643,0.9772,0.9613,0.9674,2753600
1985-08-02,0.9674,0.9772,0.9674,0.9708,2225600
1985-08-05,0.9708,0.9772,0.9674,0.9674,265600
1985-08-06,0.9674,0.9772,0.9613,0.9613,876800
1985-08-07,0.9613,0.9613,0.9451,0.9546,699200
1985-08-08,0.9579,0.9836,0.9579,0.9836,928000
1985-08-09,0.9836,0.9931,0.9772,0.9870,521600
1985-08-12,0.9870,0.9870,0.9708,0.9772,326400
1985-08-13,0.9741,0.9741,0.9643,0.9708,516800
1985-08-14,0.9772,0.9998,0.9772,0.9965,638400
1985-08-15,0.9965,1.0029,0.9772,0.9836,227200
1985-08-16,0.9836,0.9998,0.9772,0.9998,256000
1985-08-19,0.9965,0.9965,0.9836,0.9870,168000
1985-08-20,0.9870,1.0189,0.9870,1.0158,625600
1985-08-21,1.0158,1.0255,1.0127,1.0127,928000
1985-08-22,1.0127,1.0158,0.9965,0.9965,801600
1985-08-23,0.9965,1.0127,0.9901,0.9998,825600
1985-08-26,0.9998,1.0286,0.9901,1.0286,792000
1985-08-27,1.0286,1.0317,1.0189,1.0222,606400
1985-08-28,1.0222,1.0415,1.0158,1.0415,1059200
1985-08-29,1.0384,1.0384,1.0222,1.0351,673600
1985-08-30,1.0351,1.0415,1.0317,1.0351,379200
1985-09-03,1.0351,1.0384,1.0286,1.0384,651200
1985-09-04,1.0384,1.0513,1.0384,1.0479,1038400
1985-09-05,1.0479,1.0543,1.0415,1.0446,1235200
1985-09-06,1.0446,1.0513,1.0446,1.0513,244800
1985-09-09,1.0513,1.0513,1.0317,1.0384,1422400
1985-09-10,1.0384,1.0479,1.0317,1.0317,955200
1985-09-11,1.0317,1.0446,1.0317,1.0415,776000
1985-09-12,1.0415,1.0672,1.0415,1.0608,1664000
1985-09-13,1.0608,1.0703,1.0543,1.0672,1008000
1985-09-16,1.0672,1.0672,1.0543,1.0672,366400
1985-09-17,1.0672,1.0672,1.0415,1.0574,1732800
1985-09-18,1.0479,1.0479,0.9965,1.0093,1182400
1985-09-19,1.0127,1.0222,1.0127,1.0158,457600
1985-09-20,1.0189,1.0351,1.0189,1.0286,1915200
1985-09-23,1.0286,1.0384,1.0189,1.0222,644800
1985-09-24,1.0222,1.0286,1.0222,1.0255,748800
1985-09-25,1.0255,1.0286,1.0222,1.0222,739200
1985-09-26,1.0222,1.0222,1.0029,1.0029,302400
1985-09-30,1.0029,1.0093,0.9901,0.9998,2102400
1985-10-01,0.9998,1.0060,0.9965,1.0060,1748800
1985-10-02,1.0060,1.0189,0.9965,0.9998,596800
1985-10-03,0.9998,1.0060,0.9870,0.9998,1281600
1985-10-04,0.9998,1.0158,0.9931,1.0158,406400
1985-10-07,1.0158,1.0317,1.0093,1.0286,1228800
1985-10-08,1.0286,1.0317,1.0189,1.0286,267200
1985-10-09,1.0286,1.0351,1.0222,1.0222,216000
1985-10-10,1.0222,1.0286,1.0093,1.0286,372800
1985-10-11,1.0286,1.0415,1.0189,1.0415,147200
1985-10-14,1.0446,1.0543,1.0446,1.0543,228800
1985-10-15,1.0672,1.1186,1.0672,1.1186,2449600
1985-10-16,1.1186,1.1701,1.1058,1.1701,1524800
1985-10-17,1.1701,1.2279,1.1701,1.1829,3136000
1985-10-18,1.1765,1.1765,1.1443,1.1701,1760000
1985-10-21,1.1701,1.1701,1.1572,1.1603,249600
1985-10-22,1.1603,1.1701,1.1508,1.1670,915200
1985-10-23,1.1670,1.1798,1.1603,1.1798,526400
