date,open,high,low,close,volume
2005-12-05,21.0061,21.0061,18.6955,18.6955,1087800
2005-12-06,18.8005,18.8005,18.0303,18.0373,1743800
2005-12-07,18.2053,18.2053,17.6802,17.8902,1536400
2005-12-08,17.8762,18.0303,17.5751,17.7782,2100700
2005-12-09,17.7852,18.1703,17.4701,17.9462,2414700
2005-12-12,18.1353,18.4154,18.1353,18.3734,898600
2005-12-13,18.3804,18.3874,18.1563,18.2053,639700
2005-12-14,18.2053,18.2403,17.9602,17.9953,672800
2005-12-15,17.9953,17.9953,17.6452,17.7292,1948400
2005-12-16,17.7362,17.8552,17.6241,17.7152,1023000
2005-12-19,17.7222,17.7852,17.5751,17.7082,362700
2005-12-20,17.7082,17.7082,17.3231,17.5541,385800
2005-12-21,17.6101,17.7152,17.4911,17.6802,673000
2005-12-22,17.6802,17.6802,17.5051,17.5821,274300
2005-12-23,17.5751,17.8692,17.5751,17.8552,667100
2005-12-27,17.9602,18.1563,17.7152,17.9602,511400
2005-12-28,18.0303,18.0933,17.5051,17.5401,821600
2005-12-29,17.6101,17.6802,17.3301,17.5051,776100
2005-12-30,17.5051,17.8552,17.4001,17.8552,3887900
2006-01-03,17.9252,19.1856,17.9252,18.3454,6604500
2006-01-04,18.3944,18.3944,18.0940,18.2053,8900000
2006-01-05,18.2053,18.5134,18.0863,18.4574,8040500
2006-01-06,18.5554,19.1156,18.5274,19.0666,7449100
2006-01-09,18.9055,19.0526,18.8005,18.9265,7858700
2006-01-10,18.9755,19.0246,18.5064,18.5974,9081400
2006-01-11,18.6675,18.7305,18.2403,18.3314,6941200
2006-01-12,18.1073,18.3103,17.8482,18.1983,7687400
2006-01-13,18.1703,18.2053,17.8412,17.8412,4858900
2006-01-17,17.6101,17.9672,17.5121,17.5471,6226600
2006-01-18,17.5051,17.9742,17.3861,17.5611,5522800
2006-01-19,17.9532,18.0023,17.7432,17.9042,5021500
2006-01-20,17.7502,18.0093,17.4491,17.4911,5064800
2006-01-23,17.7152,18.1353,17.5401,18.0793,6361700
2006-01-24,18.2053,18.9055,18.0653,18.8355,8567000
2006-01-25,18.9055,18.9055,18.2683,18.4854,5665700
2006-01-26,18.5904,18.9825,18.5414,18.7725,7545300
2006-01-27,18.7305,19.1506,18.5064,18.7655,7927600
2006-01-30,18.8005,19.2206,18.6955,19.0946,5639100
2006-01-31,19.0246,19.0246,18.2263,18.2963,6437100
2006-02-01,18.2123,18.5974,18.1773,18.3033,4373800
2006-02-02,18.2893,18.4154,17.8342,17.9602,6802800
2006-02-03,17.9252,18.2193,17.7712,17.9672,5411600
2006-02-06,17.9672,18.2613,17.9532,18.0933,3735500
2006-02-07,18.1703,18.3033,17.8762,17.8762,3321300
2006-02-08,17.8762,18.2543,17.8762,18.2193,3761800
2006-02-09,18.0653,18.2053,17.8832,17.9462,3644000
2006-02-10,17.9112,17.9602,17.7082,17.8272,3895200
2006-02-13,17.6802,17.9462,17.6101,17.8832,2695600
2006-02-14,17.8202,18.0863,17.7012,17.9252,4273900
2006-02-15,18.0093,18.0723,17.8902,17.9322,1984200
2006-02-16,17.8902,17.9112,17.5751,17.6101,4152400
2006-02-17,17.5401,18.1703,17.5261,18.1003,5383800
2006-02-21,18.2053,18.2193,17.6171,17.7152,4557900
2006-02-22,17.8202,17.8692,17.6241,17.6662,7170900
2006-02-23,17.6662,17.8902,17.4071,17.6452,5946200
2006-02-24,17.6475,17.8096,17.2880,17.2880,7852800
2006-02-27,17.2880,17.6545,17.2880,17.4995,7683400
2006-02-28,17.3797,17.4431,17.1823,17.2387,4980000
2006-03-01,17.2669,17.4361,17.0626,17.3726,4525500
2006-03-02,17.0837,17.1189,16.8511,16.9568,8128400
2006-03-03,16.9568,17.1330,16.8088,16.9004,4152400
2006-03-06,16.9145,17.2317,16.8440,16.9004,4676300
2006-03-07,16.9075,17.2246,16.9004,17.1682,4749900
2006-03-08,17.1682,17.2105,16.9286,17.0132,4224300
2006-03-09,16.9850,17.0555,16.8581,16.8863,3110400
2006-03-10,17.0132,17.0766,16.8299,16.8793,3694600
2006-03-13,16.9498,17.1048,16.9216,16.9286,3411600
2006-03-14,16.9286,16.9991,16.8793,16.8863,3359300
2006-03-15,16.9498,17.2317,16.8370,17.1541,3223200
2006-03-16,17.2669,17.2669,17.0202,17.0696,3201700
2006-03-17,17.1612,17.4431,17.0273,17.3515,4418800
2006-03-20,17.2528,17.3374,17.0978,17.1964,2975200
2006-03-21,17.3092,17.4783,17.3021,17.4642,6324000
2006-03-22,17.4924,17.6827,17.4431,17.6757,7172300
2006-03-23,17.6193,17.6193,17.5136,17.5418,3651500
2006-03-24,17.4431,17.6616,17.4290,17.6404,4420400
2006-03-27,17.5136,17.6475,17.3021,17.4642,4419300
2006-03-28,17.4079,17.4572,17.0696,17.2105,4653700
2006-03-29,17.1964,17.2951,17.0766,17.2246,5789100
2006-03-30,17.3021,17.4008,17.0555,17.0837,5351700
2006-03-31,17.0766,17.1823,16.8934,16.9004,5896800
2006-04-03,16.9850,17.4361,16.9498,17.4079,4671500
2006-04-04,17.3374,17.4783,17.2599,17.4572,3546900
2006-04-05,17.5559,17.6193,17.3867,17.5488,5419900
2006-04-06,17.5488,17.9717,17.4501,17.9505,7143300
2006-04-07,17.7321,17.9435,17.6122,17.7180,4156200
2006-04-10,17.6898,17.7321,17.5277,17.5418,5378200
2006-04-11,17.6193,17.6193,17.2176,17.3374,3229300
2006-04-12,17.3726,17.4783,17.2880,17.2880,2068500
2006-04-13,17.2246,17.5488,17.2176,17.5136,1795200
2006-04-17,17.5841,17.5841,17.2740,17.4149,2373400
2006-04-18,17.4783,17.5559,17.0343,17.4783,4781200
2006-04-19,17.4642,17.4924,17.1823,17.3092,3309400
2006-04-20,17.3233,17.4149,17.2176,17.2880,3766000
2006-04-21,17.4079,17.5065,17.2669,17.4854,3113600
2006-04-24,17.4220,17.5700,17.4079,17.4854,1945300
2006-04-25,17.5488,17.8801,17.3726,17.8801,4056600
2006-04-26,17.9012,18.0281,17.6404,17.7250,5903900
2006-04-27,17.7532,18.0422,17.7109,17.9717,4015100
2006-04-28,17.9717,18.0210,17.8589,17.9505,4942000
2006-05-01,17.9505,18.3311,17.9505,18.1690,4909200
2006-05-02,18.2183,18.2536,17.9717,18.0069,6549700
2006-05-03,18.0140,18.1831,17.9928,18.1479,4728000
2006-05-04,18.1479,18.4298,18.1126,18.3523,2686500
2006-05-05,18.3804,18.6342,18.3593,18.5919,2673800
2006-05-08,18.6764,18.8949,18.6483,18.7469,5272100
2006-05-09,18.8315,18.8879,18.7540,18.7963,4228600
2006-05-10,18.8667,18.8667,18.5003,18.5355,4107000
2006-05-11,18.5355,18.5707,18.2465,18.2677,3550300
2006-05-12,18.0069,18.3593,17.9223,18.0844,3674100
2006-05-15,18.0069,18.1831,17.7955,18.0844,2980000
2006-05-16,18.1761,18.6271,18.1620,18.5566,5039500
2006-05-17,18.5003,18.6835,18.1620,18.1831,5144600
2006-05-18,17.6263,18.2254,17.6263,17.8660,3166800
2006-05-19,17.9717,17.9717,17.6122,17.7673,6574600
2006-05-22,17.7673,18.0069,17.6898,17.8025,3998800
2006-05-23,17.7602,17.7602,17.4924,17.5136,3794800
2006-05-24,17.6193,18.0422,17.5629,17.9012,3725400
2006-05-25,17.9717,18.5566,17.9717,18.5355,8439500
2006-05-26,18.5919,18.6764,18.3523,18.4650,3751000
2006-05-30,18.3241,18.3875,17.9717,17.9787,6300800
2006-05-31,17.9787,18.2747,17.9505,18.1338,5084700
2006-06-01,18.3840,18.9233,18.2350,18.9020,4254500
2006-06-02,19.0723,19.0723,18.6607,18.7530,2583800
2006-06-05,18.7530,19.0510,18.6111,18.8452,5399000
2006-06-06,18.8452,19.0723,18.4550,18.6465,2981800
2006-06-07,18.7672,19.0155,18.6324,18.9304,7633300
2006-06-08,18.9871,19.1361,18.7955,18.8381,7894000
2006-06-09,18.6962,18.8026,18.3414,18.3840,4573200
2006-06-12,18.6182,18.7317,18.2634,18.2705,3502000
2006-06-13,18.3060,18.5046,18.2563,18.2989,4249500
2006-06-14,18.4834,18.6324,18.2634,18.3273,3977200
2006-06-15,18.3202,18.6465,18.1499,18.6394,2639700
2006-06-16,18.5685,18.6324,18.1853,18.4408,3507800
2006-06-19,18.4834,18.5259,18.3911,18.4195,3016800
2006-06-20,18.4763,18.5614,18.2978,18.2989,3463500
2006-06-21,18.2847,18.5188,18.2492,18.4763,3017900
2006-06-22,18.4763,18.5543,18.3273,18.4124,2376700
2006-06-23,18.3414,18.8807,18.3202,18.8026,5966600
2006-06-26,18.7885,18.8736,18.6891,18.8026,3795100
2006-06-27,18.8736,18.9658,18.6394,18.8168,3740300
2006-06-28,18.9587,18.9587,18.6891,18.8949,6188200
2006-06-29,19.1219,19.1503,18.9658,19.1006,4982800
2006-06-30,19.1645,19.3277,19.1645,19.1929,5371700
2006-07-03,19.1929,19.2993,19.1574,19.2355,1490100
2006-07-05,19.1929,19.2000,18.8807,18.9729,4391800
2006-07-06,19.1574,19.1787,18.9800,19.0652,2028600
2006-07-07,19.0865,19.4483,19.0155,19.4341,5297000
2006-07-10,19.4909,19.6044,19.2993,19.4199,2992800
2006-07-11,19.4270,19.5264,19.3703,19.4625,3370500
2006-07-12,19.4980,19.6115,18.9658,19.5406,2541600
2006-07-13,19.5406,19.5831,19.0297,19.1219,3961100
2006-07-14,19.0510,19.0581,18.7104,18.8168,3068600
2006-07-17,18.8026,18.9658,18.6962,18.8949,1811400
2006-07-18,18.8949,19.0368,18.7317,18.8026,1546100
2006-07-19,18.8736,19.0865,18.7388,18.8381,2861500
2006-07-20,18.7672,18.8594,18.6891,18.7175,2488500
2006-07-21,18.7175,18.8168,18.5259,18.6111,2872000
2006-07-24,18.7317,18.8949,18.5756,18.8168,2019700
2006-07-25,18.8381,19.1574,18.8168,19.0652,2629300
2006-07-26,19.0226,19.1006,18.8878,18.9091,2081300
2006-07-27,18.9800,19.1219,18.9233,19.0368,1588600
2006-07-28,19.0652,19.3490,18.9446,19.3348,1943600
2006-07-31,19.3348,19.4696,19.1645,19.4625,2982900
2006-08-01,19.3348,19.3490,18.9445,19.0368,3026200
2006-08-02,19.0368,19.3774,19.0155,19.2638,1859100
2006-08-03,18.9800,18.9871,18.1144,18.7033,9992600
2006-08-04,18.7033,18.9445,18.3060,18.3060,6634900
2006-08-07,18.4337,18.6820,18.4195,18.5543,4763600
2006-08-08,18.6607,18.7459,18.5330,18.6253,3682100
2006-08-09,18.6962,18.7388,18.5827,18.6253,6035400
2006-08-10,18.5756,18.8452,18.5756,18.8026,5248500
2006-08-11,18.5756,18.8594,18.5685,18.7104,3136400
2006-08-14,18.7317,19.4057,18.6891,19.3419,8282900
2006-08-15,19.4909,19.6399,19.3632,19.6115,3785500
2006-08-16,19.6896,19.7463,19.4625,19.5547,2713100
2006-08-17,19.4767,19.6754,19.3703,19.4767,2546600
2006-08-18,19.4838,19.5902,19.3419,19.5264,2590700
2006-08-21,19.5122,19.6825,19.4909,19.6612,1918000
2006-08-22,19.6683,20.0018,19.5831,19.9947,5114000
2006-08-23,19.9947,20.1862,19.8031,20.1082,3664800
2006-08-24,20.1082,20.2217,20.0159,20.0656,2620000
2006-08-25,19.9734,20.2927,19.8882,20.1933,2333200
2006-08-28,20.3991,20.7113,20.2856,20.3920,5429900
2006-08-29,20.5615,20.7187,20.4258,20.6687,4279400
2006-08-30,20.6616,20.6973,20.3615,20.5830,2050500
2006-08-31,20.5830,20.6258,20.3972,20.3972,2451300
2006-09-01,20.5901,20.7116,20.5187,20.6187,2415600
2006-09-05,20.7187,20.7187,20.3901,20.4329,3150900
2006-09-06,20.2329,20.4544,20.0972,20.2186,4308800
2006-09-07,20.2901,20.4401,20.0614,20.0972,3242900
2006-09-08,20.0186,20.3544,20.0043,20.3329,2641100
2006-09-11,20.3401,20.9331,20.2543,20.9045,2747900
2006-09-12,21.0688,21.2760,20.8045,20.9688,4097600
2006-09-13,20.8616,20.9759,20.1043,20.5544,3594100
2006-09-14,20.5615,20.6473,20.2901,20.3901,2751400
2006-09-15,20.4687,20.6830,20.2686,20.4187,3403300
2006-09-18,20.4687,20.5044,20.3472,20.4830,1670600
2006-09-19,20.6330,20.7687,20.3472,20.4615,3635800
2006-09-20,20.6116,20.6830,20.3401,20.4044,3333600
2006-09-21,20.4044,20.5901,20.0472,20.1829,2575500
2006-09-22,20.2043,20.3044,20.0829,20.1686,1764900
2006-09-25,20.2543,20.5473,20.0686,20.4687,3125400
2006-09-26,20.4758,20.5615,20.1329,20.5473,3240400
2006-09-27,20.5544,20.5758,20.2758,20.3258,4310600
2006-09-28,20.3258,20.4115,20.1400,20.1543,4102400
2006-09-29,20.0757,20.3615,20.0757,20.1257,2775400
2006-10-02,20.3044,20.3901,20.2401,20.2401,3312800
2006-10-03,20.2472,20.5187,20.2115,20.3044,2526000
2006-10-04,20.3544,20.4544,20.1115,20.3401,2481700
2006-10-05,20.1829,20.4972,20.1615,20.4687,2997500
2006-10-06,20.4615,20.5330,20.1972,20.3401,2516900
2006-10-09,20.2543,20.4187,20.1043,20.4044,2036700
2006-10-10,20.4044,20.4044,20.1686,20.2686,2515800
2006-10-11,20.2901,20.6330,20.2901,20.4401,3458600
2006-10-12,20.4972,20.4972,20.1900,20.2329,2730900
2006-10-13,20.3615,20.4329,20.0900,20.1115,3523500
2006-10-16,20.0043,20.2758,19.7685,20.0900,4189900
2006-10-17,19.5256,20.2115,19.5256,20.0829,2648400
2006-10-18,20.1686,20.2972,20.0543,20.1400,1806400
2006-10-19,20.0043,20.1758,19.9829,20.1400,2887100
2006-10-20,20.2115,20.2615,19.8900,19.9543,4334100
2006-10-23,19.9686,20.2615,19.8971,20.1186,2504800
2006-10-24,20.0614,20.2543,20.0043,20.2472,3568100
2006-10-25,20.2901,20.6044,20.2401,20.4401,2451700
2006-10-26,20.5901,20.9331,20.5115,20.7902,4241500
2006-10-27,20.7187,20.8187,20.5258,20.6973,2177000
2006-10-30,20.7187,20.7902,20.5830,20.7187,1920700
2006-10-31,20.7544,20.8473,20.5758,20.6759,2975900
2006-11-01,20.7187,20.7544,20.4187,20.5830,3383100
2006-11-02,20.4187,20.6901,20.3472,20.5258,3626900
2006-11-03,20.5330,20.6473,20.2829,20.3687,2918300
2006-11-06,20.5473,20.8902,20.3687,20.8259,4919100
2006-11-07,20.7830,21.0402,20.5901,21.0045,3809900
2006-11-08,21.0045,21.2331,20.9331,21.1474,3323100
2006-11-09,21.2188,21.3474,21.0259,21.2831,2245600
2006-11-10,21.2831,21.4832,21.1617,21.3403,3641600
2006-11-13,21.2903,21.4689,21.1974,21.4403,1657900
2006-11-14,21.4475,21.5118,21.0759,21.1331,2335400
2006-11-15,21.2760,21.3331,21.1188,21.1760,1902700
2006-11-16,21.3260,21.4546,21.1524,21.2760,2059600
2006-11-17,21.1831,21.3903,21.1117,21.2903,1843600
2006-11-20,20.8187,21.4689,20.8187,21.2760,1953600
2006-11-21,21.1474,21.2188,21.0188,21.1688,2677900
2006-11-22,21.2546,22.1262,21.2546,21.8332,5301900
2006-11-24,21.7904,21.8047,21.6404,21.6404,848500
2006-11-27,21.6118,21.6618,21.4260,21.4403,2558300
2006-11-28,21.4611,21.7556,21.3313,21.6118,5910600
2006-11-29,21.6118,21.7556,21.5470,21.5974,4165900
2006-11-30,21.5974,21.6477,21.3816,21.3960,3377500
2006-12-01,21.4679,21.6046,21.1803,21.3960,3426100
2006-12-04,21.5758,21.9570,21.5614,21.7197,3672200
2006-12-05,21.7197,22.2950,21.6837,22.2590,3808500
2006-12-06,22.2806,22.3310,21.9786,22.0936,2183400
2006-12-07,22.1799,22.2950,22.0792,22.2519,2331300
2006-12-08,22.1871,22.3022,22.0361,22.2447,2395300
2006-12-11,22.2806,22.5323,22.2519,22.5251,3193400
2006-12-12,22.5323,22.6186,22.2590,22.5108,2948100
2006-12-13,22.6546,22.6906,22.3454,22.5755,2726700
2006-12-14,22.6115,22.8632,22.5036,22.7265,2955200
2006-12-15,22.8488,23.0214,22.4748,23.0070,4417100
2006-12-18,23.0070,23.0430,22.8488,23.0070,4714300
2006-12-19,22.7984,22.9279,22.7409,22.8056,2293700
2006-12-20,22.8200,23.0142,22.7193,22.8272,2461400
2006-12-21,22.7984,22.8919,22.6330,22.7769,2659800
2006-12-22,22.6906,22.7265,22.4245,22.4317,2604700
2006-12-26,22.4029,22.7481,22.4029,22.5899,1678500
2006-12-27,22.7697,22.9782,22.6474,22.6834,1665000
2006-12-28,22.6546,22.8056,22.6402,22.6546,1829700
2006-12-29,22.6186,22.7553,22.3454,22.4245,1851200
2007-01-03,22.4029,22.9926,22.3669,22.7265,3188900
2007-01-04,22.5827,22.7481,22.1727,22.5323,3999900
2007-01-05,22.5827,22.5827,22.1296,22.2159,6480300
2007-01-08,22.1727,22.3310,21.9858,22.3310,3138400
2007-01-09,22.4388,22.5323,22.1080,22.2159,3249400
2007-01-10,22.1152,22.4388,22.0864,22.4101,2747200
2007-01-11,22.4029,22.5827,22.3597,22.4388,2577900
2007-01-12,22.4676,22.7841,22.4532,22.7409,3285600
2007-01-16,22.8056,22.8344,22.4460,22.6402,4259100
2007-01-17,22.6186,22.7409,22.5395,22.5899,2874400
2007-01-18,22.7697,22.9495,22.6032,22.6330,3616700
2007-01-19,22.6330,22.6762,22.4388,22.6618,2144700
2007-01-22,22.6618,22.7553,22.4604,22.5395,3429400
2007-01-23,22.5827,22.7841,22.5036,22.7265,2625800
2007-01-24,22.6474,22.6906,22.4748,22.5395,2323600
2007-01-25,22.4388,22.5539,22.0649,22.0864,2751500
2007-01-26,22.2950,22.3813,21.9354,22.0217,3793600
2007-01-29,22.1512,22.3022,22.0217,22.1512,2094000
2007-01-30,22.1152,22.3310,22.0073,22.3094,2132400
2007-01-31,22.3310,22.5467,22.2375,22.4173,1978300
2007-02-01,22.7625,22.7625,22.3597,22.6115,3031500
2007-02-02,22.6115,22.7265,22.4964,22.5467,3389800
2007-02-05,22.5108,22.7337,22.3597,22.6978,2078800
2007-02-06,22.8344,22.8416,22.5899,22.7193,1763100
2007-02-07,22.7409,22.8919,22.6546,22.8632,1961400
2007-02-08,22.8632,23.0933,22.8488,23.0789,2520800
2007-02-09,23.0430,23.1724,22.6762,22.7841,2255700
2007-02-12,22.9423,23.0142,22.4964,22.5180,2145700
2007-02-13,22.6186,22.9639,22.5180,22.9279,2220100
2007-02-14,22.9998,23.2084,22.9782,23.0070,2876200
2007-02-15,23.0502,23.1221,22.8272,22.9279,2284200
2007-02-16,22.8344,22.9639,22.7337,22.8776,2299400
2007-02-20,22.9207,23.0214,22.7265,22.9782,1561300
2007-02-21,22.9250,23.0142,22.7697,22.7984,4648200
2007-02-22,22.8344,22.8776,22.5467,22.6906,2669400
2007-02-23,22.6690,22.6762,22.3813,22.5251,2343300
2007-02-26,22.5251,22.6978,22.5036,22.5827,2122500
2007-02-27,22.7984,22.8704,20.4611,21.7484,7176200
2007-02-28,22.0073,22.2159,21.7484,21.8419,8451500
2007-03-01,21.8275,21.8275,21.2738,21.5542,7036800
2007-03-02,21.5039,21.5758,21.2162,21.2450,3820000
2007-03-05,21.2434,21.5404,21.0188,21.4607,5191000
2007-03-06,21.5260,22.4968,21.5260,22.4171,10011800
2007-03-07,22.3157,22.5186,22.0911,22.1563,5314000
2007-03-08,22.3374,22.4244,22.0621,22.0838,4469100
2007-03-09,22.1780,22.3737,22.0911,22.2215,3071000
2007-03-12,22.3519,22.6997,22.2432,22.6707,5663300
2007-03-13,22.5765,22.6128,22.1201,22.1418,4123800
2007-03-14,22.2432,22.4026,21.9049,22.0983,3907400
2007-03-15,21.9824,22.0766,21.7433,21.7650,5647100
2007-03-16,21.7650,21.8882,21.6346,21.8882,8266200
2007-03-19,22.0621,22.2143,21.9389,22.2070,4076200
2007-03-20,22.2215,22.2650,22.0694,22.0911,5022500
2007-03-21,22.0259,22.3084,21.8737,22.2215,4208400
2007-03-22,22.1998,22.3664,21.6201,22.2795,4151700
2007-03-23,22.2070,22.2650,22.0114,22.0694,3978600
2007-03-26,22.0694,22.2432,21.9027,22.1418,3910700
2007-03-27,22.1491,22.2940,22.0476,22.1563,4424700
2007-03-28,22.1563,22.1563,21.8520,22.0041,3944200
2007-03-29,22.0259,22.2215,22.0114,22.0983,5423500
2007-03-30,22.0621,22.2795,22.0041,22.1635,4589300
2007-04-02,22.3084,22.3157,22.1346,22.3012,3487100
2007-04-03,22.5041,22.6272,22.4316,22.5331,5927300
2007-04-04,22.5983,22.8156,22.5331,22.6345,5295100
2007-04-05,22.5620,22.6200,22.0694,22.4751,4699500
2007-04-09,22.5881,22.6417,22.4678,22.6055,4327400
2007-04-10,22.5693,22.7504,22.5693,22.7504,3253600
2007-04-11,22.6852,22.7445,22.4316,22.4534,4234600
2007-04-12,23.0330,23.0330,22.4026,22.7577,4966800
2007-04-13,23.0692,23.0692,22.7142,22.7866,4716800
2007-04-16,22.8120,23.0040,22.7939,22.9678,5641900
2007-04-17,22.9243,22.9605,22.8084,22.8881,4212900
