date,open,high,low,close,volume
1982-01-04,2.1703,2.1929,2.1368,2.1821,321100
1982-01-05,2.1368,2.1821,2.0799,2.1477,442400
1982-01-06,2.0464,2.1142,1.9668,2.0238,565800
1982-01-07,1.9894,2.0238,1.9442,1.9786,508900
1982-01-08,1.9894,2.0120,1.9668,1.9894,340400
1982-01-11,1.9216,2.0120,1.8312,1.8656,521100
1982-01-12,1.8764,1.9108,1.8429,1.9108,473400
1982-01-13,1.8656,1.9216,1.8086,1.8312,313300
1982-01-14,1.8656,1.9216,1.8086,1.8882,260800
1982-01-15,1.9216,1.9442,1.8990,1.9442,185900
1982-01-18,1.9216,1.9442,1.8990,1.9334,208700
1982-01-19,1.8312,1.9216,1.7408,1.7751,1352100
1982-01-20,1.7977,1.8312,1.7634,1.8312,477400
1982-01-21,1.8312,1.8429,1.8086,1.8203,393400
1982-01-22,1.8203,1.8429,1.7977,1.8203,238000
1982-01-25,1.8203,1.8429,1.7977,1.8086,223600
1982-01-26,1.7860,1.8312,1.7408,1.7634,329500
1982-01-27,1.7977,1.8312,1.7634,1.8312,160100
1982-01-28,1.8764,1.8990,1.8429,1.8764,301900
1982-01-29,1.9216,1.9442,1.8990,1.8990,326000
1982-02-01,1.8538,1.8764,1.8312,1.8429,123800
1982-02-02,1.8312,1.8429,1.8086,1.8086,227900
1982-02-03,1.7977,1.8312,1.7634,1.7860,197300
1982-02-04,1.7977,1.8086,1.7751,1.7977,176300
1982-02-05,1.7860,1.8086,1.7634,1.7751,123800
1982-02-08,1.7408,1.7751,1.6955,1.6955,328600
1982-02-09,1.6955,1.7182,1.6612,1.6838,207800
1982-02-10,1.6503,1.7073,1.5825,1.6051,397700
1982-02-11,1.6160,1.6503,1.5708,1.5934,400800
1982-02-12,1.6503,1.6729,1.6160,1.6277,541300
1982-02-16,1.6051,1.6277,1.5708,1.6160,231000
1982-02-17,1.6386,1.6503,1.6160,1.6160,408200
1982-02-18,1.6612,1.6838,1.6386,1.6729,163200
