date,open,high,low,close,volume
1988-01-05,5.9994,5.9994,5.8456,5.8456,16800
1988-01-06,5.8566,5.8566,5.7138,5.7797,152400
1988-01-07,5.8017,5.8676,5.7797,5.8017,42000
1988-01-08,5.8456,5.8676,5.7797,5.7797,62400
1988-01-11,5.7577,5.7577,5.7138,5.7195,15600
1988-01-12,5.6755,5.6755,5.5379,5.5819,48000
1988-01-13,5.6039,5.6039,5.4940,5.4940,32400
1988-01-14,5.4940,5.4940,5.4500,5.4720,13200
1988-01-15,5.5160,5.5379,5.5160,5.5379,127200
1988-01-18,5.5819,5.5819,5.5599,5.5599,12000
1988-01-19,5.5819,5.6039,5.5819,5.5929,4800
1988-01-20,5.5489,5.5489,5.4500,5.4500,823200
1988-01-21,5.4500,5.4553,5.4500,5.4500,12000
1988-01-22,5.4500,5.4940,5.4500,5.4940,15600
1988-01-25,5.4940,5.7577,5.4940,5.7138,88800
1988-01-26,5.6698,5.7138,5.6259,5.6698,160800
1988-01-27,5.6698,5.7797,5.6698,5.7797,25200
1988-01-28,5.8346,5.8346,5.7797,5.7797,160800
1988-01-29,5.8456,5.8896,5.7797,5.7797,49200
1988-02-01,5.7797,5.9555,5.7797,5.9555,81600
1988-02-02,5.9994,5.9994,5.9775,5.9775,16800
1988-02-03,6.0434,6.1093,6.0434,6.0654,188400
1988-02-04,6.0654,6.0654,6.0654,6.0654,34800
1988-02-05,6.1093,6.1093,6.0654,6.0654,58800
1988-02-08,6.0654,6.0873,6.0654,6.0654,115200
1988-02-09,6.0654,6.0654,6.0654,6.0654,4800
1988-02-10,6.0654,6.0711,6.0654,6.0654,42000
1988-02-11,6.0873,6.0873,6.0654,6.0654,13200
1988-02-12,6.0873,6.1093,6.0873,6.1093,10800
1988-02-16,6.1093,6.1533,6.1093,6.1533,52800
1988-02-17,6.1533,6.1862,6.1313,6.1313,139200
1988-02-18,6.1203,6.1203,6.1203,6.1203,16800
1988-02-19,6.1250,6.1745,6.1250,6.1524,175200
1988-02-22,6.1524,6.1635,6.1413,6.1524,139200
1988-02-23,6.1745,6.1967,6.1745,6.1967,73200
1988-02-24,6.1967,6.1967,6.1967,6.1967,10800
1988-02-25,6.1967,6.1967,6.1745,6.1745,37200
1988-02-26,6.1524,6.1524,6.1192,6.1524,20400
1988-02-29,6.1745,6.2077,6.1745,6.1967,44400
1988-03-01,6.2188,6.2631,6.2188,6.2631,109200
1988-03-02,6.2631,6.3073,6.2631,6.3073,36000
1988-03-03,6.3737,6.5508,6.3737,6.5508,145200
1988-03-04,6.5508,6.6393,6.5508,6.6393,90000
1988-03-07,6.6835,6.6835,6.6393,6.6393,51600
1988-03-08,6.6393,6.6835,6.5950,6.6835,73200
1988-03-09,6.6835,6.6893,6.6835,6.6893,3600
1988-03-10,6.6835,6.7278,6.4622,6.4622,62400
1988-03-11,6.4622,6.4680,6.4622,6.4680,27600
1988-03-14,6.5286,6.5286,6.4459,6.4844,15600
1988-03-15,6.4844,6.4901,6.4844,6.4901,3600
1988-03-16,6.5065,6.6393,6.5065,6.5950,63600
1988-03-17,6.5950,6.5950,6.5508,6.5950,64800
1988-03-18,6.5950,6.6835,6.5950,6.6835,61200
1988-03-21,6.6835,6.6835,6.6835,6.6835,106800
1988-03-22,6.6835,6.6893,6.6835,6.6893,15600
1988-03-23,6.6835,6.7278,6.6835,6.6835,40800
1988-03-24,6.7278,6.7278,6.7278,6.7278,76800
1988-03-25,6.7336,6.7721,6.7278,6.7278,50400
1988-03-28,6.7278,6.7278,6.5508,6.6393,45600
1988-03-29,6.6393,6.6835,6.6171,6.6835,32400
1988-03-30,6.6835,6.6835,6.6171,6.6171,37200
1988-03-31,6.5729,6.6393,6.5729,6.6393,21600
1988-04-04,6.6614,6.6725,6.5729,6.5729,87600
1988-04-05,6.5618,6.5618,6.5065,6.5176,27600
1988-04-06,6.4733,6.4844,6.4622,6.4844,38400
1988-04-07,6.4954,6.5508,6.4954,6.5397,36000
1988-04-08,6.5508,6.6171,6.5508,6.6061,15600
1988-04-11,6.6393,6.7057,6.6061,6.6061,64800
1988-04-12,6.6171,6.6393,6.6171,6.6393,12000
1988-04-13,6.6061,6.6393,6.5839,6.6171,44400
1988-04-14,6.5950,6.5950,6.5397,6.5950,86400
1988-04-15,6.5729,6.6614,6.5729,6.6393,33600
1988-04-18,6.6450,6.6835,6.6450,6.6835,62400
1988-04-19,6.7057,6.9270,6.7057,6.9048,115200
1988-04-20,6.9048,6.9048,6.8274,6.8606,92400
1988-04-21,6.8606,6.8606,6.7278,6.8163,54000
1988-04-22,6.7942,6.9048,6.7721,6.9048,250800
1988-04-25,6.8606,6.8606,6.7278,6.7499,67200
1988-04-26,6.7721,6.8385,6.7721,6.8163,13200
1988-04-27,6.7721,6.7721,6.7721,6.7721,27600
1988-04-28,6.7278,6.7278,6.6393,6.6393,60000
1988-04-29,6.5950,6.6835,6.5508,6.6835,45600
1988-05-02,6.6835,6.6835,6.6393,6.6393,21600
1988-05-03,6.6725,6.7057,6.6393,6.7057,72000
1988-05-04,6.7057,6.7278,6.6835,6.6835,81600
1988-05-05,6.7057,6.7167,6.6835,6.7167,21600
1988-05-06,6.6835,6.7057,6.6614,6.6614,120000
1988-05-09,6.6393,6.6835,6.5950,6.6835,66000
1988-05-10,6.6393,6.7057,6.6171,6.6171,31200
1988-05-11,6.5729,6.5729,6.4844,6.4844,135600
1988-05-12,6.5286,6.5286,6.5065,6.5065,4800
1988-05-13,6.5286,6.5286,6.4733,6.4733,31200
1988-05-16,6.4622,6.5065,6.4622,6.4680,28800
1988-05-17,6.5065,6.5950,6.5065,6.5508,44400
1988-05-18,6.5508,6.6171,6.5508,6.6171,36000
1988-05-19,6.6171,6.6171,6.5286,6.5729,22800
1988-05-20,6.6158,6.6827,6.6158,6.6827,58800
1988-05-23,6.6827,6.6827,6.5936,6.5936,34800
1988-05-24,6.5713,6.6047,6.5379,6.5490,58800
1988-05-25,6.5267,6.5490,6.5267,6.5267,8400
1988-05-26,6.5490,6.5490,6.5267,6.5267,30000
1988-05-27,6.5267,6.5713,6.5267,6.5713,15600
1988-05-31,6.5936,6.5936,6.5267,6.5936,78000
1988-06-01,6.6381,6.6827,6.6381,6.6827,34800
1988-06-02,6.6827,6.7718,6.6604,6.7718,144000
1988-06-03,6.7272,6.7383,6.6381,6.7383,21600
1988-06-06,6.7383,6.7383,6.7161,6.7272,4800
1988-06-07,6.7718,6.7718,6.6938,6.6938,34800
1988-06-08,6.7272,6.7383,6.6827,6.6938,133200
1988-06-09,6.7272,6.8163,6.6938,6.8163,36000
1988-06-10,6.7829,6.8163,6.7495,6.8052,48000
1988-06-13,6.8943,6.9277,6.8497,6.8497,128400
1988-06-14,6.8720,6.9054,6.8720,6.8943,43200
1988-06-15,6.9165,6.9165,6.8943,6.9054,26400
1988-06-16,6.9054,6.9054,6.8386,6.8386,38400
1988-06-17,6.8831,6.8831,6.8831,6.8831,18000
1988-06-20,6.8831,6.8943,6.8831,6.8943,15600
1988-06-21,6.8943,6.8943,6.7718,6.7718,30000
1988-06-22,6.7940,6.8386,6.7829,6.8163,121200
1988-06-23,6.7718,6.8386,6.7718,6.8386,82800
1988-06-24,6.8163,6.8163,6.7718,6.7718,64800
1988-06-27,6.8163,6.8163,6.7272,6.7272,48000
1988-06-28,6.7718,6.7718,6.7272,6.7495,10800
1988-06-29,6.7606,6.8386,6.7495,6.7495,68400
1988-06-30,6.7272,6.8163,6.7272,6.8163,116400
1988-07-01,6.8163,6.8163,6.7940,6.8163,18000
1988-07-05,6.8163,6.8163,6.7940,6.7940,22800
1988-07-06,6.8163,6.8386,6.8163,6.8386,18000
1988-07-07,6.8163,6.8163,6.7718,6.7718,70800
1988-07-08,6.7718,6.7718,6.7718,6.7718,6000
1988-07-11,6.8163,6.8386,6.8163,6.8386,18000
1988-07-12,6.8163,6.8163,6.8163,6.8163,4800
1988-07-13,6.8163,6.8497,6.8163,6.8497,19200
1988-07-14,6.8163,6.8163,6.8163,6.8163,20400
1988-07-15,6.7940,6.7940,6.7718,6.7718,33600
1988-07-18,6.7940,6.8889,6.7495,6.8889,100800
1988-07-19,6.8386,6.8386,6.7940,6.7940,63600
1988-07-20,6.8386,6.8386,6.7940,6.7940,4800
1988-07-21,6.7940,6.8386,6.7940,6.8386,13200
1988-07-22,6.8163,6.8497,6.8163,6.8386,44400
1988-07-25,6.8609,6.8609,6.8386,6.8497,25200
1988-07-26,6.8386,6.8609,6.8386,6.8386,12000
1988-07-27,6.8609,6.8720,6.8386,6.8609,32400
1988-07-28,6.8609,6.8609,6.8609,6.8609,32400
1988-07-29,6.8609,6.8609,6.7940,6.7940,39600
1988-08-01,6.8163,6.8386,6.7940,6.8386,36000
1988-08-02,6.8386,6.8609,6.8386,6.8386,26400
1988-08-03,6.8609,6.8720,6.8609,6.8720,7200
1988-08-04,6.8831,6.9054,6.8831,6.9054,151200
1988-08-05,6.9277,6.9277,6.9054,6.9054,48000
1988-08-08,6.9054,6.9945,6.9054,6.9277,63600
1988-08-09,6.9500,7.0391,6.9277,6.9277,48000
1988-08-10,6.9500,6.9500,6.7718,6.7940,26400
1988-08-11,6.7718,6.7718,6.7161,6.7161,36000
1988-08-12,6.7272,6.7272,6.7049,6.7161,60000
1988-08-15,6.6827,6.6827,6.6604,6.6604,25200
1988-08-16,6.6158,6.6158,6.4822,6.5044,99600
1988-08-17,6.5490,6.6158,6.5490,6.5713,36000
1988-08-18,6.5713,6.6381,6.5713,6.6381,22800
1988-08-19,6.6149,6.6374,6.6149,6.6149,69600
1988-08-22,6.6598,6.6598,6.5701,6.5701,36000
1988-08-23,6.5477,6.5871,6.5477,6.5871,37200
1988-08-24,6.5647,6.5647,6.4916,6.4916,58800
1988-08-25,6.5028,6.5140,6.5028,6.5028,112800
1988-08-26,6.5252,6.5252,6.5028,6.5028,28800
1988-08-29,6.5252,6.5477,6.5252,6.5252,54000
1988-08-30,6.5701,6.5701,6.5701,6.5701,2400
1988-08-31,6.5701,6.5925,6.5701,6.5925,2400
1988-09-01,6.6037,6.6037,6.6037,6.6037,10800
1988-09-02,6.6261,6.6822,6.6261,6.6710,279600
