date,open,high,low,close,volume
1988-01-05,1.5086,1.5086,1.4918,1.5086,82365
1988-01-06,1.4918,1.4918,1.4918,1.4918,1380
1988-01-07,1.4918,1.4918,1.4918,1.4918,48435
1988-01-08,1.4918,1.4918,1.4583,1.4583,29415
1988-01-11,1.4415,1.4415,1.4415,1.4415,2940
1988-01-12,1.4415,1.4415,1.4415,1.4415,0
1988-01-13,1.4415,1.4415,1.4415,1.4415,0
1988-01-14,1.4415,1.4415,1.4415,1.4415,5880
1988-01-15,1.4415,1.4415,1.4415,1.4415,26475
1988-01-18,1.4415,1.4415,1.4415,1.4415,7260
1988-01-19,1.4415,1.4415,1.4415,1.4415,0
1988-01-20,1.4393,1.4393,1.4393,1.4393,4320
1988-01-21,1.4415,1.4541,1.4415,1.4457,33735
1988-01-22,1.4415,1.4415,1.4415,1.4415,4320
1988-01-25,1.4415,1.4583,1.4415,1.4583,5880
1988-01-26,1.4583,1.4583,1.4583,1.4583,0
1988-01-27,1.4583,1.4583,1.4583,1.4583,1380
1988-01-28,1.4750,1.4750,1.4708,1.4708,2940
1988-01-29,1.4750,1.4750,1.4750,1.4750,2940
1988-02-01,1.4918,1.4918,1.4918,1.4918,21960
1988-02-02,1.4918,1.4918,1.4918,1.4918,0
1988-02-03,1.4918,1.4918,1.4918,1.4918,0
1988-02-04,1.4918,1.4918,1.4918,1.4918,0
1988-02-05,1.4792,1.4792,1.4792,1.4792,7260
1988-02-08,1.4792,1.4792,1.4792,1.4792,27855
1988-02-09,1.4792,1.4792,1.4792,1.4792,2940
1988-02-10,1.4792,1.4792,1.4750,1.4750,8820
1988-02-11,1.4708,1.4708,1.4708,1.4708,30795
1988-02-12,1.4708,1.4960,1.4708,1.4960,33735
1988-02-16,1.4960,1.5044,1.4960,1.5044,13140
1988-02-17,1.5044,1.5211,1.5044,1.5211,8820
1988-02-18,1.5253,1.5273,1.5253,1.5273,21960
1988-02-19,1.5273,1.5273,1.5273,1.5273,0
1988-02-22,1.5379,1.5379,1.5379,1.5379,7260
1988-02-23,1.5421,1.5421,1.5421,1.5421,4320
1988-02-24,1.5505,1.5756,1.5505,1.5756,27855
1988-02-25,1.5924,1.6091,1.5924,1.5924,76485
1988-02-26,1.6091,1.6091,1.6091,1.6091,2940
1988-02-29,1.6091,1.6217,1.6091,1.6217,11760
1988-03-01,1.6217,1.6301,1.6217,1.6301,17655
1988-03-02,1.6259,1.6259,1.6217,1.6217,10200
1988-03-03,1.6259,1.6427,1.6259,1.6427,64710
1988-03-04,1.6427,1.6427,1.6427,1.6427,0
1988-03-07,1.6343,1.6427,1.6343,1.6427,45495
1988-03-08,1.6427,1.6427,1.6259,1.6259,5880
1988-03-09,1.6427,1.6427,1.6259,1.6301,11760
1988-03-10,1.6259,1.6259,1.6175,1.6175,10200
1988-03-11,1.6175,1.6175,1.6175,1.6175,1380
1988-03-14,1.6091,1.6091,1.6091,1.6091,7260
1988-03-15,1.6091,1.6175,1.6091,1.6175,2940
1988-03-16,1.6091,1.6217,1.6091,1.6217,2940
1988-03-17,1.6259,1.6259,1.6259,1.6259,39615
1988-03-18,1.6301,1.6321,1.6175,1.6175,32355
1988-03-21,1.6091,1.6091,1.6091,1.6091,2940
1988-03-22,1.6111,1.6111,1.6111,1.6111,14715
1988-03-23,1.6175,1.6259,1.6175,1.6259,29415
1988-03-24,1.6259,1.6259,1.6259,1.6259,0
1988-03-25,1.6091,1.6091,1.6091,1.6091,13140
1988-03-28,1.5966,1.5966,1.5966,1.5966,2940
1988-03-29,1.5966,1.5966,1.5966,1.5966,1380
1988-03-30,1.5966,1.5966,1.5966,1.5966,0
1988-03-31,1.5966,1.6049,1.5966,1.6049,11760
1988-04-04,1.5924,1.5924,1.5924,1.5924,2940
1988-04-05,1.5924,1.5924,1.5924,1.5924,0
1988-04-06,1.5756,1.5756,1.5672,1.5756,24900
1988-04-07,1.5756,1.5882,1.5756,1.5756,23535
1988-04-08,1.5924,1.6175,1.5924,1.6175,14715
1988-04-11,1.6259,1.6301,1.6259,1.6301,2940
1988-04-12,1.6343,1.6594,1.6343,1.6594,51375
1988-04-13,1.6427,1.6427,1.6427,1.6427,1380
1988-04-14,1.6343,1.6427,1.6175,1.6175,45495
1988-04-15,1.6259,1.6259,1.6217,1.6217,33735
1988-04-18,1.6217,1.6343,1.6217,1.6343,57270
1988-04-19,1.6259,1.6259,1.6175,1.6175,17655
1988-04-20,1.6175,1.6175,1.6175,1.6175,0
1988-04-21,1.6175,1.6175,1.6175,1.6175,0
1988-04-22,1.6175,1.6175,1.6175,1.6175,0
1988-04-25,1.6259,1.6259,1.6259,1.6259,2940
1988-04-26,1.6259,1.6259,1.6259,1.6259,0
1988-04-27,1.6175,1.6175,1.6175,1.6175,2940
1988-04-28,1.6175,1.6175,1.6175,1.6175,1380
1988-04-29,1.6259,1.6259,1.6175,1.6175,33735
1988-05-02,1.6175,1.6175,1.6175,1.6175,0
1988-05-03,1.6175,1.6175,1.6175,1.6175,0
1988-05-04,1.6175,1.6301,1.6175,1.6301,5880
1988-05-05,1.6217,1.6301,1.6217,1.6301,4320
1988-05-06,1.6301,1.6301,1.6301,1.6301,0
1988-05-09,1.6301,1.6301,1.6301,1.6301,0
1988-05-10,1.6301,1.6301,1.6301,1.6301,0
1988-05-11,1.6259,1.6343,1.6259,1.6343,74910
1988-05-12,1.6321,1.6343,1.6321,1.6343,20595
1988-05-13,1.6343,1.6343,1.6343,1.6343,0
1988-05-16,1.6259,1.6259,1.6259,1.6259,1380
1988-05-17,1.6259,1.6259,1.6259,1.6259,0
1988-05-18,1.6343,1.6343,1.6343,1.6343,30795
1988-05-19,1.6427,1.6594,1.6343,1.6343,70605
1988-05-20,1.6343,1.6363,1.6343,1.6363,5880
1988-05-23,1.6363,1.6468,1.6343,1.6468,24900
1988-05-24,1.6594,1.6594,1.6594,1.6594,60210
1988-05-25,1.6594,1.6636,1.6594,1.6636,13140
1988-05-26,1.6636,1.6762,1.6636,1.6762,74910
1988-05-27,1.6698,1.6698,1.6698,1.6698,1380
1988-05-31,1.6700,1.6700,1.6700,1.6700,0
1988-06-01,1.6678,1.6678,1.6678,1.6678,1380
1988-06-02,1.6678,1.6678,1.6678,1.6678,0
1988-06-03,1.6678,1.6678,1.6678,1.6678,0
1988-06-06,1.6510,1.6510,1.6510,1.6510,1380
1988-06-07,1.6510,1.6510,1.6510,1.6510,0
1988-06-08,1.6594,1.6678,1.6594,1.6678,7260
1988-06-09,1.6594,1.6594,1.6594,1.6594,5880
1988-06-10,1.6594,1.6594,1.6594,1.6594,0
1988-06-13,1.6594,1.6678,1.6594,1.6678,26475
1988-06-14,1.6678,1.6678,1.6678,1.6678,0
1988-06-15,1.6678,1.6678,1.6678,1.6678,0
1988-06-16,1.6678,1.6678,1.6678,1.6678,0
1988-06-17,1.6552,1.6552,1.6427,1.6427,10200
