date,open,high,low,close,volume
1998-01-30,4.4174,5.5883,4.3642,5.4287,18256800
1998-02-02,5.8289,7.9301,5.6416,6.5996,10127200
1998-02-03,7.0253,7.4788,6.8124,7.0253,6244800
1998-02-04,6.9998,7.0530,6.4931,6.7337,2106800
1998-02-05,6.8657,7.0253,6.4931,6.5059,890800
1998-02-06,6.5336,6.5740,5.8544,5.9353,2846800
1998-02-09,5.8544,5.9609,5.4563,5.7480,1944800
1998-02-10,5.6948,6.2802,5.5628,5.9609,1001200
1998-02-11,5.9886,6.3334,5.8821,6.3334,842400
1998-02-12,6.3079,6.7337,6.2015,6.6272,1111600
1998-02-13,6.6805,6.8124,6.5463,6.5996,544800
1998-02-17,6.6805,6.8124,6.5463,6.6528,441600
1998-02-18,6.6805,6.7060,6.5740,6.6932,246000
1998-02-19,6.7060,6.7869,6.5463,6.5463,318400
1998-02-20,6.5463,6.8124,6.5463,6.7869,349200
1998-02-23,6.5463,6.5740,6.1482,6.1738,1409600
1998-02-24,6.3079,6.3207,5.6948,5.8289,2599200
1998-02-25,5.9609,6.1738,5.8012,6.1738,1143200
1998-02-26,6.2015,6.2015,6.0141,6.1333,491200
1998-02-27,6.0673,6.1482,6.0673,6.0950,573600
1998-03-02,6.0950,6.1333,6.0418,6.0546,466400
1998-03-03,6.0673,6.0673,5.9609,6.0673,642400
1998-03-04,6.1206,6.1206,5.8012,5.8736,377600
1998-03-05,5.7225,5.8544,5.6416,5.6820,836800
1998-03-06,5.7757,6.0673,5.6948,6.0269,454000
1998-03-09,5.9353,6.7592,5.9353,6.4399,1732400
1998-03-10,6.5463,7.0530,6.4399,7.0381,1844000
1998-03-11,7.1595,7.8237,7.1062,7.6385,2708000
1998-03-12,7.7449,8.2239,7.6640,8.1962,1700000
1998-03-13,8.2494,8.4623,7.6917,8.0642,1345600
1998-03-16,8.1430,9.7397,8.0642,9.5268,3122800
1998-03-17,9.4736,9.9802,9.0350,9.4395,1907200
1998-03-18,9.2607,9.4736,9.0755,9.1670,800000
1998-03-19,9.2074,9.3543,8.9690,9.1819,312400
1998-03-20,9.0755,9.2607,8.6348,8.7689,405200
1998-03-23,8.6752,9.5545,8.6752,9.1819,1090800
1998-03-24,9.4736,9.8206,9.1287,9.4736,1063600
1998-03-25,9.5545,9.5800,9.0350,9.1542,441600
1998-03-26,9.1542,9.2607,8.8349,8.9413,473600
1998-03-27,8.9946,9.2607,8.8626,9.0478,884400
1998-03-30,9.0478,9.5268,8.9413,9.2607,868400
1998-03-31,9.4203,9.4736,9.2074,9.3671,714400
1998-04-01,9.4480,10.3251,9.3671,10.2187,1110000
1998-04-02,10.0590,10.4316,9.3948,9.4203,1066400
1998-04-03,9.7397,9.8738,9.0222,9.0478,1367200
1998-04-06,9.1819,9.1819,8.7029,8.7029,656000
1998-04-07,8.6497,8.6752,7.8769,8.2899,1047200
1998-04-08,8.2771,9.2074,8.2771,8.6752,977200
1998-04-09,9.2607,9.5545,9.1287,9.3671,922800
1998-04-13,9.5800,9.8461,9.0755,9.5545,544400
1998-04-14,9.6864,10.1122,9.2883,9.3416,575200
1998-04-15,9.5012,9.5012,9.1542,9.1542,345600
1998-04-16,9.2351,9.2883,9.1010,9.1542,302400
1998-04-17,9.1542,9.2074,8.6497,9.0222,410800
1998-04-20,9.0478,9.0755,8.8881,8.8881,493600
1998-04-21,8.6752,8.8881,8.1962,8.6752,528000
1998-04-22,8.7284,8.8626,8.3027,8.7284,570800
1998-04-23,8.4623,8.6220,8.0642,8.1175,904800
1998-04-24,8.2239,8.5156,7.2382,7.5043,2391200
1998-04-27,7.3979,7.9301,7.0530,7.9046,1166800
1998-04-28,8.2494,8.2494,7.4788,7.7981,932400
1998-04-29,7.6640,7.7704,7.3723,7.5703,585600
1998-04-30,7.9046,8.2771,7.7981,8.1707,626400
1998-05-01,8.1430,8.6497,8.0898,8.5156,331600
1998-05-04,8.5432,8.7561,8.0898,8.1962,523200
1998-05-05,8.0110,8.1962,7.5852,7.6768,580800
1998-05-06,7.7981,7.8513,7.3979,7.5980,474400
1998-05-07,7.5852,7.6640,7.3979,7.5043,218800
1998-05-08,7.5576,7.6917,7.5043,7.5576,242000
1998-05-11,7.6385,7.6640,7.2659,7.4511,412400
1998-05-12,7.3979,7.5320,7.2914,7.3979,247200
1998-05-13,7.2914,8.3027,7.2914,8.1430,1270000
1998-05-14,8.2239,8.2494,7.8237,7.9301,672000
1998-05-15,7.9301,8.0110,7.6108,7.6768,511200
1998-05-18,7.5576,7.6917,7.4256,7.5980,1092000
1998-05-19,7.6385,7.7981,7.4511,7.6385,1105200
1998-05-20,7.6640,7.7172,7.6108,7.7172,83200
1998-05-21,7.9301,8.0898,7.7172,8.0366,2386000
1998-05-22,8.2771,8.2771,7.3723,7.5320,605600
1998-05-26,7.6640,7.8513,7.2382,7.3447,435600
1998-05-27,7.0253,7.1850,6.8124,6.9189,956000
1998-05-28,7.0786,7.0786,6.9189,6.9721,302800
1998-05-29,7.0381,7.0381,6.7869,6.7997,359600
1998-06-01,6.7337,6.7997,6.1482,6.1738,1269200
1998-06-02,6.3867,6.3867,5.6948,5.9886,1304000
1998-06-03,6.1482,6.3334,5.9886,6.0673,336800
1998-06-04,6.2547,6.2802,6.0950,6.1206,223600
1998-06-05,6.2015,6.2802,6.1206,6.1738,382800
1998-06-08,6.1738,6.2270,5.5351,5.7480,1801600
1998-06-09,5.6948,5.9609,5.5351,5.8289,1493600
1998-06-10,5.7480,6.2270,5.6416,5.8544,425200
1998-06-11,5.8012,6.0673,5.6948,5.7480,331200
1998-06-12,5.8289,5.9609,5.5628,5.9609,960800
1998-06-15,5.9609,5.9609,5.6011,5.7480,250800
1998-06-16,5.6692,5.7757,5.6416,5.7757,138000
1998-06-17,5.6948,6.1738,5.6948,6.0950,1690800
1998-06-18,6.1482,6.4143,6.1482,6.3867,1632000
1998-06-19,6.3611,6.3867,6.3334,6.3611,913600
1998-06-22,6.3867,7.6108,6.3334,7.4511,2005200
1998-06-23,7.5320,8.1835,7.4256,8.1430,2220400
1998-06-24,8.3559,9.1819,8.3027,8.8881,2244400
1998-06-25,8.9946,9.1542,8.1962,8.5156,1142800
1998-06-26,8.5156,8.5156,7.9301,8.1430,290400
1998-06-29,8.0898,8.1430,7.5043,7.7704,467200
1998-06-30,7.7300,8.3027,7.5852,7.9578,1189600
1998-07-01,8.1962,8.8349,7.8237,8.8349,1542400
1998-07-02,9.1542,9.2607,8.4368,8.8349,1378800
1998-07-06,9.0478,9.3671,8.7284,8.9541,698800
1998-07-07,8.9413,8.9946,8.5156,8.9946,1117200
1998-07-08,8.8349,8.9946,8.6497,8.8753,577200
1998-07-09,8.8093,9.2607,8.8093,9.1542,345600
1998-07-10,9.2074,9.5545,9.1542,9.3671,475200
1998-07-13,9.3139,9.4203,8.9413,9.0350,436000
1998-07-14,9.0350,9.4203,9.0350,9.1010,386800
1998-07-15,9.1010,9.1819,8.9158,9.0222,610800
1998-07-16,9.0755,9.1819,8.9413,9.0755,1022400
1998-07-17,9.2074,9.2074,8.8881,8.8881,77200
1998-07-20,8.9158,9.0478,8.8093,8.8349,132400
1998-07-21,9.0755,9.1415,8.4091,8.6752,272000
1998-07-22,8.4900,8.5965,8.1707,8.4623,265600
1998-07-23,8.3836,8.5156,7.6917,8.2239,312800
1998-07-24,8.0642,8.4091,7.9046,8.3559,249600
1998-07-27,8.1175,8.3027,7.6385,7.6640,471600
1998-07-28,7.9046,7.9046,6.9189,7.5852,2126800
1998-07-29,7.1318,7.2382,6.9189,7.0530,3321200
