date,open,high,low,close,volume
1997-05-05,4.9905,5.0776,4.9740,5.0493,1035800
1997-05-06,5.0635,5.0917,5.0352,5.0635,612800
1997-05-07,4.7102,4.7997,4.6372,4.6961,853400
1997-05-08,4.6513,4.7385,4.3569,4.4464,3153400
1997-05-09,4.4158,4.5336,4.4158,4.4464,1006000
1997-05-12,4.4464,4.5336,4.4158,4.4464,572800
1997-05-13,4.4158,4.4747,4.4158,4.4158,480400
1997-05-14,4.4747,4.5336,4.4747,4.5030,447600
1997-05-15,4.5030,4.6207,4.5030,4.6207,662400
1997-05-16,4.5925,4.6513,4.5642,4.5642,216800
1997-05-19,4.5642,4.6207,4.5642,4.6207,831800
1997-05-20,4.5925,4.6820,4.5925,4.6820,229600
1997-05-21,4.6820,4.7102,4.6513,4.7102,367800
1997-05-22,4.7385,4.7385,4.6655,4.7102,714200
1997-05-23,4.7243,4.7997,4.7102,4.7385,247200
1997-05-27,4.7691,4.7997,4.7385,4.7691,242200
1997-05-28,4.7691,4.7997,4.7691,4.7832,209600
1997-05-29,4.7691,4.7997,4.7385,4.7691,219400
1997-05-30,4.6820,4.7997,4.6513,4.7997,215800
1997-06-02,4.8280,4.9457,4.7997,4.9457,297800
1997-06-03,4.9457,5.0352,4.9175,5.0046,673800
1997-06-04,5.0046,5.0046,4.9457,4.9457,400800
1997-06-05,4.9457,5.0352,4.9457,5.0352,386400
1997-06-06,5.0187,5.1082,5.0187,5.0776,551200
1997-06-09,5.0635,5.1530,5.0635,5.1530,170600
1997-06-10,5.1530,5.2095,5.1224,5.1530,542800
1997-06-11,5.1530,5.1530,5.0046,5.0046,328800
1997-06-12,4.9740,5.0046,4.9175,4.9457,434600
1997-06-13,5.0046,5.0352,4.9457,4.9740,581000
1997-06-16,5.0046,5.0046,4.9175,4.9175,325600
1997-06-17,4.8727,4.9175,4.8562,4.9175,808600
1997-06-18,4.9316,4.9905,4.9010,4.9316,478200
1997-06-19,4.9457,5.1812,4.9457,5.1530,254800
1997-06-20,5.2401,5.2401,5.1224,5.1530,722200
1997-06-23,5.1812,5.2990,5.1530,5.2095,360200
1997-06-24,5.2095,5.2707,5.1082,5.1082,556600
1997-06-25,5.1082,5.1224,4.9975,5.0635,266000
1997-06-26,5.0917,5.1082,5.0046,5.0493,161600
1997-06-27,5.0352,5.0493,4.9740,4.9740,111600
1997-06-30,4.9599,5.1224,4.9599,4.9740,314800
1997-07-01,5.0046,5.1954,5.0046,5.1530,199800
1997-07-02,4.9740,5.0635,4.9740,5.0635,314400
1997-07-03,5.0635,5.0635,5.0046,5.0187,243200
1997-07-07,5.0352,5.0635,5.0046,5.0352,478600
1997-07-08,5.0352,5.0352,4.9457,4.9457,253600
1997-07-09,5.0635,5.0635,4.8868,4.8868,389000
1997-07-10,4.9316,5.0187,4.8727,5.0187,586200
1997-07-11,5.0187,5.0352,4.9740,5.0046,349800
1997-07-14,5.0046,5.0187,4.9669,4.9834,235600
1997-07-15,4.9669,5.0352,4.9669,5.0046,215200
1997-07-16,4.9457,5.0635,4.9457,4.9669,216800
1997-07-17,4.9669,4.9740,4.8421,4.9245,368600
1997-07-18,4.9457,4.9599,4.7385,4.8350,260600
1997-07-21,4.8280,4.8280,4.6513,4.6820,712000
1997-07-22,4.6820,4.7385,4.6655,4.7385,888400
1997-07-23,4.7691,5.0917,4.7691,5.0635,1094600
1997-07-24,5.0635,5.0635,4.8421,4.9599,426600
1997-07-25,4.9457,4.9905,4.9010,4.9599,204200
1997-07-28,4.9316,4.9457,4.8727,4.8727,118400
1997-07-29,4.8727,4.8727,4.7243,4.7385,281400
1997-07-30,4.7385,4.8562,4.7385,4.8562,751600
1997-07-31,4.8562,4.8727,4.7102,4.7385,221600
1997-08-01,4.7550,4.7550,4.6207,4.6513,239200
1997-08-04,4.6513,4.6655,4.5336,4.6066,485000
1997-08-05,4.6066,4.6372,4.4747,4.6066,842400
1997-08-06,4.6066,4.7102,4.6066,4.6655,464000
1997-08-07,4.6820,4.6820,4.5194,4.5642,804200
1997-08-08,4.5642,4.6655,4.5477,4.6372,365400
1997-08-11,4.6207,4.6655,4.6066,4.6513,973800
1997-08-12,4.6513,4.6655,4.5783,4.5783,914800
1997-08-13,4.5925,4.6066,4.5336,4.5477,433000
1997-08-14,4.5336,4.5642,4.5336,4.5642,217600
1997-08-15,4.5642,4.6066,4.5336,4.5336,140800
1997-08-18,4.5477,4.5477,4.4017,4.4888,442400
1997-08-19,4.5194,4.6513,4.4888,4.5336,719200
1997-08-20,4.6207,4.7102,4.5783,4.7102,264400
1997-08-21,4.7102,4.7243,4.6207,4.6513,242200
1997-08-22,4.6655,4.6655,4.6372,4.6655,199400
