date,open,high,low,close,volume
1987-12-18,1.0905,1.0905,1.0431,1.0755,1138003
1987-12-21,1.0905,1.2301,1.0905,1.1054,1013101
1987-12-22,1.0905,1.1054,1.0593,1.0593,832903
1987-12-23,1.0905,1.1216,1.0755,1.1216,1084597
1987-12-24,1.1117,1.1280,1.0966,1.1117,415800
1987-12-28,1.1117,1.1280,1.0653,1.0653,757897
1987-12-29,1.0653,1.0816,1.0490,1.0490,824101
1987-12-30,1.0490,1.0653,1.0340,1.0490,1522800
1987-12-31,1.0340,1.0490,1.0026,1.0340,1561201
1988-01-04,1.0340,1.1430,1.0340,1.0966,374497
1988-01-05,1.1280,1.2069,1.1280,1.2069,1606500
1988-01-06,1.2220,1.2533,1.2069,1.2533,905101
1988-01-07,1.2533,1.2533,1.2220,1.2370,573001
1988-01-08,1.2370,1.2533,1.1117,1.1280,735001
1988-01-11,1.0816,1.1593,1.0816,1.1117,772200
1988-01-12,1.1117,1.1280,1.0816,1.0966,375901
1988-01-13,1.1117,1.1593,1.0966,1.1430,374497
1988-01-14,1.1430,1.1593,1.1117,1.1430,225997
1988-01-15,1.1906,1.2370,1.1593,1.1756,669600
1988-01-18,1.1756,1.2069,1.1756,1.2069,244303
1988-01-19,1.2069,1.2220,1.1430,1.1430,318600
1988-01-20,1.1430,1.1756,1.1117,1.1430,784897
1988-01-21,1.1117,1.1280,1.0966,1.0966,620197
1988-01-22,1.0966,1.1280,1.0966,1.1117,519703
1988-01-25,1.1280,1.1593,1.1280,1.1430,301003
1988-01-26,1.1280,1.1430,1.1280,1.1430,124200
1988-01-27,1.1280,1.1430,1.0966,1.0966,351000
1988-01-28,1.0966,1.1117,1.0966,1.0966,259801
1988-01-29,1.1117,1.1117,1.0653,1.0816,344797
1988-02-01,1.0816,1.1117,1.0816,1.0966,421801
1988-02-02,1.0966,1.1117,1.0816,1.0816,263797
1988-02-03,1.0816,1.1280,1.0653,1.0966,791701
1988-02-04,1.1117,1.1280,1.0653,1.0816,589201
1988-02-05,1.0653,1.0816,1.0653,1.0653,471103
1988-02-08,1.0653,1.0653,1.0340,1.0490,348901
1988-02-09,1.0490,1.0490,1.0340,1.0340,471103
1988-02-10,1.0340,1.0653,1.0340,1.0490,513000
1988-02-11,1.0340,1.0490,1.0340,1.0340,737100
1988-02-12,1.0490,1.0490,1.0340,1.0490,835603
1988-02-16,1.0340,1.0340,1.0177,1.0340,721501
1988-02-17,1.0340,1.0340,1.0177,1.0340,496800
1988-02-18,1.0340,1.0340,1.0177,1.0340,1042200
1988-02-19,1.0340,1.0653,1.0177,1.0653,715500
1988-02-22,1.0653,1.1280,1.0653,1.1280,745200
1988-02-23,1.1280,1.1593,1.1117,1.1280,1002301
1988-02-24,1.1280,1.2220,1.1280,1.2220,2079000
1988-02-25,1.2220,1.2846,1.2069,1.2370,3626701
1988-02-26,1.2370,1.2370,1.2220,1.2370,609397
1988-02-29,1.2370,1.2683,1.2370,1.2533,722203
1988-03-01,1.2683,1.2846,1.2370,1.2533,603403
1988-03-02,1.2370,1.2683,1.2370,1.2683,433897
1988-03-03,1.2683,1.3310,1.2533,1.3160,1331701
1988-03-04,1.3009,1.3473,1.2683,1.3473,739800
1988-03-07,1.3310,1.3786,1.3160,1.3623,1131901
1988-03-08,1.3623,1.3786,1.3160,1.3160,903103
1988-03-09,1.3310,1.3623,1.3160,1.3473,549403
1988-03-10,1.3623,1.3623,1.3009,1.3160,825397
1988-03-11,1.3009,1.3160,1.2683,1.3160,592603
1988-03-14,1.3160,1.3160,1.2846,1.3160,270000
1988-03-15,1.3160,1.3160,1.2533,1.2846,479203
1988-03-16,1.2846,1.2846,1.2370,1.2533,627703
1988-03-17,1.2683,1.3009,1.2683,1.3009,530503
1988-03-18,1.3009,1.3160,1.2683,1.2846,355003
1988-03-21,1.2846,1.3009,1.2533,1.2533,438001
1988-03-22,1.2683,1.2846,1.2533,1.2683,280800
1988-03-23,1.2683,1.2846,1.2533,1.2683,367801
1988-03-24,1.2683,1.2846,1.2220,1.2533,452203
1988-03-25,1.2220,1.2533,1.2220,1.2533,334800
1988-03-28,1.2220,1.2370,1.2220,1.2220,263797
1988-03-29,1.2370,1.2370,1.2069,1.2370,373201
1988-03-30,1.2370,1.2533,1.2069,1.2069,475801
1988-03-31,1.2220,1.2370,1.2069,1.2220,452797
1988-04-04,1.2370,1.2370,1.2069,1.2069,340801
1988-04-05,1.2069,1.2220,1.1906,1.2069,752497
1988-04-06,1.1906,1.2220,1.1906,1.2220,397501
1988-04-07,1.2220,1.2220,1.1906,1.2069,204397
1988-04-08,1.2069,1.2370,1.1906,1.2220,502801
1988-04-11,1.2533,1.2846,1.2533,1.2683,675000
1988-04-12,1.2846,1.3160,1.2683,1.3009,668797
1988-04-13,1.3160,1.3160,1.2683,1.3009,389401
1988-04-14,1.2683,1.2846,1.2069,1.2069,1283101
1988-04-15,1.2220,1.2683,1.2220,1.2370,558097
1988-04-18,1.2533,1.2846,1.2370,1.2683,345600
1988-04-19,1.2683,1.2846,1.2220,1.2220,233503
1988-04-20,1.2220,1.2370,1.2069,1.2220,317203
1988-04-21,1.2220,1.2533,1.2069,1.2533,319201
1988-04-22,1.2533,1.2533,1.2220,1.2533,222703
1988-04-25,1.2370,1.2533,1.2220,1.2220,137700
1988-04-26,1.2220,1.3009,1.2220,1.2846,1247400
1988-04-27,1.2846,1.3009,1.2683,1.3009,475801
1988-04-28,1.3160,1.3786,1.3160,1.3473,2227500
1988-04-29,1.3473,1.3473,1.3160,1.3160,720097
1988-05-02,1.3310,1.3473,1.3310,1.3310,527803
1988-05-03,1.3310,1.3473,1.3310,1.3473,480600
1988-05-04,1.3473,1.4889,1.3310,1.4726,4463100
1988-05-05,1.4889,1.5040,1.3310,1.4726,2135700
1988-05-06,1.4563,1.4726,1.4100,1.4263,828900
1988-05-09,1.4100,1.5203,1.4100,1.4889,2502097
1988-05-10,1.5040,1.5666,1.4726,1.5353,2130901
1988-05-11,1.4889,1.5353,1.4413,1.4563,1154797
1988-05-12,1.4563,1.5040,1.4563,1.4889,744397
1988-05-13,1.4726,1.4889,1.4563,1.4726,552103
1988-05-16,1.4726,1.5353,1.4563,1.5203,1023300
1988-05-17,1.5666,1.5666,1.5203,1.5203,3364801
1988-05-18,1.5353,1.5503,1.4413,1.4726,2439997
1988-05-19,1.4413,1.4889,1.4263,1.4563,1031400
1988-05-20,1.4563,1.4889,1.4413,1.4413,594000
1988-05-23,1.4563,1.4726,1.4100,1.4100,664801
1988-05-24,1.4263,1.4263,1.4100,1.4100,333403
1988-05-25,1.4263,1.4413,1.4100,1.4413,317797
1988-05-26,1.4563,1.4563,1.4413,1.4563,672901
1988-05-27,1.4726,1.4726,1.4413,1.4726,296197
1988-05-31,1.4563,1.5203,1.4563,1.5203,1180501
1988-06-01,1.5503,1.5503,1.5040,1.5203,1035403
1988-06-02,1.5203,1.5203,1.4726,1.4726,477097
1988-06-03,1.4726,1.5040,1.4563,1.5040,218700
1988-06-06,1.4889,1.5353,1.4889,1.5203,814003
