date,open,high,low,close,volume
1995-06-16,6.9231,7.3846,6.8677,6.9231,6212400
1995-06-19,6.9784,7.0384,6.5169,6.6369,1528200
1995-06-20,6.6923,6.7477,6.6369,6.6369,863000
1995-06-21,6.6923,6.6923,6.4615,6.5169,629000
1995-06-22,6.5169,6.9784,6.4615,6.7477,546200
1995-06-23,6.8077,6.8677,6.6923,6.7477,365000
1995-06-26,6.7477,6.8077,6.4615,6.5169,515400
1995-06-27,6.5769,6.5769,6.4615,6.4615,270800
1995-06-28,6.5169,6.5169,6.4615,6.4615,500400
1995-06-29,6.4615,6.5769,6.4615,6.4615,309200
1995-06-30,6.5169,6.6369,6.5169,6.5769,95000
1995-07-03,6.5169,6.5769,6.5169,6.5169,9200
1995-07-05,6.5769,6.5769,6.5169,6.5169,75600
1995-07-06,6.5169,6.5769,6.5169,6.5169,81400
1995-07-07,6.5169,7.0384,6.5169,6.9784,475000
1995-07-10,6.9231,7.1538,6.9231,7.1538,241400
1995-07-11,7.0384,7.9015,7.0384,7.8461,538600
1995-07-12,7.8461,8.3631,7.7308,8.3077,496200
1995-07-13,8.3077,8.3077,8.1323,8.2523,384000
1995-07-14,8.2523,8.2523,8.0769,8.2523,102200
1995-07-17,8.3631,8.7692,8.3631,8.7138,480200
1995-07-18,8.7138,8.7138,8.3077,8.3631,359200
1995-07-19,8.3077,8.3077,8.1323,8.1923,101600
1995-07-20,8.0769,8.0769,7.7908,8.0215,119600
1995-07-21,8.0769,8.0769,8.0215,8.0215,13000
1995-07-24,8.0215,8.1323,7.9015,7.9015,112000
1995-07-25,7.9015,8.1323,7.9015,8.0769,201000
1995-07-26,8.1923,8.4831,8.1923,8.4231,287800
1995-07-27,8.4831,8.6538,8.4831,8.5938,101600
1995-07-28,8.6538,8.7138,8.5938,8.5938,100400
1995-07-31,8.6538,8.6538,8.3631,8.5384,60800
1995-08-01,8.4831,8.4831,8.3077,8.3631,57600
1995-08-02,8.3077,8.3077,8.1923,8.1923,41000
1995-08-03,8.1323,8.1323,8.0769,8.0769,12600
1995-08-04,7.9615,8.0215,7.9015,7.9615,9000
1995-08-07,7.9015,8.0769,7.9015,8.0215,12200
1995-08-08,7.9615,8.0215,7.9015,7.9015,3200
1995-08-09,7.7908,7.7908,7.5600,7.5600,24000
1995-08-10,7.6154,7.6154,7.5000,7.5000,6800
1995-08-11,7.5000,7.5000,7.5000,7.5000,10000
1995-08-14,7.4400,7.5000,7.3292,7.3846,28200
1995-08-15,7.3846,7.4400,7.3846,7.3846,9400
1995-08-16,7.4400,7.6154,7.4400,7.5600,11800
1995-08-17,7.5600,7.6708,7.5600,7.6154,6200
1995-08-18,7.7308,7.7308,7.6154,7.6154,9800
1995-08-21,7.6154,7.7908,7.6154,7.7308,8600
1995-08-22,7.6708,7.7908,7.6708,7.7908,12400
1995-08-23,7.8461,8.0215,7.8461,7.9015,28800
1995-08-24,7.9615,8.0769,7.9615,8.0769,16200
1995-08-25,7.9615,7.9615,7.9015,7.9015,30200
1995-08-28,7.9015,7.9015,7.7908,7.7908,9200
1995-08-29,7.7308,7.7308,7.5600,7.5600,9200
1995-08-30,7.6154,7.6154,7.5600,7.5600,1400
1995-08-31,7.5000,7.5600,7.5000,7.5000,13800
1995-09-01,7.3846,7.4400,7.3846,7.4400,9200
1995-09-05,7.3846,7.4400,7.3846,7.3846,12200
1995-09-06,7.3292,7.4400,7.2092,7.2092,23400
1995-09-07,7.2092,7.2692,7.0384,7.1538,48800
1995-09-08,7.1538,7.3846,7.1538,7.3292,140200
1995-09-11,7.3292,7.3292,7.2092,7.2692,104000
1995-09-12,7.3292,7.3846,7.3292,7.3846,11000
1995-09-13,7.5000,7.5000,7.2092,7.2092,14600
1995-09-14,7.0384,7.2092,7.0384,7.2092,14800
1995-09-15,7.1538,7.1538,7.0984,7.1538,6200
1995-09-18,7.1538,7.1538,6.9231,6.9231,41600
1995-09-19,6.9784,7.0384,6.9231,6.9231,5000
1995-09-20,6.9231,6.9231,6.6369,6.6923,20800
1995-09-21,6.6369,6.8077,6.5769,6.8077,61000
1995-09-22,6.8677,6.9231,6.8077,6.8077,53400
1995-09-25,6.8677,6.9231,6.7477,6.7477,28200
1995-09-26,6.6923,6.8077,6.5769,6.7477,265000
1995-09-27,6.7477,6.7477,6.5169,6.5169,95200
1995-09-28,6.5769,6.6369,6.5169,6.6369,68600
1995-09-29,6.5769,6.6369,6.5769,6.6369,12200
1995-10-02,6.6369,6.6369,6.5169,6.5769,77400
1995-10-03,6.5769,6.5769,6.2308,6.2308,141400
1995-10-04,6.1154,6.1154,6.0554,6.0554,49000
1995-10-05,5.9446,6.8077,5.9446,6.8077,180400
1995-10-06,6.9784,6.9784,6.8677,6.9784,64800
1995-10-09,6.9231,6.9231,6.7477,6.7477,46200
1995-10-10,6.7477,6.7477,6.6923,6.7477,22800
1995-10-11,6.7477,6.7477,6.7477,6.7477,3400
1995-10-12,6.8077,6.8677,6.7477,6.8077,20200
1995-10-13,6.8677,6.9231,6.8677,6.9231,6800
1995-10-16,6.9231,6.9231,6.8677,6.8677,7400
1995-10-17,6.8677,6.9231,6.6923,6.7477,264800
1995-10-18,6.6923,6.6923,6.2308,6.2308,54400
1995-10-19,6.2308,6.3461,6.1154,6.2308,108800
1995-10-20,6.2308,6.2308,6.0000,6.0000,17000
1995-10-23,5.8246,5.9446,5.7692,5.8246,414800
1995-10-24,5.8246,5.8846,5.7692,5.7692,174400
1995-10-25,5.8246,5.8846,5.7138,5.8846,941600
1995-10-26,5.9446,5.9446,5.7138,5.7138,50000
1995-10-27,5.7138,5.7138,5.5384,5.5384,64400
1995-10-30,5.5384,5.5384,4.6708,4.7308,244400
1995-10-31,4.7308,4.7308,3.9785,4.0385,1446200
1995-11-01,4.0385,4.2092,3.9785,4.1538,787000
1995-11-02,4.1538,4.3292,4.1538,4.3292,427800
1995-11-03,4.3846,4.7308,4.3292,4.7308,153400
1995-11-06,4.8461,4.9015,4.4400,4.5000,100200
1995-11-07,4.5000,4.5600,4.4400,4.5000,32600
1995-11-08,4.5600,4.6154,4.5000,4.5600,60800
1995-11-09,4.6154,4.6154,4.3846,4.3846,37200
1995-11-10,4.3846,4.4400,4.2092,4.2092,71400
1995-11-13,4.2140,4.2140,4.0430,4.1031,59200
1995-11-14,4.1585,4.3341,4.1031,4.1585,82600
1995-11-15,4.1031,4.2140,4.1031,4.1585,21400
1995-11-16,4.1585,4.2140,4.1031,4.2140,19400
1995-11-17,4.2140,4.2140,4.1031,4.1031,23400
1995-11-20,4.1585,4.2740,4.1031,4.2140,29200
1995-11-21,4.2740,4.2740,4.1031,4.2740,50200
1995-11-22,4.2740,4.3341,4.1585,4.2140,70600
1995-11-24,4.2140,4.2140,4.1585,4.2140,22400
1995-11-27,4.2740,4.2740,4.1585,4.1585,151200
1995-11-28,4.1031,4.2140,4.0430,4.2140,590800
1995-11-29,4.2740,4.2740,4.2140,4.2740,18800
1995-11-30,4.3341,4.3895,4.2740,4.2740,137400
1995-12-01,4.2740,4.3341,4.2740,4.3341,145200
1995-12-04,4.2740,4.3341,4.2740,4.3341,15800
1995-12-05,4.3341,4.3341,4.1031,4.1031,36200
1995-12-06,4.1031,4.1585,3.9829,3.9829,41400
1995-12-07,4.0430,4.1585,3.9829,4.1585,124800
1995-12-08,4.1031,4.1585,4.0430,4.1031,68600
1995-12-11,4.0430,4.1031,4.0430,4.0430,36600
1995-12-12,4.1031,4.1585,4.1031,4.1031,29800
1995-12-13,4.1031,4.1031,4.0430,4.0430,72400
1995-12-14,4.1031,4.1031,3.9829,4.0430,400200
1995-12-15,3.9829,4.0430,3.9829,4.0430,39400
1995-12-18,4.1585,4.2740,4.1031,4.1585,202400
