date,open,high,low,close,volume
1985-07-01,0.9702,0.9880,0.9702,0.9791,923200
1985-07-02,0.9791,0.9834,0.9570,0.9613,1555200
1985-07-03,0.9613,0.9656,0.9570,0.9656,518400
1985-07-05,0.9656,0.9702,0.9613,0.9613,1313600
1985-07-08,0.9656,0.9791,0.9656,0.9791,945600
1985-07-09,0.9791,0.9791,0.9478,0.9570,2430400
1985-07-10,0.9570,0.9613,0.9478,0.9524,894400
1985-07-11,0.9570,0.9656,0.9570,0.9570,2443200
1985-07-12,0.9570,0.9613,0.9257,0.9392,1220800
1985-07-15,0.9392,0.9656,0.9392,0.9478,2113600
1985-07-16,0.9478,0.9656,0.9392,0.9656,2248000
1985-07-17,0.9656,0.9791,0.9570,0.9656,3852800
1985-07-18,0.9656,0.9834,0.9300,0.9346,800000
1985-07-19,0.9300,0.9300,0.9257,0.9300,1841600
1985-07-22,0.9300,0.9346,0.8944,0.9036,2180800
1985-07-23,0.9168,0.9478,0.9168,0.9346,3702400
1985-07-24,0.9346,0.9524,0.9300,0.9346,1558400
1985-07-25,0.9346,0.9435,0.9122,0.9168,4513600
1985-07-26,0.9168,0.9214,0.8944,0.8990,1264000
1985-07-29,0.8944,0.8944,0.8634,0.8680,1720000
1985-07-30,0.8680,0.8723,0.8189,0.8680,5996800
1985-07-31,0.8680,0.8812,0.8367,0.8765,5358400
1985-08-01,0.8990,0.9478,0.8990,0.9257,2643200
1985-08-02,0.9257,0.9346,0.9168,0.9214,1392000
1985-08-05,0.9257,0.9435,0.9257,0.9392,1875200
1985-08-06,0.9346,0.9346,0.8680,0.8723,5440000
1985-08-07,0.8723,0.8990,0.8680,0.8990,3614400
1985-08-08,0.8990,0.8990,0.8858,0.8990,827200
1985-08-09,0.8990,0.9122,0.8944,0.9122,1265600
1985-08-12,0.9079,0.9079,0.8858,0.8901,1548800
1985-08-13,0.8901,0.9168,0.8858,0.8944,3337600
1985-08-14,0.8944,0.9036,0.8944,0.8990,520000
1985-08-15,0.8990,0.8990,0.8858,0.8944,1401600
1985-08-16,0.8944,0.8944,0.8765,0.8765,1094400
1985-08-19,0.8765,0.9036,0.8765,0.9036,433600
1985-08-20,0.9036,0.9036,0.8858,0.8901,3691200
1985-08-21,0.8901,0.9079,0.8765,0.8765,2571200
1985-08-22,0.8990,0.8990,0.8812,0.8901,897600
1985-08-23,0.8901,0.9036,0.8901,0.8990,3027200
1985-08-26,0.8990,0.9079,0.8944,0.9036,1492800
1985-08-27,0.9036,0.9079,0.9036,0.9079,1651200
1985-08-28,0.9079,0.9122,0.9036,0.9036,675200
1985-08-29,0.9036,0.9079,0.8990,0.8990,958400
1985-08-30,0.8990,0.9214,0.8990,0.9122,1976000
1985-09-03,0.9122,0.9122,0.9036,0.9079,1924800
1985-09-04,0.9079,0.9122,0.8990,0.9079,835200
1985-09-05,0.9079,0.9122,0.8990,0.9036,1124800
1985-09-06,0.9036,0.9168,0.8990,0.9122,2086400
1985-09-09,0.9122,0.9214,0.8812,0.8901,3364800
1985-09-10,0.8901,0.8901,0.8723,0.8812,4278400
1985-09-11,0.8812,0.8990,0.8812,0.8812,2123200
1985-09-12,0.8812,0.8944,0.8765,0.8812,1016000
1985-09-13,0.8812,0.8901,0.8502,0.8545,1516800
1985-09-16,0.8545,0.8680,0.8502,0.8587,753600
1985-09-17,0.8545,0.8545,0.8324,0.8367,2177600
1985-09-18,0.8367,0.8456,0.8231,0.8367,2662400
1985-09-19,0.8367,0.8765,0.8367,0.8680,2204800
1985-09-20,0.8680,0.8901,0.8502,0.8502,1187200
1985-09-23,0.8502,0.8634,0.8409,0.8409,1710400
1985-09-24,0.8409,0.8502,0.8231,0.8231,4275200
1985-09-25,0.8231,0.8278,0.8053,0.8278,6409600
1985-09-26,0.8278,0.8367,0.8189,0.8324,944000
1985-09-30,0.8324,0.8545,0.8189,0.8231,3224000
1985-10-01,0.8231,0.8456,0.8231,0.8367,2912000
1985-10-02,0.8367,0.8367,0.8231,0.8278,2035200
1985-10-03,0.8278,0.8409,0.8100,0.8324,3160000
1985-10-04,0.8324,0.8367,0.8189,0.8189,1320000
1985-10-07,0.8189,0.8231,0.8011,0.8011,2358400
1985-10-08,0.8100,0.8231,0.8100,0.8189,1864000
1985-10-09,0.8189,0.8189,0.8011,0.8146,2718400
1985-10-10,0.8146,0.8278,0.8053,0.8278,3552000
1985-10-11,0.8278,0.8456,0.8231,0.8367,2433600
1985-10-14,0.8367,0.8409,0.8324,0.8367,1174400
1985-10-15,0.8367,0.8456,0.8324,0.8367,2643200
1985-10-16,0.8367,0.8680,0.8278,0.8680,4366400
1985-10-17,0.8812,0.9300,0.8812,0.9257,3627200
1985-10-18,0.9257,0.9613,0.9257,0.9300,3249600
1985-10-21,0.9300,0.9346,0.9257,0.9300,1592000
1985-10-22,0.9300,0.9435,0.9214,0.9257,2376000
1985-10-23,0.9214,0.9214,0.9079,0.9168,1289600
1985-10-24,0.9168,0.9392,0.9168,0.9300,1564800
1985-10-25,0.9300,0.9346,0.9168,0.9168,1601600
1985-10-28,0.9168,0.9214,0.9122,0.9214,659200
1985-10-29,0.9214,0.9435,0.9214,0.9214,923200
1985-10-30,0.9214,0.9257,0.9079,0.9168,996800
1985-10-31,0.9122,0.9122,0.8812,0.8858,870400
1985-11-01,0.8858,0.9079,0.8723,0.9036,3233600
1985-11-04,0.9036,0.9079,0.8944,0.9079,1350400
1985-11-05,0.9079,0.9079,0.8944,0.8944,1668800
1985-11-06,0.8944,0.9079,0.8634,0.9079,5964800
1985-11-07,0.9079,0.9435,0.9079,0.9435,2216000
1985-11-08,0.9435,0.9524,0.9346,0.9435,1123200
1985-11-11,0.9435,0.9969,0.9435,0.9926,4284800
1985-11-12,0.9926,0.9969,0.9748,0.9926,1961600
1985-11-13,0.9926,0.9926,0.9613,0.9613,667200
1985-11-14,0.9613,0.9613,0.9346,0.9613,1761600
1985-11-15,0.9613,0.9969,0.9524,0.9969,3657600
1985-11-18,0.9969,0.9969,0.9656,0.9926,2723200
1985-11-19,0.9926,1.0058,0.9834,0.9926,857600
1985-11-20,0.9926,0.9926,0.9834,0.9880,193600
1985-11-21,0.9880,1.0012,0.9791,0.9834,1380800
1985-11-22,0.9834,0.9926,0.9702,0.9926,1249600
1985-11-25,0.9926,0.9969,0.9791,0.9880,942400
1985-11-26,0.9880,0.9926,0.9748,0.9926,801600
1985-11-27,0.9926,1.0012,0.9880,0.9880,1294400
1985-11-29,0.9880,1.0058,0.9791,0.9791,884800
1985-12-02,0.9791,0.9834,0.9613,0.9656,1008000
1985-12-03,0.9656,0.9702,0.9613,0.9656,587200
1985-12-04,0.9656,1.0104,0.9656,1.0012,924800
1985-12-05,1.0012,1.0058,0.9524,0.9791,1728000
1985-12-06,0.9748,0.9748,0.9524,0.9570,1283200
1985-12-09,0.9570,0.9791,0.9346,0.9702,3305600
1985-12-10,0.9702,0.9748,0.9524,0.9570,2113600
1985-12-11,0.9570,0.9748,0.9435,0.9570,2345600
1985-12-12,0.9570,0.9702,0.9570,0.9656,3233600
1985-12-13,0.9702,1.0012,0.9702,0.9969,7267200
1985-12-16,0.9969,1.0236,0.9969,1.0147,2550400
1985-12-17,1.0147,1.0282,1.0147,1.0190,1568000
1985-12-18,1.0190,1.0282,1.0058,1.0147,1185600
1985-12-19,1.0147,1.0414,1.0058,1.0325,4177600
1985-12-20,1.0325,1.0325,1.0058,1.0282,1678400
1985-12-23,1.0282,1.0282,1.0058,1.0104,380800
1985-12-24,1.0104,1.0190,0.9926,1.0012,1689600
1985-12-26,1.0012,1.0058,0.9834,1.0012,681600
1985-12-27,1.0012,1.0236,1.0012,1.0147,1824000
1985-12-30,1.0147,1.0147,0.9969,1.0058,873600
1985-12-31,1.0058,1.0147,0.9969,1.0012,1668800
1986-01-02,1.0012,1.0012,0.9702,0.9748,982400
1986-01-03,0.9702,0.9702,0.9613,0.9702,936000
1986-01-06,0.9702,0.9702,0.9435,0.9524,1153600
1986-01-07,0.9524,0.9748,0.9392,0.9613,1812800
1986-01-08,0.9613,0.9748,0.9524,0.9570,6208000
1986-01-09,0.9478,0.9478,0.8634,0.9257,3913600
1986-01-10,0.9257,0.9300,0.9036,0.9214,1993600
1986-01-13,0.9214,0.9300,0.9079,0.9168,3425600
1986-01-14,0.9168,0.9300,0.8990,0.9079,1539200
1986-01-15,0.9036,0.9036,0.8901,0.9036,20584000
1986-01-16,0.9036,0.9122,0.8944,0.9079,6288000
1986-01-17,0.9036,0.9036,0.8944,0.9036,2859200
1986-01-20,0.9036,0.9214,0.8858,0.9168,2032000
1986-01-21,0.9168,0.9214,0.9079,0.9122,904000
1986-01-22,0.9122,0.9257,0.9036,0.9079,880000
1986-01-23,0.9079,0.9122,0.9036,0.9079,1033600
1986-01-24,0.9079,0.9168,0.8990,0.9122,1913600
1986-01-27,0.9122,0.9435,0.9079,0.9300,3043200
1986-01-28,0.9300,0.9524,0.9257,0.9524,1932800
1986-01-29,0.9524,0.9524,0.9300,0.9346,3150400
1986-01-30,0.9346,0.9435,0.9257,0.9346,2312000
1986-01-31,0.9346,0.9392,0.9257,0.9346,2198400
1986-02-03,0.9346,0.9392,0.9257,0.9392,4470400
