date,open,high,low,close,volume
1987-01-02,7.5902,7.6425,7.4414,7.5902,38400
1987-01-05,7.6908,8.0447,7.6908,7.9965,184000
1987-01-06,8.0447,8.3987,8.0447,8.3464,241600
1987-01-07,8.3464,8.9498,8.3464,8.8492,442200
1987-01-08,8.8492,9.3520,8.7487,9.2515,772200
1987-01-09,9.2515,9.2515,8.8492,9.0021,284400
1987-01-12,9.0021,9.0986,8.9498,9.0021,333800
1987-01-13,9.0021,9.0986,8.9498,9.0021,99200
1987-01-14,9.0021,9.1509,8.8975,9.1509,170000
1987-01-15,9.1509,9.6054,8.8492,8.8975,1080600
1987-01-16,8.8975,8.8975,8.3987,8.7969,854000
1987-01-19,8.7969,9.0986,8.7004,9.0986,415000
1987-01-20,9.0986,9.6537,9.0986,9.3520,618000
1987-01-21,9.3037,9.3037,9.0021,9.2515,423400
1987-01-22,9.2515,9.6054,8.9498,9.4003,661200
1987-01-23,9.4003,9.6537,8.8975,9.0503,719400
1987-01-26,9.0503,9.2515,8.8975,9.2032,317800
1987-01-27,9.2032,9.2515,8.7487,8.7969,282600
1987-01-28,8.8492,9.2032,8.8492,9.1509,520000
1987-01-29,9.2032,9.6054,9.2032,9.4003,797600
1987-01-30,9.5008,10.0559,9.5008,10.0559,1287600
1987-02-02,10.0559,10.4099,9.9554,10.3576,507800
1987-02-03,10.3576,10.4582,10.1565,10.2088,203600
1987-02-04,10.2088,10.8604,10.1042,10.6593,811200
1987-02-05,10.6593,11.6649,10.3576,11.2626,1657200
1987-02-06,11.2626,12.0188,11.0615,11.1621,772400
1987-02-09,11.1621,11.1621,10.8121,11.0133,292000
1987-02-10,11.0133,11.2626,10.1565,10.5587,628800
1987-02-11,10.5587,11.0133,10.5105,10.7598,1611200
1987-02-12,10.7598,11.0133,10.7598,10.8604,812800
1987-02-13,10.8604,11.6166,10.8121,11.4638,1102000
1987-02-17,11.5120,12.1154,11.5120,11.9666,1141600
1987-02-18,11.9666,12.5699,11.7654,11.9143,1265200
1987-02-19,11.9143,12.0188,11.4638,11.5643,490200
1987-02-20,9.7020,9.7020,9.0021,9.4526,348400
1987-02-23,11.5643,11.5643,10.9610,11.2626,317000
