date,open,high,low,close,volume
1984-10-26,1.3630,1.3630,1.3421,1.3630,190800
1984-10-29,1.3576,1.3576,1.3316,1.3370,752400
1984-10-30,1.3370,1.3475,1.3161,1.3211,3979200
1984-10-31,1.2896,1.3211,1.2896,1.3052,2503200
1984-11-01,1.2741,1.2947,1.2741,1.2792,941400
1984-11-02,1.2896,1.2947,1.2792,1.2947,783600
1984-11-05,1.2947,1.3106,1.2947,1.3106,369000
1984-11-06,1.3052,1.3316,1.3052,1.3316,129000
1984-11-07,1.3261,1.3316,1.3106,1.3106,453600
1984-11-08,1.3106,1.3261,1.3052,1.3106,260400
1984-11-09,1.3211,1.3261,1.3106,1.3106,245400
1984-11-12,1.3106,1.3161,1.3052,1.3106,98400
1984-11-13,1.3161,1.3161,1.3001,1.3001,415800
1984-11-14,1.2947,1.3001,1.2896,1.2947,160800
1984-11-15,1.2896,1.3052,1.2896,1.3001,818400
1984-11-16,1.2947,1.3001,1.2896,1.2896,747000
1984-11-19,1.2896,1.2947,1.2792,1.2846,316800
1984-11-20,1.2741,1.2896,1.2741,1.2846,858600
1984-11-21,1.2741,1.2846,1.2687,1.2741,1343400
1984-11-23,1.2792,1.2947,1.2792,1.2896,1510200
1984-11-26,1.2947,1.3001,1.2896,1.2947,1132200
1984-11-27,1.3001,1.3001,1.2947,1.2947,248400
1984-11-28,1.3001,1.3052,1.2947,1.3001,697800
1984-11-29,1.3001,1.3052,1.3001,1.3001,290400
1984-11-30,1.2947,1.3001,1.2896,1.2947,313800
1984-12-03,1.3001,1.3001,1.2846,1.2896,2022000
1984-12-04,1.2846,1.2947,1.2792,1.2846,327600
1984-12-05,1.2846,1.2896,1.2741,1.2846,337800
1984-12-06,1.2792,1.2896,1.2792,1.2896,69000
1984-12-07,1.2896,1.2896,1.2792,1.2846,408600
1984-12-10,1.2896,1.3001,1.2896,1.3001,1078800
1984-12-11,1.3001,1.3001,1.2896,1.3001,243000
1984-12-12,1.3001,1.3052,1.2947,1.2947,452400
1984-12-13,1.2947,1.3052,1.2947,1.3052,385200
1984-12-14,1.3052,1.3052,1.2947,1.3052,524400
1984-12-17,1.3001,1.3052,1.2947,1.3052,150000
1984-12-18,1.3052,1.3316,1.3001,1.3316,256800
1984-12-19,1.3316,1.3421,1.3211,1.3421,283200
1984-12-20,1.3421,1.3526,1.3370,1.3370,150600
1984-12-21,1.3421,1.3526,1.3370,1.3370,282600
1984-12-24,1.3370,1.3421,1.3370,1.3370,70200
1984-12-26,1.3370,1.3370,1.3261,1.3261,26400
1984-12-27,1.3211,1.3211,1.3106,1.3161,54000
1984-12-28,1.3211,1.3316,1.3106,1.3161,99000
1984-12-31,1.3161,1.3161,1.3052,1.3052,70800
1985-01-02,1.3161,1.3161,1.3052,1.3106,135600
1985-01-03,1.3052,1.3161,1.3052,1.3106,282600
1985-01-04,1.3052,1.3106,1.3001,1.3001,222600
1985-01-07,1.3052,1.3106,1.3052,1.3106,82800
1985-01-08,1.3106,1.3161,1.3052,1.3161,204600
1985-01-09,1.3161,1.3211,1.3106,1.3211,121200
1985-01-10,1.3261,1.3370,1.3211,1.3316,406800
1985-01-11,1.3370,1.3370,1.3211,1.3316,393000
1985-01-14,1.3370,1.3526,1.3261,1.3421,304800
1985-01-15,1.3526,1.3576,1.3421,1.3526,144600
1985-01-16,1.3475,1.3526,1.3421,1.3421,95400
1985-01-17,1.3526,1.3526,1.3421,1.3475,470400
1985-01-18,1.3475,1.3526,1.3475,1.3475,206400
1985-01-21,1.3475,1.3526,1.3421,1.3475,1193400
1985-01-22,1.3421,1.3526,1.3421,1.3475,400200
1985-01-23,1.3475,1.3475,1.3211,1.3316,221400
1985-01-24,1.3161,1.3370,1.3106,1.3211,866400
1985-01-25,1.3106,1.3261,1.3106,1.3161,446400
1985-01-28,1.3211,1.3316,1.3211,1.3261,858000
1985-01-29,1.3370,1.3370,1.3261,1.3261,94200
1985-01-30,1.3261,1.3421,1.3261,1.3261,2022000
1985-01-31,1.3316,1.3370,1.3261,1.3316,161400
1985-02-01,1.3001,1.3052,1.2896,1.3052,126000
1985-02-04,1.3001,1.3211,1.3001,1.3106,408000
1985-02-05,1.3052,1.3161,1.3001,1.3001,76200
1985-02-06,1.3052,1.3106,1.3001,1.3052,93600
1985-02-07,1.3052,1.3161,1.3052,1.3161,387600
1985-02-08,1.3211,1.3316,1.3211,1.3261,322200
1985-02-11,1.3211,1.3261,1.2846,1.3161,340200
1985-02-12,1.3211,1.3316,1.3161,1.3261,184200
1985-02-13,1.3316,1.3316,1.3161,1.3261,694200
1985-02-14,1.3316,1.3370,1.3261,1.3316,276000
1985-02-15,1.3316,1.3370,1.3261,1.3316,277200
1985-02-19,1.3211,1.3370,1.3211,1.3316,235200
1985-02-20,1.3261,1.3370,1.3211,1.3261,813600
1985-02-21,1.3370,1.3421,1.3316,1.3316,277800
1985-02-22,1.3370,1.3370,1.3261,1.3261,201600
1985-02-25,1.3161,1.3211,1.3161,1.3161,478800
1985-02-26,1.3211,1.3211,1.3161,1.3161,334800
1985-02-27,1.3211,1.3261,1.3161,1.3211,267600
1985-02-28,1.3261,1.3316,1.3161,1.3161,102000
1985-03-01,1.3261,1.3370,1.3211,1.3316,751200
1985-03-04,1.3421,1.3421,1.3261,1.3316,368400
1985-03-05,1.3316,1.3370,1.3261,1.3370,382800
1985-03-06,1.3316,1.3370,1.3261,1.3370,52800
1985-03-07,1.3316,1.3370,1.3261,1.3370,109200
1985-03-08,1.3370,1.3370,1.3261,1.3316,337800
1985-03-11,1.3211,1.3316,1.3161,1.3261,130200
1985-03-12,1.3161,1.3211,1.3052,1.3052,222600
1985-03-13,1.3106,1.3211,1.3001,1.3106,182400
1985-03-14,1.3161,1.3211,1.3106,1.3211,76200
1985-03-15,1.3106,1.3261,1.3106,1.3211,404400
1985-03-18,1.3211,1.3316,1.3161,1.3316,1509000
1985-03-19,1.3316,1.3526,1.3316,1.3475,307800
1985-03-20,1.3681,1.3681,1.3526,1.3526,249000
1985-03-21,1.3475,1.3576,1.3370,1.3576,126000
1985-03-22,1.3526,1.3735,1.3475,1.3630,570000
1985-03-25,1.3630,1.3735,1.3630,1.3735,196800
1985-03-26,1.3630,1.3681,1.3526,1.3630,511800
1985-03-27,1.3630,1.3735,1.3630,1.3735,616800
1985-03-28,1.3735,1.3735,1.3576,1.3681,226200
1985-03-29,1.3630,1.3735,1.3526,1.3681,441600
1985-04-01,1.3735,1.3840,1.3630,1.3790,352800
1985-04-02,1.3840,1.3945,1.3681,1.3945,774600
1985-04-03,1.3999,1.4050,1.3945,1.3999,360600
1985-04-04,1.3945,1.4050,1.3945,1.4050,158400
