date,open,high,low,close,volume
1992-03-17,5.7766,5.8128,5.7432,5.8128,2600
1992-03-18,5.7070,5.7070,5.6736,5.7070,15200
1992-03-19,5.6374,5.6374,5.4286,5.4982,17600
1992-03-20,5.4648,5.6374,5.1864,5.6374,69000
1992-03-23,5.6374,5.6736,5.4286,5.4648,4700
1992-03-24,5.4648,5.6040,5.4648,5.4982,8900
1992-03-25,5.5344,5.6040,5.4982,5.5344,4400
1992-03-26,5.5344,5.6374,5.5344,5.6040,9400
1992-03-27,5.5678,5.5678,5.4648,5.5344,3200
1992-03-30,5.5344,5.6736,5.4982,5.6736,6000
1992-03-31,5.6040,5.6040,5.5344,5.5678,3500
1992-04-01,5.5678,5.6040,5.5678,5.5678,14000
1992-04-02,5.6374,5.6374,5.5678,5.6374,2000
1992-04-03,5.6374,5.6374,5.5678,5.5678,6200
1992-04-06,5.4982,5.5344,5.4648,5.4982,10100
1992-04-07,5.5344,5.5678,5.4982,5.4982,20600
1992-04-08,5.4982,5.5678,5.4982,5.5678,2000
1992-04-09,5.5344,5.5678,5.5344,5.5678,13000
1992-04-10,5.5678,5.6040,5.4982,5.4982,14000
1992-04-13,5.5344,5.5344,5.4648,5.4982,8000
1992-04-14,5.4982,5.5678,5.4982,5.4982,9300
1992-04-15,5.4982,5.5678,5.4982,5.4982,6500
1992-04-16,5.4982,5.5678,5.4648,5.4648,11500
1992-04-20,5.3952,5.4648,5.3256,5.3952,13200
1992-04-21,5.3952,5.3952,5.2198,5.2560,16500
1992-04-22,5.1864,5.3952,5.1864,5.3256,32000
1992-04-23,5.3952,5.4286,5.2560,5.3590,36300
1992-04-24,5.4286,5.4286,5.3256,5.3590,15700
1992-04-27,5.3256,5.4648,5.3256,5.4648,11300
1992-04-28,5.4648,5.5678,5.4286,5.5678,12600
1992-04-29,5.4648,5.5678,5.4648,5.5344,10300
1992-04-30,5.4982,5.5678,5.4648,5.4982,12600
1992-05-01,5.5344,5.5344,5.3952,5.4648,7600
1992-05-04,5.4286,5.4648,5.3256,5.3590,9300
1992-05-05,5.3952,5.4286,5.3590,5.3952,2300
1992-05-06,5.3952,5.4286,5.3952,5.4286,6600
1992-05-07,5.4648,5.4982,5.3952,5.4648,2800
1992-05-08,5.3952,5.4286,5.2894,5.2894,11800
1992-05-11,5.4648,5.4648,5.3952,5.3952,9300
1992-05-12,5.4648,5.4982,5.4286,5.4982,5300
1992-05-13,5.4982,5.6040,5.4648,5.6040,12800
1992-05-14,5.6040,5.6040,5.4982,5.5678,4300
1992-05-15,5.5344,5.5678,5.4982,5.5678,4600
1992-05-18,5.5678,5.6040,5.5344,5.5344,12900
1992-05-19,5.5678,5.5678,5.4648,5.4982,10200
1992-05-20,5.4982,5.5344,5.4286,5.4648,7400
1992-05-21,5.4982,5.4982,5.4286,5.4648,18100
1992-05-22,5.4982,5.5344,5.4648,5.4982,8100
1992-05-26,5.4982,5.5344,5.4648,5.4982,4500
1992-05-27,5.4982,5.4982,5.3590,5.4286,18400
1992-05-28,5.3952,5.4286,5.3952,5.4286,9000
1992-05-29,5.3952,5.4982,5.3952,5.4982,7800
1992-06-01,5.4982,5.4982,5.4286,5.4982,4000
1992-06-02,5.4982,5.5344,5.4648,5.5344,6900
1992-06-03,5.4982,5.5344,5.4648,5.5344,8500
1992-06-04,5.5344,5.5344,5.4648,5.5344,5000
1992-06-05,5.4648,5.5678,5.4648,5.5678,6800
1992-06-08,5.4982,5.5678,5.4982,5.5344,4500
1992-06-09,5.4982,5.5678,5.4982,5.5344,4600
1992-06-10,5.5344,5.5344,5.4982,5.5344,6900
1992-06-11,5.4982,5.5678,5.4982,5.5678,9200
1992-06-12,5.5344,5.5678,5.5344,5.5678,6900
1992-06-15,5.5678,5.6040,5.5344,5.6040,4000
1992-06-16,5.5678,5.6040,5.5678,5.5678,6200
1992-06-17,5.6040,5.6374,5.5678,5.5678,16500
1992-06-18,5.5678,5.6040,5.5678,5.5678,13300
1992-06-19,5.6374,5.6374,5.5678,5.6040,5100
1992-06-22,5.5678,5.5678,5.5344,5.5678,11200
1992-06-23,5.5344,5.5678,5.4982,5.4982,10800
1992-06-24,5.4648,5.4982,5.4286,5.4286,15300
1992-06-25,5.4648,5.4982,5.3952,5.4286,6400
1992-06-26,5.3952,5.4648,5.3952,5.3952,11600
1992-06-29,5.4648,5.5344,5.3256,5.3952,22800
1992-06-30,5.4286,5.4648,5.2560,5.3590,18600
1992-07-01,5.3952,5.5344,5.3590,5.5344,5200
1992-07-02,5.5344,5.5344,5.4648,5.5344,4500
1992-07-06,5.4982,5.5678,5.4648,5.5678,4600
1992-07-07,5.5678,5.8462,5.5678,5.7766,15300
1992-07-08,5.7432,5.7766,5.7070,5.7766,20300
1992-07-09,5.7432,5.7432,5.7070,5.7432,9000
1992-07-10,5.7070,5.8462,5.7070,5.8128,9600
1992-07-13,5.7432,5.8462,5.7432,5.8128,9000
1992-07-14,5.7766,5.9158,5.7766,5.9158,9500
1992-07-15,5.9854,6.0550,5.8462,5.9158,15300
1992-07-16,5.9854,5.9854,5.9158,5.9158,3500
1992-07-17,5.8462,5.8462,5.7432,5.8462,5500
1992-07-20,5.8128,5.8462,5.7432,5.8128,13400
1992-07-21,5.8462,5.8462,5.7070,5.7432,10200
1992-07-22,5.7766,5.8824,5.7766,5.8462,9800
1992-07-23,5.7766,5.8462,5.7766,5.8462,16800
1992-07-24,5.8462,5.8462,5.7766,5.7766,25500
1992-07-27,5.8128,5.8462,5.7766,5.8462,13300
1992-07-28,5.7766,5.8128,5.7432,5.8128,11400
1992-07-29,5.7070,5.8128,5.6736,5.7070,39600
1992-07-30,5.7070,5.7432,5.7070,5.7432,7700
1992-07-31,5.7070,5.7766,5.6374,5.6736,12900
1992-08-03,5.6374,5.6736,5.6374,5.6374,14100
1992-08-04,5.6736,5.7766,5.6736,5.7432,6200
1992-08-05,5.7432,5.7766,5.7070,5.7432,8000
1992-08-06,5.7432,5.7432,5.6736,5.7070,4600
1992-08-07,5.7070,5.7432,5.6736,5.7070,9500
1992-08-10,5.6736,5.6736,5.6040,5.6374,2900
1992-08-11,5.6736,5.6736,5.6736,5.6736,5000
1992-08-12,5.6374,5.7070,5.6374,5.6374,17500
1992-08-13,5.6040,5.6040,5.5344,5.5678,11400
1992-08-14,5.6040,5.6374,5.5678,5.5678,3100
1992-08-17,5.5344,5.6040,5.4982,5.6040,10800
1992-08-18,5.6040,5.6374,5.5678,5.6040,2900
1992-08-19,5.6374,5.6374,5.5678,5.6374,5400
1992-08-20,5.6374,5.6374,5.5678,5.6040,5600
1992-08-21,5.6040,5.6040,5.5344,5.5344,4900
1992-08-24,5.4648,5.4982,5.3590,5.3590,9500
1992-08-25,5.3590,5.4648,5.3590,5.3952,3100
1992-08-26,5.4648,5.4982,5.4286,5.4648,3500
1992-08-27,5.4982,5.4982,5.3952,5.4648,10800
1992-08-28,5.4648,5.4648,5.3256,5.3590,11500
1992-08-31,5.3590,5.3952,5.3590,5.3590,6400
1992-09-01,5.3590,5.4286,5.3590,5.3952,6100
1992-09-02,5.3952,5.3952,5.3256,5.3590,7400
1992-09-03,5.3952,5.3952,5.3256,5.3590,4900
1992-09-04,5.3590,5.3952,5.3590,5.3952,1600
1992-09-08,5.3952,5.3952,5.3256,5.3952,16600
1992-09-09,5.3256,5.3952,5.3256,5.3590,6200
1992-09-10,5.3590,5.4286,5.3590,5.4286,4600
1992-09-11,5.3590,5.3952,5.3590,5.3952,12100
1992-09-14,5.3952,5.4648,5.3952,5.3952,4900
1992-09-15,5.4648,5.4648,5.3952,5.3952,6200
1992-09-16,5.3952,5.4286,5.3952,5.4286,5000
1992-09-17,5.3952,5.4286,5.3590,5.3952,5700
1992-09-18,5.3952,5.4286,5.3590,5.4286,3100
1992-09-21,5.4286,5.4286,5.3952,5.4286,7200
1992-09-22,5.3952,5.3952,5.2894,5.3256,7600
1992-09-23,5.3952,5.4648,5.3952,5.4648,5400
1992-09-24,5.4648,5.4982,5.4286,5.4648,10800
1992-09-25,5.3952,5.4982,5.3952,5.4648,10900
1992-09-28,5.4286,5.4648,5.3590,5.4648,10400
1992-09-29,5.4286,5.4286,5.3590,5.4286,3400
1992-09-30,5.4286,5.4982,5.3952,5.4982,6400
1992-10-01,5.4982,5.5344,5.4286,5.4648,14700
1992-10-02,5.4982,5.4982,5.4286,5.4286,6200
1992-10-05,5.3952,5.3952,5.2894,5.3256,7800
1992-10-06,5.3256,5.4286,5.3256,5.4286,5300
1992-10-07,5.4648,5.4648,5.3256,5.3952,6900
1992-10-08,5.3952,5.3952,5.3590,5.3590,14100
1992-10-09,5.3952,5.3952,5.2894,5.3256,9800
1992-10-12,5.2894,5.3590,5.2560,5.3256,11700
1992-10-13,5.3590,5.3590,5.2560,5.2894,10300
1992-10-14,5.3256,5.4286,5.2894,5.4286,9300
1992-10-15,5.3952,5.4982,5.3952,5.3952,5600
1992-10-16,5.3952,5.4286,5.3952,5.4286,4200
1992-10-19,5.3590,5.3952,5.3256,5.3256,6000
1992-10-20,5.3590,5.3952,5.3256,5.3952,3300
1992-10-21,5.3590,5.4982,5.2894,5.4982,16500
1992-10-22,5.4982,5.6374,5.4648,5.4982,16800
1992-10-23,5.5344,5.6374,5.5344,5.6374,7300
1992-10-26,5.6374,5.6374,5.6040,5.6374,6700
1992-10-27,5.6040,5.7070,5.6040,5.7070,7700
1992-10-28,5.5344,5.5678,5.4982,5.5344,6000
1992-10-29,5.5678,5.5678,5.5344,5.5344,3400
1992-10-30,5.5344,5.6736,5.5344,5.6736,11300
1992-11-02,5.6040,5.6736,5.6040,5.6374,3300
1992-11-03,5.6374,5.8462,5.6374,5.8462,16400
1992-11-04,5.8128,5.8128,5.5678,5.6736,21100
1992-11-05,5.7070,5.7070,5.6374,5.7070,4200
1992-11-06,5.7070,5.7432,5.6374,5.7070,7100
1992-11-09,5.6374,5.6736,5.6040,5.6736,8200
1992-11-10,5.6736,5.7070,5.6374,5.7070,6400
1992-11-11,5.6374,5.7432,5.6040,5.7070,10800
1992-11-12,5.7432,5.7766,5.7070,5.7766,8500
1992-11-13,5.7432,5.7766,5.7070,5.7432,8500
1992-11-16,5.7432,5.7766,5.7070,5.7070,7400
1992-11-17,5.7070,5.7070,5.6374,5.6736,19700
1992-11-18,5.6374,5.7070,5.6374,5.7070,13400
1992-11-19,5.6736,5.6736,5.6040,5.6736,28500
1992-11-20,5.6374,5.7070,5.6040,5.7070,13200
1992-11-23,5.7070,5.7766,5.6374,5.7070,37200
1992-11-24,5.7070,5.7766,5.7070,5.7766,11000
1992-11-25,5.7766,5.8462,5.7766,5.8128,5400
1992-11-27,5.8462,5.9158,5.7766,5.8824,6100
1992-11-30,5.9520,6.0912,5.9158,5.9158,15700
1992-12-01,5.9520,6.0550,5.9520,6.0216,9700
1992-12-02,5.9520,6.0216,5.9158,5.9854,7200
1992-12-03,6.0550,6.0912,5.9854,6.0550,10200
1992-12-04,6.0216,6.0912,6.0216,6.0216,3900
1992-12-07,5.9854,6.0216,5.9520,6.0216,5000
1992-12-08,5.9520,6.1246,5.9520,6.0216,9700
1992-12-09,6.0912,6.0912,5.9158,5.9854,5800
1992-12-10,5.9854,5.9854,5.9158,5.9520,2700
1992-12-11,5.9158,5.9854,5.9158,5.9520,3000
