date,open,high,low,close,volume
1972-06-01,0.3264,0.3268,0.3259,0.3259,249600
1972-06-02,0.3268,0.3298,0.3268,0.3268,172800
1972-06-05,0.3268,0.3317,0.3259,0.3317,302400
1972-06-06,0.3317,0.3375,0.3308,0.3317,196800
1972-06-07,0.3317,0.3317,0.3288,0.3288,48000
1972-06-08,0.3288,0.3317,0.3278,0.3298,144000
1972-06-09,0.3298,0.3317,0.3278,0.3298,43200
1972-06-12,0.3317,0.3336,0.3317,0.3336,24000
1972-06-13,0.3327,0.3327,0.3278,0.3278,76800
1972-06-14,0.3278,0.3298,0.3278,0.3278,244800
1972-06-15,0.3298,0.3308,0.3298,0.3308,206400
1972-06-16,0.3308,0.3336,0.3308,0.3336,48000
1972-06-19,0.3317,0.3317,0.3308,0.3308,91200
1972-06-20,0.3308,0.3317,0.3308,0.3317,14400
1972-06-21,0.3317,0.3317,0.3308,0.3308,48000
1972-06-22,0.3308,0.3336,0.3298,0.3336,86400
1972-06-23,0.3356,0.3384,0.3356,0.3384,96000
1972-06-26,0.3384,0.3394,0.3356,0.3394,62400
1972-06-27,0.3413,0.3433,0.3413,0.3413,67200
1972-06-28,0.3443,0.3510,0.3443,0.3510,144000
1972-06-29,0.3500,0.3500,0.3500,0.3500,28800
1972-06-30,0.3510,0.3548,0.3510,0.3548,72000
1972-07-03,0.3548,0.3606,0.3548,0.3606,57600
1972-07-05,0.3606,0.3606,0.3568,0.3568,211200
1972-07-06,0.3587,0.3741,0.3587,0.3741,254400
1972-07-07,0.3741,0.3799,0.3741,0.3761,412800
1972-07-10,0.3761,0.3780,0.3741,0.3780,0
1972-07-11,0.3780,0.3790,0.3761,0.3780,2904000
1972-07-12,0.3780,0.3799,0.3780,0.3780,259200
1972-07-13,0.3780,0.3818,0.3780,0.3818,225600
1972-07-14,0.3818,0.3818,0.3790,0.3818,172800
1972-07-17,0.3818,0.3828,0.3799,0.3828,62400
1972-07-18,0.3828,0.3857,0.3809,0.3838,220800
1972-07-19,0.3838,0.3857,0.3818,0.3857,24000
1972-07-20,0.3857,0.3857,0.3828,0.3847,76800
1972-07-21,0.3847,0.3876,0.3847,0.3876,5712
1972-07-24,0.3876,0.3876,0.3857,0.3866,225600
1972-07-25,0.3866,0.3915,0.3866,0.3906,278400
1972-07-26,0.3915,0.3925,0.3915,0.3925,86400
1972-07-27,0.3925,0.3925,0.3857,0.3857,518400
1972-07-28,0.3876,0.3896,0.3876,0.3886,67200
1972-07-31,0.3886,0.3886,0.3866,0.3886,86400
1972-08-01,0.3886,0.3953,0.3866,0.3934,264000
1972-08-02,0.3934,0.3992,0.3915,0.3973,211200
1972-08-03,0.3973,0.3992,0.3934,0.3992,264000
1972-08-04,0.4011,0.4050,0.4011,0.4031,681600
1972-08-07,0.4069,0.4088,0.4069,0.4078,206400
1972-08-08,0.4078,0.4078,0.4069,0.4069,547200
1972-08-09,0.4069,0.4088,0.4050,0.4050,244800
1972-08-10,0.4069,0.4088,0.4069,0.4088,153600
1972-08-11,0.4088,0.4088,0.4078,0.4088,86400
1972-08-14,0.4088,0.4127,0.4088,0.4108,124800
1972-08-15,0.4127,0.4166,0.4127,0.4137,120000
1972-08-16,0.4166,0.4204,0.4166,0.4185,81600
1972-08-17,0.4194,0.4204,0.4194,0.4194,67200
1972-08-18,0.4243,0.4301,0.4243,0.4272,321600
1972-08-21,0.4272,0.4291,0.4272,0.4291,19200
1972-08-22,0.4301,0.4358,0.4301,0.4358,350400
1972-08-23,0.4358,0.4378,0.4339,0.4378,177600
1972-08-24,0.4378,0.4397,0.4378,0.4397,72000
1972-08-25,0.4388,0.4388,0.4358,0.4369,244800
1972-08-28,0.4369,0.4378,0.4349,0.4349,81600
1972-08-29,0.4339,0.4339,0.4339,0.4339,52800
