date,open,high,low,close,volume
1983-06-10,9.9117,10.0604,9.8622,10.0108,133200
1983-06-13,10.0108,10.1099,9.9613,10.1099,237400
1983-06-14,10.2348,10.4331,10.2091,10.3339,290400
1983-06-15,10.5560,11.2993,10.5560,10.8533,274200
1983-06-16,10.7542,10.9524,10.7046,10.9287,246800
1983-06-17,10.9524,10.9524,10.5560,10.6551,190400
1983-06-20,10.7046,10.8038,10.5322,10.6313,61600
1983-06-21,10.5817,10.6551,10.5560,10.5560,143600
1983-06-22,10.5064,10.6055,10.4073,10.4569,86000
1983-06-23,10.4569,10.4569,10.2348,10.3577,82800
1983-06-24,10.3577,10.4073,10.3082,10.3082,170600
1983-06-27,10.2348,10.3082,10.2091,10.2844,47200
1983-06-28,10.2091,10.2586,10.0366,10.0862,125800
1983-06-29,10.1357,10.1357,9.9375,9.9870,164800
1983-06-30,10.0108,10.3082,10.0108,10.3082,215000
1983-07-01,10.3082,10.3082,10.1595,10.3082,38800
1983-07-05,10.2586,10.2586,10.1099,10.1595,123200
1983-07-06,10.1595,10.5064,10.1595,10.4073,51400
1983-07-07,10.4331,10.4569,10.3339,10.3577,175600
1983-07-08,10.3082,10.3082,10.1099,10.1099,225200
1983-07-11,10.1595,10.1853,10.0604,10.1099,246200
1983-07-12,10.1099,10.1595,9.9117,9.9117,87200
1983-07-13,9.9613,10.0108,9.9117,9.9375,59000
1983-07-14,10.0366,10.1853,9.9870,10.1357,275600
1983-07-15,10.1357,10.2586,10.1357,10.1595,130200
1983-07-18,10.1099,10.1595,9.9870,10.1595,513200
1983-07-19,10.2091,10.2586,10.1853,10.2348,287200
1983-07-20,10.2844,10.5560,10.2844,10.4826,98200
1983-07-21,10.6055,10.7046,10.5560,10.7046,281200
1983-07-22,10.5322,10.7046,10.4569,10.5064,96200
1983-07-25,10.5064,10.7800,10.4569,10.7046,69000
1983-07-26,10.7046,10.8533,10.7046,10.8533,200800
1983-07-27,10.7542,10.8533,10.5064,10.5064,126000
1983-07-28,10.3577,10.4073,10.3082,10.3339,100600
1983-07-29,10.1595,10.1595,10.0604,10.1099,330800
1983-08-01,10.0604,10.2091,9.9613,10.1595,235800
1983-08-02,10.1357,10.3082,10.1099,10.1099,63600
1983-08-03,10.1595,10.2348,10.0604,10.2348,209600
1983-08-04,10.2586,10.2586,9.8126,9.9613,298400
1983-08-05,9.9117,9.9117,9.7888,9.8126,165000
1983-08-08,9.8126,9.8126,9.5648,9.5648,150600
1983-08-09,9.1188,9.3666,9.1188,9.2179,524400
1983-08-10,9.0197,9.2437,8.9205,9.2437,705600
1983-08-11,9.2674,9.3666,9.0692,9.0692,94600
1983-08-12,9.1188,9.2179,9.0692,9.0692,55000
1983-08-15,9.2674,9.3170,9.1941,9.2437,222000
1983-08-16,9.1941,9.1941,9.0197,9.0950,116800
1983-08-17,9.0454,9.2674,9.0454,9.2179,188400
1983-08-18,9.2674,9.4161,9.2179,9.2179,189800
1983-08-19,9.2179,9.2179,9.1683,9.1683,48800
1983-08-22,9.2179,9.2179,9.1188,9.1683,36600
1983-08-23,9.1683,9.1683,9.0197,9.0197,71600
1983-08-24,8.9205,9.0197,8.9205,8.9959,237800
1983-08-25,8.9701,8.9701,8.7719,8.8472,336400
1983-08-26,8.7719,8.8710,8.6727,8.8472,116600
1983-08-29,8.7976,8.8710,8.7719,8.8710,72000
1983-08-30,8.8710,9.0197,8.8710,9.0197,37000
1983-08-31,8.9463,9.1941,8.9205,9.1941,125200
1983-09-01,9.2179,9.3170,9.1683,9.3170,53400
1983-09-02,9.2674,9.7630,9.2674,9.5906,90000
1983-09-06,9.7630,9.9117,9.7135,9.7888,104200
1983-09-07,9.8126,9.8126,9.4419,9.5152,220200
1983-09-08,9.5152,9.5152,9.3666,9.4657,423600
1983-09-09,9.4419,9.5152,9.4161,9.4419,39400
1983-09-12,9.9117,9.9117,9.5152,9.5648,136800
1983-09-13,9.3666,9.5152,9.3170,9.4161,176400
