date,open,high,low,close,volume
1991-09-30,10.4014,10.4014,10.1039,10.1039,5200
1991-10-01,10.4014,10.4014,10.1039,10.4014,3000
1991-10-02,10.1039,10.5502,10.1039,10.1039,15800
1991-10-03,10.1039,10.5502,10.1039,10.5502,1000
1991-10-04,10.1039,10.5502,10.1039,10.1039,3700
1991-10-07,10.1039,10.5502,10.1039,10.1039,3000
1991-10-08,10.1039,10.6990,10.1039,10.6990,32900
1991-10-09,10.1039,10.6990,10.1039,10.2527,6200
1991-10-10,10.6990,10.6990,10.1039,10.1813,4400
1991-10-11,10.1039,10.6990,10.1039,10.1039,28400
1991-10-14,10.1039,10.6990,10.1039,10.1039,6500
1991-10-15,10.1039,10.2527,9.6576,9.6576,77500
1991-10-16,9.6576,10.1039,9.6576,9.6576,7000
1991-10-17,9.8064,10.2527,9.8064,10.1039,6400
1991-10-18,10.2527,10.2527,9.8064,10.2527,5400
1991-10-21,9.8064,10.1039,9.8064,10.1039,5000
1991-10-22,9.8064,9.8064,9.8064,9.8064,800
1991-10-23,9.8064,10.2527,9.8064,10.2527,500
1991-10-24,9.8064,10.1039,9.6576,9.6576,8700
1991-10-25,9.8064,9.8064,9.6576,9.6576,1500
1991-10-28,9.6576,10.1039,9.6576,10.1039,6500
1991-10-29,9.6576,9.6576,9.6576,9.6576,3000
1991-10-30,10.1039,10.1039,9.5089,9.5862,5700
1991-10-31,9.5089,9.9551,9.5089,9.9551,1200
1991-11-01,9.9551,9.9551,9.5089,9.5089,2600
1991-11-04,9.5089,9.9551,9.5089,9.9551,20500
1991-11-05,9.5089,9.8064,9.3601,9.3601,6500
1991-11-06,9.3601,9.6576,9.2173,9.2173,10600
1991-11-07,9.2173,9.5089,9.2173,9.2173,700
1991-11-08,9.2173,9.6576,9.2173,9.2173,3100
1991-11-11,9.2173,9.6576,9.2173,9.6576,35700
1991-11-12,9.3601,9.3601,9.3601,9.3601,200
1991-11-13,9.3720,9.3720,9.3720,9.3720,0
1991-11-14,9.3601,9.6576,9.3601,9.3601,400
1991-11-15,9.6576,9.8064,9.3601,9.3601,13600
1991-11-18,9.3601,9.3601,9.3601,9.3601,600
1991-11-19,9.8064,9.8064,9.2173,9.2173,18200
1991-11-20,9.6576,9.9551,9.2173,9.9551,36100
1991-11-21,9.9551,9.9551,9.5089,9.8837,14100
1991-11-22,9.9551,9.9551,9.5089,9.5089,4300
1991-11-25,9.7350,9.8064,9.2173,9.2173,41000
1991-11-26,9.5089,9.6576,9.3601,9.6576,4200
1991-11-27,9.6576,9.6576,9.3601,9.6576,7900
1991-11-29,9.6576,9.6576,9.3601,9.5089,2700
1991-12-02,9.3601,9.6576,9.2173,9.3601,17300
1991-12-03,9.2173,9.6576,9.2173,9.5862,7000
1991-12-04,9.3601,10.1039,9.3601,9.8064,20300
1991-12-05,9.8064,10.5502,9.8064,10.1039,28500
1991-12-06,10.1039,10.6990,10.1039,10.1039,10200
1991-12-09,10.1039,10.6990,10.1039,10.4014,41800
1991-12-10,10.1039,10.6990,10.1039,10.4788,5600
1991-12-11,10.2527,10.6990,10.2527,10.6990,1500
1991-12-12,10.2527,10.6990,10.2527,10.2527,2300
1991-12-13,10.2527,10.6276,10.2527,10.6276,8600
1991-12-16,10.2527,10.6990,10.2527,10.4014,11000
1991-12-17,10.2527,10.6990,10.2527,10.4014,22700
1991-12-18,10.2527,10.6990,10.2527,10.5502,7100
1991-12-19,10.2527,10.6990,10.1039,10.6990,14200
1991-12-20,10.1039,10.6990,10.1039,10.1039,49700
1991-12-23,10.1039,10.6990,9.9551,10.2527,11000
1991-12-24,9.9551,10.5502,9.9551,9.9551,3800
1991-12-26,9.9551,10.5502,9.9551,10.5502,3800
1991-12-27,9.9551,10.5502,9.9551,10.5502,2500
1991-12-30,9.9551,10.5502,9.9551,10.5502,9000
1991-12-31,10.5502,10.5502,9.9551,10.4014,27400
1992-01-02,9.9551,10.6990,9.9551,10.6990,28400
