date,open,high,low,close,volume
1981-12-31,1.0357,1.0571,1.0147,1.0286,521802
1982-01-04,1.0286,1.0334,1.0192,1.0334,224400
1982-01-05,0.9959,1.0240,0.9628,0.9865,686202
1982-01-06,0.9722,0.9865,0.9583,0.9583,1118298
1982-01-07,0.9534,0.9722,0.9301,0.9534,831300
1982-01-08,0.9677,0.9771,0.9534,0.9677,682200
1982-01-11,0.9440,0.9771,0.9068,0.9162,558000
1982-01-12,0.9162,0.9256,0.9019,0.9113,520998
1982-01-13,0.9019,0.9301,0.8692,0.8782,753498
1982-01-14,0.8737,0.8782,0.8643,0.8692,700602
1982-01-15,0.9395,1.0053,0.8692,0.9771,2531802
1982-01-18,0.9771,0.9914,0.9583,0.9771,1624200
1982-01-19,0.9440,0.9722,0.9113,0.9113,986802
1982-01-20,0.9583,0.9959,0.9162,0.9820,1433502
1982-01-21,1.0286,1.0616,0.9914,1.0240,2398002
1982-01-22,1.0147,1.0286,1.0007,1.0098,877002
1982-01-25,0.9722,1.0007,0.9440,0.9820,917100
1982-01-26,0.9914,1.0007,0.9771,0.9914,1245798
1982-01-27,1.0007,1.0240,0.9771,1.0240,915600
1982-01-28,1.0477,1.0849,1.0098,1.0849,2878302
1982-01-29,1.0849,1.0992,1.0522,1.0665,1789398
1982-02-01,1.0522,1.0710,1.0334,1.0571,1104000
1982-02-02,1.0804,1.1037,1.0571,1.0849,1726902
1982-02-03,1.1037,1.1229,1.0849,1.1037,2005098
1982-02-04,1.0992,1.1368,1.0616,1.0710,1691598
1982-02-05,1.0616,1.0849,1.0334,1.0428,987702
1982-02-08,0.9865,1.0380,0.9301,0.9395,1714902
1982-02-09,0.9440,0.9628,0.9256,0.9534,1166400
1982-02-10,0.9722,1.0053,0.9395,0.9914,4347000
1982-02-11,0.9914,1.0053,0.9722,0.9914,2741898
1982-02-12,1.0192,1.0334,1.0007,1.0334,1955400
1982-02-16,1.0053,1.0286,0.9820,1.0053,1200102
1982-02-17,1.0053,1.0286,0.9771,0.9771,1079802
1982-02-18,0.9722,1.0007,0.9440,0.9534,1259400
1982-02-19,0.9440,0.9583,0.9301,0.9395,2927898
1982-02-22,0.8925,0.9489,0.8361,0.8504,1726002
1982-02-23,0.8643,0.8831,0.8455,0.8782,1511202
1982-02-24,0.8831,0.9162,0.8504,0.9162,1133502
1982-02-25,0.8925,0.9113,0.8692,0.8782,561198
1982-02-26,0.8692,0.8831,0.8549,0.8737,1085502
1982-03-01,0.8643,0.8737,0.8549,0.8692,534702
1982-03-02,0.8410,0.8737,0.8035,0.8174,1033302
1982-03-03,0.7941,0.8125,0.7704,0.7704,1576098
1982-03-04,0.7561,0.7892,0.7234,0.7328,1557702
1982-03-05,0.7328,0.7467,0.7140,0.7328,1187298
1982-03-08,0.7189,0.7516,0.6809,0.6997,823302
1982-03-09,0.6952,0.7140,0.6764,0.6997,2048400
1982-03-10,0.7234,0.7467,0.6952,0.7189,554700
1982-03-11,0.7328,0.7422,0.7189,0.7283,521802
1982-03-12,0.7377,0.7561,0.7189,0.7234,601200
1982-03-15,0.7283,0.7422,0.7140,0.7422,625302
1982-03-16,0.7328,0.7422,0.7234,0.7283,319698
1982-03-17,0.7283,0.7377,0.7140,0.7328,458502
1982-03-18,0.7328,0.7422,0.7189,0.7234,335802
1982-03-19,0.7377,0.7892,0.7283,0.7847,768702
1982-03-22,0.8035,0.8174,0.7892,0.8035,2114202
1982-03-23,0.7847,0.8080,0.7561,0.7655,554700
1982-03-24,0.7516,0.7753,0.7283,0.7467,407202
1982-03-25,0.7610,0.7847,0.7377,0.7516,1291500
1982-03-26,0.7467,0.7516,0.7377,0.7467,533100
1982-03-29,0.7516,0.7655,0.7422,0.7655,394302
1982-03-30,0.7561,0.7655,0.7422,0.7467,393600
1982-03-31,0.7516,0.7561,0.7422,0.7422,440802
1982-04-01,0.7561,0.7753,0.7377,0.7655,573900
1982-04-02,0.7704,0.7798,0.7610,0.7704,563502
1982-04-05,0.7655,0.7704,0.7561,0.7610,351000
1982-04-06,0.7610,0.7655,0.7561,0.7655,375102
1982-04-07,0.7655,0.7704,0.7561,0.7655,468102
1982-04-08,0.7847,0.8035,0.7610,0.7892,973200
1982-04-12,0.7753,0.7892,0.7610,0.7704,542598
1982-04-13,0.7561,0.7655,0.7422,0.7467,347802
1982-04-14,0.7328,0.7422,0.7234,0.7377,819300
1982-04-15,0.7377,0.7422,0.7283,0.7422,420798
1982-04-16,0.7467,0.7655,0.7283,0.7422,919500
1982-04-19,0.7467,0.7610,0.7283,0.7283,463302
1982-04-20,0.7189,0.7234,0.7095,0.7189,515400
1982-04-21,0.7189,0.7283,0.7095,0.7234,458502
1982-04-22,0.7234,0.7328,0.7095,0.7234,662100
1982-04-23,0.7328,0.7422,0.7234,0.7234,826500
1982-04-26,0.7328,0.7422,0.7189,0.7328,960498
1982-04-27,0.7283,0.7377,0.7189,0.7234,525102
1982-04-28,0.7283,0.7328,0.7189,0.7234,478500
1982-04-29,0.7234,0.7283,0.7189,0.7234,513798
1982-04-30,0.7422,0.7655,0.7189,0.7516,1074300
1982-05-03,0.7561,0.7655,0.7422,0.7561,496098
1982-05-04,0.7467,0.7561,0.7328,0.7422,346200
1982-05-05,0.7467,0.7561,0.7377,0.7422,794502
1982-05-06,0.7516,0.7561,0.7422,0.7467,447300
1982-05-07,0.7467,0.7561,0.7377,0.7467,437598
1982-05-10,0.7610,0.7798,0.7422,0.7610,987702
1982-05-11,0.7610,0.7704,0.7516,0.7610,458502
1982-05-12,0.7561,0.7655,0.7422,0.7516,528300
1982-05-13,0.7516,0.7561,0.7467,0.7516,298200
1982-05-14,0.7422,0.7516,0.7328,0.7467,396798
1982-05-17,0.7328,0.7377,0.7234,0.7283,313398
1982-05-18,0.7189,0.7283,0.7095,0.7140,413598
1982-05-19,0.7189,0.7283,0.7046,0.7140,480198
1982-05-20,0.7140,0.7234,0.7046,0.7140,469800
1982-05-21,0.6903,0.7046,0.6716,0.6858,876198
1982-05-24,0.6625,0.6764,0.6483,0.6716,953898
1982-05-25,0.6716,0.6764,0.6625,0.6625,675702
1982-05-26,0.6531,0.6625,0.6389,0.6483,2287398
1982-05-27,0.6389,0.6483,0.6246,0.6246,924300
1982-05-28,0.6058,0.6201,0.5919,0.6058,1519200
1982-06-01,0.6013,0.6107,0.5874,0.5919,537102
1982-06-02,0.5780,0.5874,0.5682,0.5874,1410198
1982-06-03,0.5825,0.5919,0.5731,0.5731,905898
1982-06-04,0.5494,0.5731,0.5261,0.5400,1286802
1982-06-07,0.5449,0.5494,0.5355,0.5449,1346898
1982-06-08,0.5543,0.5588,0.5449,0.5494,433602
1982-06-09,0.5449,0.5543,0.5355,0.5400,748002
1982-06-10,0.5494,0.5543,0.5400,0.5543,887502
1982-06-11,0.5731,0.5874,0.5588,0.5682,506598
1982-06-14,0.5637,0.5682,0.5543,0.5588,391098
1982-06-15,0.5543,0.5637,0.5449,0.5637,428802
1982-06-16,0.5637,0.5731,0.5543,0.5543,506598
1982-06-17,0.5588,0.5637,0.5494,0.5588,660498
1982-06-18,0.5682,0.5780,0.5588,0.5731,388698
1982-06-21,0.5874,0.6107,0.5637,0.5919,660498
1982-06-22,0.5968,0.6107,0.5825,0.6107,299802
1982-06-23,0.6152,0.6295,0.6013,0.6107,974100
1982-06-24,0.5968,0.6152,0.5731,0.5780,808098
1982-06-25,0.5780,0.5874,0.5637,0.5682,297300
1982-06-28,0.5780,0.5874,0.5682,0.5825,412002
1982-06-29,0.5825,0.5919,0.5731,0.5825,1014102
1982-06-30,0.5825,0.5919,0.5731,0.5780,458502
1982-07-01,0.5731,0.5825,0.5637,0.5780,365502
1982-07-02,0.5825,0.5874,0.5731,0.5874,386400
1982-07-06,0.5968,0.6107,0.5825,0.6107,323802
1982-07-07,0.6058,0.6201,0.5919,0.5919,576402
1982-07-08,0.5731,0.5919,0.5543,0.5731,931500
1982-07-09,0.5637,0.5731,0.5494,0.5588,468102
1982-07-12,0.5400,0.5449,0.5310,0.5400,703098
1982-07-13,0.5400,0.5588,0.5355,0.5355,727098
1982-07-14,0.5355,0.5449,0.5310,0.5400,703098
1982-07-15,0.5355,0.5400,0.5261,0.5355,555498
1982-07-16,0.5310,0.5355,0.5261,0.5310,313398
1982-07-19,0.5355,0.5400,0.5310,0.5355,222000
1982-07-20,0.5400,0.5449,0.5310,0.5355,258900
1982-07-21,0.5449,0.5543,0.5355,0.5449,459300
1982-07-22,0.5449,0.5494,0.5400,0.5449,652602
1982-07-23,0.5400,0.5449,0.5355,0.5400,262098
1982-07-26,0.5400,0.5449,0.5355,0.5449,193200
1982-07-27,0.5588,0.5731,0.5400,0.5682,558702
1982-07-28,0.5449,0.5682,0.5355,0.5449,375900
1982-07-29,0.5400,0.5449,0.5310,0.5310,517902
1982-07-30,0.5355,0.5400,0.5261,0.5310,404802
1982-08-02,0.5400,0.5494,0.5261,0.5355,376698
1982-08-03,0.5400,0.5449,0.5355,0.5355,398400
1982-08-04,0.5261,0.5355,0.5167,0.5167,448902
1982-08-05,0.5167,0.5216,0.5073,0.5122,274098
1982-08-06,0.5167,0.5216,0.5073,0.5122,222702
1982-08-09,0.5122,0.5167,0.5073,0.5122,288498
1982-08-10,0.5024,0.5122,0.4885,0.4979,421602
1982-08-11,0.4837,0.4930,0.4743,0.4930,433602
1982-08-12,0.4979,0.5073,0.4885,0.4979,665298
1982-08-13,0.4930,0.4979,0.4885,0.4930,387102
1982-08-16,0.4979,0.5024,0.4930,0.4930,2769198
1982-08-17,0.5122,0.5310,0.4930,0.5310,1386102
1982-08-18,0.5355,0.5543,0.5167,0.5167,1647498
1982-08-19,0.5216,0.5261,0.5122,0.5216,1446198
1982-08-20,0.5355,0.5494,0.5216,0.5449,1380498
1982-08-23,0.5449,0.5494,0.5355,0.5494,1591302
1982-08-24,0.5682,0.5825,0.5543,0.5637,1212900
1982-08-25,0.5825,0.6013,0.5637,0.5825,1350900
1982-08-26,0.5968,0.6107,0.5825,0.5919,1459098
1982-08-27,0.5874,0.5968,0.5731,0.5825,658200
1982-08-30,0.5637,0.5682,0.5543,0.5682,352602
1982-08-31,0.5780,0.5825,0.5682,0.5825,834498
1982-09-01,0.5825,0.5919,0.5731,0.5874,705402
1982-09-02,0.5919,0.6058,0.5731,0.6058,1645098
1982-09-03,0.6058,0.6201,0.5919,0.6013,861798
1982-09-07,0.5780,0.5919,0.5637,0.5731,315798
1982-09-08,0.5919,0.6058,0.5780,0.6058,1222602
1982-09-09,0.6013,0.6058,0.5919,0.5919,1749300
1982-09-10,0.5919,0.6013,0.5825,0.5825,806502
1982-09-13,0.5968,0.6058,0.5825,0.5968,725502
1982-09-14,0.5968,0.6058,0.5874,0.5919,323802
1982-09-15,0.6013,0.6107,0.5919,0.6058,793602
1982-09-16,0.6107,0.6152,0.6013,0.6107,827400
1982-09-17,0.6295,0.6531,0.6058,0.6437,1442298
1982-09-20,0.6389,0.6437,0.6340,0.6389,488202
1982-09-21,0.6483,0.6576,0.6340,0.6389,611598
1982-09-22,0.6340,0.6483,0.6152,0.6201,1559298
1982-09-23,0.6201,0.6295,0.6058,0.6152,444000
