date,open,high,low,close,volume
1972-08-25,0.0398,0.0406,0.0398,0.0404,2508800
1972-08-28,0.0404,0.0407,0.0403,0.0403,972800
1972-08-29,0.0401,0.0401,0.0398,0.0398,1945600
1972-08-30,0.0398,0.0398,0.0395,0.0398,409600
1972-08-31,0.0395,0.0395,0.0392,0.0392,870400
1972-09-01,0.0393,0.0395,0.0393,0.0395,256000
1972-09-05,0.0395,0.0395,0.0392,0.0392,563200
1972-09-06,0.0395,0.0395,0.0395,0.0395,256000
1972-09-07,0.0395,0.0395,0.0393,0.0393,1177600
1972-09-08,0.0392,0.0392,0.0390,0.0390,665600
1972-09-11,0.0393,0.0393,0.0393,0.0393,921600
1972-09-12,0.0393,0.0393,0.0393,0.0393,614400
1972-09-13,0.0393,0.0393,0.0393,0.0393,153600
1972-09-14,0.0393,0.0396,0.0392,0.0396,1280000
1972-09-15,0.0395,0.0395,0.0393,0.0393,512000
1972-09-18,0.0395,0.0396,0.0395,0.0395,1075200
1972-09-19,0.0393,0.0393,0.0390,0.0392,3123200
1972-09-20,0.0389,0.0389,0.0389,0.0389,51200
1972-09-21,0.0386,0.0386,0.0377,0.0377,1433600
1972-09-22,0.0375,0.0375,0.0363,0.0363,870400
1972-09-25,0.0361,0.0361,0.0352,0.0352,972800
1972-09-26,0.0352,0.0352,0.0349,0.0351,716800
1972-09-27,0.0348,0.0348,0.0343,0.0343,665600
1972-09-28,0.0349,0.0355,0.0349,0.0352,1433600
1972-09-29,0.0355,0.0357,0.0355,0.0357,256000
1972-10-02,0.0360,0.0373,0.0360,0.0373,1638400
1972-10-03,0.0377,0.0380,0.0377,0.0380,512000
1972-10-04,0.0381,0.0390,0.0381,0.0387,1536000
1972-10-05,0.0385,0.0385,0.0377,0.0377,1382400
1972-10-06,0.0375,0.0375,0.0361,0.0361,9779200
1972-10-09,0.0364,0.0367,0.0364,0.0367,1280000
1972-10-10,0.0367,0.0367,0.0367,0.0367,0
1972-10-11,0.0367,0.0369,0.0364,0.0369,460800
1972-10-12,0.0367,0.0367,0.0366,0.0366,358400
1972-10-13,0.0366,0.0366,0.0366,0.0366,51200
1972-10-16,0.0364,0.0364,0.0357,0.0357,665600
1972-10-17,0.0357,0.0364,0.0354,0.0363,2457600
1972-10-18,0.0366,0.0392,0.0366,0.0389,7782400
1972-10-19,0.0389,0.0392,0.0389,0.0390,10598400
1972-10-20,0.0387,0.0387,0.0387,0.0387,51200
1972-10-23,0.0387,0.0387,0.0386,0.0386,460800
1972-10-24,0.0387,0.0387,0.0387,0.0387,102400
1972-10-25,0.0384,0.0384,0.0380,0.0380,1228800
1972-10-26,0.0383,0.0383,0.0383,0.0383,51200
1972-10-27,0.0384,0.0384,0.0384,0.0384,204800
1972-10-30,0.0384,0.0386,0.0381,0.0383,1331200
1972-10-31,0.0384,0.0395,0.0384,0.0395,716800
1972-11-01,0.0399,0.0413,0.0399,0.0413,2252800
1972-11-02,0.0416,0.0421,0.0416,0.0416,716800
1972-11-03,0.0415,0.0415,0.0413,0.0415,1433600
1972-11-06,0.0415,0.0415,0.0415,0.0415,153600
1972-11-08,0.0416,0.0421,0.0416,0.0419,716800
1972-11-09,0.0419,0.0419,0.0416,0.0419,819200
1972-11-10,0.0419,0.0419,0.0419,0.0419,0
1972-11-13,0.0418,0.0418,0.0415,0.0418,409600
1972-11-14,0.0416,0.0416,0.0413,0.0413,153600
1972-11-15,0.0413,0.0415,0.0410,0.0412,563200
1972-11-16,0.0412,0.0413,0.0410,0.0413,614400
1972-11-17,0.0413,0.0416,0.0412,0.0412,1382400
1972-11-20,0.0412,0.0413,0.0410,0.0410,153600
1972-11-21,0.0410,0.0419,0.0407,0.0419,563200
1972-11-22,0.0419,0.0424,0.0419,0.0419,460800
1972-11-24,0.0419,0.0421,0.0418,0.0418,358400
1972-11-27,0.0418,0.0429,0.0416,0.0429,6246400
1972-11-28,0.0426,0.0426,0.0416,0.0416,3481600
1972-11-29,0.0413,0.0413,0.0398,0.0398,3584000
1972-11-30,0.0395,0.0395,0.0393,0.0395,204800
1972-12-01,0.0396,0.0401,0.0396,0.0401,1484800
1972-12-04,0.0404,0.0416,0.0404,0.0416,972800
1972-12-05,0.0422,0.0422,0.0422,0.0422,1331200
1972-12-06,0.0422,0.0422,0.0421,0.0422,409600
1972-12-07,0.0422,0.0422,0.0419,0.0419,665600
1972-12-08,0.0419,0.0419,0.0413,0.0413,9779200
1972-12-11,0.0416,0.0418,0.0416,0.0418,358400
1972-12-12,0.0415,0.0415,0.0413,0.0413,204800
1972-12-13,0.0415,0.0416,0.0415,0.0416,102400
1972-12-14,0.0418,0.0419,0.0418,0.0418,1638400
1972-12-15,0.0419,0.0422,0.0419,0.0421,1536000
1972-12-18,0.0421,0.0421,0.0418,0.0419,1536000
1972-12-19,0.0419,0.0421,0.0418,0.0421,153600
1972-12-20,0.0421,0.0422,0.0395,0.0422,204800
1972-12-21,0.0421,0.0421,0.0418,0.0419,9062400
1972-12-22,0.0419,0.0422,0.0418,0.0422,1228800
1972-12-26,0.0422,0.0427,0.0416,0.0416,614400
1972-12-27,0.0416,0.0419,0.0413,0.0419,768000
1972-12-29,0.0419,0.0422,0.0416,0.0422,307200
1973-01-02,0.0424,0.0427,0.0424,0.0424,460800
1973-01-03,0.0422,0.0422,0.0421,0.0422,768000
1973-01-04,0.0422,0.0427,0.0421,0.0421,1740800
1973-01-05,0.0421,0.0421,0.0418,0.0419,1587200
1973-01-08,0.0419,0.0419,0.0416,0.0418,665600
1973-01-09,0.0416,0.0416,0.0407,0.0410,3584000
1973-01-10,0.0410,0.0410,0.0399,0.0399,1280000
1973-01-11,0.0404,0.0410,0.0404,0.0409,1331200
1973-01-12,0.0409,0.0413,0.0407,0.0407,1945600
1973-01-15,0.0404,0.0404,0.0403,0.0403,358400
1973-01-16,0.0403,0.0410,0.0401,0.0410,3481600
