date,open,high,low,close,volume
2015-06-24,46.5257,46.5257,46.4743,46.4743,3300
2015-06-25,46.1224,46.1224,45.3891,45.3891,3700
2015-06-26,45.3891,45.3891,45.3891,45.3891,100
2015-06-29,44.6705,44.6705,44.5825,44.5825,300
2015-06-30,44.9711,45.0225,44.2379,44.6558,1815500
2015-07-01,44.5385,45.7557,44.4578,45.7557,192400
2015-07-02,46.1957,47.6622,45.7557,47.6549,1744987
2015-07-06,47.7502,48.6888,46.1884,46.7456,2092257
2015-07-07,46.8630,46.9216,45.1251,45.8071,3053125
2015-07-08,45.8291,46.8556,43.6293,43.7832,3784289
2015-07-09,43.6293,44.6778,42.9033,43.6366,2284226
2015-07-10,43.9739,45.1691,43.5559,45.0225,2237703
2015-07-13,45.4917,45.6457,45.1764,45.5504,1248987
2015-07-14,45.5357,46.2323,45.0518,45.6017,994808
2015-07-15,45.6457,46.1444,44.8245,45.1838,1209854
2015-07-16,45.2424,46.6943,45.1222,45.6971,1365863
2015-07-17,45.9170,46.3790,45.1984,45.2791,1213162
2015-07-20,45.4624,46.1444,45.0958,45.1324,1977775
2015-07-21,45.3451,46.0930,43.7172,43.8859,1808280
2015-07-22,44.2525,44.8318,43.6806,44.0985,900133
2015-07-23,43.8272,44.5678,43.5193,43.8859,1124672
2015-07-24,43.6659,43.9592,42.2800,43.1966,1154608
2015-07-27,42.8593,43.5706,42.4304,42.6687,1255150
2015-07-28,42.9107,43.8126,42.1554,43.5119,1636666
2015-07-29,43.1746,43.7979,42.5880,43.5486,1790204
2015-07-30,44.9931,46.3350,44.7585,46.0710,3530135
2015-07-31,45.0958,46.7456,44.8465,46.2397,1624924
2015-08-03,46.4670,47.4716,45.7484,46.3203,2128045
2015-08-04,45.6457,46.5257,45.6384,45.8804,702962
2015-08-05,46.4083,46.8996,45.6237,46.0124,1495186
2015-08-06,45.4624,45.8291,44.3479,45.2718,2536887
2015-08-07,45.2278,45.9097,44.7145,45.8730,2060919
2015-08-10,46.4634,46.8396,45.6594,46.4560,1424070
2015-08-11,47.2084,47.2084,45.5192,46.7658,1727206
2015-08-12,46.7658,47.1125,45.5192,46.6994,1396295
2015-08-13,46.6625,47.0590,45.9913,46.5666,844266
2015-08-14,46.5666,47.0682,45.7029,46.6404,938717
2015-08-17,46.1978,46.7732,46.1978,46.7215,714354
2015-08-18,46.4855,46.8986,46.4044,46.5888,806543
2015-08-19,46.4560,46.6847,45.7847,45.7847,1078040
2015-08-20,45.5487,45.5487,44.5382,44.7594,1297576
2015-08-21,44.4201,44.4533,43.2473,43.5276,1959044
2015-08-24,41.7942,44.4718,39.4485,41.6466,2146015
2015-08-25,43.0039,43.0555,40.5771,40.9385,2348724
2015-08-26,42.1409,42.7383,40.6803,41.6393,1860463
