date,open,high,low,close,volume
2006-10-02,13.0436,13.6414,13.0232,13.4240,7111800
2006-10-03,13.5123,13.6142,13.3357,13.5870,11416000
2006-10-04,13.5870,13.6210,13.2474,13.4376,10722800
2006-10-05,13.5531,13.5531,13.3085,13.3425,8782400
2006-10-06,13.3832,13.4376,13.1251,13.2949,6282100
2006-10-09,13.5191,13.5599,13.2542,13.4036,3518000
2006-10-10,13.3017,13.4648,13.2474,13.3900,6132200
2006-10-11,13.3696,13.3696,13.0979,13.1183,9504800
2006-10-12,13.1930,13.1930,12.8737,12.9281,8323700
2006-10-13,12.9077,12.9213,12.6156,12.8194,10659500
2006-10-16,12.9484,13.0571,12.7175,12.7311,9966300
2006-10-17,12.5680,12.6903,12.4729,12.6224,4902400
2006-10-18,12.6020,12.9892,12.6020,12.9077,6600200
2006-10-19,13.1794,13.4172,13.0436,13.2474,8959200
2006-10-20,13.3153,13.5870,13.2066,13.3357,5712600
2006-10-23,13.3561,13.5055,13.0028,13.3017,6780900
2006-10-24,13.5870,14.2664,13.5191,13.5531,14763500
2006-10-25,13.6278,15.0816,13.6210,14.8438,11829500
2006-10-26,14.7555,15.6523,14.7080,15.1767,13490500
2006-10-27,15.0137,15.1767,14.6197,14.9118,4564700
2006-10-30,14.9322,15.0816,14.5721,15.0205,5795000
2006-10-31,15.1903,15.4756,14.8167,14.9797,4165200
2006-11-01,15.0476,15.3398,14.9050,14.9254,8517800
2006-11-02,14.7283,15.0001,14.5653,14.8303,7359000
2006-11-03,15.0001,15.1428,14.4974,14.6332,4821000
2006-11-06,14.9797,15.2243,14.8031,15.1020,5462100
2006-11-07,15.0341,15.5843,15.0341,15.2854,5057500
2006-11-08,15.1767,15.5436,15.0952,15.3669,4660200
2006-11-09,15.3534,15.9987,15.2854,15.8153,8630700
2006-11-10,15.8153,15.9648,15.4620,15.5096,4421300
2006-11-13,15.7610,15.9240,15.5436,15.7881,5379500
2006-11-14,15.9512,15.9987,15.5572,15.9104,4358300
2006-11-15,16.0531,16.1686,15.8357,15.8629,4149900
2006-11-16,15.9648,16.1686,15.6930,15.7066,4629000
2006-11-17,15.6115,15.7610,15.3873,15.4077,4082900
2006-11-20,15.4077,15.5028,15.0884,15.2922,3844400
2006-11-21,15.3737,15.5164,15.3126,15.3194,4081200
2006-11-22,15.2514,15.3941,15.1903,15.3126,2753500
2006-11-24,15.2990,15.3194,15.1903,15.1903,886000
2006-11-27,15.0595,15.1971,14.7555,14.8438,4876600
2006-11-28,14.7148,15.2854,14.5993,14.6876,4878100
2006-11-29,15.2854,16.1957,14.6197,15.0544,5716900
2006-11-30,15.0748,15.5843,15.0069,15.4892,6002400
2006-12-01,15.2243,15.5232,15.2243,15.5232,4519400
2006-12-04,15.6591,16.1346,15.5572,15.9648,5347100
2006-12-05,15.9648,16.3996,15.8832,16.3860,7449100
2006-12-06,16.3724,16.3724,15.8629,15.9308,5195700
2006-12-07,15.9308,16.3452,15.8561,16.2433,5155300
2006-12-08,16.1957,16.3724,16.1278,16.2025,3518300
2006-12-11,16.0667,16.1346,15.7881,16.0123,3447100
2006-12-12,15.9308,16.0667,15.5911,15.8221,3342400
2006-12-13,15.8358,15.8426,15.2921,15.5232,4484900
2006-12-14,15.6455,15.7950,15.3261,15.4756,5321800
2006-12-15,15.3601,15.6863,15.3601,15.6251,5120800
2006-12-18,15.6251,15.6931,15.4620,15.5504,4316100
2006-12-19,15.5504,15.6523,15.3261,15.3261,2284100
2006-12-20,15.4280,15.4280,15.1766,15.2173,2778400
2006-12-21,15.1630,15.2921,15.0474,15.1018,3918900
2006-12-22,15.0950,15.2241,14.8979,14.9387,3743900
2006-12-26,15.1018,15.1222,14.9523,15.0338,1584800
2006-12-27,15.0678,15.3329,15.0406,15.2921,2409600
2006-12-28,15.2309,15.2921,15.0882,15.1902,1717900
2006-12-29,15.1902,15.3465,15.1562,15.2377,2157700
2007-01-03,15.5640,15.8630,15.2377,15.4348,5910100
2007-01-04,15.3601,15.6591,15.2921,15.5708,2834300
2007-01-05,15.5640,15.6115,15.1562,15.1766,5548800
2007-01-08,15.1698,15.2038,14.8299,14.9251,2829800
2007-01-09,14.9183,15.1834,14.8503,15.1222,3600900
2007-01-10,15.5640,15.6931,15.2106,15.2649,5745000
2007-01-11,15.3329,15.4756,15.1154,15.3873,3325900
2007-01-12,15.3941,15.5708,15.3465,15.4892,4191600
2007-01-16,15.5980,15.6319,15.0610,15.0882,6111500
2007-01-17,15.0882,15.2241,14.7144,14.7620,5909800
2007-01-18,14.8164,14.9387,14.6396,14.6804,2606300
2007-01-19,14.7484,14.7552,14.4358,14.5513,4957200
2007-01-22,14.3814,14.6532,14.2794,14.2930,5065800
2007-01-23,14.3474,14.8639,14.2862,14.8164,5165300
2007-01-24,14.4493,14.8571,14.4493,14.5445,4683400
2007-01-25,14.5513,14.7008,14.2522,14.3202,5218300
2007-01-26,14.3406,14.4222,14.0959,14.2319,3867700
2007-01-29,14.1775,14.6668,14.1367,14.4018,4412800
2007-01-30,14.4969,14.8751,14.4425,14.7620,3882600
2007-01-31,14.6804,15.3329,14.6464,15.1834,5334200
2007-02-01,15.0202,16.0125,14.7144,16.0057,10378600
2007-02-02,16.0057,16.0057,15.5096,15.6455,5619700
2007-02-05,15.7339,15.7815,15.5300,15.5300,4096100
2007-02-06,15.4620,15.6270,15.2649,15.3125,3607600
2007-02-07,15.3465,15.4416,15.1562,15.3261,4112500
2007-02-08,15.2921,15.2921,14.9863,15.0202,3474200
2007-02-09,14.9455,15.1562,14.6464,14.8164,3188300
2007-02-12,14.8164,14.9523,14.6600,14.9319,2305700
