date,open,high,low,close,volume
1973-05-03,3.0242,3.1044,2.9642,3.0643,116601
1973-05-04,3.1446,3.2051,3.1446,3.1580,256800
1973-05-07,3.1580,3.1649,3.1376,3.1446,55800
1973-05-08,3.1446,3.1446,3.1178,3.1446,80001
1973-05-09,3.1446,3.1778,3.1376,3.1580,66801
1973-05-10,3.1580,3.1580,3.1178,3.1178,61800
1973-05-11,3.1178,3.1178,3.0375,3.0777,76401
1973-05-14,3.0375,3.0375,2.9974,3.0306,46200
1973-05-15,3.0306,3.0643,2.9974,3.0643,90201
1973-05-16,3.0643,3.0975,3.0643,3.0975,39801
1973-05-17,3.0975,3.1044,3.0573,3.0975,56001
1973-05-18,3.0911,3.0911,3.0306,3.0777,85200
1973-05-21,3.0643,3.0643,3.0172,3.0242,138201
1973-05-22,3.0306,3.0643,3.0306,3.0306,51201
1973-05-23,3.0375,3.0846,3.0375,3.0777,91401
1973-05-24,3.0777,3.1515,3.0777,3.1515,45201
1973-05-25,3.1580,3.2249,3.1580,3.2051,82800
1973-05-29,3.1847,3.1847,3.1044,3.1044,25401
1973-05-30,3.1044,3.1044,3.0846,3.0975,16800
1973-05-31,3.0777,3.0777,3.0242,3.0242,82800
1973-06-01,3.0242,3.0777,3.0043,3.0445,70800
1973-06-04,3.0445,3.0509,3.0242,3.0242,31800
1973-06-05,3.0242,3.0777,3.0043,3.0375,85401
1973-06-06,3.0375,3.0643,3.0242,3.0242,27000
1973-06-07,3.0306,3.0777,3.0306,3.0509,47001
1973-06-08,3.0643,3.1376,3.0643,3.1376,83400
1973-06-11,3.1580,3.1981,3.1580,3.1847,39600
1973-06-12,3.1847,3.2249,3.1649,3.2249,144600
1973-06-13,3.2249,3.2581,3.1515,3.1847,80400
1973-06-14,3.1778,3.1778,3.1580,3.1778,138801
1973-06-15,3.1649,3.1649,3.1446,3.1580,26400
1973-06-18,3.1580,3.1580,3.0777,3.0911,131400
1973-06-19,3.0911,3.1248,3.0445,3.0975,88800
1973-06-20,3.0975,3.1044,3.0643,3.1044,91200
1973-06-21,3.1044,3.1044,3.0777,3.0911,118200
1973-06-22,3.0911,3.1580,3.0777,3.0777,43401
1973-06-25,3.0777,3.0975,3.0643,3.0643,16800
1973-06-26,3.0643,3.0911,3.0509,3.0911,18801
1973-06-27,3.0911,3.0975,3.0509,3.0911,86400
1973-06-28,3.1044,3.1446,3.1044,3.1446,21801
1973-06-29,3.1446,3.1515,3.1178,3.1446,75201
1973-07-02,3.1446,3.1580,3.1248,3.1515,39201
1973-07-03,3.1515,3.2179,3.1515,3.2115,63000
1973-07-05,3.2115,3.2516,3.1778,3.2383,60801
1973-07-06,3.2383,3.2581,3.2383,3.2581,32400
1973-07-09,3.2581,3.3185,3.2581,3.3052,39600
1973-07-10,3.3656,3.4459,3.3656,3.3721,81600
1973-07-11,3.4256,3.4657,3.4256,3.4459,169200
1973-07-12,3.4459,3.4523,3.3988,3.4256,142800
1973-07-13,3.4256,3.4256,3.3453,3.3656,64401
1973-07-16,3.3656,3.4122,3.3587,3.3854,46401
1973-07-17,3.3988,3.4256,3.3988,3.3988,144000
1973-07-18,3.3988,3.4122,3.3785,3.3785,51000
1973-07-19,3.3785,3.4256,3.3517,3.3988,135000
1973-07-20,3.3988,3.4459,3.3988,3.4459,95001
1973-07-23,3.4459,3.4791,3.4459,3.4588,102600
1973-07-24,3.4588,3.4861,3.4523,3.4727,126600
1973-07-25,3.4727,3.6193,3.4727,3.6193,235200
1973-07-26,3.6193,3.6664,3.6129,3.6129,183600
1973-07-27,3.5995,3.5995,3.5193,3.5326,70401
1973-07-30,3.5193,3.5193,3.4523,3.4861,125601
1973-07-31,3.4791,3.4791,3.4390,3.4459,128400
