date,open,high,low,close,volume
1991-04-25,1.1861,1.2385,1.1861,1.2294,208800
1991-04-26,1.2294,1.2733,1.2036,1.2650,453600
1991-04-29,1.2650,1.3257,1.2559,1.2559,369600
1991-04-30,1.2559,1.2559,1.1861,1.2385,320400
1991-05-01,1.2385,1.2385,1.1861,1.2036,14400
1991-05-02,1.2036,1.2210,1.2036,1.2210,314400
1991-05-03,1.2210,1.2385,1.2036,1.2036,235200
1991-05-06,1.2036,1.2385,1.2036,1.2126,196800
1991-05-07,1.2126,1.2385,1.1861,1.1861,115200
1991-05-08,1.1861,1.2385,1.1861,1.2385,16800
1991-05-09,1.2385,1.2385,1.1861,1.1861,130800
1991-05-10,1.1861,1.2385,1.1861,1.1861,30000
1991-05-13,1.1861,1.2210,1.1861,1.2210,20400
1991-05-14,1.1861,1.1861,1.1512,1.1512,64800
1991-05-15,1.1512,1.2036,1.1512,1.1512,159600
1991-05-16,1.1512,1.2036,1.1512,1.1603,122400
1991-05-17,1.1603,1.1861,1.1512,1.1778,157200
1991-05-20,1.1778,1.2036,1.1687,1.2036,45600
1991-05-21,1.2036,1.2036,1.1512,1.1512,63600
1991-05-22,1.1512,1.1861,1.1512,1.1512,32400
1991-05-23,1.1512,1.2036,1.1512,1.1687,38400
1991-05-24,1.1687,1.2036,1.1512,1.2036,234000
1991-05-28,1.2036,1.2385,1.1861,1.2126,283200
1991-05-29,1.2126,1.3257,1.2036,1.2908,666000
1991-05-30,1.2908,1.3257,1.2733,1.3257,57600
1991-05-31,1.3082,1.3082,1.2733,1.2733,39600
1991-06-03,1.2733,1.2908,1.2385,1.2468,379200
1991-06-04,1.2468,1.2733,1.2385,1.2468,34800
1991-06-05,1.2468,1.2733,1.2385,1.2733,10800
1991-06-06,1.2733,1.2733,1.2385,1.2559,16800
1991-06-07,1.2559,1.2733,1.2385,1.2468,50400
1991-06-10,1.2468,1.2733,1.2385,1.2385,19200
1991-06-11,1.2385,1.2733,1.2385,1.2385,57600
1991-06-12,1.2385,1.2733,1.2385,1.2468,358800
1991-06-13,1.2468,1.2468,1.2385,1.2385,30000
1991-06-14,1.2385,1.2733,1.2385,1.2733,74400
1991-06-17,1.2733,1.2733,1.2733,1.2733,1200
1991-06-18,1.2733,1.2733,1.2733,1.2733,0
1991-06-19,1.2650,1.2650,1.2210,1.2385,123600
1991-06-20,1.2385,1.2559,1.2210,1.2210,48000
1991-06-21,1.2210,1.2210,1.1861,1.1861,135600
1991-06-24,1.1861,1.2036,1.1164,1.1603,154800
1991-06-25,1.1687,1.1687,1.1687,1.1687,13200
1991-06-26,1.1687,1.1861,1.1338,1.1512,86400
1991-06-27,1.1512,1.1861,1.1164,1.1338,32400
1991-06-28,1.1338,1.1861,1.1164,1.1164,97200
1991-07-01,1.1338,1.1861,1.1338,1.1861,492000
1991-07-02,1.1861,1.1861,1.1861,1.1861,4800
1991-07-03,1.1861,1.1861,1.1512,1.1861,6000
1991-07-05,1.1861,1.1861,1.1861,1.1861,0
1991-07-08,1.1687,1.1687,1.1687,1.1687,6000
1991-07-09,1.1687,1.1687,1.1687,1.1687,0
1991-07-10,1.1861,1.2385,1.1861,1.2036,176400
1991-07-11,1.2036,1.2385,1.2036,1.2294,18000
1991-07-12,1.2036,1.2036,1.2036,1.2036,19200
1991-07-15,1.2036,1.2559,1.2036,1.2036,52800
1991-07-16,1.2036,1.2559,1.2036,1.2385,38400
1991-07-17,1.2385,1.2733,1.2036,1.2733,210000
1991-07-18,1.2733,1.2908,1.2385,1.2733,842400
1991-07-19,1.2733,1.3257,1.2385,1.3257,86400
1991-07-22,1.3257,1.3431,1.2908,1.3082,247200
1991-07-23,1.3082,1.3431,1.3082,1.3431,165600
1991-07-24,1.3431,1.4303,1.3082,1.3780,127200
1991-07-25,1.3780,1.4303,1.3780,1.3954,230400
1991-07-26,1.3954,1.4303,1.3606,1.3606,177600
1991-07-29,1.3606,1.4129,1.3606,1.4129,132000
1991-07-30,1.4129,1.4129,1.3780,1.4129,55200
1991-07-31,1.4129,1.4129,1.3780,1.4129,85200
1991-08-01,1.4129,1.4129,1.3780,1.3780,1033200
1991-08-02,1.3780,1.4303,1.3780,1.4303,142800
1991-08-05,1.4303,1.4652,1.4129,1.4129,24000
1991-08-06,1.4129,1.5350,1.4129,1.5001,226800
1991-08-07,1.5001,1.6048,1.5001,1.5524,734400
1991-08-08,1.5873,1.5873,1.5175,1.5350,163200
1991-08-09,1.5175,1.5524,1.5001,1.5001,247200
1991-08-12,1.5350,1.5350,1.5001,1.5001,187200
