date,open,high,low,close,volume
1997-09-17,3.5354,3.7199,3.5354,3.5809,20981600
1997-09-18,3.6276,3.7039,3.5969,3.7039,4839600
1997-09-19,3.6965,3.8121,3.6965,3.7199,2473200
1997-09-22,3.6891,3.7346,3.6818,3.6891,4192000
1997-09-23,3.6891,3.7039,3.6818,3.6891,1968800
1997-09-24,3.6965,3.7039,3.6818,3.6891,1851600
1997-09-25,3.6891,3.7432,3.6891,3.7432,723200
1997-09-26,3.7346,3.8428,3.7272,3.8355,1176400
1997-09-29,3.8428,3.8883,3.8428,3.8883,1228000
1997-09-30,3.9277,4.1048,3.9191,3.9818,3335200
1997-10-01,3.9892,3.9892,3.8121,3.8121,2534800
1997-10-02,3.8269,3.8355,3.7506,3.7961,1344800
1997-10-03,3.8355,3.8736,3.8121,3.8502,1484800
1997-10-06,3.8355,3.9658,3.8355,3.9351,5638000
1997-10-07,3.9658,4.0273,3.7666,3.8281,15530000
1997-10-08,3.8281,3.8428,3.7506,3.7740,11980400
1997-10-09,3.7666,3.9351,3.7051,3.9351,9234000
1997-10-10,3.8281,3.9277,3.7814,3.8810,7411200
1997-10-13,3.8896,3.9511,3.8896,3.9511,7563600
1997-10-14,3.9203,3.9966,3.9043,3.9203,12276800
1997-10-15,3.8736,3.9117,3.8281,3.9043,6505200
1997-10-16,3.9351,3.9511,3.8736,3.9043,6472000
1997-10-17,3.8428,3.8588,3.7272,3.8355,4623600
1997-10-20,3.8810,3.9966,3.8281,3.9658,5748000
1997-10-21,3.9818,4.2118,3.9351,4.1355,6628000
1997-10-22,4.0580,4.1048,4.0125,4.0580,4033600
1997-10-23,3.9966,4.0740,3.9658,4.0580,5527600
1997-10-24,4.0740,4.0888,3.9966,4.0580,4024800
1997-10-27,3.9966,4.0125,3.7666,3.8281,4816000
1997-10-28,3.7051,3.8896,3.5821,3.8047,3350400
1997-10-29,3.8195,3.8736,3.7125,3.7272,2362400
1997-10-30,3.6350,3.7125,3.5821,3.6276,3524000
1997-10-31,3.6276,3.7506,3.6203,3.7272,3834800
1997-11-03,3.7666,3.7814,3.6965,3.7506,3923200
1997-11-04,3.7199,3.7580,3.6744,3.7051,4205600
1997-11-05,3.6891,3.7506,3.6744,3.7125,4460800
1997-11-06,3.7199,3.9351,3.7051,3.8896,4446800
1997-11-07,3.8736,3.9892,3.8121,3.9351,4353600
1997-11-10,3.9658,4.2277,3.9511,4.1576,3940800
1997-11-11,4.0273,4.1355,4.0273,4.1195,2965600
1997-11-12,4.0888,4.1195,4.0347,4.0347,2981600
1997-11-13,4.0507,4.1429,4.0507,4.1195,5003600
1997-11-14,4.2118,4.4270,4.1970,4.3347,7962400
1997-11-17,4.3655,4.4577,4.3347,4.3421,3616400
1997-11-18,4.3200,4.3421,4.1355,4.1576,4189200
1997-11-19,4.1355,4.2118,4.1048,4.1810,4330800
1997-11-20,4.1810,4.2191,4.1663,4.1970,4558800
1997-11-21,4.1884,4.2585,4.1810,4.2425,2220000
1997-11-24,4.1810,4.2425,4.1195,4.1195,2790000
1997-11-25,4.1269,4.1429,3.9966,4.0273,2370800
1997-11-26,3.9966,4.1048,3.9966,4.0814,1908800
1997-11-28,4.0740,4.1810,4.0740,4.1576,840400
1997-12-01,4.2277,4.2277,4.1576,4.1810,2174000
1997-12-02,4.2118,4.2118,4.1355,4.1884,3128400
1997-12-03,4.1810,4.2732,4.1810,4.2659,1442800
1997-12-04,4.3040,4.3581,4.2659,4.2806,3282800
1997-12-05,4.2806,4.2892,4.2425,4.2585,2854000
1997-12-08,4.2277,4.2966,4.2118,4.2425,1540400
1997-12-09,4.1970,4.2425,4.1884,4.2044,1397200
1997-12-10,4.1810,4.1810,3.8969,3.9658,6426000
1997-12-11,3.8896,3.9043,3.7973,3.8281,4354400
1997-12-12,3.8355,3.8428,3.7199,3.7359,3363200
1997-12-15,3.7051,3.7814,3.7051,3.7125,7172800
1997-12-16,3.6891,3.8047,3.6891,3.7814,7638000
1997-12-17,3.7887,3.8502,3.7125,3.7359,5026000
1997-12-18,3.7051,3.7125,3.6350,3.6744,1942400
1997-12-19,3.6584,3.6891,3.6436,3.6658,2028400
1997-12-22,3.6891,3.7051,3.6129,3.6658,1620400
1997-12-23,3.6350,3.6510,3.4813,3.4899,3141600
1997-12-24,3.4592,3.5428,3.4284,3.5354,1541200
1997-12-26,3.5207,3.5280,3.4813,3.4813,887600
1997-12-29,3.4506,3.5662,3.4432,3.4899,1568800
1997-12-30,3.4899,3.6350,3.4813,3.6043,1933600
1997-12-31,3.5735,3.5895,3.5354,3.5735,3035200
1998-01-02,3.5735,3.6043,3.4899,3.5821,2127600
1998-01-05,3.5821,3.5969,3.4284,3.4739,4930000
1998-01-06,3.4284,3.4284,3.3128,3.3276,6155200
1998-01-07,3.3055,3.4124,3.2747,3.3202,4323600
1998-01-08,3.2587,3.2895,3.1665,3.1899,3906000
1998-01-09,3.1825,3.3128,3.1665,3.1972,6994800
1998-01-12,3.0903,3.2514,3.0817,3.2132,3833600
1998-01-13,3.1825,3.2440,3.1665,3.2132,3582400
1998-01-14,3.2206,3.2969,3.1431,3.2132,2724000
1998-01-15,3.1972,3.3055,3.1665,3.2895,6312800
1998-01-16,3.2747,3.3202,3.2661,3.3128,2226000
1998-01-20,3.3055,3.4124,3.2895,3.4124,2816400
1998-01-21,3.3817,3.3817,3.3436,3.3669,1699600
1998-01-22,3.3669,3.3743,3.3202,3.3362,2056400
1998-01-23,3.3202,3.3362,3.2661,3.2895,2384400
1998-01-26,3.2587,3.3128,3.2440,3.2747,1776400
1998-01-27,3.2280,3.2747,3.1972,3.2661,3398000
1998-01-28,3.2587,3.3669,3.2440,3.3669,3906400
1998-01-29,3.3362,3.4506,3.3202,3.3743,3084400
1998-01-30,3.3510,3.3669,3.3128,3.3583,5987600
1998-02-02,3.3891,3.5047,3.3891,3.4284,3898000
1998-02-03,3.3977,3.4124,3.3817,3.3977,2940000
1998-02-04,3.3817,3.5047,3.3669,3.4899,3774800
1998-02-05,3.4506,3.4899,3.4284,3.4432,2215600
1998-02-06,3.4124,3.5354,3.4124,3.5280,1963600
1998-02-09,3.4739,3.5047,3.4198,3.4739,1532800
1998-02-10,3.4592,3.5207,3.4124,3.4973,1428800
1998-02-11,3.4739,3.4813,3.4051,3.4666,2073600
1998-02-12,3.4592,3.4899,3.3510,3.3817,4597600
1998-02-13,3.3817,3.5662,3.3202,3.3510,5932400
1998-02-17,3.1972,3.2821,3.1972,3.2821,4541200
1998-02-18,3.2440,3.2587,3.1972,3.2132,5242400
1998-02-19,3.2132,3.3977,3.2046,3.3276,4389200
1998-02-20,3.3583,3.3583,3.2661,3.2895,1765200
1998-02-23,3.3362,3.3362,3.2587,3.2747,2298000
1998-02-24,3.2587,3.3743,3.2587,3.3362,2127600
1998-02-25,3.3202,3.3510,3.2969,3.3202,1586000
1998-02-26,3.3202,3.4739,3.3128,3.4358,2922400
1998-02-27,3.4432,3.5047,3.4358,3.5047,2044800
1998-03-02,3.4899,3.6276,3.4813,3.6203,3092000
1998-03-03,3.5588,3.6436,3.5354,3.6276,2017200
1998-03-04,3.5969,3.6891,3.5895,3.6891,1802000
1998-03-05,3.6276,3.6891,3.5821,3.6891,2310400
1998-03-06,3.6744,3.6818,3.5662,3.6276,2264000
1998-03-09,3.6129,3.6276,3.4899,3.5354,1660400
1998-03-10,3.5207,3.5969,3.5121,3.5895,1722400
1998-03-11,3.6203,3.6584,3.5821,3.6510,2376800
1998-03-12,3.6584,3.7272,3.6510,3.6584,3534000
1998-03-13,3.6744,3.7051,3.6510,3.6510,2246800
1998-03-16,3.6584,3.6965,3.6350,3.6658,2325200
1998-03-17,3.6510,3.6891,3.6436,3.6744,2420400
1998-03-18,3.6436,3.6658,3.5821,3.5895,1882800
1998-03-19,3.5821,3.6584,3.5662,3.6350,5576800
1998-03-20,3.6584,3.8121,3.6350,3.7666,2065200
1998-03-23,3.7051,3.7199,3.6658,3.6744,1663600
1998-03-24,3.6744,3.7814,3.6584,3.7666,1997200
1998-03-25,3.7506,3.8736,3.7432,3.7580,3179200
