date,open,high,low,close,volume
1991-08-15,3.8889,4.1667,3.8889,4.0556,10640201
1991-08-16,4.0000,4.1111,3.9444,4.0000,2114501
1991-08-19,3.7222,3.8333,3.5556,3.7778,1482701
1991-08-20,3.8333,3.8333,3.7222,3.7222,1048500
1991-08-21,3.7778,4.0556,3.7778,4.0000,1281101
1991-08-22,4.0556,4.1111,4.0000,4.1111,790601
1991-08-23,4.1111,4.1667,4.0000,4.1111,800100
1991-08-26,4.0556,4.1933,4.0000,4.0000,526001
1991-08-27,4.0822,4.1111,4.0000,4.0000,168701
1991-08-28,4.0556,4.1111,4.0000,4.0000,1263101
1991-08-29,4.0556,4.1667,4.0556,4.0556,1110600
1991-08-30,4.0556,4.2222,4.0556,4.1111,50801
1991-09-03,4.1667,4.1667,4.0556,4.0556,342401
1991-09-04,4.0556,4.1667,4.0556,4.0556,565200
1991-09-05,4.1667,4.1667,4.0556,4.0556,734400
1991-09-06,4.1111,4.1667,3.8333,3.9178,510300
1991-09-09,4.0000,4.0000,3.8333,3.9444,25601
1991-09-10,3.8600,4.0000,3.8333,3.8333,476100
1991-09-11,3.9178,4.0000,3.8333,3.9178,246600
1991-09-12,4.0000,4.0000,3.8333,3.9444,746100
1991-09-13,3.8333,4.0000,3.8333,3.8333,165600
1991-09-16,4.0000,4.0000,3.8333,3.9733,230801
1991-09-17,4.0000,4.0000,3.8889,3.9733,437801
1991-09-18,4.0000,4.0000,3.8889,3.9178,199301
1991-09-19,3.8889,4.0556,3.8889,3.9444,216401
1991-09-20,3.9444,4.1111,3.9444,4.0556,127800
1991-09-23,4.1667,4.1667,4.0556,4.1667,137700
1991-09-24,4.0556,4.1667,4.0556,4.0556,78300
1991-09-25,4.1667,4.1667,4.0556,4.0556,49001
1991-09-26,4.0556,4.1111,4.0556,4.0556,39101
1991-09-27,4.1111,4.1667,4.0556,4.0556,37301
1991-09-30,4.1667,4.1667,3.8333,3.9178,287501
1991-10-01,3.9444,3.9444,3.8333,3.8889,99900
1991-10-02,3.8333,3.9444,3.8333,3.9444,20201
1991-10-03,3.8333,3.9444,3.7778,3.8889,307800
1991-10-04,3.7778,3.8889,3.6667,3.6667,124200
1991-10-07,3.7778,3.7778,3.6111,3.7222,514800
1991-10-08,3.6400,3.7778,3.6111,3.6667,103001
1991-10-09,3.7778,3.7778,3.6667,3.6667,410801
1991-10-10,3.7778,3.7778,3.6667,3.7222,310901
1991-10-11,3.7778,3.7778,3.6667,3.6667,13901
1991-10-14,3.7778,3.7778,3.6667,3.6667,22901
1991-10-15,3.6667,3.7778,3.6111,3.6667,142601
1991-10-16,3.5556,3.7222,3.5000,3.7222,255600
1991-10-17,3.6111,3.7222,3.6111,3.6667,517500
1991-10-18,3.7222,3.7222,3.6111,3.6111,44100
1991-10-21,3.7222,3.7778,3.6111,3.7778,109800
1991-10-22,3.6667,3.8889,3.6667,3.8600,103001
1991-10-23,3.8889,3.8889,3.7222,3.7511,60300
1991-10-24,3.7222,3.8889,3.7222,3.8889,370301
1991-10-25,3.8889,3.8889,3.6667,3.6667,37301
1991-10-28,3.8889,3.8889,3.6667,3.8333,37800
1991-10-29,3.8889,3.8889,3.7222,3.7222,202001
1991-10-30,3.7222,3.8889,3.6667,3.6667,58500
1991-10-31,3.6667,3.8333,3.6667,3.6667,109301
1991-11-01,3.8889,3.8889,3.6667,3.8067,59801
1991-11-04,3.8333,3.8333,3.7222,3.7222,31001
1991-11-05,3.7222,3.7222,3.7222,3.7222,21600
1991-11-06,3.8333,3.8333,3.7222,3.7222,18900
1991-11-07,3.7222,3.8333,3.7222,3.7222,173700
1991-11-08,3.7222,3.8600,3.7222,3.8333,140801
1991-11-11,3.7222,3.8889,3.7222,3.8889,176400
1991-11-12,3.7778,3.9444,3.7778,3.9444,316800
1991-11-13,3.8333,4.0000,3.8333,4.0000,368501
1991-11-14,4.0000,4.0556,3.8889,3.9444,111600
1991-11-15,4.0556,4.0556,3.8889,3.8889,45000
1991-11-18,3.8333,4.0556,3.8333,3.8333,759600
1991-11-19,4.0000,4.0000,3.8333,3.8889,377501
1991-11-20,4.0000,4.0000,3.8333,3.9444,76901
1991-11-21,4.0000,4.0000,3.8333,3.8333,49901
1991-11-22,3.8333,3.9444,3.8333,3.8333,64800
1991-11-25,3.8333,3.8333,3.8333,3.8333,14400
1991-11-26,3.8333,3.9444,3.8333,3.8333,165101
1991-11-27,3.7778,3.9444,3.7778,3.9444,98100
1991-11-29,3.9444,3.9444,3.8333,3.8333,22001
1991-12-02,3.7778,3.8333,3.7778,3.7778,185400
1991-12-03,3.7778,3.9444,3.7778,3.8333,44501
1991-12-04,3.8333,3.8889,3.8333,3.8889,41801
1991-12-05,3.8333,3.9444,3.8333,3.9444,23801
1991-12-06,3.8889,3.9444,3.8333,3.8333,25601
1991-12-09,3.8600,3.9444,3.7778,3.7778,500801
1991-12-10,3.8333,3.8333,3.6111,3.7222,653801
1991-12-11,3.5556,3.6667,3.2778,3.2778,2127101
1991-12-12,3.4444,3.4444,3.3333,3.4178,304601
1991-12-13,3.5000,3.5000,3.3333,3.3333,727200
1991-12-16,3.3067,3.4444,3.2778,3.4444,236700
1991-12-17,3.3333,3.4444,3.3333,3.4444,314501
1991-12-18,3.3600,3.4444,3.2778,3.3889,139901
1991-12-19,3.3889,3.3889,3.2222,3.3889,60701
1991-12-20,3.4444,3.4444,3.2778,3.3889,429701
1991-12-23,3.3067,3.3889,3.2778,3.3333,364901
1991-12-24,3.3889,3.4444,3.2778,3.4444,891900
1991-12-26,3.3333,3.5556,3.3333,3.4444,205200
1991-12-27,3.4444,3.5556,3.4178,3.5556,206100
1991-12-30,3.5556,3.6111,3.4444,3.6111,285701
1991-12-31,3.6111,3.7222,3.5556,3.7222,326700
1992-01-02,3.6111,3.8333,3.6111,3.8333,172301
1992-01-03,3.8333,3.8889,3.7222,3.7778,256901
1992-01-06,3.7778,3.9444,3.7778,3.9444,108900
1992-01-07,3.8333,4.0556,3.8333,3.9444,106601
1992-01-08,4.0556,4.6111,3.9444,4.4444,272201
1992-01-09,4.6111,4.7778,4.5000,4.6111,902700
1992-01-10,4.7222,4.7222,4.5000,4.5000,374801
1992-01-13,4.6667,4.6667,4.5000,4.5000,119201
1992-01-14,4.6667,4.6667,4.4444,4.4444,86801
1992-01-15,4.4444,4.5556,4.3889,4.5556,185400
1992-01-16,4.5267,4.7778,4.5000,4.7778,1507500
1992-01-17,4.7778,4.7778,4.6667,4.6667,72401
1992-01-20,4.8600,4.9444,4.7222,4.7222,379301
1992-01-21,4.8889,4.8889,4.3889,4.5000,624101
1992-01-22,4.5556,4.7222,4.3889,4.7222,317700
1992-01-23,4.7222,4.7222,4.5556,4.5822,102101
