date,open,high,low,close,volume
1990-03-26,1.8386,1.8724,1.8386,1.8724,21600
1990-03-27,1.8967,1.8967,1.8967,1.8967,0
1990-03-28,1.8967,1.9137,1.8625,1.8967,46400
1990-03-29,1.9137,1.9137,1.8967,1.8967,26400
1990-03-30,1.8625,1.8625,1.8625,1.8625,800
1990-04-02,1.9055,1.9055,1.8967,1.8967,72000
1990-04-03,1.8967,1.8967,1.8967,1.8967,0
1990-04-04,1.9479,1.9479,1.8796,1.8796,65600
1990-04-05,1.9137,1.9137,1.8796,1.8796,98400
1990-04-06,1.8796,1.8796,1.8454,1.8454,285600
1990-04-09,1.8454,1.8454,1.8454,1.8454,10400
1990-04-10,1.8796,1.8796,1.8454,1.8454,6400
1990-04-11,1.8796,1.8967,1.8454,1.8967,171200
1990-04-12,1.8796,1.9137,1.8796,1.8796,53600
1990-04-16,1.8796,1.9055,1.8796,1.8967,33600
1990-04-17,1.8796,1.8967,1.8796,1.8796,72000
1990-04-18,1.9137,1.9219,1.8796,1.9137,258400
1990-04-19,1.9137,1.9137,1.8796,1.9055,441600
1990-04-20,1.9137,1.9137,1.8625,1.8796,124800
1990-04-23,1.8625,1.8967,1.8625,1.8967,18400
1990-04-24,1.8878,1.8878,1.8796,1.8796,16000
1990-04-25,1.8967,1.8967,1.8796,1.8878,1924800
1990-04-26,1.9821,1.9821,1.9821,1.9821,1600
1990-04-27,1.8967,1.9821,1.8967,1.9308,20000
1990-04-30,1.9821,2.0163,1.9821,2.0163,20000
1990-05-01,1.9308,2.0333,1.9308,1.9992,132000
1990-05-02,2.0333,2.0675,2.0163,2.0675,87200
1990-05-03,2.0163,2.0675,1.9821,1.9821,160000
1990-05-04,2.0504,2.0504,1.9821,1.9903,72800
1990-05-07,1.9821,1.9903,1.9821,1.9903,7200
1990-05-08,1.9821,1.9821,1.9821,1.9821,56800
1990-05-09,1.9821,1.9992,1.9137,1.9650,29600
1990-05-10,1.9137,1.9397,1.9137,1.9397,139200
1990-05-11,1.9397,1.9479,1.9137,1.9397,38400
1990-05-14,1.9397,1.9992,1.9137,1.9992,30400
