date,open,high,low,close,volume
1983-04-06,0.9479,0.9651,0.9378,0.9651,2465408
1983-04-07,0.9651,0.9857,0.9619,0.9857,2903104
1983-04-08,0.9857,0.9857,0.9720,0.9824,659696
1983-04-11,0.9824,0.9857,0.9687,0.9687,786800
1983-04-12,0.9720,0.9753,0.9515,0.9720,1030896
1983-04-13,0.9824,0.9961,0.9753,0.9788,1436400
1983-04-14,0.9857,1.0062,0.9824,1.0062,3419600
1983-04-15,1.0131,1.0131,0.9925,0.9994,528496
1983-04-18,0.9857,0.9961,0.9788,0.9961,2568208
1983-04-19,0.9788,0.9925,0.9720,0.9753,3191600
1983-04-20,0.9788,1.0062,0.9788,0.9994,1269008
1983-04-21,1.0062,1.0199,0.9890,0.9890,1392000
1983-04-22,0.9890,0.9961,0.9857,0.9890,879504
1983-04-25,0.9788,0.9925,0.9651,0.9651,1444496
1983-04-26,0.9824,0.9961,0.9651,0.9857,3601200
1983-04-27,0.9720,0.9857,0.9583,0.9619,1605904
1983-04-28,0.9687,0.9788,0.9583,0.9720,2162704
1983-04-29,0.9857,1.0062,0.9651,1.0062,1690608
1983-05-02,1.0062,1.0336,0.9925,1.0268,2937408
1983-05-03,1.0131,1.0300,1.0062,1.0268,2636800
1983-05-04,1.0336,1.0369,1.0268,1.0336,1724896
1983-05-05,1.0610,1.0780,1.0404,1.0747,3508304
1983-05-06,1.0747,1.1157,1.0747,1.1089,7874208
1983-05-09,1.1125,1.1431,1.0952,1.1396,2412896
1983-05-10,1.1500,1.1637,1.1431,1.1467,4367808
1983-05-11,1.1467,1.1568,1.1330,1.1363,2305904
1983-05-12,1.1363,1.1363,1.0815,1.0952,6579008
1983-05-13,1.0916,1.1020,1.0884,1.0988,2445104
1983-05-16,1.0952,1.0952,1.0678,1.0815,839200
1983-05-17,1.0714,1.0848,1.0541,1.0610,1511008
1983-05-18,1.0610,1.0780,1.0541,1.0780,2673104
1983-05-19,1.0678,1.0747,1.0574,1.0574,463904
1983-05-20,1.0645,1.0678,1.0610,1.0678,457904
1983-05-23,1.0610,1.0678,1.0541,1.0678,538608
1983-05-24,1.0610,1.0815,1.0541,1.0780,1735008
1983-05-25,1.0815,1.0884,1.0747,1.0815,373104
1983-05-26,1.0884,1.1157,1.0884,1.0916,4727008
1983-05-27,1.0884,1.0884,1.0610,1.0747,1769296
1983-05-31,1.0610,1.0747,1.0508,1.0610,326800
1983-06-01,1.0473,1.0678,1.0437,1.0645,2086096
1983-06-02,1.0780,1.0780,1.0574,1.0645,1168000
1983-06-03,1.0678,1.0747,1.0610,1.0714,593104
1983-06-06,1.0678,1.0747,1.0574,1.0645,419600
1983-06-07,1.0678,1.0714,1.0473,1.0473,2648896
1983-06-08,1.0404,1.0508,1.0336,1.0508,738304
1983-06-09,1.0541,1.0541,1.0473,1.0541,417600
1983-06-10,1.0541,1.0848,1.0473,1.0780,1430400
1983-06-13,1.0848,1.0952,1.0678,1.0952,857296
1983-06-14,1.0988,1.1056,1.0815,1.0884,677808
1983-06-15,1.0952,1.1431,1.0884,1.1431,1662400
1983-06-16,1.1637,1.2116,1.1601,1.2116,2231296
1983-06-17,1.1910,1.1979,1.1773,1.1877,899696
1983-06-20,1.2012,1.2184,1.1842,1.1842,790800
1983-06-21,1.1842,1.1842,1.1738,1.1842,934096
1983-06-22,1.1877,1.1979,1.1773,1.1946,3026208
1983-06-23,1.1979,1.2012,1.1773,1.1773,1214496
1983-06-24,1.1705,1.1705,1.1500,1.1568,984400
1983-06-27,1.1568,1.1568,1.1294,1.1294,542608
1983-06-28,1.1294,1.1467,1.1294,1.1396,437696
1983-06-29,1.1330,1.1396,1.1259,1.1363,171408
1983-06-30,1.1431,1.1601,1.1431,1.1568,423600
1983-07-01,1.1568,1.2047,1.1568,1.2012,1055104
1983-07-05,1.1910,1.1910,1.1363,1.1431,1545408
1983-07-06,1.1431,1.1705,1.1431,1.1669,540704
1983-07-07,1.1637,1.1842,1.1637,1.1773,641504
1983-07-08,1.1773,1.1946,1.1773,1.1773,463904
1983-07-11,1.1842,1.1910,1.1842,1.1910,468000
1983-07-12,1.1910,1.2012,1.1910,1.1910,1914496
1983-07-13,1.1946,1.1979,1.1705,1.1842,2529808
1983-07-14,1.1842,1.1910,1.1773,1.1773,3768608
1983-07-15,1.1705,1.1705,1.1500,1.1500,407408
1983-07-18,1.1363,1.1363,1.1226,1.1259,1099504
1983-07-19,1.1226,1.1259,1.0952,1.1089,1737008
1983-07-20,1.1226,1.2047,1.1226,1.2047,1129808
1983-07-21,1.2116,1.2116,1.1601,1.1637,1034896
1983-07-22,1.1738,1.1842,1.1637,1.1637,1087408
1983-07-25,1.1637,1.1637,1.1431,1.1500,353008
1983-07-26,1.1500,1.1601,1.1500,1.1568,615296
1983-07-27,1.1363,1.1773,1.0884,1.0952,2007408
1983-07-28,1.0952,1.1157,1.0884,1.0884,1262896
1983-07-29,1.0747,1.0780,1.0610,1.0678,3161408
1983-08-01,1.0678,1.0747,1.0541,1.0610,625296
1983-08-02,1.0678,1.0714,1.0610,1.0610,772704
1983-08-03,1.0610,1.0747,1.0541,1.0747,413600
1983-08-04,1.0747,1.0747,1.0473,1.0541,726208
1983-08-05,1.0473,1.0473,1.0268,1.0404,1289104
1983-08-08,1.0300,1.0300,1.0131,1.0131,1079296
1983-08-09,1.0131,1.0199,0.9788,0.9857,3338896
1983-08-10,0.9857,0.9925,0.9788,0.9925,1133808
1983-08-11,0.9994,1.0062,0.9994,0.9994,1847904
1983-08-12,1.0062,1.0062,0.9961,0.9994,260096
1983-08-15,1.0095,1.0095,0.9961,0.9961,562800
1983-08-16,0.9890,0.9961,0.9857,0.9925,2445104
1983-08-17,0.9857,1.0095,0.9857,1.0095,1714800
1983-08-18,1.0131,1.0199,0.9961,0.9961,885600
1983-08-19,0.9890,1.0199,0.9890,1.0095,593104
1983-08-22,1.0166,1.0268,1.0131,1.0131,375200
1983-08-23,1.0131,1.0131,1.0027,1.0062,92704
1983-08-24,0.9788,0.9925,0.9720,0.9925,1028896
1983-08-25,0.9925,0.9925,0.9753,0.9824,203696
1983-08-26,0.9890,0.9925,0.9788,0.9857,679904
1983-08-29,0.9753,0.9890,0.9753,0.9890,363104
1983-08-30,0.9788,0.9857,0.9720,0.9788,1535296
1983-08-31,0.9788,0.9925,0.9753,0.9788,2507696
1983-09-01,0.9857,0.9994,0.9857,0.9857,2334208
1983-09-02,0.9857,1.0062,0.9857,0.9994,1648208
1983-09-06,1.0131,1.0473,1.0131,1.0437,1868208
1983-09-07,1.0508,1.0884,1.0508,1.0884,2844704
1983-09-08,1.0884,1.0916,1.0747,1.0780,2326096
1983-09-09,1.0645,1.0780,1.0610,1.0610,1178208
1983-09-12,1.0645,1.0645,1.0404,1.0508,1242800
1983-09-13,1.0437,1.0437,1.0268,1.0404,534496
1983-09-14,1.0336,1.0404,1.0199,1.0404,913808
1983-09-15,1.0404,1.0404,1.0235,1.0300,252208
1983-09-16,1.0300,1.0300,1.0131,1.0268,336896
1983-09-19,1.0300,1.0437,1.0199,1.0369,984400
1983-09-20,1.0437,1.0508,1.0404,1.0437,1724896
1983-09-21,1.0437,1.0473,1.0131,1.0268,1014704
1983-09-22,1.0336,1.0369,1.0131,1.0300,1478800
1983-09-23,1.0336,1.0336,1.0131,1.0268,1878208
1983-09-26,1.0300,1.0336,1.0131,1.0199,1535296
1983-09-27,1.0268,1.0268,1.0166,1.0166,1367808
1983-09-28,1.0095,1.0199,1.0062,1.0131,415504
1983-09-29,1.0062,1.0131,0.9994,1.0027,403408
1983-09-30,1.0095,1.0095,0.9925,0.9925,613200
1983-10-03,0.9925,1.0062,0.9857,1.0062,944096
1983-10-04,1.0062,1.0199,1.0062,1.0199,2703408
1983-10-05,1.0268,1.0300,1.0166,1.0235,679904
1983-10-06,1.0131,1.0645,1.0131,1.0574,1355808
1983-10-07,1.0645,1.0678,1.0508,1.0610,1498896
1983-10-10,1.0645,1.0747,1.0645,1.0678,80608
1983-10-11,1.0747,1.0884,1.0714,1.0714,522496
1983-10-12,1.0714,1.0884,1.0645,1.0678,1266896
1983-10-13,1.0678,1.0780,1.0574,1.0610,907808
1983-10-14,1.0610,1.0884,1.0610,1.0848,603200
1983-10-17,1.0815,1.0884,1.0780,1.0884,472000
1983-10-18,1.0952,1.0952,1.0541,1.0678,2993904
1983-10-19,1.0541,1.0541,1.0336,1.0404,1448496
1983-10-20,1.0404,1.0473,1.0404,1.0404,1521104
1983-10-21,1.0404,1.0508,1.0369,1.0369,1176096
1983-10-24,1.0199,1.0199,1.0062,1.0131,1218496
1983-10-25,1.0199,1.0199,1.0062,1.0095,750496
1983-10-26,1.0095,1.0199,1.0095,1.0166,649600
1983-10-27,1.0095,1.0095,0.9994,1.0062,1793504
1983-10-28,0.9994,1.0062,0.9925,0.9925,3375200
1983-10-31,0.9925,0.9925,0.9446,0.9583,3439808
1983-11-01,0.9583,0.9583,0.9241,0.9446,5047696
1983-11-02,0.9446,0.9651,0.9309,0.9619,843200
1983-11-03,0.9515,0.9619,0.9378,0.9446,2889008
1983-11-04,0.9446,0.9479,0.9446,0.9446,570896
1983-11-07,0.9446,0.9446,0.9345,0.9446,1196304
1983-11-08,0.9378,0.9547,0.9378,0.9446,538608
1983-11-09,0.9515,0.9720,0.9515,0.9687,359008
1983-11-10,0.9753,0.9753,0.9619,0.9720,1010704
1983-11-11,0.9720,0.9788,0.9583,0.9651,516400
1983-11-14,0.9583,0.9583,0.9309,0.9378,6516400
1983-11-15,0.9446,0.9515,0.9378,0.9378,2804208
1983-11-16,0.9446,0.9583,0.8693,0.9479,2598496
1983-11-17,0.9547,0.9687,0.9515,0.9651,1460704
1983-11-18,0.9619,0.9651,0.9515,0.9619,1141808
1983-11-21,0.9583,0.9651,0.9515,0.9619,920000
1983-11-22,0.9651,0.9788,0.9583,0.9583,734304
1983-11-23,0.9651,0.9753,0.9583,0.9720,1573600
1983-11-25,0.9788,0.9788,0.9583,0.9583,1121696
1983-11-28,0.9583,0.9687,0.9583,0.9687,673808
1983-11-29,0.9583,0.9687,0.9547,0.9687,1297200
1983-11-30,0.9753,0.9824,0.9687,0.9687,1228608
1983-12-01,0.9753,0.9788,0.9687,0.9687,197600
1983-12-02,0.9824,0.9824,0.9651,0.9687,272304
1983-12-05,0.9788,0.9994,0.9788,0.9925,2765904
1983-12-06,0.9994,0.9994,0.9890,0.9961,2116304
1983-12-07,0.9961,0.9994,0.9925,0.9961,942096
1983-12-08,1.0027,1.0027,0.9788,0.9788,2893104
1983-12-09,0.9788,0.9890,0.9753,0.9890,1634096
1983-12-12,0.9857,0.9890,0.9788,0.9824,1285104
1983-12-13,0.9788,0.9857,0.9720,0.9857,1456608
1983-12-14,0.9788,0.9824,0.9720,0.9720,764608
1983-12-15,0.9788,0.9788,0.9276,0.9345,9310608
1983-12-16,0.9345,0.9413,0.9172,0.9172,1664400
1983-12-19,0.9205,0.9276,0.9172,0.9276,1648208
1983-12-20,0.9309,0.9378,0.9241,0.9309,3558800
1983-12-21,0.9378,0.9479,0.9345,0.9446,1047008
1983-12-22,0.9446,0.9446,0.9309,0.9309,2039600
1983-12-23,0.9241,0.9413,0.9104,0.9241,395296
1983-12-27,0.9309,0.9583,0.9309,0.9583,1345600
1983-12-28,0.9515,0.9651,0.9515,0.9583,359008
1983-12-29,0.9651,0.9687,0.9446,0.9547,746400
1983-12-30,0.9651,0.9720,0.9619,0.9720,183504
1984-01-03,0.9788,0.9994,0.9651,0.9720,2372496
1984-01-04,0.9720,0.9720,0.9583,0.9583,2533904
1984-01-05,0.9583,0.9857,0.9583,0.9857,1674400
1984-01-06,0.9857,0.9994,0.9857,0.9994,1825808
1984-01-09,0.9925,0.9925,0.9788,0.9857,579008
1984-01-10,0.9788,0.9925,0.9788,0.9925,2354304
1984-01-11,0.9961,0.9994,0.9687,0.9994,807008
1984-01-12,0.9994,1.0199,0.9961,1.0199,839200
1984-01-13,1.0131,1.0199,1.0095,1.0166,869504
1984-01-16,1.0166,1.0166,1.0062,1.0131,899696
1984-01-17,1.0131,1.0336,1.0131,1.0336,1149904
1984-01-18,1.0404,1.0541,1.0404,1.0473,1755200
1984-01-19,1.0437,1.0541,1.0404,1.0473,1107600
1984-01-20,1.0437,1.0473,1.0336,1.0404,2314000
1984-01-23,1.0404,1.0404,1.0131,1.0199,1045008
1984-01-24,1.0199,1.0369,1.0199,1.0336,857296
1984-01-25,1.0336,1.0369,1.0062,1.0062,2620608
1984-01-26,0.9994,1.0062,0.9925,0.9994,589104
1984-01-27,0.9925,0.9925,0.9824,0.9857,328800
1984-01-30,0.9788,0.9788,0.9651,0.9753,796800
1984-01-31,0.9687,0.9824,0.9651,0.9824,613200
1984-02-01,0.9788,0.9824,0.9687,0.9687,411504
1984-02-02,0.9687,0.9788,0.9687,0.9788,1295200
1984-02-03,0.9753,0.9788,0.9720,0.9753,320704
1984-02-06,0.9753,0.9753,0.9515,0.9547,2586304
1984-02-07,0.9446,0.9547,0.9378,0.9515,2241296
1984-02-08,0.9515,0.9583,0.9479,0.9515,1194208
1984-02-09,0.9515,0.9583,0.9446,0.9479,2259504
1984-02-10,0.9479,0.9651,0.9479,0.9583,7234704
1984-02-13,0.9479,0.9547,0.9446,0.9515,609296
1984-02-14,0.9515,0.9720,0.9479,0.9583,2031504
1984-02-15,0.9651,0.9651,0.9345,0.9378,1260896
1984-02-16,0.9309,0.9309,0.8899,0.9172,12825104
1984-02-17,0.9172,0.9309,0.9003,0.9003,3282400
1984-02-21,0.8934,0.8967,0.8830,0.8934,1458608
1984-02-22,0.8830,0.8830,0.8488,0.8556,2142608
1984-02-23,0.8625,0.8625,0.8488,0.8589,1277008
1984-02-24,0.8830,0.8934,0.8625,0.8934,1795504
1984-02-27,0.9003,0.9137,0.8830,0.8899,270304
1984-02-28,0.8899,0.8899,0.8658,0.8693,1874208
1984-02-29,0.8830,0.8967,0.8762,0.8762,1664400
