date,open,high,low,close,volume
1984-09-07,0.2039,0.2054,0.2025,0.2032,3481600
1984-09-10,0.2032,0.2054,0.2025,0.2025,7257600
1984-09-11,0.2061,0.2083,0.2061,0.2061,12249600
1984-09-12,0.2083,0.2083,0.2083,0.2083,21196800
1984-09-13,0.2098,0.2113,0.2098,0.2098,3443200
1984-09-14,0.2098,0.2113,0.2061,0.2061,870400
1984-09-17,0.2061,0.2061,0.2054,0.2054,883200
1984-09-18,0.2054,0.2083,0.2039,0.2039,11673600
1984-09-19,0.2032,0.2032,0.1878,0.1878,2969600
1984-09-20,0.1878,0.1893,0.1863,0.1863,12864000
1984-09-21,0.1849,0.1849,0.1819,0.1819,3174400
1984-09-24,0.1819,0.1819,0.1761,0.1761,1894400
1984-09-25,0.1761,0.1761,0.1710,0.1710,2342400
1984-09-26,0.1710,0.1710,0.1710,0.1710,6886400
1984-09-27,0.1710,0.1731,0.1710,0.1710,1715200
1984-09-28,0.1710,0.1710,0.1702,0.1710,1036800
1984-10-01,0.1710,0.1710,0.1629,0.1629,2547200
1984-10-02,0.1629,0.1643,0.1585,0.1585,2572800
1984-10-03,0.1592,0.1614,0.1592,0.1592,7756800
1984-10-04,0.1614,0.1643,0.1614,0.1614,3904000
1984-10-05,0.1614,0.1629,0.1592,0.1614,230400
1984-10-08,0.1614,0.1629,0.1585,0.1585,524800
1984-10-09,0.1585,0.1621,0.1585,0.1585,2316800
1984-10-10,0.1585,0.1592,0.1570,0.1570,20736000
1984-10-11,0.1570,0.1570,0.1570,0.1570,4032000
1984-10-12,0.1585,0.1629,0.1585,0.1629,5811200
1984-10-15,0.1629,0.1629,0.1629,0.1629,2201600
1984-10-16,0.1629,0.1629,0.1614,0.1614,627200
1984-10-17,0.1614,0.1614,0.1614,0.1614,768000
1984-10-18,0.1629,0.1643,0.1629,0.1629,6348800
1984-10-19,0.1643,0.1702,0.1643,0.1673,14297600
1984-10-22,0.1731,0.1731,0.1731,0.1731,19264000
1984-10-23,0.1702,0.1702,0.1702,0.1702,2227200
1984-10-24,0.1695,0.1695,0.1629,0.1629,2291200
1984-10-25,0.1614,0.1614,0.1452,0.1452,9241600
1984-10-26,0.1452,0.1467,0.1342,0.1350,16806400
1984-10-29,0.1357,0.1357,0.1357,0.1357,6284800
1984-10-30,0.1423,0.1423,0.1423,0.1423,8960000
1984-10-31,0.1423,0.1438,0.1408,0.1408,12620800
1984-11-01,0.1408,0.1408,0.1394,0.1394,8281600
1984-11-02,0.1394,0.1394,0.1306,0.1335,14259200
1984-11-05,0.1335,0.1335,0.1335,0.1335,6822400
1984-11-06,0.1357,0.1357,0.1357,0.1357,21811200
1984-11-07,0.1379,0.1394,0.1379,0.1379,19046400
1984-11-08,0.1438,0.1452,0.1438,0.1438,12480000
1984-11-09,0.1438,0.1496,0.1423,0.1475,6374400
1984-11-12,0.1475,0.1496,0.1475,0.1475,2073600
1984-11-13,0.1475,0.1475,0.1394,0.1394,2201600
1984-11-14,0.1408,0.1408,0.1408,0.1408,1484800
1984-11-15,0.1408,0.1423,0.1379,0.1379,2854400
1984-11-16,0.1379,0.1408,0.1335,0.1335,3033600
1984-11-19,0.1342,0.1357,0.1342,0.1342,6912000
1984-11-20,0.1342,0.1357,0.1335,0.1335,8179200
1984-11-21,0.1357,0.1357,0.1357,0.1357,332800
1984-11-23,0.1357,0.1408,0.1335,0.1379,13900800
1984-11-26,0.1379,0.1408,0.1379,0.1379,9446400
1984-11-27,0.1379,0.1408,0.1379,0.1379,6412800
1984-11-28,0.1394,0.1408,0.1394,0.1394,4288000
1984-11-29,0.1408,0.1408,0.1408,0.1408,2611200
1984-11-30,0.1408,0.1408,0.1394,0.1408,3059200
1984-12-03,0.1423,0.1452,0.1423,0.1423,23065600
1984-12-04,0.1423,0.1452,0.1423,0.1423,6284800
1984-12-05,0.1423,0.1438,0.1423,0.1423,5529600
1984-12-06,0.1423,0.1423,0.1408,0.1408,13632000
1984-12-07,0.1408,0.1423,0.1394,0.1408,6067200
1984-12-10,0.1408,0.1408,0.1394,0.1394,3225600
1984-12-11,0.1408,0.1438,0.1408,0.1408,9318400
1984-12-12,0.1423,0.1423,0.1423,0.1423,4672000
1984-12-13,0.1423,0.1423,0.1408,0.1408,1638400
1984-12-14,0.1408,0.1408,0.1394,0.1394,857600
1984-12-17,0.1394,0.1394,0.1350,0.1350,2227200
1984-12-18,0.1408,0.1423,0.1408,0.1408,15475200
1984-12-19,0.1467,0.1519,0.1467,0.1467,16524800
1984-12-20,0.1467,0.1475,0.1467,0.1467,2982400
1984-12-21,0.1467,0.1475,0.1452,0.1475,5043200
1984-12-24,0.1475,0.1496,0.1467,0.1467,2304000
1984-12-26,0.1482,0.1504,0.1482,0.1482,3366400
1984-12-27,0.1496,0.1511,0.1496,0.1496,486400
1984-12-28,0.1496,0.1511,0.1475,0.1511,2124800
1984-12-31,0.1585,0.1585,0.1585,0.1585,2291200
1985-01-02,0.1585,0.1585,0.1541,0.1541,7052800
1985-01-03,0.1541,0.1555,0.1541,0.1541,512000
1985-01-04,0.1541,0.1555,0.1511,0.1526,422400
1985-01-07,0.1496,0.1496,0.1496,0.1496,4403200
1985-01-08,0.1496,0.1511,0.1496,0.1496,1612800
1985-01-09,0.1526,0.1555,0.1526,0.1526,6438400
1985-01-10,0.1570,0.1570,0.1570,0.1570,780800
1985-01-11,0.1570,0.1629,0.1555,0.1592,3392000
1985-01-14,0.1629,0.1643,0.1629,0.1629,11072000
1985-01-15,0.1673,0.1702,0.1673,0.1673,5504000
1985-01-16,0.1731,0.1761,0.1731,0.1731,11212800
1985-01-17,0.1746,0.1761,0.1746,0.1746,1881600
1985-01-18,0.1746,0.1805,0.1746,0.1775,3328000
1985-01-21,0.1790,0.1805,0.1790,0.1790,2393600
1985-01-22,0.1790,0.1798,0.1790,0.1790,5222400
1985-01-23,0.1819,0.1849,0.1819,0.1819,10752000
1985-01-24,0.1878,0.1878,0.1878,0.1878,6604800
1985-01-25,0.1878,0.1893,0.1863,0.1893,2649600
1985-01-28,0.1893,0.1907,0.1893,0.1893,7974400
1985-01-29,0.1907,0.1922,0.1907,0.1907,8588800
1985-01-30,0.1995,0.1995,0.1995,0.1995,8448000
1985-01-31,0.2054,0.2061,0.2054,0.2054,25126400
1985-02-01,0.2054,0.2054,0.2025,0.2039,8012800
1985-02-04,0.2039,0.2039,0.1995,0.1995,1971200
1985-02-05,0.2054,0.2061,0.2054,0.2054,13094400
1985-02-06,0.2083,0.2083,0.2083,0.2083,14220800
1985-02-07,0.2083,0.2098,0.2061,0.2061,45184000
1985-02-08,0.2061,0.2113,0.2054,0.2098,17024000
1985-02-11,0.2098,0.2098,0.2054,0.2054,6694400
1985-02-12,0.2054,0.2054,0.1995,0.1995,13171200
1985-02-13,0.1995,0.1995,0.1944,0.1944,5939200
1985-02-14,0.1981,0.1995,0.1981,0.1981,11968000
1985-02-15,0.1981,0.1981,0.1863,0.1863,6028800
1985-02-19,0.1863,0.1878,0.1863,0.1863,3481600
1985-02-20,0.1863,0.1893,0.1863,0.1863,6924800
1985-02-21,0.1863,0.1893,0.1790,0.1790,13721600
1985-02-22,0.1790,0.1826,0.1775,0.1805,16678400
1985-02-25,0.1805,0.1805,0.1761,0.1761,4198400
1985-02-26,0.1761,0.1761,0.1746,0.1746,8627200
1985-02-27,0.1746,0.1761,0.1739,0.1739,3532800
1985-02-28,0.1739,0.1761,0.1731,0.1731,2918400
1985-03-01,0.1731,0.1731,0.1673,0.1702,6617600
1985-03-04,0.1702,0.1710,0.1687,0.1687,5222400
1985-03-05,0.1687,0.1710,0.1658,0.1658,5312000
1985-03-06,0.1658,0.1673,0.1585,0.1585,8537600
1985-03-07,0.1585,0.1592,0.1570,0.1570,11788800
1985-03-08,0.1570,0.1673,0.1570,0.1673,13568000
1985-03-11,0.1673,0.1702,0.1629,0.1629,9984000
1985-03-12,0.1673,0.1673,0.1673,0.1673,4876800
1985-03-13,0.1673,0.1673,0.1555,0.1555,18393600
1985-03-14,0.1585,0.1614,0.1585,0.1585,7500800
1985-03-15,0.1585,0.1614,0.1577,0.1614,5324800
1985-03-18,0.1658,0.1658,0.1658,0.1658,4761600
1985-03-19,0.1710,0.1746,0.1710,0.1710,13670400
1985-03-20,0.1710,0.1731,0.1673,0.1673,4889600
1985-03-21,0.1702,0.1702,0.1702,0.1702,2304000
1985-03-22,0.1702,0.1710,0.1702,0.1702,5568000
1985-03-25,0.1702,0.1710,0.1614,0.1614,9292800
1985-03-26,0.1614,0.1629,0.1570,0.1570,6604800
1985-03-27,0.1585,0.1592,0.1585,0.1585,2700800
1985-03-28,0.1592,0.1592,0.1592,0.1592,3328000
1985-03-29,0.1592,0.1629,0.1585,0.1614,1612800
1985-04-01,0.1614,0.1614,0.1614,0.1614,512000
1985-04-02,0.1614,0.1643,0.1614,0.1614,2560000
1985-04-03,0.1614,0.1643,0.1570,0.1570,1804800
1985-04-04,0.1570,0.1585,0.1563,0.1585,1868800
1985-04-08,0.1585,0.1592,0.1570,0.1570,1228800
1985-04-09,0.1570,0.1592,0.1570,0.1570,1932800
1985-04-10,0.1570,0.1585,0.1555,0.1555,1113600
1985-04-11,0.1555,0.1570,0.1555,0.1555,3494400
1985-04-12,0.1555,0.1585,0.1555,0.1555,3008000
1985-04-15,0.1555,0.1570,0.1511,0.1511,5875200
1985-04-16,0.1511,0.1511,0.1511,0.1511,3353600
1985-04-17,0.1526,0.1526,0.1526,0.1526,13209600
1985-04-18,0.1555,0.1585,0.1555,0.1555,5363200
1985-04-19,0.1555,0.1570,0.1541,0.1541,1024000
1985-04-22,0.1541,0.1555,0.1526,0.1526,2777600
1985-04-23,0.1526,0.1541,0.1467,0.1467,6464000
1985-04-24,0.1475,0.1475,0.1475,0.1475,2892800
1985-04-25,0.1467,0.1467,0.1438,0.1438,10432000
1985-04-26,0.1438,0.1467,0.1423,0.1438,6681600
1985-04-29,0.1408,0.1408,0.1335,0.1335,2214400
1985-04-30,0.1350,0.1350,0.1350,0.1350,2508800
1985-05-01,0.1394,0.1408,0.1394,0.1394,7680000
1985-05-02,0.1394,0.1408,0.1357,0.1357,4032000
1985-05-03,0.1357,0.1408,0.1357,0.1408,3430400
1985-05-06,0.1408,0.1408,0.1350,0.1350,2406400
1985-05-07,0.1379,0.1394,0.1379,0.1379,12582400
1985-05-08,0.1379,0.1408,0.1364,0.1364,1024000
1985-05-09,0.1423,0.1438,0.1423,0.1423,3558400
1985-05-10,0.1423,0.1475,0.1423,0.1475,9011200
1985-05-13,0.1496,0.1496,0.1496,0.1496,8896000
1985-05-14,0.1511,0.1526,0.1511,0.1511,7936000
1985-05-15,0.1511,0.1526,0.1511,0.1511,1740800
1985-05-16,0.1511,0.1541,0.1511,0.1511,742400
1985-05-17,0.1511,0.1585,0.1511,0.1570,6656000
1985-05-20,0.1658,0.1687,0.1658,0.1658,15974400
1985-05-21,0.1658,0.1658,0.1585,0.1585,3635200
1985-05-22,0.1585,0.1585,0.1541,0.1541,14720000
1985-05-23,0.1541,0.1555,0.1541,0.1541,5004800
1985-05-24,0.1555,0.1555,0.1555,0.1555,1587200
1985-05-28,0.1555,0.1555,0.1555,0.1555,6835200
1985-05-29,0.1555,0.1555,0.1541,0.1541,1664000
1985-05-30,0.1541,0.1570,0.1511,0.1511,16614400
1985-05-31,0.1511,0.1526,0.1496,0.1496,11430400
1985-06-03,0.1496,0.1496,0.1452,0.1452,7270400
1985-06-04,0.1452,0.1452,0.1408,0.1408,7232000
1985-06-05,0.1408,0.1408,0.1394,0.1394,38796800
1985-06-06,0.1394,0.1408,0.1350,0.1350,8102400
1985-06-07,0.1350,0.1357,0.1350,0.1350,2419200
1985-06-10,0.1350,0.1350,0.1350,0.1350,8000000
1985-06-11,0.1350,0.1350,0.1335,0.1335,1830400
1985-06-12,0.1335,0.1335,0.1232,0.1232,2982400
1985-06-13,0.1232,0.1232,0.1188,0.1188,5440000
1985-06-14,0.1203,0.1203,0.1203,0.1203,8179200
1985-06-17,0.1203,0.1203,0.1188,0.1188,5196800
1985-06-18,0.1203,0.1203,0.1203,0.1203,3955200
1985-06-19,0.1232,0.1232,0.1232,0.1232,7488000
1985-06-20,0.1262,0.1262,0.1262,0.1262,2368000
1985-06-21,0.1335,0.1335,0.1335,0.1335,8704000
1985-06-24,0.1379,0.1379,0.1379,0.1379,7526400
1985-06-25,0.1379,0.1423,0.1379,0.1379,17228800
1985-06-26,0.1379,0.1394,0.1357,0.1357,1932800
1985-06-27,0.1291,0.1291,0.1218,0.1218,44633600
1985-06-28,0.1232,0.1240,0.1232,0.1232,10035200
1985-07-01,0.1240,0.1240,0.1240,0.1240,19507200
1985-07-02,0.1276,0.1291,0.1276,0.1276,18675200
1985-07-03,0.1291,0.1291,0.1291,0.1291,11161600
1985-07-05,0.1291,0.1291,0.1291,0.1291,2611200
1985-07-08,0.1291,0.1306,0.1276,0.1276,2176000
1985-07-09,0.1320,0.1320,0.1320,0.1320,3801600
1985-07-10,0.1320,0.1335,0.1320,0.1320,4377600
1985-07-11,0.1335,0.1335,0.1335,0.1335,12505600
1985-07-12,0.1335,0.1335,0.1335,0.1335,8358400
1985-07-15,0.1335,0.1335,0.1335,0.1335,3430400
1985-07-16,0.1335,0.1335,0.1320,0.1320,1676800
1985-07-17,0.1357,0.1357,0.1357,0.1357,5952000
1985-07-18,0.1357,0.1357,0.1357,0.1357,2240000
1985-07-19,0.1379,0.1379,0.1379,0.1379,2009600
1985-07-22,0.1408,0.1408,0.1408,0.1408,5312000
1985-07-23,0.1408,0.1475,0.1408,0.1408,5811200
1985-07-24,0.1408,0.1438,0.1408,0.1408,870400
1985-07-25,0.1423,0.1438,0.1423,0.1423,4684800
1985-07-26,0.1423,0.1452,0.1423,0.1423,4851200
1985-07-29,0.1408,0.1408,0.1379,0.1379,11827200
1985-07-30,0.1423,0.1452,0.1423,0.1423,3366400
1985-07-31,0.1467,0.1475,0.1467,0.1467,4505600
1985-08-01,0.1475,0.1475,0.1475,0.1475,8345600
1985-08-02,0.1475,0.1496,0.1475,0.1475,1676800
1985-08-05,0.1475,0.1496,0.1467,0.1467,6003200
1985-08-06,0.1467,0.1475,0.1452,0.1452,2764800
1985-08-07,0.1452,0.1467,0.1452,0.1452,4313600
1985-08-08,0.1452,0.1467,0.1452,0.1452,256000
1985-08-09,0.1452,0.1467,0.1452,0.1452,1024000
1985-08-12,0.1452,0.1467,0.1423,0.1423,4019200
1985-08-13,0.1423,0.1438,0.1357,0.1357,4172800
1985-08-14,0.1350,0.1350,0.1350,0.1350,1625600
1985-08-15,0.1350,0.1350,0.1276,0.1276,2393600
1985-08-16,0.1276,0.1276,0.1240,0.1240,1472000
1985-08-19,0.1232,0.1232,0.1188,0.1188,7628800
1985-08-20,0.1232,0.1232,0.1232,0.1232,5017600
1985-08-21,0.1232,0.1240,0.1232,0.1232,1241600
1985-08-22,0.1232,0.1232,0.1218,0.1218,6912000
1985-08-23,0.1218,0.1218,0.1203,0.1203,4249600
1985-08-26,0.1306,0.1306,0.1306,0.1306,3648000
1985-08-27,0.1306,0.1335,0.1291,0.1291,2406400
1985-08-28,0.1291,0.1306,0.1291,0.1291,268800
1985-08-29,0.1291,0.1306,0.1291,0.1291,217600
1985-08-30,0.1291,0.1306,0.1291,0.1291,576000
1985-09-03,0.1335,0.1335,0.1335,0.1335,1292800
1985-09-04,0.1335,0.1335,0.1306,0.1306,6105600
1985-09-05,0.1291,0.1291,0.1291,0.1291,268800
1985-09-06,0.1320,0.1320,0.1320,0.1320,2176000
1985-09-09,0.1320,0.1320,0.1320,0.1320,716800
1985-09-10,0.1320,0.1350,0.1306,0.1306,2073600
1985-09-11,0.1306,0.1306,0.1232,0.1232,10969600
1985-09-12,0.1232,0.1232,0.1203,0.1203,1318400
1985-09-13,0.1203,0.1218,0.1203,0.1203,2982400
1985-09-16,0.1203,0.1203,0.1122,0.1122,4300800
1985-09-17,0.1122,0.1144,0.1115,0.1115,3225600
1985-09-18,0.1144,0.1159,0.1144,0.1144,4582400
1985-09-19,0.1203,0.1203,0.1203,0.1203,4108800
1985-09-20,0.1232,0.1240,0.1232,0.1232,2752000
1985-09-23,0.1232,0.1240,0.1232,0.1232,512000
1985-09-24,0.1232,0.1240,0.1188,0.1188,2880000
1985-09-25,0.1188,0.1188,0.1115,0.1115,8064000
1985-09-26,0.1115,0.1122,0.1115,0.1115,8243200
1985-09-27,0.1115,0.1122,0.1115,0.1115,256000
1985-09-30,0.1115,0.1115,0.1115,0.1115,3840000
1985-10-01,0.1144,0.1159,0.1144,0.1144,1651200
1985-10-02,0.1174,0.1174,0.1174,0.1174,1830400
1985-10-03,0.1144,0.1144,0.1122,0.1122,1139200
1985-10-04,0.1122,0.1122,0.1100,0.1100,2803200
1985-10-07,0.1100,0.1115,0.1056,0.1056,6796800
1985-10-08,0.1056,0.1056,0.1056,0.1056,5350400
1985-10-09,0.1071,0.1071,0.1071,0.1071,21952000
1985-10-10,0.1086,0.1086,0.1086,0.1086,5657600
1985-10-11,0.1086,0.1100,0.1086,0.1086,9088000
1985-10-14,0.1122,0.1122,0.1122,0.1122,4518400
1985-10-15,0.1122,0.1144,0.1122,0.1122,5862400
1985-10-16,0.1122,0.1122,0.1100,0.1100,4544000
1985-10-17,0.1100,0.1115,0.1100,0.1100,806400
1985-10-18,0.1115,0.1115,0.1115,0.1115,972800
1985-10-21,0.1115,0.1115,0.1071,0.1071,2470400
1985-10-22,0.1071,0.1100,0.1071,0.1071,9228800
1985-10-23,0.1100,0.1115,0.1100,0.1100,4441600
1985-10-24,0.1188,0.1218,0.1188,0.1188,11430400
1985-10-25,0.1188,0.1218,0.1188,0.1188,1446400
1985-10-28,0.1188,0.1188,0.1174,0.1174,7577600
1985-10-29,0.1188,0.1203,0.1188,0.1188,2188800
