date,open,high,low,close,volume
1995-03-16,1.9293,1.9877,1.8513,1.9293,1319673
1995-03-17,1.9386,1.9386,1.8513,1.8607,990522
1995-03-20,1.8513,1.8607,1.8123,1.8513,412127
1995-03-21,1.8513,1.9589,1.8318,1.9386,473132
1995-03-22,1.9488,2.3190,1.9488,2.1733,1051280
1995-03-23,2.1530,2.2115,2.1140,2.1241,490982
1995-03-24,2.1436,2.1530,2.0953,2.1343,118248
1995-03-27,2.1241,2.1631,2.0953,2.1631,145828
1995-03-28,2.1733,2.3190,2.1631,2.2317,807142
1995-03-29,2.2606,2.3097,2.2021,2.2411,295292
1995-03-30,2.2216,2.2216,2.0563,2.1140,174574
1995-03-31,2.0852,2.1920,2.0563,2.1920,265681
1995-04-03,2.1826,2.1826,2.1140,2.1436,185285
1995-04-04,2.1343,2.1436,1.9979,2.0174,152540
1995-04-05,2.0174,2.0174,1.9488,1.9682,280703
1995-04-06,1.9877,2.0174,1.9682,1.9682,152292
1995-04-07,1.9682,1.9979,1.9386,1.9682,89993
1995-04-10,1.9682,2.1047,1.9386,2.0657,172854
1995-04-11,2.0657,2.0953,2.0462,2.0657,140778
1995-04-12,2.0750,2.1195,2.0750,2.1047,238165
1995-04-13,2.1241,2.1241,2.0462,2.0657,45118
1995-04-17,2.0462,2.0852,1.9979,1.9979,57739
1995-04-18,1.9979,2.0267,1.9386,1.9589,77989
1995-04-19,1.9589,1.9776,1.9386,1.9386,101940
1995-04-20,1.9488,1.9776,1.9386,1.9386,98367
1995-04-21,1.9682,1.9776,1.9682,1.9776,37673
1995-04-24,1.9776,2.2411,1.9776,2.2216,329641
1995-04-25,2.1920,2.2115,2.1343,2.1343,73742
1995-04-26,2.1343,2.2317,2.1343,2.2115,156291
1995-04-27,2.2021,2.2411,2.1920,2.2216,129883
1995-04-28,2.2115,2.2115,2.1047,2.1343,61248
1995-05-01,2.1530,2.1530,2.1140,2.1241,61496
1995-05-02,2.1530,2.1530,2.1140,2.1343,20435
1995-05-03,2.1140,2.2021,2.1140,2.1920,115911
1995-05-04,2.2021,2.4165,2.2021,2.3284,505323
1995-05-05,2.3284,2.4071,2.3284,2.3580,141332
1995-05-08,2.3486,2.4258,2.3385,2.3970,90917
1995-05-09,2.3970,2.3970,2.3097,2.3284,154075
1995-05-10,2.2995,2.2995,2.2411,2.2504,253308
1995-05-11,2.2707,2.2707,2.2021,2.2021,56199
1995-05-12,2.2021,2.3775,2.2021,2.3284,143549
1995-05-15,2.3580,2.4165,2.3385,2.3970,106862
1995-05-16,2.3868,2.4071,2.3775,2.3970,40195
1995-05-17,2.5038,2.6698,2.4749,2.6402,414712
