date,open,high,low,close,volume
2005-08-05,6.6000,15.1210,6.0000,12.2540,226811000
2005-08-08,13.7750,15.3980,11.5240,11.5500,154889000
2005-08-09,12.0500,12.5300,9.5690,9.6100,86677000
2005-08-10,10.1000,10.3500,8.8300,9.1750,49638000
2005-08-11,9.1200,10.0500,9.0600,9.7900,73248000
2005-08-12,9.8000,9.9750,9.4580,9.5000,29949000
2005-08-15,9.6750,9.7980,9.2500,9.3000,19290000
2005-08-16,9.3890,9.5610,9.0800,9.1510,18579000
2005-08-17,9.2790,9.2990,8.5110,8.5810,20166000
2005-08-18,8.8150,8.8360,8.1650,8.2480,22166000
2005-08-19,8.2100,8.4860,7.9390,7.9550,18188000
2005-08-22,7.9000,8.0330,7.2130,7.2690,25171000
2005-08-23,7.1700,8.2000,7.1540,8.2000,66574000
2005-08-24,7.7530,8.5000,7.5000,7.7800,87651000
2005-08-25,7.9670,8.1400,7.8020,7.9000,26965000
2005-08-26,7.9150,8.1850,7.8310,7.8880,24683000
2005-08-29,7.8800,8.0640,7.7620,7.8600,13392000
2005-08-30,8.1420,8.4170,8.0620,8.1000,38132000
2005-08-31,8.1800,8.2650,8.0500,8.1000,10884000
2005-09-01,8.1200,8.1950,7.8510,7.8920,10673000
2005-09-02,8.0080,8.0200,7.6500,7.8020,7313000
2005-09-06,7.8980,7.9370,7.7010,7.7800,7122000
2005-09-07,7.8300,8.3700,7.7300,8.2580,40394000
2005-09-08,8.2000,8.4500,8.1570,8.3540,25081000
2005-09-09,8.4000,9.7850,8.3480,9.6300,59022000
2005-09-12,10.0340,11.5280,9.9800,11.2250,181774000
2005-09-13,11.3890,12.2500,10.8510,11.3590,161185000
2005-09-14,8.7220,9.4210,8.0990,8.1320,166607000
2005-09-15,8.3600,8.6940,8.0010,8.2000,77833000
2005-09-16,8.2900,8.4270,7.7680,7.8350,49886000
2005-09-19,7.8040,8.2940,7.7730,7.9530,38860000
2005-09-20,8.0770,8.2960,7.9550,8.0500,23511000
2005-09-21,7.9600,8.1120,7.8590,8.0300,20520000
2005-09-22,8.0520,8.2250,7.8970,7.9190,18579000
2005-09-23,7.9940,8.0290,7.8790,7.9150,9713000
2005-09-26,8.0800,8.0890,7.6140,7.7280,20420000
2005-09-27,7.7250,7.8190,7.1730,7.2500,31831000
2005-09-28,7.2620,7.3000,6.5120,6.5710,47978000
2005-09-29,6.5900,6.8980,6.3760,6.5000,31795000
2005-09-30,6.5000,6.6250,6.3350,6.4020,15284000
2005-10-03,6.4440,6.6980,6.3800,6.6110,20346000
2005-10-04,6.8500,7.3250,6.8120,7.0390,39003000
2005-10-05,7.3330,7.4370,6.8180,6.8300,31919000
2005-10-06,7.0010,7.0080,6.6800,6.8260,11726000
2005-10-07,6.9000,6.9500,6.6590,6.7200,9241000
2005-10-10,6.7700,6.7700,6.4480,6.5450,8108000
2005-10-11,6.5770,6.6290,6.4290,6.5250,6876000
2005-10-12,6.5440,6.5790,6.3100,6.3600,8363000
2005-10-13,6.3450,6.3740,6.0080,6.2220,8818000
2005-10-14,6.3420,6.7800,6.3210,6.7270,13271000
2005-10-17,6.8000,6.8200,6.4644,6.6600,11518000
2005-10-18,6.6500,7.0090,6.5300,6.7370,14335000
2005-10-19,6.7770,6.7770,6.5030,6.5800,10634000
2005-10-20,6.5560,6.8490,6.5520,6.6000,8125000
2005-10-21,7.0600,7.2950,6.9250,7.0000,18086000
2005-10-24,7.3050,8.3000,7.1200,8.0990,46821000
2005-10-25,8.4440,8.9700,7.4570,7.9810,60541000
2005-10-26,7.9700,8.4500,7.6310,8.1050,44191000
2005-10-27,6.9530,7.4230,6.9000,7.0350,39648000
2005-10-28,7.1150,7.1970,6.7500,6.8090,11796000
2005-10-31,6.9710,7.0340,6.8440,6.9440,10868000
