date,open,high,low,close,volume
1988-07-07,0.9292,0.9361,0.9094,0.9292,2085001
1988-07-08,0.9361,0.9425,0.8826,0.9227,1612798
1988-07-11,0.9361,0.9425,0.9227,0.9292,1892403
1988-07-12,0.9425,0.9425,0.9163,0.9163,2111400
1988-07-13,0.9292,0.9425,0.9227,0.9425,1568403
1988-07-14,0.9292,0.9495,0.9292,0.9425,2165400
1988-07-15,0.9495,0.9495,0.9425,0.9495,2446801
1988-07-18,0.9425,0.9564,0.9292,0.9361,5038801
1988-07-19,0.9292,0.9361,0.9094,0.9227,3247803
1988-07-20,0.9292,0.9564,0.9227,0.9425,2899800
1988-07-21,0.9425,0.9495,0.9361,0.9361,3118203
1988-07-22,0.9361,0.9425,0.9163,0.9227,1012203
1988-07-25,0.9163,0.9163,0.8960,0.9029,573001
1988-07-26,0.8960,0.8960,0.8826,0.8960,770398
1988-07-27,0.8960,0.8960,0.8559,0.8559,1483198
1988-07-28,0.8559,0.8628,0.8227,0.8355,4271400
1988-07-29,0.8355,0.8890,0.8291,0.8826,2559600
1988-08-01,0.8762,0.8762,0.8355,0.8559,2387401
1988-08-02,0.8425,0.8559,0.8355,0.8559,934801
1988-08-03,0.8559,0.8692,0.8489,0.8489,3556798
1988-08-04,0.8489,0.8762,0.8489,0.8559,5092801
1988-08-05,0.8559,0.8628,0.8291,0.8291,2232603
1988-08-08,0.8489,0.8559,0.8291,0.8291,3323403
1988-08-09,0.8355,0.8425,0.8088,0.8158,3045600
1988-08-10,0.8227,0.8227,0.7954,0.7954,2095200
1988-08-11,0.8088,0.9094,0.7756,0.7890,1915198
1988-08-12,0.7954,0.8088,0.7756,0.7954,1024198
1988-08-15,0.8088,0.8088,0.7489,0.7623,1782000
1988-08-16,0.7489,0.7826,0.7355,0.7756,5389200
1988-08-17,0.7826,0.7890,0.7756,0.7890,4858198
1988-08-18,0.7826,0.7890,0.7756,0.7756,2462400
1988-08-19,0.7826,0.7826,0.7553,0.7692,5446798
1988-08-22,0.7553,0.7692,0.7355,0.7489,2916000
1988-08-23,0.7355,0.7489,0.7355,0.7355,2467800
1988-08-24,0.7355,0.7553,0.7355,0.7489,5813998
1988-08-25,0.7553,0.7553,0.7355,0.7425,2943000
1988-08-26,0.7433,0.7497,0.7363,0.7497,1800603
1988-08-29,0.7497,0.7631,0.7433,0.7631,3194998
1988-08-30,0.7631,0.7631,0.7497,0.7561,1445398
1988-08-31,0.7497,0.7561,0.7497,0.7561,2703598
1988-09-01,0.7561,0.7561,0.7433,0.7497,1895400
1988-09-02,0.7497,0.7561,0.7497,0.7561,3528603
1988-09-06,0.7561,0.7631,0.7497,0.7631,3340798
1988-09-07,0.7700,0.7834,0.7631,0.7834,2581801
1988-09-08,0.7765,0.7963,0.7765,0.7898,2457601
1988-09-09,0.7898,0.8032,0.7834,0.7963,1069801
1988-09-12,0.7963,0.8032,0.7898,0.7898,1215000
1988-09-13,0.7898,0.7898,0.7765,0.7898,575998
1988-09-14,0.7963,0.8097,0.7898,0.8032,1717200
1988-09-15,0.8032,0.8097,0.7898,0.7963,980998
1988-09-16,0.8032,0.8032,0.7898,0.8032,2813400
1988-09-19,0.7898,0.7963,0.7765,0.7834,646198
1988-09-20,0.7963,0.8032,0.7898,0.8032,1464001
1988-09-21,0.7963,0.8097,0.7963,0.8032,1083598
1988-09-22,0.8097,0.8097,0.7765,0.7963,1404000
1988-09-23,0.7898,0.8032,0.7834,0.7963,1026601
1988-09-26,0.8032,0.8032,0.7898,0.8032,1341603
1988-09-27,0.8032,0.8032,0.7834,0.7963,1939201
1988-09-28,0.7963,0.8097,0.7834,0.8032,3134403
1988-09-29,0.8097,0.8498,0.8032,0.8434,2170800
1988-09-30,0.8434,0.8568,0.8364,0.8498,2814001
1988-10-03,0.8364,0.8498,0.8236,0.8300,1650598
1988-10-04,0.8434,0.8434,0.8236,0.8300,1158003
1988-10-05,0.8236,0.8498,0.8236,0.8434,1053601
1988-10-06,0.8300,0.8702,0.8300,0.8702,1028403
1988-10-07,0.8702,0.8969,0.8568,0.8969,2843998
1988-10-10,0.8836,0.8900,0.8771,0.8771,710998
1988-10-11,0.8771,0.8836,0.8568,0.8771,669600
1988-10-12,0.8637,0.8637,0.8498,0.8637,1420801
1988-10-13,0.8568,0.8771,0.8498,0.8637,1150200
1988-10-14,0.8771,0.8900,0.8637,0.8702,5521203
1988-10-17,0.8637,0.8702,0.8498,0.8637,1946403
1988-10-18,0.8637,0.8771,0.8568,0.8771,1001403
1988-10-19,0.8771,0.8836,0.8568,0.8568,1120203
1988-10-20,0.8702,0.8771,0.8568,0.8771,2684401
1988-10-21,0.8637,0.8836,0.8637,0.8771,2302803
1988-10-24,0.8702,0.8771,0.8498,0.8637,1445398
1988-10-25,0.8568,0.8568,0.8434,0.8568,1566601
1988-10-26,0.8498,0.8568,0.8434,0.8434,505798
1988-10-27,0.8434,0.8498,0.8097,0.8236,1396798
1988-10-28,0.8236,0.8364,0.8166,0.8300,1177200
1988-10-31,0.8236,0.8364,0.8236,0.8364,537003
1988-11-01,0.8236,0.8364,0.8236,0.8364,926998
1988-11-02,0.8300,0.8300,0.8097,0.8236,621601
1988-11-03,0.8236,0.8364,0.8097,0.8236,1112400
1988-11-04,0.8236,0.8498,0.8236,0.8236,1347003
