date,open,high,low,close,volume
1990-03-26,0.0604,0.0617,0.0598,0.0617,41702400
1990-03-27,0.0611,0.0630,0.0604,0.0630,15926400
1990-03-28,0.0630,0.0630,0.0623,0.0623,9792000
1990-03-29,0.0623,0.0623,0.0611,0.0623,16272000
1990-03-30,0.0611,0.0611,0.0585,0.0598,28742400
1990-04-02,0.0579,0.0592,0.0566,0.0585,15868800
1990-04-03,0.0579,0.0598,0.0579,0.0592,8352000
1990-04-04,0.0592,0.0598,0.0592,0.0592,14284800
1990-04-05,0.0598,0.0598,0.0585,0.0589,8323200
1990-04-06,0.0585,0.0592,0.0579,0.0579,10771200
1990-04-09,0.0585,0.0585,0.0573,0.0573,6681600
1990-04-10,0.0573,0.0585,0.0547,0.0560,34790400
1990-04-11,0.0560,0.0566,0.0554,0.0560,24796800
1990-04-12,0.0566,0.0566,0.0554,0.0566,13161600
1990-04-16,0.0566,0.0573,0.0560,0.0566,5616000
1990-04-17,0.0560,0.0573,0.0554,0.0573,6566400
1990-04-18,0.0573,0.0585,0.0566,0.0579,24480000
1990-04-19,0.0573,0.0585,0.0573,0.0585,25142400
1990-04-20,0.0585,0.0585,0.0566,0.0566,8755200
1990-04-23,0.0566,0.0579,0.0560,0.0573,5356800
1990-04-24,0.0585,0.0585,0.0579,0.0582,10281600
1990-04-25,0.0585,0.0592,0.0585,0.0585,6768000
1990-04-26,0.0585,0.0598,0.0585,0.0585,10713600
1990-04-27,0.0585,0.0592,0.0579,0.0579,4204800
1990-04-30,0.0592,0.0617,0.0585,0.0604,34329600
1990-05-01,0.0617,0.0617,0.0604,0.0614,28771200
1990-05-02,0.0611,0.0617,0.0604,0.0604,3139200
1990-05-03,0.0617,0.0623,0.0611,0.0623,7228800
1990-05-04,0.0617,0.0630,0.0617,0.0630,5702400
1990-05-07,0.0630,0.0649,0.0630,0.0636,13536000
1990-05-08,0.0649,0.0649,0.0630,0.0643,14486400
1990-05-09,0.0643,0.0643,0.0623,0.0630,9676800
1990-05-10,0.0636,0.0636,0.0623,0.0623,2793600
1990-05-11,0.0649,0.0655,0.0623,0.0630,29923200
1990-05-14,0.0643,0.0643,0.0630,0.0630,15235200
1990-05-15,0.0643,0.0643,0.0630,0.0633,24134400
1990-05-16,0.0643,0.0643,0.0623,0.0630,18720000
1990-05-17,0.0636,0.0636,0.0630,0.0636,6595200
1990-05-18,0.0630,0.0636,0.0617,0.0623,45417600
1990-05-21,0.0617,0.0636,0.0617,0.0623,4032000
