date,open,high,low,close,volume
1980-11-03,0.1857,0.1857,0.1813,0.1857,4460400
1980-11-05,0.1874,0.1995,0.1874,0.1874,8208000
1980-11-06,0.1874,0.1874,0.1813,0.1835,2613600
1980-11-07,0.1829,0.1829,0.1807,0.1824,1987200
1980-11-10,0.1824,0.1840,0.1824,0.1829,3261600
1980-11-11,0.1840,0.1918,0.1840,0.1890,6663600
1980-11-12,0.1901,0.1978,0.1901,0.1956,8607600
1980-11-13,0.1967,0.2005,0.1967,0.2005,6080400
1980-11-14,0.2005,0.2027,0.1978,0.2000,6264000
1980-11-17,0.1983,0.1983,0.1973,0.1983,7797600
1980-11-18,0.1983,0.2038,0.1978,0.2017,8704800
1980-11-19,0.2017,0.2044,0.2011,0.2017,17442000
1980-11-20,0.2017,0.2022,0.1978,0.1983,4428000
1980-11-21,0.1983,0.2000,0.1983,0.2000,15076800
1980-11-24,0.2000,0.2000,0.1967,0.1995,10303200
1980-11-25,0.1995,0.2005,0.1978,0.2000,7128000
1980-11-26,0.2000,0.2000,0.1983,0.1989,8812800
1980-11-28,0.1995,0.2000,0.1995,0.2000,4633200
1980-12-01,0.2000,0.2000,0.1967,0.1983,12592800
1980-12-02,0.1978,0.1978,0.1939,0.1956,6534000
1980-12-03,0.1956,0.1978,0.1934,0.1973,6166800
1980-12-04,0.1973,0.2000,0.1973,0.1995,8143200
1980-12-05,0.1983,0.1983,0.1945,0.1956,7808400
1980-12-08,0.1945,0.1945,0.1879,0.1918,8748000
1980-12-09,0.1918,0.1934,0.1890,0.1929,7365600
1980-12-10,0.1929,0.1967,0.1929,0.1929,9925200
1980-12-11,0.1901,0.1901,0.1835,0.1852,9774000
1980-12-12,0.1852,0.1901,0.1846,0.1890,5778000
1980-12-15,0.1912,0.1934,0.1912,0.1934,11383200
1980-12-16,0.1934,0.1934,0.1890,0.1906,61732800
1980-12-17,0.1906,0.1934,0.1896,0.1929,5929200
1980-12-18,0.1934,0.1995,0.1934,0.1967,8964000
1980-12-19,0.1967,0.1989,0.1961,0.1973,2062800
1980-12-22,0.1989,0.2022,0.1989,0.2017,5032800
1980-12-23,0.2022,0.2066,0.2022,0.2060,7657200
1980-12-24,0.2060,0.2137,0.2055,0.2126,7808400
1980-12-26,0.2126,0.2170,0.2099,0.2132,3596400
1980-12-29,0.2132,0.2159,0.2082,0.2082,5659200
1980-12-30,0.2082,0.2088,0.2050,0.2088,2667600
1980-12-31,0.2088,0.2099,0.2071,0.2099,4752000
1981-01-02,0.2099,0.2126,0.2093,0.2104,3261600
1981-01-05,0.2104,0.2148,0.2088,0.2143,6717600
1981-01-06,0.2143,0.2187,0.2143,0.2154,12387600
1981-01-07,0.2154,0.2154,0.1978,0.2110,24094800
1981-01-08,0.2110,0.2143,0.2082,0.2082,15411600
1981-01-09,0.2082,0.2115,0.2044,0.2055,17280000
