date,open,high,low,close,volume
1990-03-26,3.4808,3.5212,3.4808,3.5212,279603
1990-03-27,3.4808,3.5212,3.4808,3.5107,92403
1990-03-28,3.5107,3.5212,3.4808,3.5212,16803
1990-03-29,3.5212,3.5212,3.5212,3.5212,3600
1990-03-30,3.5010,3.5617,3.4808,3.5010,96003
1990-04-02,3.5617,3.5617,3.5212,3.5212,7803
1990-04-03,3.4605,3.4605,3.4605,3.4605,75600
1990-04-04,3.4500,3.5212,3.2379,3.3189,1069200
1990-04-05,3.3189,3.3796,3.3189,3.3593,1159803
1990-04-06,3.3796,3.3998,3.3391,3.3998,20403
1990-04-09,3.3391,3.4201,3.3391,3.3998,529803
1990-04-10,3.3391,3.4201,3.3391,3.4201,46800
1990-04-11,3.3593,3.4605,3.3593,3.4605,180000
1990-04-12,3.4403,3.4403,3.4103,3.4403,85203
1990-04-16,3.4403,3.5212,3.3998,3.4605,135000
1990-04-17,3.5010,3.5010,3.4403,3.4403,34200
1990-04-18,3.5212,3.5212,3.4403,3.4403,9000
1990-04-19,3.5212,3.5212,3.4403,3.4403,23400
1990-04-20,3.4605,3.5212,3.4403,3.5212,123003
1990-04-23,3.5212,3.5212,3.4298,3.4298,612000
1990-04-24,3.5212,3.5212,3.4201,3.4605,69003
1990-04-25,3.4201,3.4201,3.4201,3.4201,13203
1990-04-26,3.4201,3.5212,3.4201,3.5212,39600
1990-04-27,3.4201,3.5212,3.4201,3.5010,51003
1990-04-30,3.4711,3.4711,3.4201,3.4201,22203
1990-05-01,3.5010,3.5010,3.4201,3.5010,552600
1990-05-02,3.4201,3.5010,3.4201,3.5010,60003
1990-05-03,3.5010,3.5212,3.4403,3.5212,184203
1990-05-04,3.4808,3.5212,3.4808,3.5212,12600
1990-05-07,3.5212,3.5212,3.4403,3.5212,11403
1990-05-08,3.5010,3.5212,3.4403,3.4403,234000
1990-05-09,3.5010,3.5212,3.5010,3.5212,4203
1990-05-10,3.5415,3.5617,3.4403,3.4403,214803
1990-05-11,3.4403,3.5617,3.4403,3.5617,51003
1990-05-14,3.4808,3.5617,3.4808,3.5617,171000
1990-05-15,3.5010,3.5617,3.5010,3.5617,38403
1990-05-16,3.5617,3.5617,3.5010,3.5212,31203
1990-05-17,3.6022,3.6022,3.5212,3.6022,667800
1990-05-18,3.6427,3.6427,3.5820,3.5820,15003
1990-05-21,3.6427,3.6427,3.5617,3.6224,159003
1990-05-22,3.6831,3.7034,3.6427,3.6427,34200
1990-05-23,3.7034,3.7641,3.6629,3.7641,165600
1990-05-24,3.8046,3.8046,3.7236,3.8046,45000
1990-05-25,3.7439,3.7641,3.7236,3.7236,419400
1990-05-29,3.7236,3.8046,3.7236,3.7333,97803
1990-05-30,3.7843,3.7843,3.7236,3.7236,92403
1990-05-31,3.7843,3.7843,3.7236,3.7236,16200
1990-06-01,3.7236,3.7843,3.7236,3.7236,47403
1990-06-04,3.7843,3.7843,3.7236,3.7843,86400
1990-06-05,3.7843,3.7843,3.7544,3.7843,184203
1990-06-06,3.7236,3.7843,3.7236,3.7236,293400
1990-06-07,3.7236,3.7641,3.7236,3.7544,49203
1990-06-08,3.7843,3.7843,3.7236,3.7333,56403
1990-06-11,3.7843,3.7843,3.7236,3.7236,14400
1990-06-12,3.7843,3.7843,3.7236,3.7843,190800
1990-06-13,3.7236,3.7843,3.7236,3.7843,34200
1990-06-14,3.8046,3.8046,3.7236,3.7236,9000
1990-06-15,3.8046,3.8046,3.8046,3.8046,12600
1990-06-18,3.7236,3.8046,3.7236,3.7236,33003
1990-06-19,3.7439,3.7641,3.7439,3.7641,64800
1990-06-20,3.8046,3.8046,3.8046,3.8046,1800
1990-06-21,3.8046,3.8046,3.7236,3.8046,25803
1990-06-22,3.8046,3.8450,3.7641,3.8046,52200
1990-06-25,3.8556,3.8855,3.8450,3.8855,86400
1990-06-26,3.8450,4.0069,3.8450,3.9665,373203
1990-06-27,4.0069,4.0069,3.8855,3.8855,76203
1990-06-28,3.9260,3.9665,3.9260,3.9462,91800
1990-06-29,3.9665,3.9665,3.9057,3.9665,175203
1990-07-02,3.9365,3.9665,3.9057,3.9665,354600
1990-07-03,3.9057,3.9665,3.9057,3.9665,561600
1990-07-05,3.9057,3.9665,3.9057,3.9665,43200
1990-07-06,3.9665,3.9665,3.8855,3.9462,13203
1990-07-09,3.9462,3.9462,3.8855,3.9462,29403
1990-07-10,3.8855,3.9260,3.8450,3.8855,78003
1990-07-11,3.8450,3.8855,3.8450,3.8653,46800
1990-07-12,3.8653,3.8653,3.7843,3.8653,279603
1990-07-13,3.8653,3.8653,3.7641,3.8046,325800
1990-07-16,3.8046,3.8855,3.8046,3.8855,39600
1990-07-17,3.8450,3.8855,3.8450,3.8450,16803
1990-07-18,3.8450,3.8855,3.8248,3.8450,106803
1990-07-19,3.7746,3.8653,3.7641,3.7641,70200
1990-07-20,3.7641,3.8450,3.7641,3.8046,36603
1990-07-23,3.7641,3.8248,3.7236,3.8046,76203
1990-07-24,3.8046,3.8046,3.7236,3.8046,25803
1990-07-25,3.7236,3.8046,3.7236,3.8046,16200
1990-07-26,3.8046,3.8248,3.7439,3.7843,76203
1990-07-27,3.7236,3.8046,3.7236,3.7236,79200
1990-07-30,3.7236,3.8046,3.7236,3.8046,31203
1990-07-31,3.8046,3.8046,3.6427,3.6831,153000
1990-08-01,3.6022,3.6427,3.5010,3.6119,308403
1990-08-02,3.5617,3.6224,3.5617,3.5617,41400
1990-08-03,3.5617,3.6022,3.4403,3.4808,218403
1990-08-06,3.4808,3.4808,3.3593,3.3593,199800
1990-08-07,3.4403,3.4403,3.3593,3.3593,436203
1990-08-08,3.3998,3.3998,3.3391,3.3998,258003
1990-08-09,3.3998,3.4403,3.3391,3.3998,9000
1990-08-10,3.4403,3.4403,3.3391,3.4403,32400
1990-08-13,3.3189,3.4403,3.3189,3.4403,105003
1990-08-14,3.4403,3.4403,3.3092,3.3391,308403
1990-08-15,3.4403,3.4403,3.3593,3.3593,403803
1990-08-16,3.3391,3.3998,3.3391,3.3691,29403
1990-08-17,3.3998,3.3998,3.3189,3.3998,222003
1990-08-20,3.3593,3.3593,3.3593,3.3593,9603
1990-08-21,3.3189,3.3189,3.1975,3.2177,51003
1990-08-22,3.2784,3.2784,3.2379,3.2476,555003
1990-08-23,3.2177,3.2177,3.1165,3.1772,45000
1990-08-24,3.2177,3.2177,3.1667,3.2080,284400
1990-08-27,3.2379,3.3998,3.2379,3.3998,95400
1990-08-28,3.3998,3.3998,3.3189,3.3593,104400
1990-08-29,3.3593,3.3593,3.3189,3.3189,87003
1990-08-30,3.3189,3.3796,3.3189,3.3796,99603
1990-08-31,3.3189,3.3189,3.3189,3.3189,31203
1990-09-04,3.2784,3.3189,3.2582,3.2582,63000
1990-09-05,3.2582,3.3189,3.2582,3.3189,49203
1990-09-06,3.2784,3.2986,3.2177,3.2177,159003
1990-09-07,3.3189,3.3189,3.2177,3.3189,127800
1990-09-10,3.3189,3.3189,3.2379,3.2582,18000
1990-09-11,3.2679,3.2679,3.2379,3.2379,20403
1990-09-12,3.2177,3.3189,3.2177,3.3189,45000
1990-09-13,3.1975,3.2986,3.1975,3.1975,14400
1990-09-14,3.1975,3.3189,3.1975,3.3189,499203
1990-09-17,3.1975,3.3189,3.1975,3.1975,21600
1990-09-18,3.2784,3.3189,3.2379,3.2379,140400
1990-09-19,3.3189,3.3189,3.1975,3.3189,472203
1990-09-20,3.2986,3.2986,3.2177,3.2177,52200
1990-09-21,3.2177,3.2784,3.2177,3.2177,106803
1990-09-24,3.2784,3.2784,3.1975,3.1975,22203
1990-09-25,3.1975,3.2784,3.1975,3.1975,499203
1990-09-26,3.1975,3.2784,3.1667,3.1667,400203
1990-09-27,3.1570,3.2379,3.1367,3.1367,234603
1990-09-28,3.1367,3.2379,3.1367,3.2379,181800
1990-10-01,3.2379,3.3593,3.1975,3.3189,100800
1990-10-02,3.4403,3.4403,3.3593,3.3593,25803
1990-10-03,3.4403,3.4403,3.4201,3.4403,56403
1990-10-04,3.3391,3.4403,3.3391,3.4403,2403
1990-10-05,3.3189,3.4403,3.3189,3.4403,133200
1990-10-08,3.4403,3.4403,3.3998,3.3998,39600
1990-10-09,3.3998,3.4403,3.3998,3.4403,40203
1990-10-10,3.4403,3.4403,3.3189,3.3998,308403
1990-10-11,3.3998,3.3998,3.2784,3.2784,167400
1990-10-12,3.2784,3.3998,3.2784,3.2784,101403
1990-10-15,3.3593,3.3593,3.2582,3.2582,10800
1990-10-16,3.2582,3.2582,3.2379,3.2379,11403
1990-10-17,3.1975,3.2784,3.1975,3.2476,777600
1990-10-18,3.2177,3.3189,3.2177,3.2177,304803
1990-10-19,3.2986,3.3189,3.2177,3.2177,33003
1990-10-22,3.2282,3.3189,3.2282,3.3189,9000
1990-10-23,3.3189,3.3189,3.2582,3.2784,59400
1990-10-24,3.2177,3.2379,3.2177,3.2379,82800
1990-10-25,3.3189,3.3391,3.3189,3.3391,4203
1990-10-26,3.2177,3.3189,3.2177,3.2379,194400
1990-10-29,3.2177,3.2379,3.2177,3.2379,430803
1990-10-30,3.2379,3.2582,3.2080,3.2177,137403
1990-10-31,3.2582,3.2784,3.1975,3.1975,22203
1990-11-01,3.2177,3.2784,3.1975,3.2784,40203
1990-11-02,3.2784,3.2784,3.1975,3.1975,23400
1990-11-05,3.2784,3.2986,3.1975,3.1975,201600
1990-11-06,3.2784,3.3189,3.1975,3.2379,761400
1990-11-07,3.2379,3.3391,3.2379,3.3189,216000
1990-11-08,3.3189,3.3189,3.2177,3.3189,115803
1990-11-09,3.2379,3.3189,3.2379,3.3189,75600
1990-11-12,3.3189,3.3189,3.2784,3.2889,79803
1990-11-13,3.3189,3.4403,3.3189,3.4403,109800
1990-11-14,3.3998,3.4403,3.3189,3.4403,18603
